Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,consuesco,consuesceo,consuesco,consuescio,I become accustomed
Active Indicative,Present,1st Person,Plural,consuescamus,consuescemus,consuescimus,consuescimus,We become accustomed
Active Indicative,Present,2nd Person,Singular,consuescas,consuesces,consuescis,consuescis,You become accustomed
Active Indicative,Present,2nd Person,Plural,consuescatis,consuescetis,consuescitis,consuescitis,You (pl.) become accustomed
Active Indicative,Present,3rd Person,Singular,consuescat,consuescet,consuescit,consuescit,He/she/it become accustomed
Active Indicative,Present,3rd Person,Plural,consuescant,consuescent,consuesciunt,consuesciunt,They become accustomed
Active Indicative,Imperfect,1st Person,Singular,consuescabam,consuescebam,consuescebam,consuesciebam,I was become accustomeding
Active Indicative,Imperfect,1st Person,Plural,consuescabamus,consuescebamus,consuescebamus,consuesciebamus,We were become accustomeding
Active Indicative,Imperfect,2nd Person,Singular,consuescabas,consuescebas,consuescebas,consuesciebas,You were become accustomeding
Active Indicative,Imperfect,2nd Person,Plural,consuescabatis,consuescebatis,consuescebatis,consuesciebatis,You (pl.) were become accustomeding
Active Indicative,Imperfect,3rd Person,Singular,consuescabat,consuescebat,consuescebat,consuesciebat,He/she/it was become accustomeding
Active Indicative,Imperfect,3rd Person,Plural,consuescabant,consuescebant,consuescebant,consuesciebant,They were become accustomeding
Active Indicative,Future,1st Person,Singular,consuescabo,consuescebo,consuescam,consuesciam,I will become accustomed
Active Indicative,Future,1st Person,Plural,consuescabimus,consuescebimus,consuescemus,consuesciemus,We will become accustomed
Active Indicative,Future,2nd Person,Singular,consuescabis,consuescebis,consuesces,consuescies,You will become accustomed
Active Indicative,Future,2nd Person,Plural,consuescabitis,consuescebitis,consuescetis,consuescietis,You (pl.) will become accustomed
Active Indicative,Future,3rd Person,Singular,consuescabit,consuescebit,consuescet,consuesciet,He/she/it will become accustomed
Active Indicative,Future,3rd Person,Plural,consuescabunt,consuescebunt,consuescent,consuescient,They will become accustomed
Active Indicative,Perfect,1st Person,Singular,consuescavi,consuescui,consuesci,consuesci,I have become accustomeded
Active Indicative,Perfect,1st Person,Plural,consuescavimus,consuescuimus,consuescimus,consuescimus,We have become accustomeded
Active Indicative,Perfect,2nd Person,Singular,consuescavisti,consuescuisti,consuescisti,consuescisti,You have become accustomeded
Active Indicative,Perfect,2nd Person,Plural,consuescavistis,consuescuistis,consuescistis,consuescistis,You (pl.) have become accustomeded
Active Indicative,Perfect,3rd Person,Singular,consuescavit,consuescuit,consuescit,consuescit,He/she/it has become accustomeded
Active Indicative,Perfect,3rd Person,Plural,consuescaverunt,consuescuerunt,consuescerunt,consuescerunt,They have become accustomeded
Active Indicative,Pluperfect,1st Person,Singular,consuescaveram,consuescueram,consuesceram,consuesceram,I had become accustomeded
Active Indicative,Pluperfect,1st Person,Plural,consuescaveramus,consuescueramus,consuesceramus,consuesceramus,We had become accustomeded
Active Indicative,Pluperfect,2nd Person,Singular,consuescaveras,consuescueras,consuesceras,consuesceras,You had become accustomeded
Active Indicative,Pluperfect,2nd Person,Plural,consuescaveratis,consuescueratis,consuesceratis,consuesceratis,You (pl.) had become accustomeded
Active Indicative,Pluperfect,3rd Person,Singular,consuescaverat,consuescuerat,consuescerat,consuescerat,He/she/it had become accustomeded
Active Indicative,Pluperfect,3rd Person,Plural,consuescaverant,consuescuerant,consuescerant,consuescerant,They had become accustomeded
Active Indicative,Future Perfect,1st Person,Singular,consuescavero,consuescueero,consuescero,consuesciero,I will have become accustomeded
Active Indicative,Future Perfect,1st Person,Plural,consuescaverimus,consuescuerimus,consuescerimus,consuescierimus,We will have become accustomeded
