Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,contigo,contigeo,contigo,contigio,I happen
Active Indicative,Present,1st Person,Plural,contigamus,contigemus,contigimus,contigimus,We happen
Active Indicative,Present,2nd Person,Singular,contigas,contiges,contigis,contigis,You happen
Active Indicative,Present,2nd Person,Plural,contigatis,contigetis,contigitis,contigitis,You (pl.) happen
Active Indicative,Present,3rd Person,Singular,contigat,contiget,contigit,contigit,He/she/it happen
Active Indicative,Present,3rd Person,Plural,contigant,contigent,contigiunt,contigiunt,They happen
Active Indicative,Imperfect,1st Person,Singular,contigabam,contigebam,contigebam,contigiebam,I was happening
Active Indicative,Imperfect,1st Person,Plural,contigabamus,contigebamus,contigebamus,contigiebamus,We were happening
Active Indicative,Imperfect,2nd Person,Singular,contigabas,contigebas,contigebas,contigiebas,You were happening
Active Indicative,Imperfect,2nd Person,Plural,contigabatis,contigebatis,contigebatis,contigiebatis,You (pl.) were happening
Active Indicative,Imperfect,3rd Person,Singular,contigabat,contigebat,contigebat,contigiebat,He/she/it was happening
Active Indicative,Imperfect,3rd Person,Plural,contigabant,contigebant,contigebant,contigiebant,They were happening
Active Indicative,Future,1st Person,Singular,contigabo,contigebo,contigam,contigiam,I will happen
Active Indicative,Future,1st Person,Plural,contigabimus,contigebimus,contigemus,contigiemus,We will happen
Active Indicative,Future,2nd Person,Singular,contigabis,contigebis,contiges,contigies,You will happen
Active Indicative,Future,2nd Person,Plural,contigabitis,contigebitis,contigetis,contigietis,You (pl.) will happen
Active Indicative,Future,3rd Person,Singular,contigabit,contigebit,contiget,contigiet,He/she/it will happen
Active Indicative,Future,3rd Person,Plural,contigabunt,contigebunt,contigent,contigient,They will happen
Active Indicative,Perfect,1st Person,Singular,contigavi,contigui,contigi,contigi,I have happened
Active Indicative,Perfect,1st Person,Plural,contigavimus,contiguimus,contigimus,contigimus,We have happened
Active Indicative,Perfect,2nd Person,Singular,contigavisti,contiguisti,contigisti,contigisti,You have happened
Active Indicative,Perfect,2nd Person,Plural,contigavistis,contiguistis,contigistis,contigistis,You (pl.) have happened
Active Indicative,Perfect,3rd Person,Singular,contigavit,contiguit,contigit,contigit,He/she/it has happened
Active Indicative,Perfect,3rd Person,Plural,contigaverunt,contiguerunt,contigerunt,contigerunt,They have happened
