Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,contorquo,contorqueo,contorquo,contorquio,I twist
Active Indicative,Present,1st Person,Plural,contorquamus,contorquemus,contorquimus,contorquimus,We twist
Active Indicative,Present,2nd Person,Singular,contorquas,contorques,contorquis,contorquis,You twist
Active Indicative,Present,2nd Person,Plural,contorquatis,contorquetis,contorquitis,contorquitis,You (pl.) twist
Active Indicative,Present,3rd Person,Singular,contorquat,contorquet,contorquit,contorquit,He/she/it twist
Active Indicative,Present,3rd Person,Plural,contorquant,contorquent,contorquiunt,contorquiunt,They twist
Active Indicative,Imperfect,1st Person,Singular,contorquabam,contorquebam,contorquebam,contorquiebam,I was twisting
Active Indicative,Imperfect,1st Person,Plural,contorquabamus,contorquebamus,contorquebamus,contorquiebamus,We were twisting
Active Indicative,Imperfect,2nd Person,Singular,contorquabas,contorquebas,contorquebas,contorquiebas,You were twisting
Active Indicative,Imperfect,2nd Person,Plural,contorquabatis,contorquebatis,contorquebatis,contorquiebatis,You (pl.) were twisting
Active Indicative,Imperfect,3rd Person,Singular,contorquabat,contorquebat,contorquebat,contorquiebat,He/she/it was twisting
Active Indicative,Imperfect,3rd Person,Plural,contorquabant,contorquebant,contorquebant,contorquiebant,They were twisting
Active Indicative,Future,1st Person,Singular,contorquabo,contorquebo,contorquam,contorquiam,I will twist
Active Indicative,Future,1st Person,Plural,contorquabimus,contorquebimus,contorquemus,contorquiemus,We will twist
Active Indicative,Future,2nd Person,Singular,contorquabis,contorquebis,contorques,contorquies,You will twist
Active Indicative,Future,2nd Person,Plural,contorquabitis,contorquebitis,contorquetis,contorquietis,You (pl.) will twist
Active Indicative,Future,3rd Person,Singular,contorquabit,contorquebit,contorquet,contorquiet,He/she/it will twist
Active Indicative,Future,3rd Person,Plural,contorquabunt,contorquebunt,contorquent,contorquient,They will twist
Active Indicative,Perfect,1st Person,Singular,contorquavi,contorqui,contorqui,contorqui,I have twisted
Active Indicative,Perfect,1st Person,Plural,contorquavimus,contorquimus,contorquimus,contorquimus,We have twisted
Active Indicative,Perfect,2nd Person,Singular,contorquavisti,contorquisti,contorquisti,contorquisti,You have twisted
Active Indicative,Perfect,2nd Person,Plural,contorquavistis,contorquistis,contorquistis,contorquistis,You (pl.) have twisted
Active Indicative,Perfect,3rd Person,Singular,contorquavit,contorquit,contorquit,contorquit,He/she/it has twisted
Active Indicative,Perfect,3rd Person,Plural,contorquaverunt,contorquerunt,contorquerunt,contorquerunt,They have twisted
Active Indicative,Pluperfect,1st Person,Singular,contorquaveram,contorqueram,contorqueram,contorqueram,I had twisted
Active Indicative,Pluperfect,1st Person,Plural,contorquaveramus,contorqueramus,contorqueramus,contorqueramus,We had twisted
Active Indicative,Pluperfect,2nd Person,Singular,contorquaveras,contorqueras,contorqueras,contorqueras,You had twisted
Active Indicative,Pluperfect,2nd Person,Plural,contorquaveratis,contorqueratis,contorqueratis,contorqueratis,You (pl.) had twisted
Active Indicative,Pluperfect,3rd Person,Singular,contorquaverat,contorquerat,contorquerat,contorquerat,He/she/it had twisted
Active Indicative,Pluperfect,3rd Person,Plural,contorquaverant,contorquerant,contorquerant,contorquerant,They had twisted
Active Indicative,Future Perfect,1st Person,Singular,contorquavero,contorqueero,contorquero,contorquiero,I will have twisted
Active Indicative,Future Perfect,1st Person,Plural,contorquaverimus,contorquerimus,contorquerimus,contorquierimus,We will have twisted
Active Indicative,Future Perfect,2nd Person,Singular,contorquaveris,contorqueris,contorqueris,contorquieris,You will have twisted
Active Indicative,Future Perfect,2nd Person,Plural,contorquaveritis,contorqueritis,contorqueritis,contorquieritis,You (pl.) will have twisted
Active Indicative,Future Perfect,3rd Person,Singular,contorquaverit,contorquerit,contorquerit,contorquierit,He/she/it will have twisted
Active Indicative,Future Perfect,3rd Person,Plural,contorquaverint,contorquerint,contorquerint,contorquierint,They will have twisted
Passive Indicative,Present,1st Person,Singular,contorquor,contorqueor,contorquor,contorquior,I am being twisted
Passive Indicative,Present,1st Person,Plural,contorquamur,contorquemur,contorquimur,contorquimur,We are being twisted
Passive Indicative,Present,2nd Person,Singular,contorquaris,contorqueris,contorquiris,contorquiris,You are being twisted
Passive Indicative,Present,2nd Person,Plural,contorquamini,contorquemini,contorquimini,contorquimini,You (pl.) are being twisted
Passive Indicative,Present,3rd Person,Singular,contorquatur,contorquetur,contorquitur,contorquitur,He/she/it is being twisted
Passive Indicative,Present,3rd Person,Plural,contorquantur,contorquentur,contorquiuntur,contorquiuntur,They are being twisted
Passive Indicative,Imperfect,1st Person,Singular,contorquabar,contorquebar,contorquebar,contorquiebar,I was twisted
Passive Indicative,Imperfect,1st Person,Plural,contorquabamur,contorquebamur,contorquebamur,contorquiebamur,We were twisted
Passive Indicative,Imperfect,2nd Person,Singular,contorquabaris,contorquebaris,contorquebaris,contorquiebaris,You were twisted
Passive Indicative,Imperfect,2nd Person,Plural,contorquabamini,contorquebamini,contorquebamini,contorquiebamini,You (pl.) were twisted
Passive Indicative,Imperfect,3rd Person,Singular,contorquabatur,contorquebatur,contorquebatur,contorquiebatur,He/she/it was twisted
Passive Indicative,Imperfect,3rd Person,Plural,contorquabantur,contorquebantur,contorquebantur,contorquiebantur,They were twisted
Passive Indicative,Future,1st Person,Singular,contorquabor,contorquebor,contorquar,contorquiar,I will be twisted
Passive Indicative,Future,1st Person,Plural,contorquabimur,contorquebimur,contorquemur,contorquiemur,We will be twisted
Passive Indicative,Future,2nd Person,Singular,contorquaberis,contorqueberis,contorqueris,contorquieris,You will be twisted
Passive Indicative,Future,2nd Person,Plural,contorquabimini,contorquebimini,contorquemini,contorquiemini,You (pl.) will be twisted
Passive Indicative,Future,3rd Person,Singular,contorquabitur,contorquebitur,contorquetur,contorquietur,He/she/it will be twisted
Passive Indicative,Future,3rd Person,Plural,contorquabuntur,contorquebuntur,contorquentur,contorquientur,They will be twisted
Passive Indicative,Perfect,1st Person,Singular,contorquatus sum,contorquetus sum,contorqus sum,contorqus sum,I have been twisted
Passive Indicative,Perfect,1st Person,Plural,contorquati sumus,contorqueti sumus,contorqui sumus,contorqui sumus,We have been twisted
Passive Indicative,Perfect,2nd Person,Singular,contorquatus es,contorquetus es,contorqus es,contorqus es,You have been twisted
Passive Indicative,Perfect,2nd Person,Plural,contorquati estis,contorqueti estis,contorqui estis,contorqui estis,You (pl.) have been twisted
Passive Indicative,Perfect,3rd Person,Singular,contorquatus est,contorquetus est,contorqus est,contorqus est,He/she/it has been twisted
Passive Indicative,Perfect,3rd Person,Plural,contorquati sunt,contorqueti sunt,contorqui sunt,contorqui sunt,They have been twisted
Passive Indicative,Pluperfect,1st Person,Singular,contorquatus eram,contorquetus eram,contorqus eram,contorqus eram,I had been twisted
Passive Indicative,Pluperfect,1st Person,Plural,contorquati eramus,contorqueti eramus,contorqui eramus,contorqui eramus,We had been twisted
Passive Indicative,Pluperfect,2nd Person,Singular,contorquatus eras,contorquetus eras,contorqus eras,contorqus eras,You had been twisted
Passive Indicative,Pluperfect,2nd Person,Plural,contorquati eratis,contorqueti eratis,contorqui eratis,contorqui eratis,You (pl.) had been twisted
Passive Indicative,Pluperfect,3rd Person,Singular,contorquatus erat,contorquetus erat,contorqus erat,contorqus erat,He/she/it had been twisted
Passive Indicative,Pluperfect,3rd Person,Plural,contorquati erant,contorqueti erant,contorqui erant,contorqui erant,They had been twisted
Passive Indicative,Future Perfect,1st Person,Singular,contorquatus ero,contorquetus ero,contorqus ero,contorqus ero,I will have been twisted
Passive Indicative,Future Perfect,1st Person,Plural,contorquati erimus,contorqueti erimus,contorqui erimus,contorqui erimus,We will have been twisted
Passive Indicative,Future Perfect,2nd Person,Singular,contorquatus eris,contorquetus eris,contorqus eris,contorqus eris,You will have been twisted
Passive Indicative,Future Perfect,2nd Person,Plural,contorquati eritis,contorqueti eritis,contorqui eritis,contorqui eritis,You (pl.) will have been twisted
Passive Indicative,Future Perfect,3rd Person,Singular,contorquatus erit,contorquetus erit,contorqus erit,contorqus erit,He/she/it will have been twisted
Passive Indicative,Future Perfect,3rd Person,Plural,contorquati erunt,contorqueti erunt,contorqui erunt,contorqui erunt,They will have been twisted
Active Subjunctive,Present,1st Person,Singular,contorquem,contorquem,contorquam,contorquam,I may twist
Active Subjunctive,Present,1st Person,Plural,contorquemus,contorquemus,contorquamus,contorquamus,We may twist
Active Subjunctive,Present,2nd Person,Singular,contorques,contorques,contorquas,contorquas,You may twist
Active Subjunctive,Present,2nd Person,Plural,contorquetis,contorquetis,contorquatis,contorquatis,You (pl.) may twist
Active Subjunctive,Present,3rd Person,Singular,contorquet,contorquet,contorquat,contorquat,He/she/it may twist
Active Subjunctive,Present,3rd Person,Plural,contorquent,contorquent,contorquant,contorquant,They may twist
Active Subjunctive,Imperfect,1st Person,Singular,contorquarem,contorquerem,contorquerem,contorquirem,I should twist
Active Subjunctive,Imperfect,1st Person,Plural,contorquaremus,contorqueremus,contorqueremus,contorquiremus,We should twist
Active Subjunctive,Imperfect,2nd Person,Singular,contorquares,contorqueres,contorqueres,contorquires,You should twist
Active Subjunctive,Imperfect,2nd Person,Plural,contorquaretis,contorqueretis,contorqueretis,contorquiretis,You (pl.) should twist
Active Subjunctive,Imperfect,3rd Person,Singular,contorquaret,contorqueret,contorqueret,contorquiret,He/she/it should twist
Active Subjunctive,Imperfect,3rd Person,Plural,contorquarent,contorquerent,contorquerent,contorquirent,They should twist
Active Subjunctive,Perfect,1st Person,Singular,contorquerim,contorquerim,contorquerim,contorquierim,I may have twisted
Active Subjunctive,Perfect,1st Person,Plural,contorquerimus,contorquerimus,contorquerimus,contorquierimus,We may have twisted
Active Subjunctive,Perfect,2nd Person,Singular,contorqueris,contorqueris,contorqueris,contorquieris,You may have twisted
Active Subjunctive,Perfect,2nd Person,Plural,contorqueritis,contorqueritis,contorqueritis,contorquieritis,You (pl.) may have twisted
Active Subjunctive,Perfect,3rd Person,Singular,contorquerit,contorquerit,contorquerit,contorquierit,He/she/it may have twisted
Active Subjunctive,Perfect,3rd Person,Plural,contorquerint,contorquerint,contorquerint,contorquierint,They may have twisted
Active Subjunctive,Pluperfect,1st Person,Singular,contorquissem,contorquissem,contorquissem,contorquissem,I should have twisted
Active Subjunctive,Pluperfect,1st Person,Plural,contorquissemus,contorquissemus,contorquissemus,contorquissemus,We should have twisted
Active Subjunctive,Pluperfect,2nd Person,Singular,contorquisses,contorquisses,contorquisses,contorquisses,You would have twisted
Active Subjunctive,Pluperfect,2nd Person,Plural,contorquissetis,contorquissetis,contorquissetis,contorquissetis,You (pl.) would have twisted
Active Subjunctive,Pluperfect,3rd Person,Singular,contorquisset,contorquisset,contorquisset,contorquisset,He/she/it would have twisted
Active Subjunctive,Pluperfect,3rd Person,Plural,contorquissent,contorquissent,contorquissent,contorquissent,They would have twisted
Passive Subjunctive,Present,1st Person,Singular,contorquer,contorquer,contorquar,contorquar,I may be twisted
Passive Subjunctive,Present,1st Person,Plural,contorquemur,contorquemur,contorquamur,contorquamur,We may be twisted
Passive Subjunctive,Present,2nd Person,Singular,contorqueris,contorqueris,contorquaris,contorquaris,You may be twisted
Passive Subjunctive,Present,2nd Person,Plural,contorquemini,contorquemini,contorquamini,contorquamini,You (pl.) may be twisted
Passive Subjunctive,Present,3rd Person,Singular,contorquetur,contorquetur,contorquatur,contorquatur,He/she/it may be twisted
Passive Subjunctive,Present,3rd Person,Plural,contorquentur,contorquentur,contorquantur,contorquantur,They may be twisted
Passive Subjunctive,Imperfect,1st Person,Singular,contorquarer,contorquerer,contorquerer,contorquirer,I should be twisted
Passive Subjunctive,Imperfect,1st Person,Plural,contorquaremur,contorqueremur,contorqueremur,contorquiremur,We should be twisted
Passive Subjunctive,Imperfect,2nd Person,Singular,contorquareris,contorquereris,contorquereris,contorquireris,You would be twisted
