Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,dantio,dantieo,dantio,dantio,I dance
Active Indicative,Present,1st Person,Plural,dantiamus,dantiemus,dantimus,dantimus,We dance
Active Indicative,Present,2nd Person,Singular,dantias,danties,dantis,dantis,You dance
Active Indicative,Present,2nd Person,Plural,dantiatis,dantietis,dantitis,dantitis,You (pl.) dance
Active Indicative,Present,3rd Person,Singular,dantiat,dantiet,dantit,dantit,He/she/it dance
Active Indicative,Present,3rd Person,Plural,dantiant,dantient,dantiunt,dantiunt,They dance
Active Indicative,Imperfect,1st Person,Singular,dantiabam,dantiebam,dantiebam,dantiebam,I was danceing
Active Indicative,Imperfect,1st Person,Plural,dantiabamus,dantiebamus,dantiebamus,dantiebamus,We were danceing
Active Indicative,Imperfect,2nd Person,Singular,dantiabas,dantiebas,dantiebas,dantiebas,You were danceing
Active Indicative,Imperfect,2nd Person,Plural,dantiabatis,dantiebatis,dantiebatis,dantiebatis,You (pl.) were danceing
Active Indicative,Imperfect,3rd Person,Singular,dantiabat,dantiebat,dantiebat,dantiebat,He/she/it was danceing
Active Indicative,Imperfect,3rd Person,Plural,dantiabant,dantiebant,dantiebant,dantiebant,They were danceing
Active Indicative,Future,1st Person,Singular,dantiabo,dantiebo,dantiam,dantiam,I will dance
Active Indicative,Future,1st Person,Plural,dantiabimus,dantiebimus,dantiemus,dantiemus,We will dance
Active Indicative,Future,2nd Person,Singular,dantiabis,dantiebis,danties,danties,You will dance
Active Indicative,Future,2nd Person,Plural,dantiabitis,dantiebitis,dantietis,dantietis,You (pl.) will dance
Active Indicative,Future,3rd Person,Singular,dantiabit,dantiebit,dantiet,dantiet,He/she/it will dance
Active Indicative,Future,3rd Person,Plural,dantiabunt,dantiebunt,dantient,dantient,They will dance
Active Indicative,Perfect,1st Person,Singular,dantiavi,dantiui,danti,danti,I have danceed
Active Indicative,Perfect,1st Person,Plural,dantiavimus,dantiuimus,dantimus,dantimus,We have danceed
Active Indicative,Perfect,2nd Person,Singular,dantiavisti,dantiuisti,dantisti,dantisti,You have danceed
Active Indicative,Perfect,2nd Person,Plural,dantiavistis,dantiuistis,dantistis,dantistis,You (pl.) have danceed
Active Indicative,Perfect,3rd Person,Singular,dantiavit,dantiuit,dantit,dantit,He/she/it has danceed
Active Indicative,Perfect,3rd Person,Plural,dantiaverunt,dantiuerunt,dantierunt,dantierunt,They have danceed
Active Indicative,Pluperfect,1st Person,Singular,dantiaveram,dantiueram,dantieram,dantieram,I had danceed
Active Indicative,Pluperfect,1st Person,Plural,dantiaveramus,dantiueramus,dantieramus,dantieramus,We had danceed
Active Indicative,Pluperfect,2nd Person,Singular,dantiaveras,dantiueras,dantieras,dantieras,You had danceed
Active Indicative,Pluperfect,2nd Person,Plural,dantiaveratis,dantiueratis,dantieratis,dantieratis,You (pl.) had danceed
Active Indicative,Pluperfect,3rd Person,Singular,dantiaverat,dantiuerat,dantierat,dantierat,He/she/it had danceed
Active Indicative,Pluperfect,3rd Person,Plural,dantiaverant,dantiuerant,dantierant,dantierant,They had danceed
Active Indicative,Future Perfect,1st Person,Singular,dantiavero,dantiueero,dantiero,dantiero,I will have danceed
Active Indicative,Future Perfect,1st Person,Plural,dantiaverimus,dantiuerimus,dantierimus,dantierimus,We will have danceed
Active Indicative,Future Perfect,2nd Person,Singular,dantiaveris,dantiueris,dantieris,dantieris,You will have danceed
Active Indicative,Future Perfect,2nd Person,Plural,dantiaveritis,dantiueritis,dantieritis,dantieritis,You (pl.) will have danceed
Active Indicative,Future Perfect,3rd Person,Singular,dantiaverit,dantiuerit,dantierit,dantierit,He/she/it will have danceed
Active Indicative,Future Perfect,3rd Person,Plural,dantiaverint,dantiuerint,dantierint,dantierint,They will have danceed
Passive Indicative,Present,1st Person,Singular,dantior,dantieor,dantior,dantior,I am being danceed
Passive Indicative,Present,1st Person,Plural,dantiamur,dantiemur,dantimur,dantimur,We are being danceed
Passive Indicative,Present,2nd Person,Singular,dantiaris,dantieris,dantiris,dantiris,You are being danceed
Passive Indicative,Present,2nd Person,Plural,dantiamini,dantiemini,dantimini,dantimini,You (pl.) are being danceed
Passive Indicative,Present,3rd Person,Singular,dantiatur,dantietur,dantitur,dantitur,He/she/it is being danceed
Passive Indicative,Present,3rd Person,Plural,dantiantur,dantientur,dantiuntur,dantiuntur,They are being danceed
Passive Indicative,Imperfect,1st Person,Singular,dantiabar,dantiebar,dantiebar,dantiebar,I was danceed
Passive Indicative,Imperfect,1st Person,Plural,dantiabamur,dantiebamur,dantiebamur,dantiebamur,We were danceed
Passive Indicative,Imperfect,2nd Person,Singular,dantiabaris,dantiebaris,dantiebaris,dantiebaris,You were danceed
Passive Indicative,Imperfect,2nd Person,Plural,dantiabamini,dantiebamini,dantiebamini,dantiebamini,You (pl.) were danceed
Passive Indicative,Imperfect,3rd Person,Singular,dantiabatur,dantiebatur,dantiebatur,dantiebatur,He/she/it was danceed
Passive Indicative,Imperfect,3rd Person,Plural,dantiabantur,dantiebantur,dantiebantur,dantiebantur,They were danceed
Passive Indicative,Future,1st Person,Singular,dantiabor,dantiebor,dantiar,dantiar,I will be danceed
Passive Indicative,Future,1st Person,Plural,dantiabimur,dantiebimur,dantiemur,dantiemur,We will be danceed
Passive Indicative,Future,2nd Person,Singular,dantiaberis,dantieberis,dantieris,dantieris,You will be danceed
Passive Indicative,Future,2nd Person,Plural,dantiabimini,dantiebimini,dantiemini,dantiemini,You (pl.) will be danceed
Passive Indicative,Future,3rd Person,Singular,dantiabitur,dantiebitur,dantietur,dantietur,He/she/it will be danceed
Passive Indicative,Future,3rd Person,Plural,dantiabuntur,dantiebuntur,dantientur,dantientur,They will be danceed
Passive Indicative,Perfect,1st Person,Singular,dantiatus sum,dantietus sum,dantius sum,dantius sum,I have been danceed
Passive Indicative,Perfect,1st Person,Plural,dantiati sumus,dantieti sumus,danti sumus,danti sumus,We have been danceed
Passive Indicative,Perfect,2nd Person,Singular,dantiatus es,dantietus es,dantius es,dantius es,You have been danceed
Passive Indicative,Perfect,2nd Person,Plural,dantiati estis,dantieti estis,danti estis,danti estis,You (pl.) have been danceed
Passive Indicative,Perfect,3rd Person,Singular,dantiatus est,dantietus est,dantius est,dantius est,He/she/it has been danceed
Passive Indicative,Perfect,3rd Person,Plural,dantiati sunt,dantieti sunt,danti sunt,danti sunt,They have been danceed
Passive Indicative,Pluperfect,1st Person,Singular,dantiatus eram,dantietus eram,dantius eram,dantius eram,I had been danceed
Passive Indicative,Pluperfect,1st Person,Plural,dantiati eramus,dantieti eramus,danti eramus,danti eramus,We had been danceed
Passive Indicative,Pluperfect,2nd Person,Singular,dantiatus eras,dantietus eras,dantius eras,dantius eras,You had been danceed
Passive Indicative,Pluperfect,2nd Person,Plural,dantiati eratis,dantieti eratis,danti eratis,danti eratis,You (pl.) had been danceed
Passive Indicative,Pluperfect,3rd Person,Singular,dantiatus erat,dantietus erat,dantius erat,dantius erat,He/she/it had been danceed
Passive Indicative,Pluperfect,3rd Person,Plural,dantiati erant,dantieti erant,danti erant,danti erant,They had been danceed
Passive Indicative,Future Perfect,1st Person,Singular,dantiatus ero,dantietus ero,dantius ero,dantius ero,I will have been danceed
Passive Indicative,Future Perfect,1st Person,Plural,dantiati erimus,dantieti erimus,danti erimus,danti erimus,We will have been danceed
Passive Indicative,Future Perfect,2nd Person,Singular,dantiatus eris,dantietus eris,dantius eris,dantius eris,You will have been danceed
Passive Indicative,Future Perfect,2nd Person,Plural,dantiati eritis,dantieti eritis,danti eritis,danti eritis,You (pl.) will have been danceed
Passive Indicative,Future Perfect,3rd Person,Singular,dantiatus erit,dantietus erit,dantius erit,dantius erit,He/she/it will have been danceed
Passive Indicative,Future Perfect,3rd Person,Plural,dantiati erunt,dantieti erunt,danti erunt,danti erunt,They will have been danceed
Active Subjunctive,Present,1st Person,Singular,dantiem,dantiem,dantiam,dantiam,I may dance
Active Subjunctive,Present,1st Person,Plural,dantiemus,dantiemus,dantiamus,dantiamus,We may dance
