Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,delicatio,delicatieo,delicatio,delicatio,I thin
Active Indicative,Present,1st Person,Plural,delicatiamus,delicatiemus,delicatimus,delicatimus,We thin
Active Indicative,Present,2nd Person,Singular,delicatias,delicaties,delicatis,delicatis,You thin
Active Indicative,Present,2nd Person,Plural,delicatiatis,delicatietis,delicatitis,delicatitis,You (pl.) thin
Active Indicative,Present,3rd Person,Singular,delicatiat,delicatiet,delicatit,delicatit,He/she/it thin
Active Indicative,Present,3rd Person,Plural,delicatiant,delicatient,delicatiunt,delicatiunt,They thin
Active Indicative,Imperfect,1st Person,Singular,delicatiabam,delicatiebam,delicatiebam,delicatiebam,I was thining
Active Indicative,Imperfect,1st Person,Plural,delicatiabamus,delicatiebamus,delicatiebamus,delicatiebamus,We were thining
Active Indicative,Imperfect,2nd Person,Singular,delicatiabas,delicatiebas,delicatiebas,delicatiebas,You were thining
Active Indicative,Imperfect,2nd Person,Plural,delicatiabatis,delicatiebatis,delicatiebatis,delicatiebatis,You (pl.) were thining
Active Indicative,Imperfect,3rd Person,Singular,delicatiabat,delicatiebat,delicatiebat,delicatiebat,He/she/it was thining
Active Indicative,Imperfect,3rd Person,Plural,delicatiabant,delicatiebant,delicatiebant,delicatiebant,They were thining
Active Indicative,Future,1st Person,Singular,delicatiabo,delicatiebo,delicatiam,delicatiam,I will thin
Active Indicative,Future,1st Person,Plural,delicatiabimus,delicatiebimus,delicatiemus,delicatiemus,We will thin
Active Indicative,Future,2nd Person,Singular,delicatiabis,delicatiebis,delicaties,delicaties,You will thin
Active Indicative,Future,2nd Person,Plural,delicatiabitis,delicatiebitis,delicatietis,delicatietis,You (pl.) will thin
Active Indicative,Future,3rd Person,Singular,delicatiabit,delicatiebit,delicatiet,delicatiet,He/she/it will thin
Active Indicative,Future,3rd Person,Plural,delicatiabunt,delicatiebunt,delicatient,delicatient,They will thin
Active Indicative,Perfect,1st Person,Singular,delicatiavi,delicatiui,delicati,delicati,I have thined
Active Indicative,Perfect,1st Person,Plural,delicatiavimus,delicatiuimus,delicatimus,delicatimus,We have thined
Active Indicative,Perfect,2nd Person,Singular,delicatiavisti,delicatiuisti,delicatisti,delicatisti,You have thined
Active Indicative,Perfect,2nd Person,Plural,delicatiavistis,delicatiuistis,delicatistis,delicatistis,You (pl.) have thined
Active Indicative,Perfect,3rd Person,Singular,delicatiavit,delicatiuit,delicatit,delicatit,He/she/it has thined
Active Indicative,Perfect,3rd Person,Plural,delicatiaverunt,delicatiuerunt,delicatierunt,delicatierunt,They have thined
Active Indicative,Pluperfect,1st Person,Singular,delicatiaveram,delicatiueram,delicatieram,delicatieram,I had thined
Active Indicative,Pluperfect,1st Person,Plural,delicatiaveramus,delicatiueramus,delicatieramus,delicatieramus,We had thined
Active Indicative,Pluperfect,2nd Person,Singular,delicatiaveras,delicatiueras,delicatieras,delicatieras,You had thined
Active Indicative,Pluperfect,2nd Person,Plural,delicatiaveratis,delicatiueratis,delicatieratis,delicatieratis,You (pl.) had thined
Active Indicative,Pluperfect,3rd Person,Singular,delicatiaverat,delicatiuerat,delicatierat,delicatierat,He/she/it had thined
Active Indicative,Pluperfect,3rd Person,Plural,delicatiaverant,delicatiuerant,delicatierant,delicatierant,They had thined
Active Indicative,Future Perfect,1st Person,Singular,delicatiavero,delicatiueero,delicatiero,delicatiero,I will have thined
Active Indicative,Future Perfect,1st Person,Plural,delicatiaverimus,delicatiuerimus,delicatierimus,delicatierimus,We will have thined
Active Indicative,Future Perfect,2nd Person,Singular,delicatiaveris,delicatiueris,delicatieris,delicatieris,You will have thined
Active Indicative,Future Perfect,2nd Person,Plural,delicatiaveritis,delicatiueritis,delicatieritis,delicatieritis,You (pl.) will have thined
Active Indicative,Future Perfect,3rd Person,Singular,delicatiaverit,delicatiuerit,delicatierit,delicatierit,He/she/it will have thined
Active Indicative,Future Perfect,3rd Person,Plural,delicatiaverint,delicatiuerint,delicatierint,delicatierint,They will have thined
Passive Indicative,Present,1st Person,Singular,delicatior,delicatieor,delicatior,delicatior,I am being thined
Passive Indicative,Present,1st Person,Plural,delicatiamur,delicatiemur,delicatimur,delicatimur,We are being thined
Passive Indicative,Present,2nd Person,Singular,delicatiaris,delicatieris,delicatiris,delicatiris,You are being thined
Passive Indicative,Present,2nd Person,Plural,delicatiamini,delicatiemini,delicatimini,delicatimini,You (pl.) are being thined
Passive Indicative,Present,3rd Person,Singular,delicatiatur,delicatietur,delicatitur,delicatitur,He/she/it is being thined
Passive Indicative,Present,3rd Person,Plural,delicatiantur,delicatientur,delicatiuntur,delicatiuntur,They are being thined
Passive Indicative,Imperfect,1st Person,Singular,delicatiabar,delicatiebar,delicatiebar,delicatiebar,I was thined
Passive Indicative,Imperfect,1st Person,Plural,delicatiabamur,delicatiebamur,delicatiebamur,delicatiebamur,We were thined
Passive Indicative,Imperfect,2nd Person,Singular,delicatiabaris,delicatiebaris,delicatiebaris,delicatiebaris,You were thined
Passive Indicative,Imperfect,2nd Person,Plural,delicatiabamini,delicatiebamini,delicatiebamini,delicatiebamini,You (pl.) were thined
Passive Indicative,Imperfect,3rd Person,Singular,delicatiabatur,delicatiebatur,delicatiebatur,delicatiebatur,He/she/it was thined
Passive Indicative,Imperfect,3rd Person,Plural,delicatiabantur,delicatiebantur,delicatiebantur,delicatiebantur,They were thined
Passive Indicative,Future,1st Person,Singular,delicatiabor,delicatiebor,delicatiar,delicatiar,I will be thined
Passive Indicative,Future,1st Person,Plural,delicatiabimur,delicatiebimur,delicatiemur,delicatiemur,We will be thined
Passive Indicative,Future,2nd Person,Singular,delicatiaberis,delicatieberis,delicatieris,delicatieris,You will be thined
Passive Indicative,Future,2nd Person,Plural,delicatiabimini,delicatiebimini,delicatiemini,delicatiemini,You (pl.) will be thined
Passive Indicative,Future,3rd Person,Singular,delicatiabitur,delicatiebitur,delicatietur,delicatietur,He/she/it will be thined
Passive Indicative,Future,3rd Person,Plural,delicatiabuntur,delicatiebuntur,delicatientur,delicatientur,They will be thined
Passive Indicative,Perfect,1st Person,Singular,delicatiatus sum,delicatietus sum,delicatius sum,delicatius sum,I have been thined
Passive Indicative,Perfect,1st Person,Plural,delicatiati sumus,delicatieti sumus,delicati sumus,delicati sumus,We have been thined
Passive Indicative,Perfect,2nd Person,Singular,delicatiatus es,delicatietus es,delicatius es,delicatius es,You have been thined
Passive Indicative,Perfect,2nd Person,Plural,delicatiati estis,delicatieti estis,delicati estis,delicati estis,You (pl.) have been thined
Passive Indicative,Perfect,3rd Person,Singular,delicatiatus est,delicatietus est,delicatius est,delicatius est,He/she/it has been thined
Passive Indicative,Perfect,3rd Person,Plural,delicatiati sunt,delicatieti sunt,delicati sunt,delicati sunt,They have been thined
Passive Indicative,Pluperfect,1st Person,Singular,delicatiatus eram,delicatietus eram,delicatius eram,delicatius eram,I had been thined
Passive Indicative,Pluperfect,1st Person,Plural,delicatiati eramus,delicatieti eramus,delicati eramus,delicati eramus,We had been thined
Passive Indicative,Pluperfect,2nd Person,Singular,delicatiatus eras,delicatietus eras,delicatius eras,delicatius eras,You had been thined
Passive Indicative,Pluperfect,2nd Person,Plural,delicatiati eratis,delicatieti eratis,delicati eratis,delicati eratis,You (pl.) had been thined
Passive Indicative,Pluperfect,3rd Person,Singular,delicatiatus erat,delicatietus erat,delicatius erat,delicatius erat,He/she/it had been thined
Passive Indicative,Pluperfect,3rd Person,Plural,delicatiati erant,delicatieti erant,delicati erant,delicati erant,They had been thined
Passive Indicative,Future Perfect,1st Person,Singular,delicatiatus ero,delicatietus ero,delicatius ero,delicatius ero,I will have been thined
Passive Indicative,Future Perfect,1st Person,Plural,delicatiati erimus,delicatieti erimus,delicati erimus,delicati erimus,We will have been thined
Passive Indicative,Future Perfect,2nd Person,Singular,delicatiatus eris,delicatietus eris,delicatius eris,delicatius eris,You will have been thined
Passive Indicative,Future Perfect,2nd Person,Plural,delicatiati eritis,delicatieti eritis,delicati eritis,delicati eritis,You (pl.) will have been thined
Passive Indicative,Future Perfect,3rd Person,Singular,delicatiatus erit,delicatietus erit,delicatius erit,delicatius erit,He/she/it will have been thined
Passive Indicative,Future Perfect,3rd Person,Plural,delicatiati erunt,delicatieti erunt,delicati erunt,delicati erunt,They will have been thined
Active Subjunctive,Present,1st Person,Singular,delicatiem,delicatiem,delicatiam,delicatiam,I may thin
Active Subjunctive,Present,1st Person,Plural,delicatiemus,delicatiemus,delicatiamus,delicatiamus,We may thin
Active Subjunctive,Present,2nd Person,Singular,delicaties,delicaties,delicatias,delicatias,You may thin
Active Subjunctive,Present,2nd Person,Plural,delicatietis,delicatietis,delicatiatis,delicatiatis,You (pl.) may thin
Active Subjunctive,Present,3rd Person,Singular,delicatiet,delicatiet,delicatiat,delicatiat,He/she/it may thin
Active Subjunctive,Present,3rd Person,Plural,delicatient,delicatient,delicatiant,delicatiant,They may thin
Active Subjunctive,Imperfect,1st Person,Singular,delicatiarem,delicatierem,delicatierem,delicatirem,I should thin
Active Subjunctive,Imperfect,1st Person,Plural,delicatiaremus,delicatieremus,delicatieremus,delicatiremus,We should thin
Active Subjunctive,Imperfect,2nd Person,Singular,delicatiares,delicatieres,delicatieres,delicatires,You should thin
Active Subjunctive,Imperfect,2nd Person,Plural,delicatiaretis,delicatieretis,delicatieretis,delicatiretis,You (pl.) should thin
Active Subjunctive,Imperfect,3rd Person,Singular,delicatiaret,delicatieret,delicatieret,delicatiret,He/she/it should thin
Active Subjunctive,Imperfect,3rd Person,Plural,delicatiarent,delicatierent,delicatierent,delicatirent,They should thin
Active Subjunctive,Perfect,1st Person,Singular,delicatierim,delicatiuerim,delicatierim,delicatierim,I may have thined
Active Subjunctive,Perfect,1st Person,Plural,delicatierimus,delicatiuerimus,delicatierimus,delicatierimus,We may have thined
Active Subjunctive,Perfect,2nd Person,Singular,delicatieris,delicatiueris,delicatieris,delicatieris,You may have thined
Active Subjunctive,Perfect,2nd Person,Plural,delicatieritis,delicatiueritis,delicatieritis,delicatieritis,You (pl.) may have thined
Active Subjunctive,Perfect,3rd Person,Singular,delicatierit,delicatiuerit,delicatierit,delicatierit,He/she/it may have thined
Active Subjunctive,Perfect,3rd Person,Plural,delicatierint,delicatiuerint,delicatierint,delicatierint,They may have thined
Active Subjunctive,Pluperfect,1st Person,Singular,delicatissem,delicatiuissem,delicatissem,delicatissem,I should have thined
Active Subjunctive,Pluperfect,1st Person,Plural,delicatissemus,delicatiuissemus,delicatissemus,delicatissemus,We should have thined
Active Subjunctive,Pluperfect,2nd Person,Singular,delicatisses,delicatiuisses,delicatisses,delicatisses,You would have thined
Active Subjunctive,Pluperfect,2nd Person,Plural,delicatissetis,delicatiuissetis,delicatissetis,delicatissetis,You (pl.) would have thined
Active Subjunctive,Pluperfect,3rd Person,Singular,delicatisset,delicatiuisset,delicatisset,delicatisset,He/she/it would have thined
Active Subjunctive,Pluperfect,3rd Person,Plural,delicatissent,delicatiuissent,delicatissent,delicatissent,They would have thined
Passive Subjunctive,Present,1st Person,Singular,delicatier,delicatier,delicatiar,delicatiar,I may be thined
Passive Subjunctive,Present,1st Person,Plural,delicatiemur,delicatiemur,delicatiamur,delicatiamur,We may be thined
Passive Subjunctive,Present,2nd Person,Singular,delicatieris,delicatieris,delicatiaris,delicatiaris,You may be thined
Passive Subjunctive,Present,2nd Person,Plural,delicatiemini,delicatiemini,delicatiamini,delicatiamini,You (pl.) may be thined
Passive Subjunctive,Present,3rd Person,Singular,delicatietur,delicatietur,delicatiatur,delicatiatur,He/she/it may be thined
Passive Subjunctive,Present,3rd Person,Plural,delicatientur,delicatientur,delicatiantur,delicatiantur,They may be thined
Passive Subjunctive,Imperfect,1st Person,Singular,delicatiarer,delicatierer,delicatierer,delicatirer,I should be thined
Passive Subjunctive,Imperfect,1st Person,Plural,delicatiaremur,delicatieremur,delicatieremur,delicatiremur,We should be thined
Passive Subjunctive,Imperfect,2nd Person,Singular,delicatiareris,delicatiereris,delicatiereris,delicatireris,You would be thined
Passive Subjunctive,Imperfect,2nd Person,Plural,delicatiaremini,delicatieremini,delicatieremini,delicatiremini,You (pl.) would be thined
Passive Subjunctive,Imperfect,3rd Person,Singular,delicatiaretur,delicatieretur,delicatieretur,delicatiretur,He/she/it would be thined
Passive Subjunctive,Imperfect,3rd Person,Plural,delicatiarentur,delicatierentur,delicatierentur,delicatirentur,They would be thined
Passive Subjunctive,Perfect,1st Person,Singular,delicatiatus sim,delicatietus sim,delicatius sim,delicatius sim,I may have been thined
Passive Subjunctive,Perfect,1st Person,Plural,delicatiati simus,delicatieti simus,delicati simus,delicati simus,We may have been thined
Passive Subjunctive,Perfect,2nd Person,Singular,delicatiatus sis,delicatietus sis,delicatius sis,delicatius sis,You may have been thined
Passive Subjunctive,Perfect,2nd Person,Plural,delicatiati sitis,delicatieti sitis,delicati sitis,delicati sitis,You (pl.) may have been thined
Passive Subjunctive,Perfect,3rd Person,Singular,delicatiatus sit,delicatietus sit,delicatius sit,delicatius sit,He/she/it may have been thined
Passive Subjunctive,Perfect,3rd Person,Plural,delicatiati sint,delicatieti sint,delicati sint,delicati sint,They may have been thined
Passive Subjunctive,Pluperfect,1st Person,Singular,delicatiatus essem,delicatietus essem,delicatius essem,delicatius essem,I should have been thined
Passive Subjunctive,Pluperfect,1st Person,Plural,delicatiati essemus,delicatieti essemus,delicati essemus,delicati essemus,We should have been thined
Passive Subjunctive,Pluperfect,2nd Person,Singular,delicatiatus esses,delicatietus esses,delicatius esses,delicatius esses,You would have been thined
Passive Subjunctive,Pluperfect,2nd Person,Plural,delicatiati essetis,delicatieti essetis,delicati essetis,delicati essetis,You (pl.) would have been thined
Passive Subjunctive,Pluperfect,3rd Person,Singular,delicatiatus esset,delicatietus esset,delicatius esset,delicatius esset,He/she/it would have been thined
Passive Subjunctive,Pluperfect,3rd Person,Plural,delicatiati essent,delicatieti essent,delicati essent,delicati essent,They would have been thined
