Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,demetio,demetieo,demetio,demetio,I measure
Active Indicative,Present,1st Person,Plural,demetiamus,demetiemus,demetimus,demetimus,We measure
Active Indicative,Present,2nd Person,Singular,demetias,demeties,demetis,demetis,You measure
Active Indicative,Present,2nd Person,Plural,demetiatis,demetietis,demetitis,demetitis,You (pl.) measure
Active Indicative,Present,3rd Person,Singular,demetiat,demetiet,demetit,demetit,He/she/it measure
Active Indicative,Present,3rd Person,Plural,demetiant,demetient,demetiunt,demetiunt,They measure
Active Indicative,Imperfect,1st Person,Singular,demetiabam,demetiebam,demetiebam,demetiebam,I was measureing
Active Indicative,Imperfect,1st Person,Plural,demetiabamus,demetiebamus,demetiebamus,demetiebamus,We were measureing
Active Indicative,Imperfect,2nd Person,Singular,demetiabas,demetiebas,demetiebas,demetiebas,You were measureing
Active Indicative,Imperfect,2nd Person,Plural,demetiabatis,demetiebatis,demetiebatis,demetiebatis,You (pl.) were measureing
Active Indicative,Imperfect,3rd Person,Singular,demetiabat,demetiebat,demetiebat,demetiebat,He/she/it was measureing
Active Indicative,Imperfect,3rd Person,Plural,demetiabant,demetiebant,demetiebant,demetiebant,They were measureing
Active Indicative,Future,1st Person,Singular,demetiabo,demetiebo,demetiam,demetiam,I will measure
Active Indicative,Future,1st Person,Plural,demetiabimus,demetiebimus,demetiemus,demetiemus,We will measure
Active Indicative,Future,2nd Person,Singular,demetiabis,demetiebis,demeties,demeties,You will measure
Active Indicative,Future,2nd Person,Plural,demetiabitis,demetiebitis,demetietis,demetietis,You (pl.) will measure
Active Indicative,Future,3rd Person,Singular,demetiabit,demetiebit,demetiet,demetiet,He/she/it will measure
Active Indicative,Future,3rd Person,Plural,demetiabunt,demetiebunt,demetient,demetient,They will measure
Active Indicative,Perfect,1st Person,Singular,demetiavi,demetiui,demeti,demeti,I have measureed
Active Indicative,Perfect,1st Person,Plural,demetiavimus,demetiuimus,demetimus,demetimus,We have measureed
Active Indicative,Perfect,2nd Person,Singular,demetiavisti,demetiuisti,demetisti,demetisti,You have measureed
Active Indicative,Perfect,2nd Person,Plural,demetiavistis,demetiuistis,demetistis,demetistis,You (pl.) have measureed
Active Indicative,Perfect,3rd Person,Singular,demetiavit,demetiuit,demetit,demetit,He/she/it has measureed
Active Indicative,Perfect,3rd Person,Plural,demetiaverunt,demetiuerunt,demetierunt,demetierunt,They have measureed
Active Indicative,Pluperfect,1st Person,Singular,demetiaveram,demetiueram,demetieram,demetieram,I had measureed
Active Indicative,Pluperfect,1st Person,Plural,demetiaveramus,demetiueramus,demetieramus,demetieramus,We had measureed
Active Indicative,Pluperfect,2nd Person,Singular,demetiaveras,demetiueras,demetieras,demetieras,You had measureed
Active Indicative,Pluperfect,2nd Person,Plural,demetiaveratis,demetiueratis,demetieratis,demetieratis,You (pl.) had measureed
Active Indicative,Pluperfect,3rd Person,Singular,demetiaverat,demetiuerat,demetierat,demetierat,He/she/it had measureed
Active Indicative,Pluperfect,3rd Person,Plural,demetiaverant,demetiuerant,demetierant,demetierant,They had measureed
Active Indicative,Future Perfect,1st Person,Singular,demetiavero,demetiueero,demetiero,demetiero,I will have measureed
Active Indicative,Future Perfect,1st Person,Plural,demetiaverimus,demetiuerimus,demetierimus,demetierimus,We will have measureed
Active Indicative,Future Perfect,2nd Person,Singular,demetiaveris,demetiueris,demetieris,demetieris,You will have measureed
Active Indicative,Future Perfect,2nd Person,Plural,demetiaveritis,demetiueritis,demetieritis,demetieritis,You (pl.) will have measureed
Active Indicative,Future Perfect,3rd Person,Singular,demetiaverit,demetiuerit,demetierit,demetierit,He/she/it will have measureed
Active Indicative,Future Perfect,3rd Person,Plural,demetiaverint,demetiuerint,demetierint,demetierint,They will have measureed
Passive Indicative,Present,1st Person,Singular,demetior,demetieor,demetior,demetior,I am being measureed
Passive Indicative,Present,1st Person,Plural,demetiamur,demetiemur,demetimur,demetimur,We are being measureed
Passive Indicative,Present,2nd Person,Singular,demetiaris,demetieris,demetiris,demetiris,You are being measureed
Passive Indicative,Present,2nd Person,Plural,demetiamini,demetiemini,demetimini,demetimini,You (pl.) are being measureed
Passive Indicative,Present,3rd Person,Singular,demetiatur,demetietur,demetitur,demetitur,He/she/it is being measureed
Passive Indicative,Present,3rd Person,Plural,demetiantur,demetientur,demetiuntur,demetiuntur,They are being measureed
Passive Indicative,Imperfect,1st Person,Singular,demetiabar,demetiebar,demetiebar,demetiebar,I was measureed
Passive Indicative,Imperfect,1st Person,Plural,demetiabamur,demetiebamur,demetiebamur,demetiebamur,We were measureed
Passive Indicative,Imperfect,2nd Person,Singular,demetiabaris,demetiebaris,demetiebaris,demetiebaris,You were measureed
Passive Indicative,Imperfect,2nd Person,Plural,demetiabamini,demetiebamini,demetiebamini,demetiebamini,You (pl.) were measureed
Passive Indicative,Imperfect,3rd Person,Singular,demetiabatur,demetiebatur,demetiebatur,demetiebatur,He/she/it was measureed
Passive Indicative,Imperfect,3rd Person,Plural,demetiabantur,demetiebantur,demetiebantur,demetiebantur,They were measureed
Passive Indicative,Future,1st Person,Singular,demetiabor,demetiebor,demetiar,demetiar,I will be measureed
Passive Indicative,Future,1st Person,Plural,demetiabimur,demetiebimur,demetiemur,demetiemur,We will be measureed
Passive Indicative,Future,2nd Person,Singular,demetiaberis,demetieberis,demetieris,demetieris,You will be measureed
Passive Indicative,Future,2nd Person,Plural,demetiabimini,demetiebimini,demetiemini,demetiemini,You (pl.) will be measureed
Passive Indicative,Future,3rd Person,Singular,demetiabitur,demetiebitur,demetietur,demetietur,He/she/it will be measureed
Passive Indicative,Future,3rd Person,Plural,demetiabuntur,demetiebuntur,demetientur,demetientur,They will be measureed
Passive Indicative,Perfect,1st Person,Singular,demetiatus sum,demetietus sum,demetius sum,demetius sum,I have been measureed
Passive Indicative,Perfect,1st Person,Plural,demetiati sumus,demetieti sumus,demeti sumus,demeti sumus,We have been measureed
Passive Indicative,Perfect,2nd Person,Singular,demetiatus es,demetietus es,demetius es,demetius es,You have been measureed
Passive Indicative,Perfect,2nd Person,Plural,demetiati estis,demetieti estis,demeti estis,demeti estis,You (pl.) have been measureed
Passive Indicative,Perfect,3rd Person,Singular,demetiatus est,demetietus est,demetius est,demetius est,He/she/it has been measureed
Passive Indicative,Perfect,3rd Person,Plural,demetiati sunt,demetieti sunt,demeti sunt,demeti sunt,They have been measureed
Passive Indicative,Pluperfect,1st Person,Singular,demetiatus eram,demetietus eram,demetius eram,demetius eram,I had been measureed
Passive Indicative,Pluperfect,1st Person,Plural,demetiati eramus,demetieti eramus,demeti eramus,demeti eramus,We had been measureed
Passive Indicative,Pluperfect,2nd Person,Singular,demetiatus eras,demetietus eras,demetius eras,demetius eras,You had been measureed
Passive Indicative,Pluperfect,2nd Person,Plural,demetiati eratis,demetieti eratis,demeti eratis,demeti eratis,You (pl.) had been measureed
Passive Indicative,Pluperfect,3rd Person,Singular,demetiatus erat,demetietus erat,demetius erat,demetius erat,He/she/it had been measureed
Passive Indicative,Pluperfect,3rd Person,Plural,demetiati erant,demetieti erant,demeti erant,demeti erant,They had been measureed
Passive Indicative,Future Perfect,1st Person,Singular,demetiatus ero,demetietus ero,demetius ero,demetius ero,I will have been measureed
Passive Indicative,Future Perfect,1st Person,Plural,demetiati erimus,demetieti erimus,demeti erimus,demeti erimus,We will have been measureed
Passive Indicative,Future Perfect,2nd Person,Singular,demetiatus eris,demetietus eris,demetius eris,demetius eris,You will have been measureed
Passive Indicative,Future Perfect,2nd Person,Plural,demetiati eritis,demetieti eritis,demeti eritis,demeti eritis,You (pl.) will have been measureed
Passive Indicative,Future Perfect,3rd Person,Singular,demetiatus erit,demetietus erit,demetius erit,demetius erit,He/she/it will have been measureed
Passive Indicative,Future Perfect,3rd Person,Plural,demetiati erunt,demetieti erunt,demeti erunt,demeti erunt,They will have been measureed
Active Subjunctive,Present,1st Person,Singular,demetiem,demetiem,demetiam,demetiam,I may measure
Active Subjunctive,Present,1st Person,Plural,demetiemus,demetiemus,demetiamus,demetiamus,We may measure
Active Subjunctive,Present,2nd Person,Singular,demeties,demeties,demetias,demetias,You may measure
Active Subjunctive,Present,2nd Person,Plural,demetietis,demetietis,demetiatis,demetiatis,You (pl.) may measure
Active Subjunctive,Present,3rd Person,Singular,demetiet,demetiet,demetiat,demetiat,He/she/it may measure
Active Subjunctive,Present,3rd Person,Plural,demetient,demetient,demetiant,demetiant,They may measure
Active Subjunctive,Imperfect,1st Person,Singular,demetiarem,demetierem,demetierem,demetirem,I should measure
Active Subjunctive,Imperfect,1st Person,Plural,demetiaremus,demetieremus,demetieremus,demetiremus,We should measure
Active Subjunctive,Imperfect,2nd Person,Singular,demetiares,demetieres,demetieres,demetires,You should measure
Active Subjunctive,Imperfect,2nd Person,Plural,demetiaretis,demetieretis,demetieretis,demetiretis,You (pl.) should measure
Active Subjunctive,Imperfect,3rd Person,Singular,demetiaret,demetieret,demetieret,demetiret,He/she/it should measure
Active Subjunctive,Imperfect,3rd Person,Plural,demetiarent,demetierent,demetierent,demetirent,They should measure
Active Subjunctive,Perfect,1st Person,Singular,demetierim,demetiuerim,demetierim,demetierim,I may have measureed
Active Subjunctive,Perfect,1st Person,Plural,demetierimus,demetiuerimus,demetierimus,demetierimus,We may have measureed
Active Subjunctive,Perfect,2nd Person,Singular,demetieris,demetiueris,demetieris,demetieris,You may have measureed
Active Subjunctive,Perfect,2nd Person,Plural,demetieritis,demetiueritis,demetieritis,demetieritis,You (pl.) may have measureed
Active Subjunctive,Perfect,3rd Person,Singular,demetierit,demetiuerit,demetierit,demetierit,He/she/it may have measureed
Active Subjunctive,Perfect,3rd Person,Plural,demetierint,demetiuerint,demetierint,demetierint,They may have measureed
