Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,demoliro,demolireo,demoliro,demolirio,I demolish
Active Indicative,Present,1st Person,Plural,demoliramus,demoliremus,demolirimus,demolirimus,We demolish
Active Indicative,Present,2nd Person,Singular,demoliras,demolires,demoliris,demoliris,You demolish
Active Indicative,Present,2nd Person,Plural,demoliratis,demoliretis,demoliritis,demoliritis,You (pl.) demolish
Active Indicative,Present,3rd Person,Singular,demolirat,demoliret,demolirit,demolirit,He/she/it demolish
Active Indicative,Present,3rd Person,Plural,demolirant,demolirent,demoliriunt,demoliriunt,They demolish
Active Indicative,Imperfect,1st Person,Singular,demolirabam,demolirebam,demolirebam,demoliriebam,I was demolishing
Active Indicative,Imperfect,1st Person,Plural,demolirabamus,demolirebamus,demolirebamus,demoliriebamus,We were demolishing
Active Indicative,Imperfect,2nd Person,Singular,demolirabas,demolirebas,demolirebas,demoliriebas,You were demolishing
Active Indicative,Imperfect,2nd Person,Plural,demolirabatis,demolirebatis,demolirebatis,demoliriebatis,You (pl.) were demolishing
Active Indicative,Imperfect,3rd Person,Singular,demolirabat,demolirebat,demolirebat,demoliriebat,He/she/it was demolishing
Active Indicative,Imperfect,3rd Person,Plural,demolirabant,demolirebant,demolirebant,demoliriebant,They were demolishing
Active Indicative,Future,1st Person,Singular,demolirabo,demolirebo,demoliram,demoliriam,I will demolish
Active Indicative,Future,1st Person,Plural,demolirabimus,demolirebimus,demoliremus,demoliriemus,We will demolish
Active Indicative,Future,2nd Person,Singular,demolirabis,demolirebis,demolires,demoliries,You will demolish
Active Indicative,Future,2nd Person,Plural,demolirabitis,demolirebitis,demoliretis,demolirietis,You (pl.) will demolish
Active Indicative,Future,3rd Person,Singular,demolirabit,demolirebit,demoliret,demoliriet,He/she/it will demolish
Active Indicative,Future,3rd Person,Plural,demolirabunt,demolirebunt,demolirent,demolirient,They will demolish
Active Indicative,Perfect,1st Person,Singular,demoliravi,demolirui,demoliri,demoliri,I have demolished
Active Indicative,Perfect,1st Person,Plural,demoliravimus,demoliruimus,demolirimus,demolirimus,We have demolished
Active Indicative,Perfect,2nd Person,Singular,demoliravisti,demoliruisti,demoliristi,demoliristi,You have demolished
Active Indicative,Perfect,2nd Person,Plural,demoliravistis,demoliruistis,demoliristis,demoliristis,You (pl.) have demolished
Active Indicative,Perfect,3rd Person,Singular,demoliravit,demoliruit,demolirit,demolirit,He/she/it has demolished
Active Indicative,Perfect,3rd Person,Plural,demoliraverunt,demoliruerunt,demolirerunt,demolirerunt,They have demolished
Active Indicative,Pluperfect,1st Person,Singular,demoliraveram,demolirueram,demolireram,demolireram,I had demolished
Active Indicative,Pluperfect,1st Person,Plural,demoliraveramus,demolirueramus,demolireramus,demolireramus,We had demolished
Active Indicative,Pluperfect,2nd Person,Singular,demoliraveras,demolirueras,demolireras,demolireras,You had demolished
Active Indicative,Pluperfect,2nd Person,Plural,demoliraveratis,demolirueratis,demolireratis,demolireratis,You (pl.) had demolished
Active Indicative,Pluperfect,3rd Person,Singular,demoliraverat,demoliruerat,demolirerat,demolirerat,He/she/it had demolished
Active Indicative,Pluperfect,3rd Person,Plural,demoliraverant,demoliruerant,demolirerant,demolirerant,They had demolished
Active Indicative,Future Perfect,1st Person,Singular,demoliravero,demolirueero,demolirero,demoliriero,I will have demolished
Active Indicative,Future Perfect,1st Person,Plural,demoliraverimus,demoliruerimus,demolirerimus,demolirierimus,We will have demolished
Active Indicative,Future Perfect,2nd Person,Singular,demoliraveris,demolirueris,demolireris,demolirieris,You will have demolished
Active Indicative,Future Perfect,2nd Person,Plural,demoliraveritis,demolirueritis,demolireritis,demolirieritis,You (pl.) will have demolished
Active Indicative,Future Perfect,3rd Person,Singular,demoliraverit,demoliruerit,demolirerit,demolirierit,He/she/it will have demolished
Active Indicative,Future Perfect,3rd Person,Plural,demoliraverint,demoliruerint,demolirerint,demolirierint,They will have demolished
Passive Indicative,Present,1st Person,Singular,demoliror,demolireor,demoliror,demolirior,I am being demolished
Passive Indicative,Present,1st Person,Plural,demoliramur,demoliremur,demolirimur,demolirimur,We are being demolished
Passive Indicative,Present,2nd Person,Singular,demoliraris,demolireris,demoliriris,demoliriris,You are being demolished
Passive Indicative,Present,2nd Person,Plural,demoliramini,demoliremini,demolirimini,demolirimini,You (pl.) are being demolished
Passive Indicative,Present,3rd Person,Singular,demoliratur,demoliretur,demoliritur,demoliritur,He/she/it is being demolished
Passive Indicative,Present,3rd Person,Plural,demolirantur,demolirentur,demoliriuntur,demoliriuntur,They are being demolished
Passive Indicative,Imperfect,1st Person,Singular,demolirabar,demolirebar,demolirebar,demoliriebar,I was demolished
Passive Indicative,Imperfect,1st Person,Plural,demolirabamur,demolirebamur,demolirebamur,demoliriebamur,We were demolished
Passive Indicative,Imperfect,2nd Person,Singular,demolirabaris,demolirebaris,demolirebaris,demoliriebaris,You were demolished
Passive Indicative,Imperfect,2nd Person,Plural,demolirabamini,demolirebamini,demolirebamini,demoliriebamini,You (pl.) were demolished
Passive Indicative,Imperfect,3rd Person,Singular,demolirabatur,demolirebatur,demolirebatur,demoliriebatur,He/she/it was demolished
Passive Indicative,Imperfect,3rd Person,Plural,demolirabantur,demolirebantur,demolirebantur,demoliriebantur,They were demolished
Passive Indicative,Future,1st Person,Singular,demolirabor,demolirebor,demolirar,demoliriar,I will be demolished
Passive Indicative,Future,1st Person,Plural,demolirabimur,demolirebimur,demoliremur,demoliriemur,We will be demolished
Passive Indicative,Future,2nd Person,Singular,demoliraberis,demolireberis,demolireris,demolirieris,You will be demolished
Passive Indicative,Future,2nd Person,Plural,demolirabimini,demolirebimini,demoliremini,demoliriemini,You (pl.) will be demolished
Passive Indicative,Future,3rd Person,Singular,demolirabitur,demolirebitur,demoliretur,demolirietur,He/she/it will be demolished
Passive Indicative,Future,3rd Person,Plural,demolirabuntur,demolirebuntur,demolirentur,demolirientur,They will be demolished
Passive Indicative,Perfect,1st Person,Singular,demoliratus sum,demoliretus sum,demolirus sum,demolirus sum,I have been demolished
Passive Indicative,Perfect,1st Person,Plural,demolirati sumus,demolireti sumus,demoliri sumus,demoliri sumus,We have been demolished
Passive Indicative,Perfect,2nd Person,Singular,demoliratus es,demoliretus es,demolirus es,demolirus es,You have been demolished
Passive Indicative,Perfect,2nd Person,Plural,demolirati estis,demolireti estis,demoliri estis,demoliri estis,You (pl.) have been demolished
Passive Indicative,Perfect,3rd Person,Singular,demoliratus est,demoliretus est,demolirus est,demolirus est,He/she/it has been demolished
Passive Indicative,Perfect,3rd Person,Plural,demolirati sunt,demolireti sunt,demoliri sunt,demoliri sunt,They have been demolished
