Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,dereno,dereneo,dereno,derenio,I wear out
Active Indicative,Present,1st Person,Plural,derenamus,derenemus,derenimus,derenimus,We wear out
Active Indicative,Present,2nd Person,Singular,derenas,derenes,derenis,derenis,You wear out
Active Indicative,Present,2nd Person,Plural,derenatis,derenetis,derenitis,derenitis,You (pl.) wear out
Active Indicative,Present,3rd Person,Singular,derenat,derenet,derenit,derenit,He/she/it wear out
Active Indicative,Present,3rd Person,Plural,derenant,derenent,dereniunt,dereniunt,They wear out
Active Indicative,Imperfect,1st Person,Singular,derenabam,derenebam,derenebam,dereniebam,I was wear outing
Active Indicative,Imperfect,1st Person,Plural,derenabamus,derenebamus,derenebamus,dereniebamus,We were wear outing
Active Indicative,Imperfect,2nd Person,Singular,derenabas,derenebas,derenebas,dereniebas,You were wear outing
Active Indicative,Imperfect,2nd Person,Plural,derenabatis,derenebatis,derenebatis,dereniebatis,You (pl.) were wear outing
Active Indicative,Imperfect,3rd Person,Singular,derenabat,derenebat,derenebat,dereniebat,He/she/it was wear outing
Active Indicative,Imperfect,3rd Person,Plural,derenabant,derenebant,derenebant,dereniebant,They were wear outing
Active Indicative,Future,1st Person,Singular,derenabo,derenebo,derenam,dereniam,I will wear out
Active Indicative,Future,1st Person,Plural,derenabimus,derenebimus,derenemus,dereniemus,We will wear out
Active Indicative,Future,2nd Person,Singular,derenabis,derenebis,derenes,derenies,You will wear out
Active Indicative,Future,2nd Person,Plural,derenabitis,derenebitis,derenetis,derenietis,You (pl.) will wear out
Active Indicative,Future,3rd Person,Singular,derenabit,derenebit,derenet,dereniet,He/she/it will wear out
Active Indicative,Future,3rd Person,Plural,derenabunt,derenebunt,derenent,derenient,They will wear out
Active Indicative,Perfect,1st Person,Singular,derenavi,derenui,dereni,dereni,I have wear outed
Active Indicative,Perfect,1st Person,Plural,derenavimus,derenuimus,derenimus,derenimus,We have wear outed
Active Indicative,Perfect,2nd Person,Singular,derenavisti,derenuisti,derenisti,derenisti,You have wear outed
Active Indicative,Perfect,2nd Person,Plural,derenavistis,derenuistis,derenistis,derenistis,You (pl.) have wear outed
Active Indicative,Perfect,3rd Person,Singular,derenavit,derenuit,derenit,derenit,He/she/it has wear outed
Active Indicative,Perfect,3rd Person,Plural,derenaverunt,derenuerunt,derenerunt,derenerunt,They have wear outed
Active Indicative,Pluperfect,1st Person,Singular,derenaveram,derenueram,dereneram,dereneram,I had wear outed
Active Indicative,Pluperfect,1st Person,Plural,derenaveramus,derenueramus,dereneramus,dereneramus,We had wear outed
Active Indicative,Pluperfect,2nd Person,Singular,derenaveras,derenueras,dereneras,dereneras,You had wear outed
Active Indicative,Pluperfect,2nd Person,Plural,derenaveratis,derenueratis,dereneratis,dereneratis,You (pl.) had wear outed
Active Indicative,Pluperfect,3rd Person,Singular,derenaverat,derenuerat,derenerat,derenerat,He/she/it had wear outed
Active Indicative,Pluperfect,3rd Person,Plural,derenaverant,derenuerant,derenerant,derenerant,They had wear outed
Active Indicative,Future Perfect,1st Person,Singular,derenavero,derenueero,derenero,dereniero,I will have wear outed
Active Indicative,Future Perfect,1st Person,Plural,derenaverimus,derenuerimus,derenerimus,derenierimus,We will have wear outed
Active Indicative,Future Perfect,2nd Person,Singular,derenaveris,derenueris,dereneris,derenieris,You will have wear outed
Active Indicative,Future Perfect,2nd Person,Plural,derenaveritis,derenueritis,dereneritis,derenieritis,You (pl.) will have wear outed
Active Indicative,Future Perfect,3rd Person,Singular,derenaverit,derenuerit,derenerit,derenierit,He/she/it will have wear outed
Active Indicative,Future Perfect,3rd Person,Plural,derenaverint,derenuerint,derenerint,derenierint,They will have wear outed
Passive Indicative,Present,1st Person,Singular,derenor,dereneor,derenor,derenior,I am being wear outed
Passive Indicative,Present,1st Person,Plural,derenamur,derenemur,derenimur,derenimur,We are being wear outed
Passive Indicative,Present,2nd Person,Singular,derenaris,dereneris,dereniris,dereniris,You are being wear outed
Passive Indicative,Present,2nd Person,Plural,derenamini,derenemini,derenimini,derenimini,You (pl.) are being wear outed
Passive Indicative,Present,3rd Person,Singular,derenatur,derenetur,derenitur,derenitur,He/she/it is being wear outed
Passive Indicative,Present,3rd Person,Plural,derenantur,derenentur,dereniuntur,dereniuntur,They are being wear outed
Passive Indicative,Imperfect,1st Person,Singular,derenabar,derenebar,derenebar,dereniebar,I was wear outed
Passive Indicative,Imperfect,1st Person,Plural,derenabamur,derenebamur,derenebamur,dereniebamur,We were wear outed
Passive Indicative,Imperfect,2nd Person,Singular,derenabaris,derenebaris,derenebaris,dereniebaris,You were wear outed
Passive Indicative,Imperfect,2nd Person,Plural,derenabamini,derenebamini,derenebamini,dereniebamini,You (pl.) were wear outed
Passive Indicative,Imperfect,3rd Person,Singular,derenabatur,derenebatur,derenebatur,dereniebatur,He/she/it was wear outed
Passive Indicative,Imperfect,3rd Person,Plural,derenabantur,derenebantur,derenebantur,dereniebantur,They were wear outed
Passive Indicative,Future,1st Person,Singular,derenabor,derenebor,derenar,dereniar,I will be wear outed
Passive Indicative,Future,1st Person,Plural,derenabimur,derenebimur,derenemur,dereniemur,We will be wear outed
Passive Indicative,Future,2nd Person,Singular,derenaberis,dereneberis,dereneris,derenieris,You will be wear outed
Passive Indicative,Future,2nd Person,Plural,derenabimini,derenebimini,derenemini,dereniemini,You (pl.) will be wear outed
Passive Indicative,Future,3rd Person,Singular,derenabitur,derenebitur,derenetur,derenietur,He/she/it will be wear outed
Passive Indicative,Future,3rd Person,Plural,derenabuntur,derenebuntur,derenentur,derenientur,They will be wear outed
Passive Indicative,Perfect,1st Person,Singular,derenatus sum,derenetus sum,derenus sum,derenus sum,I have been wear outed
Passive Indicative,Perfect,1st Person,Plural,derenati sumus,dereneti sumus,dereni sumus,dereni sumus,We have been wear outed
Passive Indicative,Perfect,2nd Person,Singular,derenatus es,derenetus es,derenus es,derenus es,You have been wear outed
Passive Indicative,Perfect,2nd Person,Plural,derenati estis,dereneti estis,dereni estis,dereni estis,You (pl.) have been wear outed
Passive Indicative,Perfect,3rd Person,Singular,derenatus est,derenetus est,derenus est,derenus est,He/she/it has been wear outed
Passive Indicative,Perfect,3rd Person,Plural,derenati sunt,dereneti sunt,dereni sunt,dereni sunt,They have been wear outed
Passive Indicative,Pluperfect,1st Person,Singular,derenatus eram,derenetus eram,derenus eram,derenus eram,I had been wear outed
Passive Indicative,Pluperfect,1st Person,Plural,derenati eramus,dereneti eramus,dereni eramus,dereni eramus,We had been wear outed
Passive Indicative,Pluperfect,2nd Person,Singular,derenatus eras,derenetus eras,derenus eras,derenus eras,You had been wear outed
Passive Indicative,Pluperfect,2nd Person,Plural,derenati eratis,dereneti eratis,dereni eratis,dereni eratis,You (pl.) had been wear outed
Passive Indicative,Pluperfect,3rd Person,Singular,derenatus erat,derenetus erat,derenus erat,derenus erat,He/she/it had been wear outed
Passive Indicative,Pluperfect,3rd Person,Plural,derenati erant,dereneti erant,dereni erant,dereni erant,They had been wear outed
Passive Indicative,Future Perfect,1st Person,Singular,derenatus ero,derenetus ero,derenus ero,derenus ero,I will have been wear outed
Passive Indicative,Future Perfect,1st Person,Plural,derenati erimus,dereneti erimus,dereni erimus,dereni erimus,We will have been wear outed
Passive Indicative,Future Perfect,2nd Person,Singular,derenatus eris,derenetus eris,derenus eris,derenus eris,You will have been wear outed
Passive Indicative,Future Perfect,2nd Person,Plural,derenati eritis,dereneti eritis,dereni eritis,dereni eritis,You (pl.) will have been wear outed
Passive Indicative,Future Perfect,3rd Person,Singular,derenatus erit,derenetus erit,derenus erit,derenus erit,He/she/it will have been wear outed
Passive Indicative,Future Perfect,3rd Person,Plural,derenati erunt,dereneti erunt,dereni erunt,dereni erunt,They will have been wear outed
Active Subjunctive,Present,1st Person,Singular,derenem,derenem,derenam,derenam,I may wear out
Active Subjunctive,Present,1st Person,Plural,derenemus,derenemus,derenamus,derenamus,We may wear out
Active Subjunctive,Present,2nd Person,Singular,derenes,derenes,derenas,derenas,You may wear out
Active Subjunctive,Present,2nd Person,Plural,derenetis,derenetis,derenatis,derenatis,You (pl.) may wear out
Active Subjunctive,Present,3rd Person,Singular,derenet,derenet,derenat,derenat,He/she/it may wear out
Active Subjunctive,Present,3rd Person,Plural,derenent,derenent,derenant,derenant,They may wear out
Active Subjunctive,Imperfect,1st Person,Singular,derenarem,derenerem,derenerem,derenirem,I should wear out
Active Subjunctive,Imperfect,1st Person,Plural,derenaremus,dereneremus,dereneremus,dereniremus,We should wear out
Active Subjunctive,Imperfect,2nd Person,Singular,derenares,dereneres,dereneres,derenires,You should wear out
Active Subjunctive,Imperfect,2nd Person,Plural,derenaretis,dereneretis,dereneretis,dereniretis,You (pl.) should wear out
Active Subjunctive,Imperfect,3rd Person,Singular,derenaret,dereneret,dereneret,dereniret,He/she/it should wear out
