Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,descalceo,descalceo,descalceo,descalceio,I unshoe
Active Indicative,Present,1st Person,Plural,descalceamus,descalcemus,descalceimus,descalceimus,We unshoe
Active Indicative,Present,2nd Person,Singular,descalceas,descalces,descalceis,descalceis,You unshoe
Active Indicative,Present,2nd Person,Plural,descalceatis,descalcetis,descalceitis,descalceitis,You (pl.) unshoe
Active Indicative,Present,3rd Person,Singular,descalceat,descalcet,descalceit,descalceit,He/she/it unshoe
Active Indicative,Present,3rd Person,Plural,descalceant,descalcent,descalceiunt,descalceiunt,They unshoe
Active Indicative,Imperfect,1st Person,Singular,descalceabam,descalcebam,descalcebam,descalceiebam,I was unshoeing
Active Indicative,Imperfect,1st Person,Plural,descalceabamus,descalcebamus,descalcebamus,descalceiebamus,We were unshoeing
Active Indicative,Imperfect,2nd Person,Singular,descalceabas,descalcebas,descalcebas,descalceiebas,You were unshoeing
Active Indicative,Imperfect,2nd Person,Plural,descalceabatis,descalcebatis,descalcebatis,descalceiebatis,You (pl.) were unshoeing
Active Indicative,Imperfect,3rd Person,Singular,descalceabat,descalcebat,descalcebat,descalceiebat,He/she/it was unshoeing
Active Indicative,Imperfect,3rd Person,Plural,descalceabant,descalcebant,descalcebant,descalceiebant,They were unshoeing
Active Indicative,Future,1st Person,Singular,descalceabo,descalcebo,descalceam,descalceiam,I will unshoe
Active Indicative,Future,1st Person,Plural,descalceabimus,descalcebimus,descalcemus,descalceiemus,We will unshoe
Active Indicative,Future,2nd Person,Singular,descalceabis,descalcebis,descalces,descalceies,You will unshoe
Active Indicative,Future,2nd Person,Plural,descalceabitis,descalcebitis,descalcetis,descalceietis,You (pl.) will unshoe
Active Indicative,Future,3rd Person,Singular,descalceabit,descalcebit,descalcet,descalceiet,He/she/it will unshoe
Active Indicative,Future,3rd Person,Plural,descalceabunt,descalcebunt,descalcent,descalceient,They will unshoe
Active Indicative,Perfect,1st Person,Singular,descalceavi,descalceui,descalcei,descalcei,I have unshoeed
Active Indicative,Perfect,1st Person,Plural,descalceavimus,descalceuimus,descalceimus,descalceimus,We have unshoeed
Active Indicative,Perfect,2nd Person,Singular,descalceavisti,descalceuisti,descalceisti,descalceisti,You have unshoeed
Active Indicative,Perfect,2nd Person,Plural,descalceavistis,descalceuistis,descalceistis,descalceistis,You (pl.) have unshoeed
Active Indicative,Perfect,3rd Person,Singular,descalceavit,descalceuit,descalceit,descalceit,He/she/it has unshoeed
Active Indicative,Perfect,3rd Person,Plural,descalceaverunt,descalceuerunt,descalcerunt,descalcerunt,They have unshoeed
Active Indicative,Pluperfect,1st Person,Singular,descalceaveram,descalceueram,descalceram,descalceram,I had unshoeed
Active Indicative,Pluperfect,1st Person,Plural,descalceaveramus,descalceueramus,descalceramus,descalceramus,We had unshoeed
