Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,directio,directieo,directio,directio,I guide
Active Indicative,Present,1st Person,Plural,directiamus,directiemus,directimus,directimus,We guide
Active Indicative,Present,2nd Person,Singular,directias,directies,directis,directis,You guide
Active Indicative,Present,2nd Person,Plural,directiatis,directietis,directitis,directitis,You (pl.) guide
Active Indicative,Present,3rd Person,Singular,directiat,directiet,directit,directit,He/she/it guide
Active Indicative,Present,3rd Person,Plural,directiant,directient,directiunt,directiunt,They guide
Active Indicative,Imperfect,1st Person,Singular,directiabam,directiebam,directiebam,directiebam,I was guideing
Active Indicative,Imperfect,1st Person,Plural,directiabamus,directiebamus,directiebamus,directiebamus,We were guideing
Active Indicative,Imperfect,2nd Person,Singular,directiabas,directiebas,directiebas,directiebas,You were guideing
Active Indicative,Imperfect,2nd Person,Plural,directiabatis,directiebatis,directiebatis,directiebatis,You (pl.) were guideing
Active Indicative,Imperfect,3rd Person,Singular,directiabat,directiebat,directiebat,directiebat,He/she/it was guideing
Active Indicative,Imperfect,3rd Person,Plural,directiabant,directiebant,directiebant,directiebant,They were guideing
Active Indicative,Future,1st Person,Singular,directiabo,directiebo,directiam,directiam,I will guide
Active Indicative,Future,1st Person,Plural,directiabimus,directiebimus,directiemus,directiemus,We will guide
Active Indicative,Future,2nd Person,Singular,directiabis,directiebis,directies,directies,You will guide
Active Indicative,Future,2nd Person,Plural,directiabitis,directiebitis,directietis,directietis,You (pl.) will guide
Active Indicative,Future,3rd Person,Singular,directiabit,directiebit,directiet,directiet,He/she/it will guide
Active Indicative,Future,3rd Person,Plural,directiabunt,directiebunt,directient,directient,They will guide
Active Indicative,Perfect,1st Person,Singular,directiavi,directiui,directi,directi,I have guideed
Active Indicative,Perfect,1st Person,Plural,directiavimus,directiuimus,directimus,directimus,We have guideed
Active Indicative,Perfect,2nd Person,Singular,directiavisti,directiuisti,directisti,directisti,You have guideed
Active Indicative,Perfect,2nd Person,Plural,directiavistis,directiuistis,directistis,directistis,You (pl.) have guideed
Active Indicative,Perfect,3rd Person,Singular,directiavit,directiuit,directit,directit,He/she/it has guideed
Active Indicative,Perfect,3rd Person,Plural,directiaverunt,directiuerunt,directierunt,directierunt,They have guideed
Active Indicative,Pluperfect,1st Person,Singular,directiaveram,directiueram,directieram,directieram,I had guideed
Active Indicative,Pluperfect,1st Person,Plural,directiaveramus,directiueramus,directieramus,directieramus,We had guideed
Active Indicative,Pluperfect,2nd Person,Singular,directiaveras,directiueras,directieras,directieras,You had guideed
Active Indicative,Pluperfect,2nd Person,Plural,directiaveratis,directiueratis,directieratis,directieratis,You (pl.) had guideed
Active Indicative,Pluperfect,3rd Person,Singular,directiaverat,directiuerat,directierat,directierat,He/she/it had guideed
Active Indicative,Pluperfect,3rd Person,Plural,directiaverant,directiuerant,directierant,directierant,They had guideed
Active Indicative,Future Perfect,1st Person,Singular,directiavero,directiueero,directiero,directiero,I will have guideed
Active Indicative,Future Perfect,1st Person,Plural,directiaverimus,directiuerimus,directierimus,directierimus,We will have guideed
Active Indicative,Future Perfect,2nd Person,Singular,directiaveris,directiueris,directieris,directieris,You will have guideed
Active Indicative,Future Perfect,2nd Person,Plural,directiaveritis,directiueritis,directieritis,directieritis,You (pl.) will have guideed
Active Indicative,Future Perfect,3rd Person,Singular,directiaverit,directiuerit,directierit,directierit,He/she/it will have guideed
Active Indicative,Future Perfect,3rd Person,Plural,directiaverint,directiuerint,directierint,directierint,They will have guideed
Passive Indicative,Present,1st Person,Singular,directior,directieor,directior,directior,I am being guideed
Passive Indicative,Present,1st Person,Plural,directiamur,directiemur,directimur,directimur,We are being guideed
Passive Indicative,Present,2nd Person,Singular,directiaris,directieris,directiris,directiris,You are being guideed
Passive Indicative,Present,2nd Person,Plural,directiamini,directiemini,directimini,directimini,You (pl.) are being guideed
Passive Indicative,Present,3rd Person,Singular,directiatur,directietur,directitur,directitur,He/she/it is being guideed
Passive Indicative,Present,3rd Person,Plural,directiantur,directientur,directiuntur,directiuntur,They are being guideed
Passive Indicative,Imperfect,1st Person,Singular,directiabar,directiebar,directiebar,directiebar,I was guideed
Passive Indicative,Imperfect,1st Person,Plural,directiabamur,directiebamur,directiebamur,directiebamur,We were guideed
Passive Indicative,Imperfect,2nd Person,Singular,directiabaris,directiebaris,directiebaris,directiebaris,You were guideed
Passive Indicative,Imperfect,2nd Person,Plural,directiabamini,directiebamini,directiebamini,directiebamini,You (pl.) were guideed
Passive Indicative,Imperfect,3rd Person,Singular,directiabatur,directiebatur,directiebatur,directiebatur,He/she/it was guideed
Passive Indicative,Imperfect,3rd Person,Plural,directiabantur,directiebantur,directiebantur,directiebantur,They were guideed
Passive Indicative,Future,1st Person,Singular,directiabor,directiebor,directiar,directiar,I will be guideed
Passive Indicative,Future,1st Person,Plural,directiabimur,directiebimur,directiemur,directiemur,We will be guideed
Passive Indicative,Future,2nd Person,Singular,directiaberis,directieberis,directieris,directieris,You will be guideed
Passive Indicative,Future,2nd Person,Plural,directiabimini,directiebimini,directiemini,directiemini,You (pl.) will be guideed
Passive Indicative,Future,3rd Person,Singular,directiabitur,directiebitur,directietur,directietur,He/she/it will be guideed
Passive Indicative,Future,3rd Person,Plural,directiabuntur,directiebuntur,directientur,directientur,They will be guideed
Passive Indicative,Perfect,1st Person,Singular,directiatus sum,directietus sum,directius sum,directius sum,I have been guideed
Passive Indicative,Perfect,1st Person,Plural,directiati sumus,directieti sumus,directi sumus,directi sumus,We have been guideed
Passive Indicative,Perfect,2nd Person,Singular,directiatus es,directietus es,directius es,directius es,You have been guideed
Passive Indicative,Perfect,2nd Person,Plural,directiati estis,directieti estis,directi estis,directi estis,You (pl.) have been guideed
Passive Indicative,Perfect,3rd Person,Singular,directiatus est,directietus est,directius est,directius est,He/she/it has been guideed
Passive Indicative,Perfect,3rd Person,Plural,directiati sunt,directieti sunt,directi sunt,directi sunt,They have been guideed
Passive Indicative,Pluperfect,1st Person,Singular,directiatus eram,directietus eram,directius eram,directius eram,I had been guideed
Passive Indicative,Pluperfect,1st Person,Plural,directiati eramus,directieti eramus,directi eramus,directi eramus,We had been guideed
Passive Indicative,Pluperfect,2nd Person,Singular,directiatus eras,directietus eras,directius eras,directius eras,You had been guideed
Passive Indicative,Pluperfect,2nd Person,Plural,directiati eratis,directieti eratis,directi eratis,directi eratis,You (pl.) had been guideed
Passive Indicative,Pluperfect,3rd Person,Singular,directiatus erat,directietus erat,directius erat,directius erat,He/she/it had been guideed
Passive Indicative,Pluperfect,3rd Person,Plural,directiati erant,directieti erant,directi erant,directi erant,They had been guideed
Passive Indicative,Future Perfect,1st Person,Singular,directiatus ero,directietus ero,directius ero,directius ero,I will have been guideed
Passive Indicative,Future Perfect,1st Person,Plural,directiati erimus,directieti erimus,directi erimus,directi erimus,We will have been guideed
Passive Indicative,Future Perfect,2nd Person,Singular,directiatus eris,directietus eris,directius eris,directius eris,You will have been guideed
Passive Indicative,Future Perfect,2nd Person,Plural,directiati eritis,directieti eritis,directi eritis,directi eritis,You (pl.) will have been guideed
Passive Indicative,Future Perfect,3rd Person,Singular,directiatus erit,directietus erit,directius erit,directius erit,He/she/it will have been guideed
Passive Indicative,Future Perfect,3rd Person,Plural,directiati erunt,directieti erunt,directi erunt,directi erunt,They will have been guideed
Active Subjunctive,Present,1st Person,Singular,directiem,directiem,directiam,directiam,I may guide
Active Subjunctive,Present,1st Person,Plural,directiemus,directiemus,directiamus,directiamus,We may guide
Active Subjunctive,Present,2nd Person,Singular,directies,directies,directias,directias,You may guide
Active Subjunctive,Present,2nd Person,Plural,directietis,directietis,directiatis,directiatis,You (pl.) may guide
Active Subjunctive,Present,3rd Person,Singular,directiet,directiet,directiat,directiat,He/she/it may guide
Active Subjunctive,Present,3rd Person,Plural,directient,directient,directiant,directiant,They may guide
Active Subjunctive,Imperfect,1st Person,Singular,directiarem,directierem,directierem,directirem,I should guide
Active Subjunctive,Imperfect,1st Person,Plural,directiaremus,directieremus,directieremus,directiremus,We should guide
Active Subjunctive,Imperfect,2nd Person,Singular,directiares,directieres,directieres,directires,You should guide
Active Subjunctive,Imperfect,2nd Person,Plural,directiaretis,directieretis,directieretis,directiretis,You (pl.) should guide
Active Subjunctive,Imperfect,3rd Person,Singular,directiaret,directieret,directieret,directiret,He/she/it should guide
Active Subjunctive,Imperfect,3rd Person,Plural,directiarent,directierent,directierent,directirent,They should guide
Active Subjunctive,Perfect,1st Person,Singular,directierim,directiuerim,directierim,directierim,I may have guideed
Active Subjunctive,Perfect,1st Person,Plural,directierimus,directiuerimus,directierimus,directierimus,We may have guideed
Active Subjunctive,Perfect,2nd Person,Singular,directieris,directiueris,directieris,directieris,You may have guideed
Active Subjunctive,Perfect,2nd Person,Plural,directieritis,directiueritis,directieritis,directieritis,You (pl.) may have guideed
Active Subjunctive,Perfect,3rd Person,Singular,directierit,directiuerit,directierit,directierit,He/she/it may have guideed
Active Subjunctive,Perfect,3rd Person,Plural,directierint,directiuerint,directierint,directierint,They may have guideed
Active Subjunctive,Pluperfect,1st Person,Singular,directissem,directiuissem,directissem,directissem,I should have guideed
Active Subjunctive,Pluperfect,1st Person,Plural,directissemus,directiuissemus,directissemus,directissemus,We should have guideed
Active Subjunctive,Pluperfect,2nd Person,Singular,directisses,directiuisses,directisses,directisses,You would have guideed
Active Subjunctive,Pluperfect,2nd Person,Plural,directissetis,directiuissetis,directissetis,directissetis,You (pl.) would have guideed
Active Subjunctive,Pluperfect,3rd Person,Singular,directisset,directiuisset,directisset,directisset,He/she/it would have guideed
Active Subjunctive,Pluperfect,3rd Person,Plural,directissent,directiuissent,directissent,directissent,They would have guideed
Passive Subjunctive,Present,1st Person,Singular,directier,directier,directiar,directiar,I may be guideed
Passive Subjunctive,Present,1st Person,Plural,directiemur,directiemur,directiamur,directiamur,We may be guideed
Passive Subjunctive,Present,2nd Person,Singular,directieris,directieris,directiaris,directiaris,You may be guideed
Passive Subjunctive,Present,2nd Person,Plural,directiemini,directiemini,directiamini,directiamini,You (pl.) may be guideed
Passive Subjunctive,Present,3rd Person,Singular,directietur,directietur,directiatur,directiatur,He/she/it may be guideed
Passive Subjunctive,Present,3rd Person,Plural,directientur,directientur,directiantur,directiantur,They may be guideed
Passive Subjunctive,Imperfect,1st Person,Singular,directiarer,directierer,directierer,directirer,I should be guideed
Passive Subjunctive,Imperfect,1st Person,Plural,directiaremur,directieremur,directieremur,directiremur,We should be guideed
Passive Subjunctive,Imperfect,2nd Person,Singular,directiareris,directiereris,directiereris,directireris,You would be guideed
