Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,discaballico,discaballiceo,discaballico,discaballicio,I dismount
Active Indicative,Present,1st Person,Plural,discaballicamus,discaballicemus,discaballicimus,discaballicimus,We dismount
Active Indicative,Present,2nd Person,Singular,discaballicas,discaballices,discaballicis,discaballicis,You dismount
Active Indicative,Present,2nd Person,Plural,discaballicatis,discaballicetis,discaballicitis,discaballicitis,You (pl.) dismount
Active Indicative,Present,3rd Person,Singular,discaballicat,discaballicet,discaballicit,discaballicit,He/she/it dismount
Active Indicative,Present,3rd Person,Plural,discaballicant,discaballicent,discaballiciunt,discaballiciunt,They dismount
Active Indicative,Imperfect,1st Person,Singular,discaballicabam,discaballicebam,discaballicebam,discaballiciebam,I was dismounting
Active Indicative,Imperfect,1st Person,Plural,discaballicabamus,discaballicebamus,discaballicebamus,discaballiciebamus,We were dismounting
Active Indicative,Imperfect,2nd Person,Singular,discaballicabas,discaballicebas,discaballicebas,discaballiciebas,You were dismounting
Active Indicative,Imperfect,2nd Person,Plural,discaballicabatis,discaballicebatis,discaballicebatis,discaballiciebatis,You (pl.) were dismounting
Active Indicative,Imperfect,3rd Person,Singular,discaballicabat,discaballicebat,discaballicebat,discaballiciebat,He/she/it was dismounting
Active Indicative,Imperfect,3rd Person,Plural,discaballicabant,discaballicebant,discaballicebant,discaballiciebant,They were dismounting
Active Indicative,Future,1st Person,Singular,discaballicabo,discaballicebo,discaballicam,discaballiciam,I will dismount
Active Indicative,Future,1st Person,Plural,discaballicabimus,discaballicebimus,discaballicemus,discaballiciemus,We will dismount
Active Indicative,Future,2nd Person,Singular,discaballicabis,discaballicebis,discaballices,discaballicies,You will dismount
Active Indicative,Future,2nd Person,Plural,discaballicabitis,discaballicebitis,discaballicetis,discaballicietis,You (pl.) will dismount
Active Indicative,Future,3rd Person,Singular,discaballicabit,discaballicebit,discaballicet,discaballiciet,He/she/it will dismount
Active Indicative,Future,3rd Person,Plural,discaballicabunt,discaballicebunt,discaballicent,discaballicient,They will dismount
Active Indicative,Perfect,1st Person,Singular,discaballicavi,discaballicui,discaballici,discaballici,I have dismounted
Active Indicative,Perfect,1st Person,Plural,discaballicavimus,discaballicuimus,discaballicimus,discaballicimus,We have dismounted
Active Indicative,Perfect,2nd Person,Singular,discaballicavisti,discaballicuisti,discaballicisti,discaballicisti,You have dismounted
Active Indicative,Perfect,2nd Person,Plural,discaballicavistis,discaballicuistis,discaballicistis,discaballicistis,You (pl.) have dismounted
Active Indicative,Perfect,3rd Person,Singular,discaballicavit,discaballicuit,discaballicit,discaballicit,He/she/it has dismounted
Active Indicative,Perfect,3rd Person,Plural,discaballicaverunt,discaballicuerunt,discaballicerunt,discaballicerunt,They have dismounted
Active Indicative,Pluperfect,1st Person,Singular,discaballicaveram,discaballicueram,discaballiceram,discaballiceram,I had dismounted
Active Indicative,Pluperfect,1st Person,Plural,discaballicaveramus,discaballicueramus,discaballiceramus,discaballiceramus,We had dismounted
Active Indicative,Pluperfect,2nd Person,Singular,discaballicaveras,discaballicueras,discaballiceras,discaballiceras,You had dismounted
Active Indicative,Pluperfect,2nd Person,Plural,discaballicaveratis,discaballicueratis,discaballiceratis,discaballiceratis,You (pl.) had dismounted
Active Indicative,Pluperfect,3rd Person,Singular,discaballicaverat,discaballicuerat,discaballicerat,discaballicerat,He/she/it had dismounted
Active Indicative,Pluperfect,3rd Person,Plural,discaballicaverant,discaballicuerant,discaballicerant,discaballicerant,They had dismounted
Active Indicative,Future Perfect,1st Person,Singular,discaballicavero,discaballicueero,discaballicero,discaballiciero,I will have dismounted
Active Indicative,Future Perfect,1st Person,Plural,discaballicaverimus,discaballicuerimus,discaballicerimus,discaballicierimus,We will have dismounted
Active Indicative,Future Perfect,2nd Person,Singular,discaballicaveris,discaballicueris,discaballiceris,discaballicieris,You will have dismounted
Active Indicative,Future Perfect,2nd Person,Plural,discaballicaveritis,discaballicueritis,discaballiceritis,discaballicieritis,You (pl.) will have dismounted
Active Indicative,Future Perfect,3rd Person,Singular,discaballicaverit,discaballicuerit,discaballicerit,discaballicierit,He/she/it will have dismounted
Active Indicative,Future Perfect,3rd Person,Plural,discaballicaverint,discaballicuerint,discaballicerint,discaballicierint,They will have dismounted
Passive Indicative,Present,1st Person,Singular,discaballicor,discaballiceor,discaballicor,discaballicior,I am being dismounted
Passive Indicative,Present,1st Person,Plural,discaballicamur,discaballicemur,discaballicimur,discaballicimur,We are being dismounted
Passive Indicative,Present,2nd Person,Singular,discaballicaris,discaballiceris,discaballiciris,discaballiciris,You are being dismounted
Passive Indicative,Present,2nd Person,Plural,discaballicamini,discaballicemini,discaballicimini,discaballicimini,You (pl.) are being dismounted
Passive Indicative,Present,3rd Person,Singular,discaballicatur,discaballicetur,discaballicitur,discaballicitur,He/she/it is being dismounted
Passive Indicative,Present,3rd Person,Plural,discaballicantur,discaballicentur,discaballiciuntur,discaballiciuntur,They are being dismounted
Passive Indicative,Imperfect,1st Person,Singular,discaballicabar,discaballicebar,discaballicebar,discaballiciebar,I was dismounted
Passive Indicative,Imperfect,1st Person,Plural,discaballicabamur,discaballicebamur,discaballicebamur,discaballiciebamur,We were dismounted
Passive Indicative,Imperfect,2nd Person,Singular,discaballicabaris,discaballicebaris,discaballicebaris,discaballiciebaris,You were dismounted
Passive Indicative,Imperfect,2nd Person,Plural,discaballicabamini,discaballicebamini,discaballicebamini,discaballiciebamini,You (pl.) were dismounted
Passive Indicative,Imperfect,3rd Person,Singular,discaballicabatur,discaballicebatur,discaballicebatur,discaballiciebatur,He/she/it was dismounted
Passive Indicative,Imperfect,3rd Person,Plural,discaballicabantur,discaballicebantur,discaballicebantur,discaballiciebantur,They were dismounted
Passive Indicative,Future,1st Person,Singular,discaballicabor,discaballicebor,discaballicar,discaballiciar,I will be dismounted
Passive Indicative,Future,1st Person,Plural,discaballicabimur,discaballicebimur,discaballicemur,discaballiciemur,We will be dismounted
Passive Indicative,Future,2nd Person,Singular,discaballicaberis,discaballiceberis,discaballiceris,discaballicieris,You will be dismounted
Passive Indicative,Future,2nd Person,Plural,discaballicabimini,discaballicebimini,discaballicemini,discaballiciemini,You (pl.) will be dismounted
Passive Indicative,Future,3rd Person,Singular,discaballicabitur,discaballicebitur,discaballicetur,discaballicietur,He/she/it will be dismounted
Passive Indicative,Future,3rd Person,Plural,discaballicabuntur,discaballicebuntur,discaballicentur,discaballicientur,They will be dismounted
Passive Indicative,Perfect,1st Person,Singular,discaballicatus sum,discaballicetus sum,discaballicus sum,discaballicus sum,I have been dismounted
Passive Indicative,Perfect,1st Person,Plural,discaballicati sumus,discaballiceti sumus,discaballici sumus,discaballici sumus,We have been dismounted
Passive Indicative,Perfect,2nd Person,Singular,discaballicatus es,discaballicetus es,discaballicus es,discaballicus es,You have been dismounted
Passive Indicative,Perfect,2nd Person,Plural,discaballicati estis,discaballiceti estis,discaballici estis,discaballici estis,You (pl.) have been dismounted
Passive Indicative,Perfect,3rd Person,Singular,discaballicatus est,discaballicetus est,discaballicus est,discaballicus est,He/she/it has been dismounted
Passive Indicative,Perfect,3rd Person,Plural,discaballicati sunt,discaballiceti sunt,discaballici sunt,discaballici sunt,They have been dismounted
Passive Indicative,Pluperfect,1st Person,Singular,discaballicatus eram,discaballicetus eram,discaballicus eram,discaballicus eram,I had been dismounted
Passive Indicative,Pluperfect,1st Person,Plural,discaballicati eramus,discaballiceti eramus,discaballici eramus,discaballici eramus,We had been dismounted
Passive Indicative,Pluperfect,2nd Person,Singular,discaballicatus eras,discaballicetus eras,discaballicus eras,discaballicus eras,You had been dismounted
Passive Indicative,Pluperfect,2nd Person,Plural,discaballicati eratis,discaballiceti eratis,discaballici eratis,discaballici eratis,You (pl.) had been dismounted
Passive Indicative,Pluperfect,3rd Person,Singular,discaballicatus erat,discaballicetus erat,discaballicus erat,discaballicus erat,He/she/it had been dismounted
Passive Indicative,Pluperfect,3rd Person,Plural,discaballicati erant,discaballiceti erant,discaballici erant,discaballici erant,They had been dismounted
Passive Indicative,Future Perfect,1st Person,Singular,discaballicatus ero,discaballicetus ero,discaballicus ero,discaballicus ero,I will have been dismounted
Passive Indicative,Future Perfect,1st Person,Plural,discaballicati erimus,discaballiceti erimus,discaballici erimus,discaballici erimus,We will have been dismounted
Passive Indicative,Future Perfect,2nd Person,Singular,discaballicatus eris,discaballicetus eris,discaballicus eris,discaballicus eris,You will have been dismounted
Passive Indicative,Future Perfect,2nd Person,Plural,discaballicati eritis,discaballiceti eritis,discaballici eritis,discaballici eritis,You (pl.) will have been dismounted
Passive Indicative,Future Perfect,3rd Person,Singular,discaballicatus erit,discaballicetus erit,discaballicus erit,discaballicus erit,He/she/it will have been dismounted
Passive Indicative,Future Perfect,3rd Person,Plural,discaballicati erunt,discaballiceti erunt,discaballici erunt,discaballici erunt,They will have been dismounted
Active Subjunctive,Present,1st Person,Singular,discaballicem,discaballicem,discaballicam,discaballicam,I may dismount
Active Subjunctive,Present,1st Person,Plural,discaballicemus,discaballicemus,discaballicamus,discaballicamus,We may dismount
Active Subjunctive,Present,2nd Person,Singular,discaballices,discaballices,discaballicas,discaballicas,You may dismount
Active Subjunctive,Present,2nd Person,Plural,discaballicetis,discaballicetis,discaballicatis,discaballicatis,You (pl.) may dismount
Active Subjunctive,Present,3rd Person,Singular,discaballicet,discaballicet,discaballicat,discaballicat,He/she/it may dismount
Active Subjunctive,Present,3rd Person,Plural,discaballicent,discaballicent,discaballicant,discaballicant,They may dismount
Active Subjunctive,Imperfect,1st Person,Singular,discaballicarem,discaballicerem,discaballicerem,discaballicirem,I should dismount
Active Subjunctive,Imperfect,1st Person,Plural,discaballicaremus,discaballiceremus,discaballiceremus,discaballiciremus,We should dismount
Active Subjunctive,Imperfect,2nd Person,Singular,discaballicares,discaballiceres,discaballiceres,discaballicires,You should dismount
Active Subjunctive,Imperfect,2nd Person,Plural,discaballicaretis,discaballiceretis,discaballiceretis,discaballiciretis,You (pl.) should dismount
Active Subjunctive,Imperfect,3rd Person,Singular,discaballicaret,discaballiceret,discaballiceret,discaballiciret,He/she/it should dismount
Active Subjunctive,Imperfect,3rd Person,Plural,discaballicarent,discaballicerent,discaballicerent,discaballicirent,They should dismount
Active Subjunctive,Perfect,1st Person,Singular,discaballicerim,discaballicuerim,discaballicerim,discaballicierim,I may have dismounted
Active Subjunctive,Perfect,1st Person,Plural,discaballicerimus,discaballicuerimus,discaballicerimus,discaballicierimus,We may have dismounted
Active Subjunctive,Perfect,2nd Person,Singular,discaballiceris,discaballicueris,discaballiceris,discaballicieris,You may have dismounted
Active Subjunctive,Perfect,2nd Person,Plural,discaballiceritis,discaballicueritis,discaballiceritis,discaballicieritis,You (pl.) may have dismounted
Active Subjunctive,Perfect,3rd Person,Singular,discaballicerit,discaballicuerit,discaballicerit,discaballicierit,He/she/it may have dismounted
Active Subjunctive,Perfect,3rd Person,Plural,discaballicerint,discaballicuerint,discaballicerint,discaballicierint,They may have dismounted
Active Subjunctive,Pluperfect,1st Person,Singular,discaballicissem,discaballicuissem,discaballicissem,discaballicissem,I should have dismounted
Active Subjunctive,Pluperfect,1st Person,Plural,discaballicissemus,discaballicuissemus,discaballicissemus,discaballicissemus,We should have dismounted
Active Subjunctive,Pluperfect,2nd Person,Singular,discaballicisses,discaballicuisses,discaballicisses,discaballicisses,You would have dismounted
Active Subjunctive,Pluperfect,2nd Person,Plural,discaballicissetis,discaballicuissetis,discaballicissetis,discaballicissetis,You (pl.) would have dismounted
Active Subjunctive,Pluperfect,3rd Person,Singular,discaballicisset,discaballicuisset,discaballicisset,discaballicisset,He/she/it would have dismounted
Active Subjunctive,Pluperfect,3rd Person,Plural,discaballicissent,discaballicuissent,discaballicissent,discaballicissent,They would have dismounted
Passive Subjunctive,Present,1st Person,Singular,discaballicer,discaballicer,discaballicar,discaballicar,I may be dismounted
Passive Subjunctive,Present,1st Person,Plural,discaballicemur,discaballicemur,discaballicamur,discaballicamur,We may be dismounted
Passive Subjunctive,Present,2nd Person,Singular,discaballiceris,discaballiceris,discaballicaris,discaballicaris,You may be dismounted
Passive Subjunctive,Present,2nd Person,Plural,discaballicemini,discaballicemini,discaballicamini,discaballicamini,You (pl.) may be dismounted
Passive Subjunctive,Present,3rd Person,Singular,discaballicetur,discaballicetur,discaballicatur,discaballicatur,He/she/it may be dismounted
Passive Subjunctive,Present,3rd Person,Plural,discaballicentur,discaballicentur,discaballicantur,discaballicantur,They may be dismounted
Passive Subjunctive,Imperfect,1st Person,Singular,discaballicarer,discaballicerer,discaballicerer,discaballicirer,I should be dismounted
Passive Subjunctive,Imperfect,1st Person,Plural,discaballicaremur,discaballiceremur,discaballiceremur,discaballiciremur,We should be dismounted
Passive Subjunctive,Imperfect,2nd Person,Singular,discaballicareris,discaballicereris,discaballicereris,discaballicireris,You would be dismounted
Passive Subjunctive,Imperfect,2nd Person,Plural,discaballicaremini,discaballiceremini,discaballiceremini,discaballiciremini,You (pl.) would be dismounted
Passive Subjunctive,Imperfect,3rd Person,Singular,discaballicaretur,discaballiceretur,discaballiceretur,discaballiciretur,He/she/it would be dismounted
Passive Subjunctive,Imperfect,3rd Person,Plural,discaballicarentur,discaballicerentur,discaballicerentur,discaballicirentur,They would be dismounted
Passive Subjunctive,Perfect,1st Person,Singular,discaballicatus sim,discaballicetus sim,discaballicus sim,discaballicus sim,I may have been dismounted
Passive Subjunctive,Perfect,1st Person,Plural,discaballicati simus,discaballiceti simus,discaballici simus,discaballici simus,We may have been dismounted
Passive Subjunctive,Perfect,2nd Person,Singular,discaballicatus sis,discaballicetus sis,discaballicus sis,discaballicus sis,You may have been dismounted
Passive Subjunctive,Perfect,2nd Person,Plural,discaballicati sitis,discaballiceti sitis,discaballici sitis,discaballici sitis,You (pl.) may have been dismounted
Passive Subjunctive,Perfect,3rd Person,Singular,discaballicatus sit,discaballicetus sit,discaballicus sit,discaballicus sit,He/she/it may have been dismounted
Passive Subjunctive,Perfect,3rd Person,Plural,discaballicati sint,discaballiceti sint,discaballici sint,discaballici sint,They may have been dismounted
Passive Subjunctive,Pluperfect,1st Person,Singular,discaballicatus essem,discaballicetus essem,discaballicus essem,discaballicus essem,I should have been dismounted
Passive Subjunctive,Pluperfect,1st Person,Plural,discaballicati essemus,discaballiceti essemus,discaballici essemus,discaballici essemus,We should have been dismounted
Passive Subjunctive,Pluperfect,2nd Person,Singular,discaballicatus esses,discaballicetus esses,discaballicus esses,discaballicus esses,You would have been dismounted
Passive Subjunctive,Pluperfect,2nd Person,Plural,discaballicati essetis,discaballiceti essetis,discaballici essetis,discaballici essetis,You (pl.) would have been dismounted
Passive Subjunctive,Pluperfect,3rd Person,Singular,discaballicatus esset,discaballicetus esset,discaballicus esset,discaballicus esset,He/she/it would have been dismounted
Passive Subjunctive,Pluperfect,3rd Person,Plural,discaballicati essent,discaballiceti essent,discaballici essent,discaballici essent,They would have been dismounted
