Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,discedo,discedeo,discedo,discedio,I leave
Active Indicative,Present,1st Person,Plural,discedamus,discedemus,discedimus,discedimus,We leave
Active Indicative,Present,2nd Person,Singular,discedas,discedes,discedis,discedis,You leave
Active Indicative,Present,2nd Person,Plural,discedatis,discedetis,disceditis,disceditis,You (pl.) leave
Active Indicative,Present,3rd Person,Singular,discedat,discedet,discedit,discedit,He/she/it leave
Active Indicative,Present,3rd Person,Plural,discedant,discedent,discediunt,discediunt,They leave
Active Indicative,Imperfect,1st Person,Singular,discedabam,discedebam,discedebam,discediebam,I was leaveing
Active Indicative,Imperfect,1st Person,Plural,discedabamus,discedebamus,discedebamus,discediebamus,We were leaveing
Active Indicative,Imperfect,2nd Person,Singular,discedabas,discedebas,discedebas,discediebas,You were leaveing
Active Indicative,Imperfect,2nd Person,Plural,discedabatis,discedebatis,discedebatis,discediebatis,You (pl.) were leaveing
Active Indicative,Imperfect,3rd Person,Singular,discedabat,discedebat,discedebat,discediebat,He/she/it was leaveing
Active Indicative,Imperfect,3rd Person,Plural,discedabant,discedebant,discedebant,discediebant,They were leaveing
Active Indicative,Future,1st Person,Singular,discedabo,discedebo,discedam,discediam,I will leave
Active Indicative,Future,1st Person,Plural,discedabimus,discedebimus,discedemus,discediemus,We will leave
Active Indicative,Future,2nd Person,Singular,discedabis,discedebis,discedes,discedies,You will leave
Active Indicative,Future,2nd Person,Plural,discedabitis,discedebitis,discedetis,discedietis,You (pl.) will leave
Active Indicative,Future,3rd Person,Singular,discedabit,discedebit,discedet,discediet,He/she/it will leave
Active Indicative,Future,3rd Person,Plural,discedabunt,discedebunt,discedent,discedient,They will leave
Active Indicative,Perfect,1st Person,Singular,discedavi,discedui,discedi,discedi,I have leaveed
Active Indicative,Perfect,1st Person,Plural,discedavimus,disceduimus,discedimus,discedimus,We have leaveed
Active Indicative,Perfect,2nd Person,Singular,discedavisti,disceduisti,discedisti,discedisti,You have leaveed
Active Indicative,Perfect,2nd Person,Plural,discedavistis,disceduistis,discedistis,discedistis,You (pl.) have leaveed
Active Indicative,Perfect,3rd Person,Singular,discedavit,disceduit,discedit,discedit,He/she/it has leaveed
