Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,dismentico,dismenticeo,dismentico,dismenticio,I forget
Active Indicative,Present,1st Person,Plural,dismenticamus,dismenticemus,dismenticimus,dismenticimus,We forget
Active Indicative,Present,2nd Person,Singular,dismenticas,dismentices,dismenticis,dismenticis,You forget
Active Indicative,Present,2nd Person,Plural,dismenticatis,dismenticetis,dismenticitis,dismenticitis,You (pl.) forget
Active Indicative,Present,3rd Person,Singular,dismenticat,dismenticet,dismenticit,dismenticit,He/she/it forget
Active Indicative,Present,3rd Person,Plural,dismenticant,dismenticent,dismenticiunt,dismenticiunt,They forget
Active Indicative,Imperfect,1st Person,Singular,dismenticabam,dismenticebam,dismenticebam,dismenticiebam,I was forgeting
Active Indicative,Imperfect,1st Person,Plural,dismenticabamus,dismenticebamus,dismenticebamus,dismenticiebamus,We were forgeting
Active Indicative,Imperfect,2nd Person,Singular,dismenticabas,dismenticebas,dismenticebas,dismenticiebas,You were forgeting
Active Indicative,Imperfect,2nd Person,Plural,dismenticabatis,dismenticebatis,dismenticebatis,dismenticiebatis,You (pl.) were forgeting
Active Indicative,Imperfect,3rd Person,Singular,dismenticabat,dismenticebat,dismenticebat,dismenticiebat,He/she/it was forgeting
Active Indicative,Imperfect,3rd Person,Plural,dismenticabant,dismenticebant,dismenticebant,dismenticiebant,They were forgeting
Active Indicative,Future,1st Person,Singular,dismenticabo,dismenticebo,dismenticam,dismenticiam,I will forget
Active Indicative,Future,1st Person,Plural,dismenticabimus,dismenticebimus,dismenticemus,dismenticiemus,We will forget
Active Indicative,Future,2nd Person,Singular,dismenticabis,dismenticebis,dismentices,dismenticies,You will forget
Active Indicative,Future,2nd Person,Plural,dismenticabitis,dismenticebitis,dismenticetis,dismenticietis,You (pl.) will forget
Active Indicative,Future,3rd Person,Singular,dismenticabit,dismenticebit,dismenticet,dismenticiet,He/she/it will forget
Active Indicative,Future,3rd Person,Plural,dismenticabunt,dismenticebunt,dismenticent,dismenticient,They will forget
Active Indicative,Perfect,1st Person,Singular,dismenticavi,dismenticui,dismentici,dismentici,I have forgeted
Active Indicative,Perfect,1st Person,Plural,dismenticavimus,dismenticuimus,dismenticimus,dismenticimus,We have forgeted
Active Indicative,Perfect,2nd Person,Singular,dismenticavisti,dismenticuisti,dismenticisti,dismenticisti,You have forgeted
Active Indicative,Perfect,2nd Person,Plural,dismenticavistis,dismenticuistis,dismenticistis,dismenticistis,You (pl.) have forgeted
Active Indicative,Perfect,3rd Person,Singular,dismenticavit,dismenticuit,dismenticit,dismenticit,He/she/it has forgeted
Active Indicative,Perfect,3rd Person,Plural,dismenticaverunt,dismenticuerunt,dismenticerunt,dismenticerunt,They have forgeted
Active Indicative,Pluperfect,1st Person,Singular,dismenticaveram,dismenticueram,dismenticeram,dismenticeram,I had forgeted
Active Indicative,Pluperfect,1st Person,Plural,dismenticaveramus,dismenticueramus,dismenticeramus,dismenticeramus,We had forgeted
Active Indicative,Pluperfect,2nd Person,Singular,dismenticaveras,dismenticueras,dismenticeras,dismenticeras,You had forgeted
Active Indicative,Pluperfect,2nd Person,Plural,dismenticaveratis,dismenticueratis,dismenticeratis,dismenticeratis,You (pl.) had forgeted
Active Indicative,Pluperfect,3rd Person,Singular,dismenticaverat,dismenticuerat,dismenticerat,dismenticerat,He/she/it had forgeted
Active Indicative,Pluperfect,3rd Person,Plural,dismenticaverant,dismenticuerant,dismenticerant,dismenticerant,They had forgeted
Active Indicative,Future Perfect,1st Person,Singular,dismenticavero,dismenticueero,dismenticero,dismenticiero,I will have forgeted
Active Indicative,Future Perfect,1st Person,Plural,dismenticaverimus,dismenticuerimus,dismenticerimus,dismenticierimus,We will have forgeted
Active Indicative,Future Perfect,2nd Person,Singular,dismenticaveris,dismenticueris,dismenticeris,dismenticieris,You will have forgeted
Active Indicative,Future Perfect,2nd Person,Plural,dismenticaveritis,dismenticueritis,dismenticeritis,dismenticieritis,You (pl.) will have forgeted
Active Indicative,Future Perfect,3rd Person,Singular,dismenticaverit,dismenticuerit,dismenticerit,dismenticierit,He/she/it will have forgeted
Active Indicative,Future Perfect,3rd Person,Plural,dismenticaverint,dismenticuerint,dismenticerint,dismenticierint,They will have forgeted
Passive Indicative,Present,1st Person,Singular,dismenticor,dismenticeor,dismenticor,dismenticior,I am being forgeted
Passive Indicative,Present,1st Person,Plural,dismenticamur,dismenticemur,dismenticimur,dismenticimur,We are being forgeted
Passive Indicative,Present,2nd Person,Singular,dismenticaris,dismenticeris,dismenticiris,dismenticiris,You are being forgeted
Passive Indicative,Present,2nd Person,Plural,dismenticamini,dismenticemini,dismenticimini,dismenticimini,You (pl.) are being forgeted
Passive Indicative,Present,3rd Person,Singular,dismenticatur,dismenticetur,dismenticitur,dismenticitur,He/she/it is being forgeted
Passive Indicative,Present,3rd Person,Plural,dismenticantur,dismenticentur,dismenticiuntur,dismenticiuntur,They are being forgeted
Passive Indicative,Imperfect,1st Person,Singular,dismenticabar,dismenticebar,dismenticebar,dismenticiebar,I was forgeted
Passive Indicative,Imperfect,1st Person,Plural,dismenticabamur,dismenticebamur,dismenticebamur,dismenticiebamur,We were forgeted
Passive Indicative,Imperfect,2nd Person,Singular,dismenticabaris,dismenticebaris,dismenticebaris,dismenticiebaris,You were forgeted
Passive Indicative,Imperfect,2nd Person,Plural,dismenticabamini,dismenticebamini,dismenticebamini,dismenticiebamini,You (pl.) were forgeted
Passive Indicative,Imperfect,3rd Person,Singular,dismenticabatur,dismenticebatur,dismenticebatur,dismenticiebatur,He/she/it was forgeted
Passive Indicative,Imperfect,3rd Person,Plural,dismenticabantur,dismenticebantur,dismenticebantur,dismenticiebantur,They were forgeted
Passive Indicative,Future,1st Person,Singular,dismenticabor,dismenticebor,dismenticar,dismenticiar,I will be forgeted
Passive Indicative,Future,1st Person,Plural,dismenticabimur,dismenticebimur,dismenticemur,dismenticiemur,We will be forgeted
Passive Indicative,Future,2nd Person,Singular,dismenticaberis,dismenticeberis,dismenticeris,dismenticieris,You will be forgeted
Passive Indicative,Future,2nd Person,Plural,dismenticabimini,dismenticebimini,dismenticemini,dismenticiemini,You (pl.) will be forgeted
Passive Indicative,Future,3rd Person,Singular,dismenticabitur,dismenticebitur,dismenticetur,dismenticietur,He/she/it will be forgeted
Passive Indicative,Future,3rd Person,Plural,dismenticabuntur,dismenticebuntur,dismenticentur,dismenticientur,They will be forgeted
Passive Indicative,Perfect,1st Person,Singular,dismenticatus sum,dismenticetus sum,dismenticus sum,dismenticus sum,I have been forgeted
Passive Indicative,Perfect,1st Person,Plural,dismenticati sumus,dismenticeti sumus,dismentici sumus,dismentici sumus,We have been forgeted
Passive Indicative,Perfect,2nd Person,Singular,dismenticatus es,dismenticetus es,dismenticus es,dismenticus es,You have been forgeted
Passive Indicative,Perfect,2nd Person,Plural,dismenticati estis,dismenticeti estis,dismentici estis,dismentici estis,You (pl.) have been forgeted
