Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,duco,duceo,duco,ducio,I guide
Active Indicative,Present,1st Person,Plural,ducamus,ducemus,ducimus,ducimus,We guide
Active Indicative,Present,2nd Person,Singular,ducas,duces,ducis,ducis,You guide
Active Indicative,Present,2nd Person,Plural,ducatis,ducetis,ducitis,ducitis,You (pl.) guide
Active Indicative,Present,3rd Person,Singular,ducat,ducet,ducit,ducit,He/she/it guide
Active Indicative,Present,3rd Person,Plural,ducant,ducent,duciunt,duciunt,They guide
Active Indicative,Imperfect,1st Person,Singular,ducabam,ducebam,ducebam,duciebam,I was guideing
Active Indicative,Imperfect,1st Person,Plural,ducabamus,ducebamus,ducebamus,duciebamus,We were guideing
Active Indicative,Imperfect,2nd Person,Singular,ducabas,ducebas,ducebas,duciebas,You were guideing
Active Indicative,Imperfect,2nd Person,Plural,ducabatis,ducebatis,ducebatis,duciebatis,You (pl.) were guideing
Active Indicative,Imperfect,3rd Person,Singular,ducabat,ducebat,ducebat,duciebat,He/she/it was guideing
Active Indicative,Imperfect,3rd Person,Plural,ducabant,ducebant,ducebant,duciebant,They were guideing
Active Indicative,Future,1st Person,Singular,ducabo,ducebo,ducam,duciam,I will guide
Active Indicative,Future,1st Person,Plural,ducabimus,ducebimus,ducemus,duciemus,We will guide
Active Indicative,Future,2nd Person,Singular,ducabis,ducebis,duces,ducies,You will guide
Active Indicative,Future,2nd Person,Plural,ducabitis,ducebitis,ducetis,ducietis,You (pl.) will guide
Active Indicative,Future,3rd Person,Singular,ducabit,ducebit,ducet,duciet,He/she/it will guide
Active Indicative,Future,3rd Person,Plural,ducabunt,ducebunt,ducent,ducient,They will guide
Active Indicative,Perfect,1st Person,Singular,ducavi,ducui,duci,duci,I have guideed
Active Indicative,Perfect,1st Person,Plural,ducavimus,ducuimus,ducimus,ducimus,We have guideed
Active Indicative,Perfect,2nd Person,Singular,ducavisti,ducuisti,ducisti,ducisti,You have guideed
Active Indicative,Perfect,2nd Person,Plural,ducavistis,ducuistis,ducistis,ducistis,You (pl.) have guideed
Active Indicative,Perfect,3rd Person,Singular,ducavit,ducuit,ducit,ducit,He/she/it has guideed
Active Indicative,Perfect,3rd Person,Plural,ducaverunt,ducuerunt,ducerunt,ducerunt,They have guideed
Active Indicative,Pluperfect,1st Person,Singular,ducaveram,ducueram,duceram,duceram,I had guideed
Active Indicative,Pluperfect,1st Person,Plural,ducaveramus,ducueramus,duceramus,duceramus,We had guideed
Active Indicative,Pluperfect,2nd Person,Singular,ducaveras,ducueras,duceras,duceras,You had guideed
Active Indicative,Pluperfect,2nd Person,Plural,ducaveratis,ducueratis,duceratis,duceratis,You (pl.) had guideed
Active Indicative,Pluperfect,3rd Person,Singular,ducaverat,ducuerat,ducerat,ducerat,He/she/it had guideed
Active Indicative,Pluperfect,3rd Person,Plural,ducaverant,ducuerant,ducerant,ducerant,They had guideed
Active Indicative,Future Perfect,1st Person,Singular,ducavero,ducueero,ducero,duciero,I will have guideed
Active Indicative,Future Perfect,1st Person,Plural,ducaverimus,ducuerimus,ducerimus,ducierimus,We will have guideed
Active Indicative,Future Perfect,2nd Person,Singular,ducaveris,ducueris,duceris,ducieris,You will have guideed
Active Indicative,Future Perfect,2nd Person,Plural,ducaveritis,ducueritis,duceritis,ducieritis,You (pl.) will have guideed
Active Indicative,Future Perfect,3rd Person,Singular,ducaverit,ducuerit,ducerit,ducierit,He/she/it will have guideed
Active Indicative,Future Perfect,3rd Person,Plural,ducaverint,ducuerint,ducerint,ducierint,They will have guideed
Passive Indicative,Present,1st Person,Singular,ducor,duceor,ducor,ducior,I am being guideed
Passive Indicative,Present,1st Person,Plural,ducamur,ducemur,ducimur,ducimur,We are being guideed
Passive Indicative,Present,2nd Person,Singular,ducaris,duceris,duciris,duciris,You are being guideed
Passive Indicative,Present,2nd Person,Plural,ducamini,ducemini,ducimini,ducimini,You (pl.) are being guideed
Passive Indicative,Present,3rd Person,Singular,ducatur,ducetur,ducitur,ducitur,He/she/it is being guideed
Passive Indicative,Present,3rd Person,Plural,ducantur,ducentur,duciuntur,duciuntur,They are being guideed
Passive Indicative,Imperfect,1st Person,Singular,ducabar,ducebar,ducebar,duciebar,I was guideed
Passive Indicative,Imperfect,1st Person,Plural,ducabamur,ducebamur,ducebamur,duciebamur,We were guideed
Passive Indicative,Imperfect,2nd Person,Singular,ducabaris,ducebaris,ducebaris,duciebaris,You were guideed
Passive Indicative,Imperfect,2nd Person,Plural,ducabamini,ducebamini,ducebamini,duciebamini,You (pl.) were guideed
Passive Indicative,Imperfect,3rd Person,Singular,ducabatur,ducebatur,ducebatur,duciebatur,He/she/it was guideed
Passive Indicative,Imperfect,3rd Person,Plural,ducabantur,ducebantur,ducebantur,duciebantur,They were guideed
Passive Indicative,Future,1st Person,Singular,ducabor,ducebor,ducar,duciar,I will be guideed
Passive Indicative,Future,1st Person,Plural,ducabimur,ducebimur,ducemur,duciemur,We will be guideed
Passive Indicative,Future,2nd Person,Singular,ducaberis,duceberis,duceris,ducieris,You will be guideed
Passive Indicative,Future,2nd Person,Plural,ducabimini,ducebimini,ducemini,duciemini,You (pl.) will be guideed
Passive Indicative,Future,3rd Person,Singular,ducabitur,ducebitur,ducetur,ducietur,He/she/it will be guideed
Passive Indicative,Future,3rd Person,Plural,ducabuntur,ducebuntur,ducentur,ducientur,They will be guideed
Passive Indicative,Perfect,1st Person,Singular,ducatus sum,ducetus sum,ducus sum,ducus sum,I have been guideed
Passive Indicative,Perfect,1st Person,Plural,ducati sumus,duceti sumus,duci sumus,duci sumus,We have been guideed
Passive Indicative,Perfect,2nd Person,Singular,ducatus es,ducetus es,ducus es,ducus es,You have been guideed
