Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,dulco,dulceo,dulco,dulcio,I sweeten
Active Indicative,Present,1st Person,Plural,dulcamus,dulcemus,dulcimus,dulcimus,We sweeten
Active Indicative,Present,2nd Person,Singular,dulcas,dulces,dulcis,dulcis,You sweeten
Active Indicative,Present,2nd Person,Plural,dulcatis,dulcetis,dulcitis,dulcitis,You (pl.) sweeten
Active Indicative,Present,3rd Person,Singular,dulcat,dulcet,dulcit,dulcit,He/she/it sweeten
Active Indicative,Present,3rd Person,Plural,dulcant,dulcent,dulciunt,dulciunt,They sweeten
Active Indicative,Imperfect,1st Person,Singular,dulcabam,dulcebam,dulcebam,dulciebam,I was sweetening
Active Indicative,Imperfect,1st Person,Plural,dulcabamus,dulcebamus,dulcebamus,dulciebamus,We were sweetening
Active Indicative,Imperfect,2nd Person,Singular,dulcabas,dulcebas,dulcebas,dulciebas,You were sweetening
Active Indicative,Imperfect,2nd Person,Plural,dulcabatis,dulcebatis,dulcebatis,dulciebatis,You (pl.) were sweetening
Active Indicative,Imperfect,3rd Person,Singular,dulcabat,dulcebat,dulcebat,dulciebat,He/she/it was sweetening
Active Indicative,Imperfect,3rd Person,Plural,dulcabant,dulcebant,dulcebant,dulciebant,They were sweetening
Active Indicative,Future,1st Person,Singular,dulcabo,dulcebo,dulcam,dulciam,I will sweeten
Active Indicative,Future,1st Person,Plural,dulcabimus,dulcebimus,dulcemus,dulciemus,We will sweeten
Active Indicative,Future,2nd Person,Singular,dulcabis,dulcebis,dulces,dulcies,You will sweeten
Active Indicative,Future,2nd Person,Plural,dulcabitis,dulcebitis,dulcetis,dulcietis,You (pl.) will sweeten
Active Indicative,Future,3rd Person,Singular,dulcabit,dulcebit,dulcet,dulciet,He/she/it will sweeten
Active Indicative,Future,3rd Person,Plural,dulcabunt,dulcebunt,dulcent,dulcient,They will sweeten
Active Indicative,Perfect,1st Person,Singular,dulcavi,dulcui,dulci,dulci,I have sweetened
Active Indicative,Perfect,1st Person,Plural,dulcavimus,dulcuimus,dulcimus,dulcimus,We have sweetened
Active Indicative,Perfect,2nd Person,Singular,dulcavisti,dulcuisti,dulcisti,dulcisti,You have sweetened
Active Indicative,Perfect,2nd Person,Plural,dulcavistis,dulcuistis,dulcistis,dulcistis,You (pl.) have sweetened
Active Indicative,Perfect,3rd Person,Singular,dulcavit,dulcuit,dulcit,dulcit,He/she/it has sweetened
Active Indicative,Perfect,3rd Person,Plural,dulcaverunt,dulcuerunt,dulcerunt,dulcerunt,They have sweetened
Active Indicative,Pluperfect,1st Person,Singular,dulcaveram,dulcueram,dulceram,dulceram,I had sweetened
Active Indicative,Pluperfect,1st Person,Plural,dulcaveramus,dulcueramus,dulceramus,dulceramus,We had sweetened
Active Indicative,Pluperfect,2nd Person,Singular,dulcaveras,dulcueras,dulceras,dulceras,You had sweetened
Active Indicative,Pluperfect,2nd Person,Plural,dulcaveratis,dulcueratis,dulceratis,dulceratis,You (pl.) had sweetened
Active Indicative,Pluperfect,3rd Person,Singular,dulcaverat,dulcuerat,dulcerat,dulcerat,He/she/it had sweetened
Active Indicative,Pluperfect,3rd Person,Plural,dulcaverant,dulcuerant,dulcerant,dulcerant,They had sweetened
Active Indicative,Future Perfect,1st Person,Singular,dulcavero,dulcueero,dulcero,dulciero,I will have sweetened
Active Indicative,Future Perfect,1st Person,Plural,dulcaverimus,dulcuerimus,dulcerimus,dulcierimus,We will have sweetened
Active Indicative,Future Perfect,2nd Person,Singular,dulcaveris,dulcueris,dulceris,dulcieris,You will have sweetened
Active Indicative,Future Perfect,2nd Person,Plural,dulcaveritis,dulcueritis,dulceritis,dulcieritis,You (pl.) will have sweetened
Active Indicative,Future Perfect,3rd Person,Singular,dulcaverit,dulcuerit,dulcerit,dulcierit,He/she/it will have sweetened
Active Indicative,Future Perfect,3rd Person,Plural,dulcaverint,dulcuerint,dulcerint,dulcierint,They will have sweetened
Passive Indicative,Present,1st Person,Singular,dulcor,dulceor,dulcor,dulcior,I am being sweetened
Passive Indicative,Present,1st Person,Plural,dulcamur,dulcemur,dulcimur,dulcimur,We are being sweetened
Passive Indicative,Present,2nd Person,Singular,dulcaris,dulceris,dulciris,dulciris,You are being sweetened
Passive Indicative,Present,2nd Person,Plural,dulcamini,dulcemini,dulcimini,dulcimini,You (pl.) are being sweetened
Passive Indicative,Present,3rd Person,Singular,dulcatur,dulcetur,dulcitur,dulcitur,He/she/it is being sweetened
Passive Indicative,Present,3rd Person,Plural,dulcantur,dulcentur,dulciuntur,dulciuntur,They are being sweetened
Passive Indicative,Imperfect,1st Person,Singular,dulcabar,dulcebar,dulcebar,dulciebar,I was sweetened
Passive Indicative,Imperfect,1st Person,Plural,dulcabamur,dulcebamur,dulcebamur,dulciebamur,We were sweetened
Passive Indicative,Imperfect,2nd Person,Singular,dulcabaris,dulcebaris,dulcebaris,dulciebaris,You were sweetened
Passive Indicative,Imperfect,2nd Person,Plural,dulcabamini,dulcebamini,dulcebamini,dulciebamini,You (pl.) were sweetened
