Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ebriaro,ebriareo,ebriaro,ebriario,I get drunk
Active Indicative,Present,1st Person,Plural,ebriaramus,ebriaremus,ebriarimus,ebriarimus,We get drunk
Active Indicative,Present,2nd Person,Singular,ebriaras,ebriares,ebriaris,ebriaris,You get drunk
Active Indicative,Present,2nd Person,Plural,ebriaratis,ebriaretis,ebriaritis,ebriaritis,You (pl.) get drunk
Active Indicative,Present,3rd Person,Singular,ebriarat,ebriaret,ebriarit,ebriarit,He/she/it get drunk
Active Indicative,Present,3rd Person,Plural,ebriarant,ebriarent,ebriariunt,ebriariunt,They get drunk
Active Indicative,Imperfect,1st Person,Singular,ebriarabam,ebriarebam,ebriarebam,ebriariebam,I was get drunking
Active Indicative,Imperfect,1st Person,Plural,ebriarabamus,ebriarebamus,ebriarebamus,ebriariebamus,We were get drunking
Active Indicative,Imperfect,2nd Person,Singular,ebriarabas,ebriarebas,ebriarebas,ebriariebas,You were get drunking
Active Indicative,Imperfect,2nd Person,Plural,ebriarabatis,ebriarebatis,ebriarebatis,ebriariebatis,You (pl.) were get drunking
Active Indicative,Imperfect,3rd Person,Singular,ebriarabat,ebriarebat,ebriarebat,ebriariebat,He/she/it was get drunking
Active Indicative,Imperfect,3rd Person,Plural,ebriarabant,ebriarebant,ebriarebant,ebriariebant,They were get drunking
Active Indicative,Future,1st Person,Singular,ebriarabo,ebriarebo,ebriaram,ebriariam,I will get drunk
Active Indicative,Future,1st Person,Plural,ebriarabimus,ebriarebimus,ebriaremus,ebriariemus,We will get drunk
Active Indicative,Future,2nd Person,Singular,ebriarabis,ebriarebis,ebriares,ebriaries,You will get drunk
Active Indicative,Future,2nd Person,Plural,ebriarabitis,ebriarebitis,ebriaretis,ebriarietis,You (pl.) will get drunk
Active Indicative,Future,3rd Person,Singular,ebriarabit,ebriarebit,ebriaret,ebriariet,He/she/it will get drunk
Active Indicative,Future,3rd Person,Plural,ebriarabunt,ebriarebunt,ebriarent,ebriarient,They will get drunk
