Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,edo,edeo,edo,edio,I eat
Active Indicative,Present,1st Person,Plural,edamus,edemus,edimus,edimus,We eat
Active Indicative,Present,2nd Person,Singular,edas,edes,edis,edis,You eat
Active Indicative,Present,2nd Person,Plural,edatis,edetis,editis,editis,You (pl.) eat
Active Indicative,Present,3rd Person,Singular,edat,edet,edit,edit,He/she/it eat
Active Indicative,Present,3rd Person,Plural,edant,edent,ediunt,ediunt,They eat
Active Indicative,Imperfect,1st Person,Singular,edabam,edebam,edebam,ediebam,I was eating
Active Indicative,Imperfect,1st Person,Plural,edabamus,edebamus,edebamus,ediebamus,We were eating
Active Indicative,Imperfect,2nd Person,Singular,edabas,edebas,edebas,ediebas,You were eating
Active Indicative,Imperfect,2nd Person,Plural,edabatis,edebatis,edebatis,ediebatis,You (pl.) were eating
Active Indicative,Imperfect,3rd Person,Singular,edabat,edebat,edebat,ediebat,He/she/it was eating
Active Indicative,Imperfect,3rd Person,Plural,edabant,edebant,edebant,ediebant,They were eating
Active Indicative,Future,1st Person,Singular,edabo,edebo,edam,ediam,I will eat
Active Indicative,Future,1st Person,Plural,edabimus,edebimus,edemus,ediemus,We will eat
Active Indicative,Future,2nd Person,Singular,edabis,edebis,edes,edies,You will eat
Active Indicative,Future,2nd Person,Plural,edabitis,edebitis,edetis,edietis,You (pl.) will eat
Active Indicative,Future,3rd Person,Singular,edabit,edebit,edet,ediet,He/she/it will eat
Active Indicative,Future,3rd Person,Plural,edabunt,edebunt,edent,edient,They will eat
Active Indicative,Perfect,1st Person,Singular,edavi,edui,edi,edi,I have eated
Active Indicative,Perfect,1st Person,Plural,edavimus,eduimus,edimus,edimus,We have eated
Active Indicative,Perfect,2nd Person,Singular,edavisti,eduisti,edisti,edisti,You have eated
Active Indicative,Perfect,2nd Person,Plural,edavistis,eduistis,edistis,edistis,You (pl.) have eated
Active Indicative,Perfect,3rd Person,Singular,edavit,eduit,edit,edit,He/she/it has eated
Active Indicative,Perfect,3rd Person,Plural,edaverunt,eduerunt,ederunt,ederunt,They have eated
Active Indicative,Pluperfect,1st Person,Singular,edaveram,edueram,ederam,ederam,I had eated
Active Indicative,Pluperfect,1st Person,Plural,edaveramus,edueramus,ederamus,ederamus,We had eated
Active Indicative,Pluperfect,2nd Person,Singular,edaveras,edueras,ederas,ederas,You had eated
Active Indicative,Pluperfect,2nd Person,Plural,edaveratis,edueratis,ederatis,ederatis,You (pl.) had eated
Active Indicative,Pluperfect,3rd Person,Singular,edaverat,eduerat,ederat,ederat,He/she/it had eated
Active Indicative,Pluperfect,3rd Person,Plural,edaverant,eduerant,ederant,ederant,They had eated
Active Indicative,Future Perfect,1st Person,Singular,edavero,edueero,edero,ediero,I will have eated
Active Indicative,Future Perfect,1st Person,Plural,edaverimus,eduerimus,ederimus,edierimus,We will have eated
Active Indicative,Future Perfect,2nd Person,Singular,edaveris,edueris,ederis,edieris,You will have eated
