Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,eligo,eligeo,eligo,eligio,I choose
Active Indicative,Present,1st Person,Plural,eligamus,eligemus,eligimus,eligimus,We choose
Active Indicative,Present,2nd Person,Singular,eligas,eliges,eligis,eligis,You choose
Active Indicative,Present,2nd Person,Plural,eligatis,eligetis,eligitis,eligitis,You (pl.) choose
Active Indicative,Present,3rd Person,Singular,eligat,eliget,eligit,eligit,He/she/it choose
Active Indicative,Present,3rd Person,Plural,eligant,eligent,eligiunt,eligiunt,They choose
Active Indicative,Imperfect,1st Person,Singular,eligabam,eligebam,eligebam,eligiebam,I was chooseing
Active Indicative,Imperfect,1st Person,Plural,eligabamus,eligebamus,eligebamus,eligiebamus,We were chooseing
Active Indicative,Imperfect,2nd Person,Singular,eligabas,eligebas,eligebas,eligiebas,You were chooseing
Active Indicative,Imperfect,2nd Person,Plural,eligabatis,eligebatis,eligebatis,eligiebatis,You (pl.) were chooseing
Active Indicative,Imperfect,3rd Person,Singular,eligabat,eligebat,eligebat,eligiebat,He/she/it was chooseing
Active Indicative,Imperfect,3rd Person,Plural,eligabant,eligebant,eligebant,eligiebant,They were chooseing
Active Indicative,Future,1st Person,Singular,eligabo,eligebo,eligam,eligiam,I will choose
Active Indicative,Future,1st Person,Plural,eligabimus,eligebimus,eligemus,eligiemus,We will choose
Active Indicative,Future,2nd Person,Singular,eligabis,eligebis,eliges,eligies,You will choose
Active Indicative,Future,2nd Person,Plural,eligabitis,eligebitis,eligetis,eligietis,You (pl.) will choose
Active Indicative,Future,3rd Person,Singular,eligabit,eligebit,eliget,eligiet,He/she/it will choose
Active Indicative,Future,3rd Person,Plural,eligabunt,eligebunt,eligent,eligient,They will choose
Active Indicative,Perfect,1st Person,Singular,eligavi,eligui,eligi,eligi,I have chooseed
Active Indicative,Perfect,1st Person,Plural,eligavimus,eliguimus,eligimus,eligimus,We have chooseed
Active Indicative,Perfect,2nd Person,Singular,eligavisti,eliguisti,eligisti,eligisti,You have chooseed
Active Indicative,Perfect,2nd Person,Plural,eligavistis,eliguistis,eligistis,eligistis,You (pl.) have chooseed
Active Indicative,Perfect,3rd Person,Singular,eligavit,eliguit,eligit,eligit,He/she/it has chooseed
Active Indicative,Perfect,3rd Person,Plural,eligaverunt,eliguerunt,eligerunt,eligerunt,They have chooseed
Active Indicative,Pluperfect,1st Person,Singular,eligaveram,eligueram,eligeram,eligeram,I had chooseed
Active Indicative,Pluperfect,1st Person,Plural,eligaveramus,eligueramus,eligeramus,eligeramus,We had chooseed
Active Indicative,Pluperfect,2nd Person,Singular,eligaveras,eligueras,eligeras,eligeras,You had chooseed
Active Indicative,Pluperfect,2nd Person,Plural,eligaveratis,eligueratis,eligeratis,eligeratis,You (pl.) had chooseed
Active Indicative,Pluperfect,3rd Person,Singular,eligaverat,eliguerat,eligerat,eligerat,He/she/it had chooseed
Active Indicative,Pluperfect,3rd Person,Plural,eligaverant,eliguerant,eligerant,eligerant,They had chooseed
Active Indicative,Future Perfect,1st Person,Singular,eligavero,eligueero,eligero,eligiero,I will have chooseed
Active Indicative,Future Perfect,1st Person,Plural,eligaverimus,eliguerimus,eligerimus,eligierimus,We will have chooseed
Active Indicative,Future Perfect,2nd Person,Singular,eligaveris,eligueris,eligeris,eligieris,You will have chooseed
Active Indicative,Future Perfect,2nd Person,Plural,eligaveritis,eligueritis,eligeritis,eligieritis,You (pl.) will have chooseed
Active Indicative,Future Perfect,3rd Person,Singular,eligaverit,eliguerit,eligerit,eligierit,He/she/it will have chooseed
Active Indicative,Future Perfect,3rd Person,Plural,eligaverint,eliguerint,eligerint,eligierint,They will have chooseed
Passive Indicative,Present,1st Person,Singular,eligor,eligeor,eligor,eligior,I am being chooseed
Passive Indicative,Present,1st Person,Plural,eligamur,eligemur,eligimur,eligimur,We are being chooseed
Passive Indicative,Present,2nd Person,Singular,eligaris,eligeris,eligiris,eligiris,You are being chooseed
Passive Indicative,Present,2nd Person,Plural,eligamini,eligemini,eligimini,eligimini,You (pl.) are being chooseed
Passive Indicative,Present,3rd Person,Singular,eligatur,eligetur,eligitur,eligitur,He/she/it is being chooseed
Passive Indicative,Present,3rd Person,Plural,eligantur,eligentur,eligiuntur,eligiuntur,They are being chooseed
Passive Indicative,Imperfect,1st Person,Singular,eligabar,eligebar,eligebar,eligiebar,I was chooseed
Passive Indicative,Imperfect,1st Person,Plural,eligabamur,eligebamur,eligebamur,eligiebamur,We were chooseed
Passive Indicative,Imperfect,2nd Person,Singular,eligabaris,eligebaris,eligebaris,eligiebaris,You were chooseed
Passive Indicative,Imperfect,2nd Person,Plural,eligabamini,eligebamini,eligebamini,eligiebamini,You (pl.) were chooseed
Passive Indicative,Imperfect,3rd Person,Singular,eligabatur,eligebatur,eligebatur,eligiebatur,He/she/it was chooseed
Passive Indicative,Imperfect,3rd Person,Plural,eligabantur,eligebantur,eligebantur,eligiebantur,They were chooseed
Passive Indicative,Future,1st Person,Singular,eligabor,eligebor,eligar,eligiar,I will be chooseed
Passive Indicative,Future,1st Person,Plural,eligabimur,eligebimur,eligemur,eligiemur,We will be chooseed
Passive Indicative,Future,2nd Person,Singular,eligaberis,eligeberis,eligeris,eligieris,You will be chooseed
Passive Indicative,Future,2nd Person,Plural,eligabimini,eligebimini,eligemini,eligiemini,You (pl.) will be chooseed
Passive Indicative,Future,3rd Person,Singular,eligabitur,eligebitur,eligetur,eligietur,He/she/it will be chooseed
Passive Indicative,Future,3rd Person,Plural,eligabuntur,eligebuntur,eligentur,eligientur,They will be chooseed
Passive Indicative,Perfect,1st Person,Singular,eligatus sum,eligetus sum,eligus sum,eligus sum,I have been chooseed
Passive Indicative,Perfect,1st Person,Plural,eligati sumus,eligeti sumus,eligi sumus,eligi sumus,We have been chooseed
Passive Indicative,Perfect,2nd Person,Singular,eligatus es,eligetus es,eligus es,eligus es,You have been chooseed
Passive Indicative,Perfect,2nd Person,Plural,eligati estis,eligeti estis,eligi estis,eligi estis,You (pl.) have been chooseed
Passive Indicative,Perfect,3rd Person,Singular,eligatus est,eligetus est,eligus est,eligus est,He/she/it has been chooseed
Passive Indicative,Perfect,3rd Person,Plural,eligati sunt,eligeti sunt,eligi sunt,eligi sunt,They have been chooseed
Passive Indicative,Pluperfect,1st Person,Singular,eligatus eram,eligetus eram,eligus eram,eligus eram,I had been chooseed
Passive Indicative,Pluperfect,1st Person,Plural,eligati eramus,eligeti eramus,eligi eramus,eligi eramus,We had been chooseed
Passive Indicative,Pluperfect,2nd Person,Singular,eligatus eras,eligetus eras,eligus eras,eligus eras,You had been chooseed
Passive Indicative,Pluperfect,2nd Person,Plural,eligati eratis,eligeti eratis,eligi eratis,eligi eratis,You (pl.) had been chooseed
Passive Indicative,Pluperfect,3rd Person,Singular,eligatus erat,eligetus erat,eligus erat,eligus erat,He/she/it had been chooseed
Passive Indicative,Pluperfect,3rd Person,Plural,eligati erant,eligeti erant,eligi erant,eligi erant,They had been chooseed
Passive Indicative,Future Perfect,1st Person,Singular,eligatus ero,eligetus ero,eligus ero,eligus ero,I will have been chooseed
Passive Indicative,Future Perfect,1st Person,Plural,eligati erimus,eligeti erimus,eligi erimus,eligi erimus,We will have been chooseed
Passive Indicative,Future Perfect,2nd Person,Singular,eligatus eris,eligetus eris,eligus eris,eligus eris,You will have been chooseed
Passive Indicative,Future Perfect,2nd Person,Plural,eligati eritis,eligeti eritis,eligi eritis,eligi eritis,You (pl.) will have been chooseed
Passive Indicative,Future Perfect,3rd Person,Singular,eligatus erit,eligetus erit,eligus erit,eligus erit,He/she/it will have been chooseed
Passive Indicative,Future Perfect,3rd Person,Plural,eligati erunt,eligeti erunt,eligi erunt,eligi erunt,They will have been chooseed
