Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,evado,evadeo,evado,evadio,I escape
Active Indicative,Present,1st Person,Plural,evadamus,evademus,evadimus,evadimus,We escape
Active Indicative,Present,2nd Person,Singular,evadas,evades,evadis,evadis,You escape
Active Indicative,Present,2nd Person,Plural,evadatis,evadetis,evaditis,evaditis,You (pl.) escape
Active Indicative,Present,3rd Person,Singular,evadat,evadet,evadit,evadit,He/she/it escape
Active Indicative,Present,3rd Person,Plural,evadant,evadent,evadiunt,evadiunt,They escape
Active Indicative,Imperfect,1st Person,Singular,evadabam,evadebam,evadebam,evadiebam,I was escapeing
Active Indicative,Imperfect,1st Person,Plural,evadabamus,evadebamus,evadebamus,evadiebamus,We were escapeing
Active Indicative,Imperfect,2nd Person,Singular,evadabas,evadebas,evadebas,evadiebas,You were escapeing
Active Indicative,Imperfect,2nd Person,Plural,evadabatis,evadebatis,evadebatis,evadiebatis,You (pl.) were escapeing
Active Indicative,Imperfect,3rd Person,Singular,evadabat,evadebat,evadebat,evadiebat,He/she/it was escapeing
Active Indicative,Imperfect,3rd Person,Plural,evadabant,evadebant,evadebant,evadiebant,They were escapeing
Active Indicative,Future,1st Person,Singular,evadabo,evadebo,evadam,evadiam,I will escape
Active Indicative,Future,1st Person,Plural,evadabimus,evadebimus,evademus,evadiemus,We will escape
Active Indicative,Future,2nd Person,Singular,evadabis,evadebis,evades,evadies,You will escape
Active Indicative,Future,2nd Person,Plural,evadabitis,evadebitis,evadetis,evadietis,You (pl.) will escape
Active Indicative,Future,3rd Person,Singular,evadabit,evadebit,evadet,evadiet,He/she/it will escape
Active Indicative,Future,3rd Person,Plural,evadabunt,evadebunt,evadent,evadient,They will escape
Active Indicative,Perfect,1st Person,Singular,evadavi,evadui,evadi,evadi,I have escapeed
Active Indicative,Perfect,1st Person,Plural,evadavimus,evaduimus,evadimus,evadimus,We have escapeed
Active Indicative,Perfect,2nd Person,Singular,evadavisti,evaduisti,evadisti,evadisti,You have escapeed
Active Indicative,Perfect,2nd Person,Plural,evadavistis,evaduistis,evadistis,evadistis,You (pl.) have escapeed
Active Indicative,Perfect,3rd Person,Singular,evadavit,evaduit,evadit,evadit,He/she/it has escapeed
Active Indicative,Perfect,3rd Person,Plural,evadaverunt,evaduerunt,evaderunt,evaderunt,They have escapeed
Active Indicative,Pluperfect,1st Person,Singular,evadaveram,evadueram,evaderam,evaderam,I had escapeed
Active Indicative,Pluperfect,1st Person,Plural,evadaveramus,evadueramus,evaderamus,evaderamus,We had escapeed
Active Indicative,Pluperfect,2nd Person,Singular,evadaveras,evadueras,evaderas,evaderas,You had escapeed
Active Indicative,Pluperfect,2nd Person,Plural,evadaveratis,evadueratis,evaderatis,evaderatis,You (pl.) had escapeed
Active Indicative,Pluperfect,3rd Person,Singular,evadaverat,evaduerat,evaderat,evaderat,He/she/it had escapeed
Active Indicative,Pluperfect,3rd Person,Plural,evadaverant,evaduerant,evaderant,evaderant,They had escapeed
Active Indicative,Future Perfect,1st Person,Singular,evadavero,evadueero,evadero,evadiero,I will have escapeed
Active Indicative,Future Perfect,1st Person,Plural,evadaverimus,evaduerimus,evaderimus,evadierimus,We will have escapeed
Active Indicative,Future Perfect,2nd Person,Singular,evadaveris,evadueris,evaderis,evadieris,You will have escapeed
Active Indicative,Future Perfect,2nd Person,Plural,evadaveritis,evadueritis,evaderitis,evadieritis,You (pl.) will have escapeed
Active Indicative,Future Perfect,3rd Person,Singular,evadaverit,evaduerit,evaderit,evadierit,He/she/it will have escapeed
Active Indicative,Future Perfect,3rd Person,Plural,evadaverint,evaduerint,evaderint,evadierint,They will have escapeed
Passive Indicative,Present,1st Person,Singular,evador,evadeor,evador,evadior,I am being escapeed
Passive Indicative,Present,1st Person,Plural,evadamur,evademur,evadimur,evadimur,We are being escapeed
Passive Indicative,Present,2nd Person,Singular,evadaris,evaderis,evadiris,evadiris,You are being escapeed
Passive Indicative,Present,2nd Person,Plural,evadamini,evademini,evadimini,evadimini,You (pl.) are being escapeed
Passive Indicative,Present,3rd Person,Singular,evadatur,evadetur,evaditur,evaditur,He/she/it is being escapeed
Passive Indicative,Present,3rd Person,Plural,evadantur,evadentur,evadiuntur,evadiuntur,They are being escapeed
Passive Indicative,Imperfect,1st Person,Singular,evadabar,evadebar,evadebar,evadiebar,I was escapeed
Passive Indicative,Imperfect,1st Person,Plural,evadabamur,evadebamur,evadebamur,evadiebamur,We were escapeed
Passive Indicative,Imperfect,2nd Person,Singular,evadabaris,evadebaris,evadebaris,evadiebaris,You were escapeed
Passive Indicative,Imperfect,2nd Person,Plural,evadabamini,evadebamini,evadebamini,evadiebamini,You (pl.) were escapeed
Passive Indicative,Imperfect,3rd Person,Singular,evadabatur,evadebatur,evadebatur,evadiebatur,He/she/it was escapeed
Passive Indicative,Imperfect,3rd Person,Plural,evadabantur,evadebantur,evadebantur,evadiebantur,They were escapeed
Passive Indicative,Future,1st Person,Singular,evadabor,evadebor,evadar,evadiar,I will be escapeed
Passive Indicative,Future,1st Person,Plural,evadabimur,evadebimur,evademur,evadiemur,We will be escapeed
Passive Indicative,Future,2nd Person,Singular,evadaberis,evadeberis,evaderis,evadieris,You will be escapeed
Passive Indicative,Future,2nd Person,Plural,evadabimini,evadebimini,evademini,evadiemini,You (pl.) will be escapeed
