Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,evolo,evoleo,evolo,evolio,I fly out
Active Indicative,Present,1st Person,Plural,evolamus,evolemus,evolimus,evolimus,We fly out
Active Indicative,Present,2nd Person,Singular,evolas,evoles,evolis,evolis,You fly out
Active Indicative,Present,2nd Person,Plural,evolatis,evoletis,evolitis,evolitis,You (pl.) fly out
Active Indicative,Present,3rd Person,Singular,evolat,evolet,evolit,evolit,He/she/it fly out
Active Indicative,Present,3rd Person,Plural,evolant,evolent,evoliunt,evoliunt,They fly out
Active Indicative,Imperfect,1st Person,Singular,evolabam,evolebam,evolebam,evoliebam,I was fly outing
Active Indicative,Imperfect,1st Person,Plural,evolabamus,evolebamus,evolebamus,evoliebamus,We were fly outing
Active Indicative,Imperfect,2nd Person,Singular,evolabas,evolebas,evolebas,evoliebas,You were fly outing
Active Indicative,Imperfect,2nd Person,Plural,evolabatis,evolebatis,evolebatis,evoliebatis,You (pl.) were fly outing
Active Indicative,Imperfect,3rd Person,Singular,evolabat,evolebat,evolebat,evoliebat,He/she/it was fly outing
Active Indicative,Imperfect,3rd Person,Plural,evolabant,evolebant,evolebant,evoliebant,They were fly outing
Active Indicative,Future,1st Person,Singular,evolabo,evolebo,evolam,evoliam,I will fly out
Active Indicative,Future,1st Person,Plural,evolabimus,evolebimus,evolemus,evoliemus,We will fly out
Active Indicative,Future,2nd Person,Singular,evolabis,evolebis,evoles,evolies,You will fly out
Active Indicative,Future,2nd Person,Plural,evolabitis,evolebitis,evoletis,evolietis,You (pl.) will fly out
Active Indicative,Future,3rd Person,Singular,evolabit,evolebit,evolet,evoliet,He/she/it will fly out
Active Indicative,Future,3rd Person,Plural,evolabunt,evolebunt,evolent,evolient,They will fly out
Active Indicative,Perfect,1st Person,Singular,evolavi,evolui,evoli,evoli,I have fly outed
Active Indicative,Perfect,1st Person,Plural,evolavimus,evoluimus,evolimus,evolimus,We have fly outed
Active Indicative,Perfect,2nd Person,Singular,evolavisti,evoluisti,evolisti,evolisti,You have fly outed
Active Indicative,Perfect,2nd Person,Plural,evolavistis,evoluistis,evolistis,evolistis,You (pl.) have fly outed
Active Indicative,Perfect,3rd Person,Singular,evolavit,evoluit,evolit,evolit,He/she/it has fly outed
Active Indicative,Perfect,3rd Person,Plural,evolaverunt,evoluerunt,evolerunt,evolerunt,They have fly outed
Active Indicative,Pluperfect,1st Person,Singular,evolaveram,evolueram,evoleram,evoleram,I had fly outed
Active Indicative,Pluperfect,1st Person,Plural,evolaveramus,evolueramus,evoleramus,evoleramus,We had fly outed
Active Indicative,Pluperfect,2nd Person,Singular,evolaveras,evolueras,evoleras,evoleras,You had fly outed
Active Indicative,Pluperfect,2nd Person,Plural,evolaveratis,evolueratis,evoleratis,evoleratis,You (pl.) had fly outed
