Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exaquo,exaqueo,exaquo,exaquio,I drain
Active Indicative,Present,1st Person,Plural,exaquamus,exaquemus,exaquimus,exaquimus,We drain
Active Indicative,Present,2nd Person,Singular,exaquas,exaques,exaquis,exaquis,You drain
Active Indicative,Present,2nd Person,Plural,exaquatis,exaquetis,exaquitis,exaquitis,You (pl.) drain
Active Indicative,Present,3rd Person,Singular,exaquat,exaquet,exaquit,exaquit,He/she/it drain
Active Indicative,Present,3rd Person,Plural,exaquant,exaquent,exaquiunt,exaquiunt,They drain
Active Indicative,Imperfect,1st Person,Singular,exaquabam,exaquebam,exaquebam,exaquiebam,I was draining
Active Indicative,Imperfect,1st Person,Plural,exaquabamus,exaquebamus,exaquebamus,exaquiebamus,We were draining
Active Indicative,Imperfect,2nd Person,Singular,exaquabas,exaquebas,exaquebas,exaquiebas,You were draining
Active Indicative,Imperfect,2nd Person,Plural,exaquabatis,exaquebatis,exaquebatis,exaquiebatis,You (pl.) were draining
Active Indicative,Imperfect,3rd Person,Singular,exaquabat,exaquebat,exaquebat,exaquiebat,He/she/it was draining
Active Indicative,Imperfect,3rd Person,Plural,exaquabant,exaquebant,exaquebant,exaquiebant,They were draining
Active Indicative,Future,1st Person,Singular,exaquabo,exaquebo,exaquam,exaquiam,I will drain
Active Indicative,Future,1st Person,Plural,exaquabimus,exaquebimus,exaquemus,exaquiemus,We will drain
Active Indicative,Future,2nd Person,Singular,exaquabis,exaquebis,exaques,exaquies,You will drain
Active Indicative,Future,2nd Person,Plural,exaquabitis,exaquebitis,exaquetis,exaquietis,You (pl.) will drain
Active Indicative,Future,3rd Person,Singular,exaquabit,exaquebit,exaquet,exaquiet,He/she/it will drain
Active Indicative,Future,3rd Person,Plural,exaquabunt,exaquebunt,exaquent,exaquient,They will drain
Active Indicative,Perfect,1st Person,Singular,exaquavi,exaqui,exaqui,exaqui,I have drained
Active Indicative,Perfect,1st Person,Plural,exaquavimus,exaquimus,exaquimus,exaquimus,We have drained
Active Indicative,Perfect,2nd Person,Singular,exaquavisti,exaquisti,exaquisti,exaquisti,You have drained
Active Indicative,Perfect,2nd Person,Plural,exaquavistis,exaquistis,exaquistis,exaquistis,You (pl.) have drained
Active Indicative,Perfect,3rd Person,Singular,exaquavit,exaquit,exaquit,exaquit,He/she/it has drained
Active Indicative,Perfect,3rd Person,Plural,exaquaverunt,exaquerunt,exaquerunt,exaquerunt,They have drained
Active Indicative,Pluperfect,1st Person,Singular,exaquaveram,exaqueram,exaqueram,exaqueram,I had drained
Active Indicative,Pluperfect,1st Person,Plural,exaquaveramus,exaqueramus,exaqueramus,exaqueramus,We had drained
Active Indicative,Pluperfect,2nd Person,Singular,exaquaveras,exaqueras,exaqueras,exaqueras,You had drained
Active Indicative,Pluperfect,2nd Person,Plural,exaquaveratis,exaqueratis,exaqueratis,exaqueratis,You (pl.) had drained
Active Indicative,Pluperfect,3rd Person,Singular,exaquaverat,exaquerat,exaquerat,exaquerat,He/she/it had drained
Active Indicative,Pluperfect,3rd Person,Plural,exaquaverant,exaquerant,exaquerant,exaquerant,They had drained
Active Indicative,Future Perfect,1st Person,Singular,exaquavero,exaqueero,exaquero,exaquiero,I will have drained
Active Indicative,Future Perfect,1st Person,Plural,exaquaverimus,exaquerimus,exaquerimus,exaquierimus,We will have drained
Active Indicative,Future Perfect,2nd Person,Singular,exaquaveris,exaqueris,exaqueris,exaquieris,You will have drained
Active Indicative,Future Perfect,2nd Person,Plural,exaquaveritis,exaqueritis,exaqueritis,exaquieritis,You (pl.) will have drained
Active Indicative,Future Perfect,3rd Person,Singular,exaquaverit,exaquerit,exaquerit,exaquierit,He/she/it will have drained
Active Indicative,Future Perfect,3rd Person,Plural,exaquaverint,exaquerint,exaquerint,exaquierint,They will have drained
Passive Indicative,Present,1st Person,Singular,exaquor,exaqueor,exaquor,exaquior,I am being drained
Passive Indicative,Present,1st Person,Plural,exaquamur,exaquemur,exaquimur,exaquimur,We are being drained
Passive Indicative,Present,2nd Person,Singular,exaquaris,exaqueris,exaquiris,exaquiris,You are being drained
Passive Indicative,Present,2nd Person,Plural,exaquamini,exaquemini,exaquimini,exaquimini,You (pl.) are being drained
Passive Indicative,Present,3rd Person,Singular,exaquatur,exaquetur,exaquitur,exaquitur,He/she/it is being drained
Passive Indicative,Present,3rd Person,Plural,exaquantur,exaquentur,exaquiuntur,exaquiuntur,They are being drained
Passive Indicative,Imperfect,1st Person,Singular,exaquabar,exaquebar,exaquebar,exaquiebar,I was drained
Passive Indicative,Imperfect,1st Person,Plural,exaquabamur,exaquebamur,exaquebamur,exaquiebamur,We were drained
Passive Indicative,Imperfect,2nd Person,Singular,exaquabaris,exaquebaris,exaquebaris,exaquiebaris,You were drained
Passive Indicative,Imperfect,2nd Person,Plural,exaquabamini,exaquebamini,exaquebamini,exaquiebamini,You (pl.) were drained
Passive Indicative,Imperfect,3rd Person,Singular,exaquabatur,exaquebatur,exaquebatur,exaquiebatur,He/she/it was drained
Passive Indicative,Imperfect,3rd Person,Plural,exaquabantur,exaquebantur,exaquebantur,exaquiebantur,They were drained
Passive Indicative,Future,1st Person,Singular,exaquabor,exaquebor,exaquar,exaquiar,I will be drained
Passive Indicative,Future,1st Person,Plural,exaquabimur,exaquebimur,exaquemur,exaquiemur,We will be drained
Passive Indicative,Future,2nd Person,Singular,exaquaberis,exaqueberis,exaqueris,exaquieris,You will be drained
Passive Indicative,Future,2nd Person,Plural,exaquabimini,exaquebimini,exaquemini,exaquiemini,You (pl.) will be drained
Passive Indicative,Future,3rd Person,Singular,exaquabitur,exaquebitur,exaquetur,exaquietur,He/she/it will be drained
Passive Indicative,Future,3rd Person,Plural,exaquabuntur,exaquebuntur,exaquentur,exaquientur,They will be drained
Passive Indicative,Perfect,1st Person,Singular,exaquatus sum,exaquetus sum,exaqus sum,exaqus sum,I have been drained
Passive Indicative,Perfect,1st Person,Plural,exaquati sumus,exaqueti sumus,exaqui sumus,exaqui sumus,We have been drained
Passive Indicative,Perfect,2nd Person,Singular,exaquatus es,exaquetus es,exaqus es,exaqus es,You have been drained
Passive Indicative,Perfect,2nd Person,Plural,exaquati estis,exaqueti estis,exaqui estis,exaqui estis,You (pl.) have been drained
Passive Indicative,Perfect,3rd Person,Singular,exaquatus est,exaquetus est,exaqus est,exaqus est,He/she/it has been drained
Passive Indicative,Perfect,3rd Person,Plural,exaquati sunt,exaqueti sunt,exaqui sunt,exaqui sunt,They have been drained
Passive Indicative,Pluperfect,1st Person,Singular,exaquatus eram,exaquetus eram,exaqus eram,exaqus eram,I had been drained
Passive Indicative,Pluperfect,1st Person,Plural,exaquati eramus,exaqueti eramus,exaqui eramus,exaqui eramus,We had been drained
Passive Indicative,Pluperfect,2nd Person,Singular,exaquatus eras,exaquetus eras,exaqus eras,exaqus eras,You had been drained
Passive Indicative,Pluperfect,2nd Person,Plural,exaquati eratis,exaqueti eratis,exaqui eratis,exaqui eratis,You (pl.) had been drained
Passive Indicative,Pluperfect,3rd Person,Singular,exaquatus erat,exaquetus erat,exaqus erat,exaqus erat,He/she/it had been drained
Passive Indicative,Pluperfect,3rd Person,Plural,exaquati erant,exaqueti erant,exaqui erant,exaqui erant,They had been drained
Passive Indicative,Future Perfect,1st Person,Singular,exaquatus ero,exaquetus ero,exaqus ero,exaqus ero,I will have been drained
Passive Indicative,Future Perfect,1st Person,Plural,exaquati erimus,exaqueti erimus,exaqui erimus,exaqui erimus,We will have been drained
Passive Indicative,Future Perfect,2nd Person,Singular,exaquatus eris,exaquetus eris,exaqus eris,exaqus eris,You will have been drained
Passive Indicative,Future Perfect,2nd Person,Plural,exaquati eritis,exaqueti eritis,exaqui eritis,exaqui eritis,You (pl.) will have been drained
Passive Indicative,Future Perfect,3rd Person,Singular,exaquatus erit,exaquetus erit,exaqus erit,exaqus erit,He/she/it will have been drained
Passive Indicative,Future Perfect,3rd Person,Plural,exaquati erunt,exaqueti erunt,exaqui erunt,exaqui erunt,They will have been drained
Active Subjunctive,Present,1st Person,Singular,exaquem,exaquem,exaquam,exaquam,I may drain
Active Subjunctive,Present,1st Person,Plural,exaquemus,exaquemus,exaquamus,exaquamus,We may drain
Active Subjunctive,Present,2nd Person,Singular,exaques,exaques,exaquas,exaquas,You may drain
Active Subjunctive,Present,2nd Person,Plural,exaquetis,exaquetis,exaquatis,exaquatis,You (pl.) may drain
Active Subjunctive,Present,3rd Person,Singular,exaquet,exaquet,exaquat,exaquat,He/she/it may drain
Active Subjunctive,Present,3rd Person,Plural,exaquent,exaquent,exaquant,exaquant,They may drain
Active Subjunctive,Imperfect,1st Person,Singular,exaquarem,exaquerem,exaquerem,exaquirem,I should drain
Active Subjunctive,Imperfect,1st Person,Plural,exaquaremus,exaqueremus,exaqueremus,exaquiremus,We should drain
Active Subjunctive,Imperfect,2nd Person,Singular,exaquares,exaqueres,exaqueres,exaquires,You should drain
Active Subjunctive,Imperfect,2nd Person,Plural,exaquaretis,exaqueretis,exaqueretis,exaquiretis,You (pl.) should drain
Active Subjunctive,Imperfect,3rd Person,Singular,exaquaret,exaqueret,exaqueret,exaquiret,He/she/it should drain
Active Subjunctive,Imperfect,3rd Person,Plural,exaquarent,exaquerent,exaquerent,exaquirent,They should drain
Active Subjunctive,Perfect,1st Person,Singular,exaquerim,exaquerim,exaquerim,exaquierim,I may have drained
Active Subjunctive,Perfect,1st Person,Plural,exaquerimus,exaquerimus,exaquerimus,exaquierimus,We may have drained
Active Subjunctive,Perfect,2nd Person,Singular,exaqueris,exaqueris,exaqueris,exaquieris,You may have drained
Active Subjunctive,Perfect,2nd Person,Plural,exaqueritis,exaqueritis,exaqueritis,exaquieritis,You (pl.) may have drained
Active Subjunctive,Perfect,3rd Person,Singular,exaquerit,exaquerit,exaquerit,exaquierit,He/she/it may have drained
Active Subjunctive,Perfect,3rd Person,Plural,exaquerint,exaquerint,exaquerint,exaquierint,They may have drained
Active Subjunctive,Pluperfect,1st Person,Singular,exaquissem,exaquissem,exaquissem,exaquissem,I should have drained
Active Subjunctive,Pluperfect,1st Person,Plural,exaquissemus,exaquissemus,exaquissemus,exaquissemus,We should have drained
Active Subjunctive,Pluperfect,2nd Person,Singular,exaquisses,exaquisses,exaquisses,exaquisses,You would have drained
Active Subjunctive,Pluperfect,2nd Person,Plural,exaquissetis,exaquissetis,exaquissetis,exaquissetis,You (pl.) would have drained
Active Subjunctive,Pluperfect,3rd Person,Singular,exaquisset,exaquisset,exaquisset,exaquisset,He/she/it would have drained
Active Subjunctive,Pluperfect,3rd Person,Plural,exaquissent,exaquissent,exaquissent,exaquissent,They would have drained
Passive Subjunctive,Present,1st Person,Singular,exaquer,exaquer,exaquar,exaquar,I may be drained
Passive Subjunctive,Present,1st Person,Plural,exaquemur,exaquemur,exaquamur,exaquamur,We may be drained
Passive Subjunctive,Present,2nd Person,Singular,exaqueris,exaqueris,exaquaris,exaquaris,You may be drained
Passive Subjunctive,Present,2nd Person,Plural,exaquemini,exaquemini,exaquamini,exaquamini,You (pl.) may be drained
Passive Subjunctive,Present,3rd Person,Singular,exaquetur,exaquetur,exaquatur,exaquatur,He/she/it may be drained
Passive Subjunctive,Present,3rd Person,Plural,exaquentur,exaquentur,exaquantur,exaquantur,They may be drained
Passive Subjunctive,Imperfect,1st Person,Singular,exaquarer,exaquerer,exaquerer,exaquirer,I should be drained
