Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,excado,excadeo,excado,excadio,I fall out
Active Indicative,Present,1st Person,Plural,excadamus,excademus,excadimus,excadimus,We fall out
Active Indicative,Present,2nd Person,Singular,excadas,excades,excadis,excadis,You fall out
Active Indicative,Present,2nd Person,Plural,excadatis,excadetis,excaditis,excaditis,You (pl.) fall out
Active Indicative,Present,3rd Person,Singular,excadat,excadet,excadit,excadit,He/she/it fall out
Active Indicative,Present,3rd Person,Plural,excadant,excadent,excadiunt,excadiunt,They fall out
Active Indicative,Imperfect,1st Person,Singular,excadabam,excadebam,excadebam,excadiebam,I was fall outing
Active Indicative,Imperfect,1st Person,Plural,excadabamus,excadebamus,excadebamus,excadiebamus,We were fall outing
Active Indicative,Imperfect,2nd Person,Singular,excadabas,excadebas,excadebas,excadiebas,You were fall outing
Active Indicative,Imperfect,2nd Person,Plural,excadabatis,excadebatis,excadebatis,excadiebatis,You (pl.) were fall outing
Active Indicative,Imperfect,3rd Person,Singular,excadabat,excadebat,excadebat,excadiebat,He/she/it was fall outing
Active Indicative,Imperfect,3rd Person,Plural,excadabant,excadebant,excadebant,excadiebant,They were fall outing
Active Indicative,Future,1st Person,Singular,excadabo,excadebo,excadam,excadiam,I will fall out
Active Indicative,Future,1st Person,Plural,excadabimus,excadebimus,excademus,excadiemus,We will fall out
Active Indicative,Future,2nd Person,Singular,excadabis,excadebis,excades,excadies,You will fall out
Active Indicative,Future,2nd Person,Plural,excadabitis,excadebitis,excadetis,excadietis,You (pl.) will fall out
Active Indicative,Future,3rd Person,Singular,excadabit,excadebit,excadet,excadiet,He/she/it will fall out
Active Indicative,Future,3rd Person,Plural,excadabunt,excadebunt,excadent,excadient,They will fall out
Active Indicative,Perfect,1st Person,Singular,excadavi,excadui,excadi,excadi,I have fall outed
Active Indicative,Perfect,1st Person,Plural,excadavimus,excaduimus,excadimus,excadimus,We have fall outed
Active Indicative,Perfect,2nd Person,Singular,excadavisti,excaduisti,excadisti,excadisti,You have fall outed
Active Indicative,Perfect,2nd Person,Plural,excadavistis,excaduistis,excadistis,excadistis,You (pl.) have fall outed
Active Indicative,Perfect,3rd Person,Singular,excadavit,excaduit,excadit,excadit,He/she/it has fall outed
