Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,excadesco,excadesceo,excadesco,excadescio,I forget
Active Indicative,Present,1st Person,Plural,excadescamus,excadescemus,excadescimus,excadescimus,We forget
Active Indicative,Present,2nd Person,Singular,excadescas,excadesces,excadescis,excadescis,You forget
Active Indicative,Present,2nd Person,Plural,excadescatis,excadescetis,excadescitis,excadescitis,You (pl.) forget
Active Indicative,Present,3rd Person,Singular,excadescat,excadescet,excadescit,excadescit,He/she/it forget
Active Indicative,Present,3rd Person,Plural,excadescant,excadescent,excadesciunt,excadesciunt,They forget
Active Indicative,Imperfect,1st Person,Singular,excadescabam,excadescebam,excadescebam,excadesciebam,I was forgeting
Active Indicative,Imperfect,1st Person,Plural,excadescabamus,excadescebamus,excadescebamus,excadesciebamus,We were forgeting
Active Indicative,Imperfect,2nd Person,Singular,excadescabas,excadescebas,excadescebas,excadesciebas,You were forgeting
Active Indicative,Imperfect,2nd Person,Plural,excadescabatis,excadescebatis,excadescebatis,excadesciebatis,You (pl.) were forgeting
Active Indicative,Imperfect,3rd Person,Singular,excadescabat,excadescebat,excadescebat,excadesciebat,He/she/it was forgeting
Active Indicative,Imperfect,3rd Person,Plural,excadescabant,excadescebant,excadescebant,excadesciebant,They were forgeting
Active Indicative,Future,1st Person,Singular,excadescabo,excadescebo,excadescam,excadesciam,I will forget
Active Indicative,Future,1st Person,Plural,excadescabimus,excadescebimus,excadescemus,excadesciemus,We will forget
Active Indicative,Future,2nd Person,Singular,excadescabis,excadescebis,excadesces,excadescies,You will forget
Active Indicative,Future,2nd Person,Plural,excadescabitis,excadescebitis,excadescetis,excadescietis,You (pl.) will forget
Active Indicative,Future,3rd Person,Singular,excadescabit,excadescebit,excadescet,excadesciet,He/she/it will forget
Active Indicative,Future,3rd Person,Plural,excadescabunt,excadescebunt,excadescent,excadescient,They will forget
Active Indicative,Perfect,1st Person,Singular,excadescavi,excadescui,excadesci,excadesci,I have forgeted
Active Indicative,Perfect,1st Person,Plural,excadescavimus,excadescuimus,excadescimus,excadescimus,We have forgeted
Active Indicative,Perfect,2nd Person,Singular,excadescavisti,excadescuisti,excadescisti,excadescisti,You have forgeted
Active Indicative,Perfect,2nd Person,Plural,excadescavistis,excadescuistis,excadescistis,excadescistis,You (pl.) have forgeted
Active Indicative,Perfect,3rd Person,Singular,excadescavit,excadescuit,excadescit,excadescit,He/she/it has forgeted
Active Indicative,Perfect,3rd Person,Plural,excadescaverunt,excadescuerunt,excadescerunt,excadescerunt,They have forgeted
Active Indicative,Pluperfect,1st Person,Singular,excadescaveram,excadescueram,excadesceram,excadesceram,I had forgeted
Active Indicative,Pluperfect,1st Person,Plural,excadescaveramus,excadescueramus,excadesceramus,excadesceramus,We had forgeted
Active Indicative,Pluperfect,2nd Person,Singular,excadescaveras,excadescueras,excadesceras,excadesceras,You had forgeted
Active Indicative,Pluperfect,2nd Person,Plural,excadescaveratis,excadescueratis,excadesceratis,excadesceratis,You (pl.) had forgeted
Active Indicative,Pluperfect,3rd Person,Singular,excadescaverat,excadescuerat,excadescerat,excadescerat,He/she/it had forgeted
Active Indicative,Pluperfect,3rd Person,Plural,excadescaverant,excadescuerant,excadescerant,excadescerant,They had forgeted
Active Indicative,Future Perfect,1st Person,Singular,excadescavero,excadescueero,excadescero,excadesciero,I will have forgeted
Active Indicative,Future Perfect,1st Person,Plural,excadescaverimus,excadescuerimus,excadescerimus,excadescierimus,We will have forgeted
Active Indicative,Future Perfect,2nd Person,Singular,excadescaveris,excadescueris,excadesceris,excadescieris,You will have forgeted
Active Indicative,Future Perfect,2nd Person,Plural,excadescaveritis,excadescueritis,excadesceritis,excadescieritis,You (pl.) will have forgeted
Active Indicative,Future Perfect,3rd Person,Singular,excadescaverit,excadescuerit,excadescerit,excadescierit,He/she/it will have forgeted
Active Indicative,Future Perfect,3rd Person,Plural,excadescaverint,excadescuerint,excadescerint,excadescierint,They will have forgeted
Passive Indicative,Present,1st Person,Singular,excadescor,excadesceor,excadescor,excadescior,I am being forgeted
Passive Indicative,Present,1st Person,Plural,excadescamur,excadescemur,excadescimur,excadescimur,We are being forgeted
Passive Indicative,Present,2nd Person,Singular,excadescaris,excadesceris,excadesciris,excadesciris,You are being forgeted
Passive Indicative,Present,2nd Person,Plural,excadescamini,excadescemini,excadescimini,excadescimini,You (pl.) are being forgeted
Passive Indicative,Present,3rd Person,Singular,excadescatur,excadescetur,excadescitur,excadescitur,He/she/it is being forgeted
Passive Indicative,Present,3rd Person,Plural,excadescantur,excadescentur,excadesciuntur,excadesciuntur,They are being forgeted
Passive Indicative,Imperfect,1st Person,Singular,excadescabar,excadescebar,excadescebar,excadesciebar,I was forgeted
Passive Indicative,Imperfect,1st Person,Plural,excadescabamur,excadescebamur,excadescebamur,excadesciebamur,We were forgeted
Passive Indicative,Imperfect,2nd Person,Singular,excadescabaris,excadescebaris,excadescebaris,excadesciebaris,You were forgeted
Passive Indicative,Imperfect,2nd Person,Plural,excadescabamini,excadescebamini,excadescebamini,excadesciebamini,You (pl.) were forgeted
Passive Indicative,Imperfect,3rd Person,Singular,excadescabatur,excadescebatur,excadescebatur,excadesciebatur,He/she/it was forgeted
Passive Indicative,Imperfect,3rd Person,Plural,excadescabantur,excadescebantur,excadescebantur,excadesciebantur,They were forgeted
