Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,excambio,excambieo,excambio,excambio,I exchange
Active Indicative,Present,1st Person,Plural,excambiamus,excambiemus,excambimus,excambimus,We exchange
Active Indicative,Present,2nd Person,Singular,excambias,excambies,excambis,excambis,You exchange
Active Indicative,Present,2nd Person,Plural,excambiatis,excambietis,excambitis,excambitis,You (pl.) exchange
Active Indicative,Present,3rd Person,Singular,excambiat,excambiet,excambit,excambit,He/she/it exchange
Active Indicative,Present,3rd Person,Plural,excambiant,excambient,excambiunt,excambiunt,They exchange
Active Indicative,Imperfect,1st Person,Singular,excambiabam,excambiebam,excambiebam,excambiebam,I was exchangeing
Active Indicative,Imperfect,1st Person,Plural,excambiabamus,excambiebamus,excambiebamus,excambiebamus,We were exchangeing
Active Indicative,Imperfect,2nd Person,Singular,excambiabas,excambiebas,excambiebas,excambiebas,You were exchangeing
Active Indicative,Imperfect,2nd Person,Plural,excambiabatis,excambiebatis,excambiebatis,excambiebatis,You (pl.) were exchangeing
Active Indicative,Imperfect,3rd Person,Singular,excambiabat,excambiebat,excambiebat,excambiebat,He/she/it was exchangeing
Active Indicative,Imperfect,3rd Person,Plural,excambiabant,excambiebant,excambiebant,excambiebant,They were exchangeing
Active Indicative,Future,1st Person,Singular,excambiabo,excambiebo,excambiam,excambiam,I will exchange
Active Indicative,Future,1st Person,Plural,excambiabimus,excambiebimus,excambiemus,excambiemus,We will exchange
Active Indicative,Future,2nd Person,Singular,excambiabis,excambiebis,excambies,excambies,You will exchange
Active Indicative,Future,2nd Person,Plural,excambiabitis,excambiebitis,excambietis,excambietis,You (pl.) will exchange
Active Indicative,Future,3rd Person,Singular,excambiabit,excambiebit,excambiet,excambiet,He/she/it will exchange
Active Indicative,Future,3rd Person,Plural,excambiabunt,excambiebunt,excambient,excambient,They will exchange
Active Indicative,Perfect,1st Person,Singular,excambiavi,excambiui,excambi,excambi,I have exchangeed
Active Indicative,Perfect,1st Person,Plural,excambiavimus,excambiuimus,excambimus,excambimus,We have exchangeed
Active Indicative,Perfect,2nd Person,Singular,excambiavisti,excambiuisti,excambisti,excambisti,You have exchangeed
Active Indicative,Perfect,2nd Person,Plural,excambiavistis,excambiuistis,excambistis,excambistis,You (pl.) have exchangeed
Active Indicative,Perfect,3rd Person,Singular,excambiavit,excambiuit,excambit,excambit,He/she/it has exchangeed
Active Indicative,Perfect,3rd Person,Plural,excambiaverunt,excambiuerunt,excambierunt,excambierunt,They have exchangeed
Active Indicative,Pluperfect,1st Person,Singular,excambiaveram,excambiueram,excambieram,excambieram,I had exchangeed
Active Indicative,Pluperfect,1st Person,Plural,excambiaveramus,excambiueramus,excambieramus,excambieramus,We had exchangeed
Active Indicative,Pluperfect,2nd Person,Singular,excambiaveras,excambiueras,excambieras,excambieras,You had exchangeed
Active Indicative,Pluperfect,2nd Person,Plural,excambiaveratis,excambiueratis,excambieratis,excambieratis,You (pl.) had exchangeed
Active Indicative,Pluperfect,3rd Person,Singular,excambiaverat,excambiuerat,excambierat,excambierat,He/she/it had exchangeed
Active Indicative,Pluperfect,3rd Person,Plural,excambiaverant,excambiuerant,excambierant,excambierant,They had exchangeed
Active Indicative,Future Perfect,1st Person,Singular,excambiavero,excambiueero,excambiero,excambiero,I will have exchangeed
Active Indicative,Future Perfect,1st Person,Plural,excambiaverimus,excambiuerimus,excambierimus,excambierimus,We will have exchangeed
Active Indicative,Future Perfect,2nd Person,Singular,excambiaveris,excambiueris,excambieris,excambieris,You will have exchangeed
Active Indicative,Future Perfect,2nd Person,Plural,excambiaveritis,excambiueritis,excambieritis,excambieritis,You (pl.) will have exchangeed
