Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,excido,excideo,excido,excidio,I fall out
Active Indicative,Present,1st Person,Plural,excidamus,excidemus,excidimus,excidimus,We fall out
Active Indicative,Present,2nd Person,Singular,excidas,excides,excidis,excidis,You fall out
Active Indicative,Present,2nd Person,Plural,excidatis,excidetis,exciditis,exciditis,You (pl.) fall out
Active Indicative,Present,3rd Person,Singular,excidat,excidet,excidit,excidit,He/she/it fall out
Active Indicative,Present,3rd Person,Plural,excidant,excident,excidiunt,excidiunt,They fall out
Active Indicative,Imperfect,1st Person,Singular,excidabam,excidebam,excidebam,excidiebam,I was fall outing
Active Indicative,Imperfect,1st Person,Plural,excidabamus,excidebamus,excidebamus,excidiebamus,We were fall outing
Active Indicative,Imperfect,2nd Person,Singular,excidabas,excidebas,excidebas,excidiebas,You were fall outing
Active Indicative,Imperfect,2nd Person,Plural,excidabatis,excidebatis,excidebatis,excidiebatis,You (pl.) were fall outing
Active Indicative,Imperfect,3rd Person,Singular,excidabat,excidebat,excidebat,excidiebat,He/she/it was fall outing
Active Indicative,Imperfect,3rd Person,Plural,excidabant,excidebant,excidebant,excidiebant,They were fall outing
Active Indicative,Future,1st Person,Singular,excidabo,excidebo,excidam,excidiam,I will fall out
Active Indicative,Future,1st Person,Plural,excidabimus,excidebimus,excidemus,excidiemus,We will fall out
Active Indicative,Future,2nd Person,Singular,excidabis,excidebis,excides,excidies,You will fall out
Active Indicative,Future,2nd Person,Plural,excidabitis,excidebitis,excidetis,excidietis,You (pl.) will fall out
Active Indicative,Future,3rd Person,Singular,excidabit,excidebit,excidet,excidiet,He/she/it will fall out
Active Indicative,Future,3rd Person,Plural,excidabunt,excidebunt,excident,excidient,They will fall out
Active Indicative,Perfect,1st Person,Singular,excidavi,excidui,excidi,excidi,I have fall outed
Active Indicative,Perfect,1st Person,Plural,excidavimus,exciduimus,excidimus,excidimus,We have fall outed
Active Indicative,Perfect,2nd Person,Singular,excidavisti,exciduisti,excidisti,excidisti,You have fall outed
Active Indicative,Perfect,2nd Person,Plural,excidavistis,exciduistis,excidistis,excidistis,You (pl.) have fall outed
Active Indicative,Perfect,3rd Person,Singular,excidavit,exciduit,excidit,excidit,He/she/it has fall outed
Active Indicative,Perfect,3rd Person,Plural,excidaverunt,exciduerunt,exciderunt,exciderunt,They have fall outed
Active Indicative,Pluperfect,1st Person,Singular,excidaveram,excidueram,excideram,excideram,I had fall outed
Active Indicative,Pluperfect,1st Person,Plural,excidaveramus,excidueramus,excideramus,excideramus,We had fall outed
Active Indicative,Pluperfect,2nd Person,Singular,excidaveras,excidueras,excideras,excideras,You had fall outed
Active Indicative,Pluperfect,2nd Person,Plural,excidaveratis,excidueratis,excideratis,excideratis,You (pl.) had fall outed
Active Indicative,Pluperfect,3rd Person,Singular,excidaverat,exciduerat,exciderat,exciderat,He/she/it had fall outed
Active Indicative,Pluperfect,3rd Person,Plural,excidaverant,exciduerant,exciderant,exciderant,They had fall outed
Active Indicative,Future Perfect,1st Person,Singular,excidavero,excidueero,excidero,excidiero,I will have fall outed
Active Indicative,Future Perfect,1st Person,Plural,excidaverimus,exciduerimus,exciderimus,excidierimus,We will have fall outed
Active Indicative,Future Perfect,2nd Person,Singular,excidaveris,excidueris,excideris,excidieris,You will have fall outed
Active Indicative,Future Perfect,2nd Person,Plural,excidaveritis,excidueritis,excideritis,excidieritis,You (pl.) will have fall outed
Active Indicative,Future Perfect,3rd Person,Singular,excidaverit,exciduerit,exciderit,excidierit,He/she/it will have fall outed
Active Indicative,Future Perfect,3rd Person,Plural,excidaverint,exciduerint,exciderint,excidierint,They will have fall outed
Passive Indicative,Present,1st Person,Singular,excidor,excideor,excidor,excidior,I am being fall outed
Passive Indicative,Present,1st Person,Plural,excidamur,excidemur,excidimur,excidimur,We are being fall outed
Passive Indicative,Present,2nd Person,Singular,excidaris,excideris,excidiris,excidiris,You are being fall outed
