Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exconspuo,exconspueo,exconspuo,exconspuio,I spit
Active Indicative,Present,1st Person,Plural,exconspuamus,exconspuemus,exconspuimus,exconspuimus,We spit
Active Indicative,Present,2nd Person,Singular,exconspuas,exconspues,exconspuis,exconspuis,You spit
Active Indicative,Present,2nd Person,Plural,exconspuatis,exconspuetis,exconspuitis,exconspuitis,You (pl.) spit
Active Indicative,Present,3rd Person,Singular,exconspuat,exconspuet,exconspuit,exconspuit,He/she/it spit
Active Indicative,Present,3rd Person,Plural,exconspuant,exconspuent,exconspuiunt,exconspuiunt,They spit
Active Indicative,Imperfect,1st Person,Singular,exconspuabam,exconspuebam,exconspuebam,exconspuiebam,I was spiting
Active Indicative,Imperfect,1st Person,Plural,exconspuabamus,exconspuebamus,exconspuebamus,exconspuiebamus,We were spiting
Active Indicative,Imperfect,2nd Person,Singular,exconspuabas,exconspuebas,exconspuebas,exconspuiebas,You were spiting
Active Indicative,Imperfect,2nd Person,Plural,exconspuabatis,exconspuebatis,exconspuebatis,exconspuiebatis,You (pl.) were spiting
Active Indicative,Imperfect,3rd Person,Singular,exconspuabat,exconspuebat,exconspuebat,exconspuiebat,He/she/it was spiting
Active Indicative,Imperfect,3rd Person,Plural,exconspuabant,exconspuebant,exconspuebant,exconspuiebant,They were spiting
Active Indicative,Future,1st Person,Singular,exconspuabo,exconspuebo,exconspuam,exconspuiam,I will spit
Active Indicative,Future,1st Person,Plural,exconspuabimus,exconspuebimus,exconspuemus,exconspuiemus,We will spit
Active Indicative,Future,2nd Person,Singular,exconspuabis,exconspuebis,exconspues,exconspuies,You will spit
Active Indicative,Future,2nd Person,Plural,exconspuabitis,exconspuebitis,exconspuetis,exconspuietis,You (pl.) will spit
Active Indicative,Future,3rd Person,Singular,exconspuabit,exconspuebit,exconspuet,exconspuiet,He/she/it will spit
Active Indicative,Future,3rd Person,Plural,exconspuabunt,exconspuebunt,exconspuent,exconspuient,They will spit
Active Indicative,Perfect,1st Person,Singular,exconspuavi,exconspui,exconspui,exconspui,I have spited
Active Indicative,Perfect,1st Person,Plural,exconspuavimus,exconspuimus,exconspuimus,exconspuimus,We have spited
Active Indicative,Perfect,2nd Person,Singular,exconspuavisti,exconspuisti,exconspuisti,exconspuisti,You have spited
Active Indicative,Perfect,2nd Person,Plural,exconspuavistis,exconspuistis,exconspuistis,exconspuistis,You (pl.) have spited
Active Indicative,Perfect,3rd Person,Singular,exconspuavit,exconspuit,exconspuit,exconspuit,He/she/it has spited
Active Indicative,Perfect,3rd Person,Plural,exconspuaverunt,exconspuerunt,exconspuerunt,exconspuerunt,They have spited
Active Indicative,Pluperfect,1st Person,Singular,exconspuaveram,exconspueram,exconspueram,exconspueram,I had spited
Active Indicative,Pluperfect,1st Person,Plural,exconspuaveramus,exconspueramus,exconspueramus,exconspueramus,We had spited
Active Indicative,Pluperfect,2nd Person,Singular,exconspuaveras,exconspueras,exconspueras,exconspueras,You had spited
Active Indicative,Pluperfect,2nd Person,Plural,exconspuaveratis,exconspueratis,exconspueratis,exconspueratis,You (pl.) had spited
Active Indicative,Pluperfect,3rd Person,Singular,exconspuaverat,exconspuerat,exconspuerat,exconspuerat,He/she/it had spited
Active Indicative,Pluperfect,3rd Person,Plural,exconspuaverant,exconspuerant,exconspuerant,exconspuerant,They had spited
Active Indicative,Future Perfect,1st Person,Singular,exconspuavero,exconspueero,exconspuero,exconspuiero,I will have spited
Active Indicative,Future Perfect,1st Person,Plural,exconspuaverimus,exconspuerimus,exconspuerimus,exconspuierimus,We will have spited
Active Indicative,Future Perfect,2nd Person,Singular,exconspuaveris,exconspueris,exconspueris,exconspuieris,You will have spited
Active Indicative,Future Perfect,2nd Person,Plural,exconspuaveritis,exconspueritis,exconspueritis,exconspuieritis,You (pl.) will have spited
Active Indicative,Future Perfect,3rd Person,Singular,exconspuaverit,exconspuerit,exconspuerit,exconspuierit,He/she/it will have spited
Active Indicative,Future Perfect,3rd Person,Plural,exconspuaverint,exconspuerint,exconspuerint,exconspuierint,They will have spited
Passive Indicative,Present,1st Person,Singular,exconspuor,exconspueor,exconspuor,exconspuior,I am being spited
Passive Indicative,Present,1st Person,Plural,exconspuamur,exconspuemur,exconspuimur,exconspuimur,We are being spited
Passive Indicative,Present,2nd Person,Singular,exconspuaris,exconspueris,exconspuiris,exconspuiris,You are being spited
Passive Indicative,Present,2nd Person,Plural,exconspuamini,exconspuemini,exconspuimini,exconspuimini,You (pl.) are being spited
Passive Indicative,Present,3rd Person,Singular,exconspuatur,exconspuetur,exconspuitur,exconspuitur,He/she/it is being spited
Passive Indicative,Present,3rd Person,Plural,exconspuantur,exconspuentur,exconspuiuntur,exconspuiuntur,They are being spited
Passive Indicative,Imperfect,1st Person,Singular,exconspuabar,exconspuebar,exconspuebar,exconspuiebar,I was spited
