Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,excuto,excuteo,excuto,excutio,I shake off
Active Indicative,Present,1st Person,Plural,excutamus,excutemus,excutimus,excutimus,We shake off
Active Indicative,Present,2nd Person,Singular,excutas,excutes,excutis,excutis,You shake off
Active Indicative,Present,2nd Person,Plural,excutatis,excutetis,excutitis,excutitis,You (pl.) shake off
Active Indicative,Present,3rd Person,Singular,excutat,excutet,excutit,excutit,He/she/it shake off
Active Indicative,Present,3rd Person,Plural,excutant,excutent,excutiunt,excutiunt,They shake off
Active Indicative,Imperfect,1st Person,Singular,excutabam,excutebam,excutebam,excutiebam,I was shake offing
Active Indicative,Imperfect,1st Person,Plural,excutabamus,excutebamus,excutebamus,excutiebamus,We were shake offing
Active Indicative,Imperfect,2nd Person,Singular,excutabas,excutebas,excutebas,excutiebas,You were shake offing
Active Indicative,Imperfect,2nd Person,Plural,excutabatis,excutebatis,excutebatis,excutiebatis,You (pl.) were shake offing
Active Indicative,Imperfect,3rd Person,Singular,excutabat,excutebat,excutebat,excutiebat,He/she/it was shake offing
Active Indicative,Imperfect,3rd Person,Plural,excutabant,excutebant,excutebant,excutiebant,They were shake offing
Active Indicative,Future,1st Person,Singular,excutabo,excutebo,excutam,excutiam,I will shake off
Active Indicative,Future,1st Person,Plural,excutabimus,excutebimus,excutemus,excutiemus,We will shake off
Active Indicative,Future,2nd Person,Singular,excutabis,excutebis,excutes,excuties,You will shake off
Active Indicative,Future,2nd Person,Plural,excutabitis,excutebitis,excutetis,excutietis,You (pl.) will shake off
Active Indicative,Future,3rd Person,Singular,excutabit,excutebit,excutet,excutiet,He/she/it will shake off
Active Indicative,Future,3rd Person,Plural,excutabunt,excutebunt,excutent,excutient,They will shake off
Active Indicative,Perfect,1st Person,Singular,excutavi,excutui,excuti,excuti,I have shake offed
Active Indicative,Perfect,1st Person,Plural,excutavimus,excutuimus,excutimus,excutimus,We have shake offed
Active Indicative,Perfect,2nd Person,Singular,excutavisti,excutuisti,excutisti,excutisti,You have shake offed
Active Indicative,Perfect,2nd Person,Plural,excutavistis,excutuistis,excutistis,excutistis,You (pl.) have shake offed
Active Indicative,Perfect,3rd Person,Singular,excutavit,excutuit,excutit,excutit,He/she/it has shake offed
Active Indicative,Perfect,3rd Person,Plural,excutaverunt,excutuerunt,excuterunt,excuterunt,They have shake offed
Active Indicative,Pluperfect,1st Person,Singular,excutaveram,excutueram,excuteram,excuteram,I had shake offed
Active Indicative,Pluperfect,1st Person,Plural,excutaveramus,excutueramus,excuteramus,excuteramus,We had shake offed
Active Indicative,Pluperfect,2nd Person,Singular,excutaveras,excutueras,excuteras,excuteras,You had shake offed
Active Indicative,Pluperfect,2nd Person,Plural,excutaveratis,excutueratis,excuteratis,excuteratis,You (pl.) had shake offed
Active Indicative,Pluperfect,3rd Person,Singular,excutaverat,excutuerat,excuterat,excuterat,He/she/it had shake offed
Active Indicative,Pluperfect,3rd Person,Plural,excutaverant,excutuerant,excuterant,excuterant,They had shake offed
Active Indicative,Future Perfect,1st Person,Singular,excutavero,excutueero,excutero,excutiero,I will have shake offed
Active Indicative,Future Perfect,1st Person,Plural,excutaverimus,excutuerimus,excuterimus,excutierimus,We will have shake offed
Active Indicative,Future Perfect,2nd Person,Singular,excutaveris,excutueris,excuteris,excutieris,You will have shake offed
Active Indicative,Future Perfect,2nd Person,Plural,excutaveritis,excutueritis,excuteritis,excutieritis,You (pl.) will have shake offed
Active Indicative,Future Perfect,3rd Person,Singular,excutaverit,excutuerit,excuterit,excutierit,He/she/it will have shake offed
Active Indicative,Future Perfect,3rd Person,Plural,excutaverint,excutuerint,excuterint,excutierint,They will have shake offed
Passive Indicative,Present,1st Person,Singular,excutor,excuteor,excutor,excutior,I am being shake offed
Passive Indicative,Present,1st Person,Plural,excutamur,excutemur,excutimur,excutimur,We are being shake offed
Passive Indicative,Present,2nd Person,Singular,excutaris,excuteris,excutiris,excutiris,You are being shake offed
Passive Indicative,Present,2nd Person,Plural,excutamini,excutemini,excutimini,excutimini,You (pl.) are being shake offed
Passive Indicative,Present,3rd Person,Singular,excutatur,excutetur,excutitur,excutitur,He/she/it is being shake offed
Passive Indicative,Present,3rd Person,Plural,excutantur,excutentur,excutiuntur,excutiuntur,They are being shake offed
Passive Indicative,Imperfect,1st Person,Singular,excutabar,excutebar,excutebar,excutiebar,I was shake offed
Passive Indicative,Imperfect,1st Person,Plural,excutabamur,excutebamur,excutebamur,excutiebamur,We were shake offed
Passive Indicative,Imperfect,2nd Person,Singular,excutabaris,excutebaris,excutebaris,excutiebaris,You were shake offed
Passive Indicative,Imperfect,2nd Person,Plural,excutabamini,excutebamini,excutebamini,excutiebamini,You (pl.) were shake offed
Passive Indicative,Imperfect,3rd Person,Singular,excutabatur,excutebatur,excutebatur,excutiebatur,He/she/it was shake offed
Passive Indicative,Imperfect,3rd Person,Plural,excutabantur,excutebantur,excutebantur,excutiebantur,They were shake offed
Passive Indicative,Future,1st Person,Singular,excutabor,excutebor,excutar,excutiar,I will be shake offed
Passive Indicative,Future,1st Person,Plural,excutabimur,excutebimur,excutemur,excutiemur,We will be shake offed
Passive Indicative,Future,2nd Person,Singular,excutaberis,excuteberis,excuteris,excutieris,You will be shake offed
Passive Indicative,Future,2nd Person,Plural,excutabimini,excutebimini,excutemini,excutiemini,You (pl.) will be shake offed
Passive Indicative,Future,3rd Person,Singular,excutabitur,excutebitur,excutetur,excutietur,He/she/it will be shake offed
Passive Indicative,Future,3rd Person,Plural,excutabuntur,excutebuntur,excutentur,excutientur,They will be shake offed
Passive Indicative,Perfect,1st Person,Singular,excutatus sum,excutetus sum,excutus sum,excutus sum,I have been shake offed
Passive Indicative,Perfect,1st Person,Plural,excutati sumus,excuteti sumus,excuti sumus,excuti sumus,We have been shake offed
Passive Indicative,Perfect,2nd Person,Singular,excutatus es,excutetus es,excutus es,excutus es,You have been shake offed
Passive Indicative,Perfect,2nd Person,Plural,excutati estis,excuteti estis,excuti estis,excuti estis,You (pl.) have been shake offed
Passive Indicative,Perfect,3rd Person,Singular,excutatus est,excutetus est,excutus est,excutus est,He/she/it has been shake offed
Passive Indicative,Perfect,3rd Person,Plural,excutati sunt,excuteti sunt,excuti sunt,excuti sunt,They have been shake offed
Passive Indicative,Pluperfect,1st Person,Singular,excutatus eram,excutetus eram,excutus eram,excutus eram,I had been shake offed
Passive Indicative,Pluperfect,1st Person,Plural,excutati eramus,excuteti eramus,excuti eramus,excuti eramus,We had been shake offed
Passive Indicative,Pluperfect,2nd Person,Singular,excutatus eras,excutetus eras,excutus eras,excutus eras,You had been shake offed
Passive Indicative,Pluperfect,2nd Person,Plural,excutati eratis,excuteti eratis,excuti eratis,excuti eratis,You (pl.) had been shake offed
Passive Indicative,Pluperfect,3rd Person,Singular,excutatus erat,excutetus erat,excutus erat,excutus erat,He/she/it had been shake offed
Passive Indicative,Pluperfect,3rd Person,Plural,excutati erant,excuteti erant,excuti erant,excuti erant,They had been shake offed
Passive Indicative,Future Perfect,1st Person,Singular,excutatus ero,excutetus ero,excutus ero,excutus ero,I will have been shake offed
Passive Indicative,Future Perfect,1st Person,Plural,excutati erimus,excuteti erimus,excuti erimus,excuti erimus,We will have been shake offed
Passive Indicative,Future Perfect,2nd Person,Singular,excutatus eris,excutetus eris,excutus eris,excutus eris,You will have been shake offed
Passive Indicative,Future Perfect,2nd Person,Plural,excutati eritis,excuteti eritis,excuti eritis,excuti eritis,You (pl.) will have been shake offed
Passive Indicative,Future Perfect,3rd Person,Singular,excutatus erit,excutetus erit,excutus erit,excutus erit,He/she/it will have been shake offed
Passive Indicative,Future Perfect,3rd Person,Plural,excutati erunt,excuteti erunt,excuti erunt,excuti erunt,They will have been shake offed
Active Subjunctive,Present,1st Person,Singular,excutem,excutem,excutam,excutam,I may shake off
Active Subjunctive,Present,1st Person,Plural,excutemus,excutemus,excutamus,excutamus,We may shake off
Active Subjunctive,Present,2nd Person,Singular,excutes,excutes,excutas,excutas,You may shake off
