Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,excutulo,excutuleo,excutulo,excutulio,I shake off
Active Indicative,Present,1st Person,Plural,excutulamus,excutulemus,excutulimus,excutulimus,We shake off
Active Indicative,Present,2nd Person,Singular,excutulas,excutules,excutulis,excutulis,You shake off
Active Indicative,Present,2nd Person,Plural,excutulatis,excutuletis,excutulitis,excutulitis,You (pl.) shake off
Active Indicative,Present,3rd Person,Singular,excutulat,excutulet,excutulit,excutulit,He/she/it shake off
Active Indicative,Present,3rd Person,Plural,excutulant,excutulent,excutuliunt,excutuliunt,They shake off
Active Indicative,Imperfect,1st Person,Singular,excutulabam,excutulebam,excutulebam,excutuliebam,I was shake offing
Active Indicative,Imperfect,1st Person,Plural,excutulabamus,excutulebamus,excutulebamus,excutuliebamus,We were shake offing
Active Indicative,Imperfect,2nd Person,Singular,excutulabas,excutulebas,excutulebas,excutuliebas,You were shake offing
Active Indicative,Imperfect,2nd Person,Plural,excutulabatis,excutulebatis,excutulebatis,excutuliebatis,You (pl.) were shake offing
Active Indicative,Imperfect,3rd Person,Singular,excutulabat,excutulebat,excutulebat,excutuliebat,He/she/it was shake offing
Active Indicative,Imperfect,3rd Person,Plural,excutulabant,excutulebant,excutulebant,excutuliebant,They were shake offing
Active Indicative,Future,1st Person,Singular,excutulabo,excutulebo,excutulam,excutuliam,I will shake off
Active Indicative,Future,1st Person,Plural,excutulabimus,excutulebimus,excutulemus,excutuliemus,We will shake off
Active Indicative,Future,2nd Person,Singular,excutulabis,excutulebis,excutules,excutulies,You will shake off
Active Indicative,Future,2nd Person,Plural,excutulabitis,excutulebitis,excutuletis,excutulietis,You (pl.) will shake off
Active Indicative,Future,3rd Person,Singular,excutulabit,excutulebit,excutulet,excutuliet,He/she/it will shake off
Active Indicative,Future,3rd Person,Plural,excutulabunt,excutulebunt,excutulent,excutulient,They will shake off
Active Indicative,Perfect,1st Person,Singular,excutulavi,excutului,excutuli,excutuli,I have shake offed
Active Indicative,Perfect,1st Person,Plural,excutulavimus,excutuluimus,excutulimus,excutulimus,We have shake offed
Active Indicative,Perfect,2nd Person,Singular,excutulavisti,excutuluisti,excutulisti,excutulisti,You have shake offed
Active Indicative,Perfect,2nd Person,Plural,excutulavistis,excutuluistis,excutulistis,excutulistis,You (pl.) have shake offed
Active Indicative,Perfect,3rd Person,Singular,excutulavit,excutuluit,excutulit,excutulit,He/she/it has shake offed
Active Indicative,Perfect,3rd Person,Plural,excutulaverunt,excutuluerunt,excutulerunt,excutulerunt,They have shake offed
Active Indicative,Pluperfect,1st Person,Singular,excutulaveram,excutulueram,excutuleram,excutuleram,I had shake offed
Active Indicative,Pluperfect,1st Person,Plural,excutulaveramus,excutulueramus,excutuleramus,excutuleramus,We had shake offed
Active Indicative,Pluperfect,2nd Person,Singular,excutulaveras,excutulueras,excutuleras,excutuleras,You had shake offed
Active Indicative,Pluperfect,2nd Person,Plural,excutulaveratis,excutulueratis,excutuleratis,excutuleratis,You (pl.) had shake offed
Active Indicative,Pluperfect,3rd Person,Singular,excutulaverat,excutuluerat,excutulerat,excutulerat,He/she/it had shake offed
Active Indicative,Pluperfect,3rd Person,Plural,excutulaverant,excutuluerant,excutulerant,excutulerant,They had shake offed
Active Indicative,Future Perfect,1st Person,Singular,excutulavero,excutulueero,excutulero,excutuliero,I will have shake offed
Active Indicative,Future Perfect,1st Person,Plural,excutulaverimus,excutuluerimus,excutulerimus,excutulierimus,We will have shake offed
Active Indicative,Future Perfect,2nd Person,Singular,excutulaveris,excutulueris,excutuleris,excutulieris,You will have shake offed
Active Indicative,Future Perfect,2nd Person,Plural,excutulaveritis,excutulueritis,excutuleritis,excutulieritis,You (pl.) will have shake offed
Active Indicative,Future Perfect,3rd Person,Singular,excutulaverit,excutuluerit,excutulerit,excutulierit,He/she/it will have shake offed
Active Indicative,Future Perfect,3rd Person,Plural,excutulaverint,excutuluerint,excutulerint,excutulierint,They will have shake offed
Passive Indicative,Present,1st Person,Singular,excutulor,excutuleor,excutulor,excutulior,I am being shake offed
Passive Indicative,Present,1st Person,Plural,excutulamur,excutulemur,excutulimur,excutulimur,We are being shake offed
