Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exeligo,exeligeo,exeligo,exeligio,I choose
Active Indicative,Present,1st Person,Plural,exeligamus,exeligemus,exeligimus,exeligimus,We choose
Active Indicative,Present,2nd Person,Singular,exeligas,exeliges,exeligis,exeligis,You choose
Active Indicative,Present,2nd Person,Plural,exeligatis,exeligetis,exeligitis,exeligitis,You (pl.) choose
Active Indicative,Present,3rd Person,Singular,exeligat,exeliget,exeligit,exeligit,He/she/it choose
Active Indicative,Present,3rd Person,Plural,exeligant,exeligent,exeligiunt,exeligiunt,They choose
Active Indicative,Imperfect,1st Person,Singular,exeligabam,exeligebam,exeligebam,exeligiebam,I was chooseing
Active Indicative,Imperfect,1st Person,Plural,exeligabamus,exeligebamus,exeligebamus,exeligiebamus,We were chooseing
Active Indicative,Imperfect,2nd Person,Singular,exeligabas,exeligebas,exeligebas,exeligiebas,You were chooseing
Active Indicative,Imperfect,2nd Person,Plural,exeligabatis,exeligebatis,exeligebatis,exeligiebatis,You (pl.) were chooseing
Active Indicative,Imperfect,3rd Person,Singular,exeligabat,exeligebat,exeligebat,exeligiebat,He/she/it was chooseing
Active Indicative,Imperfect,3rd Person,Plural,exeligabant,exeligebant,exeligebant,exeligiebant,They were chooseing
Active Indicative,Future,1st Person,Singular,exeligabo,exeligebo,exeligam,exeligiam,I will choose
Active Indicative,Future,1st Person,Plural,exeligabimus,exeligebimus,exeligemus,exeligiemus,We will choose
Active Indicative,Future,2nd Person,Singular,exeligabis,exeligebis,exeliges,exeligies,You will choose
Active Indicative,Future,2nd Person,Plural,exeligabitis,exeligebitis,exeligetis,exeligietis,You (pl.) will choose
Active Indicative,Future,3rd Person,Singular,exeligabit,exeligebit,exeliget,exeligiet,He/she/it will choose
Active Indicative,Future,3rd Person,Plural,exeligabunt,exeligebunt,exeligent,exeligient,They will choose
Active Indicative,Perfect,1st Person,Singular,exeligavi,exeligui,exeligi,exeligi,I have chooseed
