Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exfortio,exfortieo,exfortio,exfortio,I strain
Active Indicative,Present,1st Person,Plural,exfortiamus,exfortiemus,exfortimus,exfortimus,We strain
Active Indicative,Present,2nd Person,Singular,exfortias,exforties,exfortis,exfortis,You strain
Active Indicative,Present,2nd Person,Plural,exfortiatis,exfortietis,exfortitis,exfortitis,You (pl.) strain
Active Indicative,Present,3rd Person,Singular,exfortiat,exfortiet,exfortit,exfortit,He/she/it strain
Active Indicative,Present,3rd Person,Plural,exfortiant,exfortient,exfortiunt,exfortiunt,They strain
Active Indicative,Imperfect,1st Person,Singular,exfortiabam,exfortiebam,exfortiebam,exfortiebam,I was straining
Active Indicative,Imperfect,1st Person,Plural,exfortiabamus,exfortiebamus,exfortiebamus,exfortiebamus,We were straining
Active Indicative,Imperfect,2nd Person,Singular,exfortiabas,exfortiebas,exfortiebas,exfortiebas,You were straining
Active Indicative,Imperfect,2nd Person,Plural,exfortiabatis,exfortiebatis,exfortiebatis,exfortiebatis,You (pl.) were straining
Active Indicative,Imperfect,3rd Person,Singular,exfortiabat,exfortiebat,exfortiebat,exfortiebat,He/she/it was straining
Active Indicative,Imperfect,3rd Person,Plural,exfortiabant,exfortiebant,exfortiebant,exfortiebant,They were straining
Active Indicative,Future,1st Person,Singular,exfortiabo,exfortiebo,exfortiam,exfortiam,I will strain
Active Indicative,Future,1st Person,Plural,exfortiabimus,exfortiebimus,exfortiemus,exfortiemus,We will strain
Active Indicative,Future,2nd Person,Singular,exfortiabis,exfortiebis,exforties,exforties,You will strain
Active Indicative,Future,2nd Person,Plural,exfortiabitis,exfortiebitis,exfortietis,exfortietis,You (pl.) will strain
Active Indicative,Future,3rd Person,Singular,exfortiabit,exfortiebit,exfortiet,exfortiet,He/she/it will strain
Active Indicative,Future,3rd Person,Plural,exfortiabunt,exfortiebunt,exfortient,exfortient,They will strain
Active Indicative,Perfect,1st Person,Singular,exfortiavi,exfortiui,exforti,exforti,I have strained
Active Indicative,Perfect,1st Person,Plural,exfortiavimus,exfortiuimus,exfortimus,exfortimus,We have strained
Active Indicative,Perfect,2nd Person,Singular,exfortiavisti,exfortiuisti,exfortisti,exfortisti,You have strained
Active Indicative,Perfect,2nd Person,Plural,exfortiavistis,exfortiuistis,exfortistis,exfortistis,You (pl.) have strained
Active Indicative,Perfect,3rd Person,Singular,exfortiavit,exfortiuit,exfortit,exfortit,He/she/it has strained
Active Indicative,Perfect,3rd Person,Plural,exfortiaverunt,exfortiuerunt,exfortierunt,exfortierunt,They have strained
Active Indicative,Pluperfect,1st Person,Singular,exfortiaveram,exfortiueram,exfortieram,exfortieram,I had strained
Active Indicative,Pluperfect,1st Person,Plural,exfortiaveramus,exfortiueramus,exfortieramus,exfortieramus,We had strained
Active Indicative,Pluperfect,2nd Person,Singular,exfortiaveras,exfortiueras,exfortieras,exfortieras,You had strained
Active Indicative,Pluperfect,2nd Person,Plural,exfortiaveratis,exfortiueratis,exfortieratis,exfortieratis,You (pl.) had strained
Active Indicative,Pluperfect,3rd Person,Singular,exfortiaverat,exfortiuerat,exfortierat,exfortierat,He/she/it had strained
Active Indicative,Pluperfect,3rd Person,Plural,exfortiaverant,exfortiuerant,exfortierant,exfortierant,They had strained
Active Indicative,Future Perfect,1st Person,Singular,exfortiavero,exfortiueero,exfortiero,exfortiero,I will have strained
Active Indicative,Future Perfect,1st Person,Plural,exfortiaverimus,exfortiuerimus,exfortierimus,exfortierimus,We will have strained
Active Indicative,Future Perfect,2nd Person,Singular,exfortiaveris,exfortiueris,exfortieris,exfortieris,You will have strained
Active Indicative,Future Perfect,2nd Person,Plural,exfortiaveritis,exfortiueritis,exfortieritis,exfortieritis,You (pl.) will have strained
Active Indicative,Future Perfect,3rd Person,Singular,exfortiaverit,exfortiuerit,exfortierit,exfortierit,He/she/it will have strained
Active Indicative,Future Perfect,3rd Person,Plural,exfortiaverint,exfortiuerint,exfortierint,exfortierint,They will have strained
Passive Indicative,Present,1st Person,Singular,exfortior,exfortieor,exfortior,exfortior,I am being strained
Passive Indicative,Present,1st Person,Plural,exfortiamur,exfortiemur,exfortimur,exfortimur,We are being strained
Passive Indicative,Present,2nd Person,Singular,exfortiaris,exfortieris,exfortiris,exfortiris,You are being strained
Passive Indicative,Present,2nd Person,Plural,exfortiamini,exfortiemini,exfortimini,exfortimini,You (pl.) are being strained
Passive Indicative,Present,3rd Person,Singular,exfortiatur,exfortietur,exfortitur,exfortitur,He/she/it is being strained
Passive Indicative,Present,3rd Person,Plural,exfortiantur,exfortientur,exfortiuntur,exfortiuntur,They are being strained
Passive Indicative,Imperfect,1st Person,Singular,exfortiabar,exfortiebar,exfortiebar,exfortiebar,I was strained
Passive Indicative,Imperfect,1st Person,Plural,exfortiabamur,exfortiebamur,exfortiebamur,exfortiebamur,We were strained
Passive Indicative,Imperfect,2nd Person,Singular,exfortiabaris,exfortiebaris,exfortiebaris,exfortiebaris,You were strained
Passive Indicative,Imperfect,2nd Person,Plural,exfortiabamini,exfortiebamini,exfortiebamini,exfortiebamini,You (pl.) were strained
Passive Indicative,Imperfect,3rd Person,Singular,exfortiabatur,exfortiebatur,exfortiebatur,exfortiebatur,He/she/it was strained
Passive Indicative,Imperfect,3rd Person,Plural,exfortiabantur,exfortiebantur,exfortiebantur,exfortiebantur,They were strained
Passive Indicative,Future,1st Person,Singular,exfortiabor,exfortiebor,exfortiar,exfortiar,I will be strained
Passive Indicative,Future,1st Person,Plural,exfortiabimur,exfortiebimur,exfortiemur,exfortiemur,We will be strained
Passive Indicative,Future,2nd Person,Singular,exfortiaberis,exfortieberis,exfortieris,exfortieris,You will be strained
Passive Indicative,Future,2nd Person,Plural,exfortiabimini,exfortiebimini,exfortiemini,exfortiemini,You (pl.) will be strained
Passive Indicative,Future,3rd Person,Singular,exfortiabitur,exfortiebitur,exfortietur,exfortietur,He/she/it will be strained
Passive Indicative,Future,3rd Person,Plural,exfortiabuntur,exfortiebuntur,exfortientur,exfortientur,They will be strained
Passive Indicative,Perfect,1st Person,Singular,exfortiatus sum,exfortietus sum,exfortius sum,exfortius sum,I have been strained
Passive Indicative,Perfect,1st Person,Plural,exfortiati sumus,exfortieti sumus,exforti sumus,exforti sumus,We have been strained
Passive Indicative,Perfect,2nd Person,Singular,exfortiatus es,exfortietus es,exfortius es,exfortius es,You have been strained
Passive Indicative,Perfect,2nd Person,Plural,exfortiati estis,exfortieti estis,exforti estis,exforti estis,You (pl.) have been strained
Passive Indicative,Perfect,3rd Person,Singular,exfortiatus est,exfortietus est,exfortius est,exfortius est,He/she/it has been strained
Passive Indicative,Perfect,3rd Person,Plural,exfortiati sunt,exfortieti sunt,exforti sunt,exforti sunt,They have been strained
Passive Indicative,Pluperfect,1st Person,Singular,exfortiatus eram,exfortietus eram,exfortius eram,exfortius eram,I had been strained
Passive Indicative,Pluperfect,1st Person,Plural,exfortiati eramus,exfortieti eramus,exforti eramus,exforti eramus,We had been strained
Passive Indicative,Pluperfect,2nd Person,Singular,exfortiatus eras,exfortietus eras,exfortius eras,exfortius eras,You had been strained
Passive Indicative,Pluperfect,2nd Person,Plural,exfortiati eratis,exfortieti eratis,exforti eratis,exforti eratis,You (pl.) had been strained
Passive Indicative,Pluperfect,3rd Person,Singular,exfortiatus erat,exfortietus erat,exfortius erat,exfortius erat,He/she/it had been strained
Passive Indicative,Pluperfect,3rd Person,Plural,exfortiati erant,exfortieti erant,exforti erant,exforti erant,They had been strained
Passive Indicative,Future Perfect,1st Person,Singular,exfortiatus ero,exfortietus ero,exfortius ero,exfortius ero,I will have been strained
Passive Indicative,Future Perfect,1st Person,Plural,exfortiati erimus,exfortieti erimus,exforti erimus,exforti erimus,We will have been strained
Passive Indicative,Future Perfect,2nd Person,Singular,exfortiatus eris,exfortietus eris,exfortius eris,exfortius eris,You will have been strained
Passive Indicative,Future Perfect,2nd Person,Plural,exfortiati eritis,exfortieti eritis,exforti eritis,exforti eritis,You (pl.) will have been strained
Passive Indicative,Future Perfect,3rd Person,Singular,exfortiatus erit,exfortietus erit,exfortius erit,exfortius erit,He/she/it will have been strained
Passive Indicative,Future Perfect,3rd Person,Plural,exfortiati erunt,exfortieti erunt,exforti erunt,exforti erunt,They will have been strained
Active Subjunctive,Present,1st Person,Singular,exfortiem,exfortiem,exfortiam,exfortiam,I may strain
Active Subjunctive,Present,1st Person,Plural,exfortiemus,exfortiemus,exfortiamus,exfortiamus,We may strain
Active Subjunctive,Present,2nd Person,Singular,exforties,exforties,exfortias,exfortias,You may strain
Active Subjunctive,Present,2nd Person,Plural,exfortietis,exfortietis,exfortiatis,exfortiatis,You (pl.) may strain
Active Subjunctive,Present,3rd Person,Singular,exfortiet,exfortiet,exfortiat,exfortiat,He/she/it may strain
Active Subjunctive,Present,3rd Person,Plural,exfortient,exfortient,exfortiant,exfortiant,They may strain
Active Subjunctive,Imperfect,1st Person,Singular,exfortiarem,exfortierem,exfortierem,exfortirem,I should strain
Active Subjunctive,Imperfect,1st Person,Plural,exfortiaremus,exfortieremus,exfortieremus,exfortiremus,We should strain
Active Subjunctive,Imperfect,2nd Person,Singular,exfortiares,exfortieres,exfortieres,exfortires,You should strain
Active Subjunctive,Imperfect,2nd Person,Plural,exfortiaretis,exfortieretis,exfortieretis,exfortiretis,You (pl.) should strain
Active Subjunctive,Imperfect,3rd Person,Singular,exfortiaret,exfortieret,exfortieret,exfortiret,He/she/it should strain
Active Subjunctive,Imperfect,3rd Person,Plural,exfortiarent,exfortierent,exfortierent,exfortirent,They should strain
Active Subjunctive,Perfect,1st Person,Singular,exfortierim,exfortiuerim,exfortierim,exfortierim,I may have strained
Active Subjunctive,Perfect,1st Person,Plural,exfortierimus,exfortiuerimus,exfortierimus,exfortierimus,We may have strained
Active Subjunctive,Perfect,2nd Person,Singular,exfortieris,exfortiueris,exfortieris,exfortieris,You may have strained
Active Subjunctive,Perfect,2nd Person,Plural,exfortieritis,exfortiueritis,exfortieritis,exfortieritis,You (pl.) may have strained
Active Subjunctive,Perfect,3rd Person,Singular,exfortierit,exfortiuerit,exfortierit,exfortierit,He/she/it may have strained
Active Subjunctive,Perfect,3rd Person,Plural,exfortierint,exfortiuerint,exfortierint,exfortierint,They may have strained
Active Subjunctive,Pluperfect,1st Person,Singular,exfortissem,exfortiuissem,exfortissem,exfortissem,I should have strained
Active Subjunctive,Pluperfect,1st Person,Plural,exfortissemus,exfortiuissemus,exfortissemus,exfortissemus,We should have strained
Active Subjunctive,Pluperfect,2nd Person,Singular,exfortisses,exfortiuisses,exfortisses,exfortisses,You would have strained
Active Subjunctive,Pluperfect,2nd Person,Plural,exfortissetis,exfortiuissetis,exfortissetis,exfortissetis,You (pl.) would have strained
Active Subjunctive,Pluperfect,3rd Person,Singular,exfortisset,exfortiuisset,exfortisset,exfortisset,He/she/it would have strained
Active Subjunctive,Pluperfect,3rd Person,Plural,exfortissent,exfortiuissent,exfortissent,exfortissent,They would have strained
Passive Subjunctive,Present,1st Person,Singular,exfortier,exfortier,exfortiar,exfortiar,I may be strained
Passive Subjunctive,Present,1st Person,Plural,exfortiemur,exfortiemur,exfortiamur,exfortiamur,We may be strained
Passive Subjunctive,Present,2nd Person,Singular,exfortieris,exfortieris,exfortiaris,exfortiaris,You may be strained
Passive Subjunctive,Present,2nd Person,Plural,exfortiemini,exfortiemini,exfortiamini,exfortiamini,You (pl.) may be strained
Passive Subjunctive,Present,3rd Person,Singular,exfortietur,exfortietur,exfortiatur,exfortiatur,He/she/it may be strained
Passive Subjunctive,Present,3rd Person,Plural,exfortientur,exfortientur,exfortiantur,exfortiantur,They may be strained
Passive Subjunctive,Imperfect,1st Person,Singular,exfortiarer,exfortierer,exfortierer,exfortirer,I should be strained
Passive Subjunctive,Imperfect,1st Person,Plural,exfortiaremur,exfortieremur,exfortieremur,exfortiremur,We should be strained
Passive Subjunctive,Imperfect,2nd Person,Singular,exfortiareris,exfortiereris,exfortiereris,exfortireris,You would be strained
Passive Subjunctive,Imperfect,2nd Person,Plural,exfortiaremini,exfortieremini,exfortieremini,exfortiremini,You (pl.) would be strained
Passive Subjunctive,Imperfect,3rd Person,Singular,exfortiaretur,exfortieretur,exfortieretur,exfortiretur,He/she/it would be strained
Passive Subjunctive,Imperfect,3rd Person,Plural,exfortiarentur,exfortierentur,exfortierentur,exfortirentur,They would be strained
Passive Subjunctive,Perfect,1st Person,Singular,exfortiatus sim,exfortietus sim,exfortius sim,exfortius sim,I may have been strained
Passive Subjunctive,Perfect,1st Person,Plural,exfortiati simus,exfortieti simus,exforti simus,exforti simus,We may have been strained
Passive Subjunctive,Perfect,2nd Person,Singular,exfortiatus sis,exfortietus sis,exfortius sis,exfortius sis,You may have been strained
Passive Subjunctive,Perfect,2nd Person,Plural,exfortiati sitis,exfortieti sitis,exforti sitis,exforti sitis,You (pl.) may have been strained
Passive Subjunctive,Perfect,3rd Person,Singular,exfortiatus sit,exfortietus sit,exfortius sit,exfortius sit,He/she/it may have been strained
Passive Subjunctive,Perfect,3rd Person,Plural,exfortiati sint,exfortieti sint,exforti sint,exforti sint,They may have been strained
Passive Subjunctive,Pluperfect,1st Person,Singular,exfortiatus essem,exfortietus essem,exfortius essem,exfortius essem,I should have been strained
Passive Subjunctive,Pluperfect,1st Person,Plural,exfortiati essemus,exfortieti essemus,exforti essemus,exforti essemus,We should have been strained
Passive Subjunctive,Pluperfect,2nd Person,Singular,exfortiatus esses,exfortietus esses,exfortius esses,exfortius esses,You would have been strained
Passive Subjunctive,Pluperfect,2nd Person,Plural,exfortiati essetis,exfortieti essetis,exforti essetis,exforti essetis,You (pl.) would have been strained
Passive Subjunctive,Pluperfect,3rd Person,Singular,exfortiatus esset,exfortietus esset,exfortius esset,exfortius esset,He/she/it would have been strained
Passive Subjunctive,Pluperfect,3rd Person,Plural,exfortiati essent,exfortieti essent,exforti essent,exforti essent,They would have been strained
