Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exosculo,exosculeo,exosculo,exosculio,I kiss fondly
Active Indicative,Present,1st Person,Plural,exosculamus,exosculemus,exosculimus,exosculimus,We kiss fondly
Active Indicative,Present,2nd Person,Singular,exosculas,exoscules,exosculis,exosculis,You kiss fondly
Active Indicative,Present,2nd Person,Plural,exosculatis,exosculetis,exosculitis,exosculitis,You (pl.) kiss fondly
Active Indicative,Present,3rd Person,Singular,exosculat,exosculet,exosculit,exosculit,He/she/it kiss fondly
Active Indicative,Present,3rd Person,Plural,exosculant,exosculent,exosculiunt,exosculiunt,They kiss fondly
Active Indicative,Imperfect,1st Person,Singular,exosculabam,exosculebam,exosculebam,exosculiebam,I was kiss fondlying
Active Indicative,Imperfect,1st Person,Plural,exosculabamus,exosculebamus,exosculebamus,exosculiebamus,We were kiss fondlying
Active Indicative,Imperfect,2nd Person,Singular,exosculabas,exosculebas,exosculebas,exosculiebas,You were kiss fondlying
Active Indicative,Imperfect,2nd Person,Plural,exosculabatis,exosculebatis,exosculebatis,exosculiebatis,You (pl.) were kiss fondlying
Active Indicative,Imperfect,3rd Person,Singular,exosculabat,exosculebat,exosculebat,exosculiebat,He/she/it was kiss fondlying
Active Indicative,Imperfect,3rd Person,Plural,exosculabant,exosculebant,exosculebant,exosculiebant,They were kiss fondlying
Active Indicative,Future,1st Person,Singular,exosculabo,exosculebo,exosculam,exosculiam,I will kiss fondly
Active Indicative,Future,1st Person,Plural,exosculabimus,exosculebimus,exosculemus,exosculiemus,We will kiss fondly
Active Indicative,Future,2nd Person,Singular,exosculabis,exosculebis,exoscules,exosculies,You will kiss fondly
Active Indicative,Future,2nd Person,Plural,exosculabitis,exosculebitis,exosculetis,exosculietis,You (pl.) will kiss fondly
Active Indicative,Future,3rd Person,Singular,exosculabit,exosculebit,exosculet,exosculiet,He/she/it will kiss fondly
Active Indicative,Future,3rd Person,Plural,exosculabunt,exosculebunt,exosculent,exosculient,They will kiss fondly
Active Indicative,Perfect,1st Person,Singular,exosculavi,exoscului,exosculi,exosculi,I have kiss fondlyed
Active Indicative,Perfect,1st Person,Plural,exosculavimus,exosculuimus,exosculimus,exosculimus,We have kiss fondlyed
Active Indicative,Perfect,2nd Person,Singular,exosculavisti,exosculuisti,exosculisti,exosculisti,You have kiss fondlyed
Active Indicative,Perfect,2nd Person,Plural,exosculavistis,exosculuistis,exosculistis,exosculistis,You (pl.) have kiss fondlyed
Active Indicative,Perfect,3rd Person,Singular,exosculavit,exosculuit,exosculit,exosculit,He/she/it has kiss fondlyed
Active Indicative,Perfect,3rd Person,Plural,exosculaverunt,exosculuerunt,exosculerunt,exosculerunt,They have kiss fondlyed
Active Indicative,Pluperfect,1st Person,Singular,exosculaveram,exosculueram,exosculeram,exosculeram,I had kiss fondlyed
Active Indicative,Pluperfect,1st Person,Plural,exosculaveramus,exosculueramus,exosculeramus,exosculeramus,We had kiss fondlyed
Active Indicative,Pluperfect,2nd Person,Singular,exosculaveras,exosculueras,exosculeras,exosculeras,You had kiss fondlyed
Active Indicative,Pluperfect,2nd Person,Plural,exosculaveratis,exosculueratis,exosculeratis,exosculeratis,You (pl.) had kiss fondlyed
Active Indicative,Pluperfect,3rd Person,Singular,exosculaverat,exosculuerat,exosculerat,exosculerat,He/she/it had kiss fondlyed
Active Indicative,Pluperfect,3rd Person,Plural,exosculaverant,exosculuerant,exosculerant,exosculerant,They had kiss fondlyed
Active Indicative,Future Perfect,1st Person,Singular,exosculavero,exosculueero,exosculero,exosculiero,I will have kiss fondlyed
Active Indicative,Future Perfect,1st Person,Plural,exosculaverimus,exosculuerimus,exosculerimus,exosculierimus,We will have kiss fondlyed
Active Indicative,Future Perfect,2nd Person,Singular,exosculaveris,exosculueris,exosculeris,exosculieris,You will have kiss fondlyed
Active Indicative,Future Perfect,2nd Person,Plural,exosculaveritis,exosculueritis,exosculeritis,exosculieritis,You (pl.) will have kiss fondlyed
Active Indicative,Future Perfect,3rd Person,Singular,exosculaverit,exosculuerit,exosculerit,exosculierit,He/she/it will have kiss fondlyed
Active Indicative,Future Perfect,3rd Person,Plural,exosculaverint,exosculuerint,exosculerint,exosculierint,They will have kiss fondlyed
Passive Indicative,Present,1st Person,Singular,exosculor,exosculeor,exosculor,exosculior,I am being kiss fondlyed
Passive Indicative,Present,1st Person,Plural,exosculamur,exosculemur,exosculimur,exosculimur,We are being kiss fondlyed
Passive Indicative,Present,2nd Person,Singular,exoscularis,exosculeris,exosculiris,exosculiris,You are being kiss fondlyed
Passive Indicative,Present,2nd Person,Plural,exosculamini,exosculemini,exosculimini,exosculimini,You (pl.) are being kiss fondlyed
