Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,expavento,expaventeo,expavento,expaventio,I frighten
Active Indicative,Present,1st Person,Plural,expaventamus,expaventemus,expaventimus,expaventimus,We frighten
Active Indicative,Present,2nd Person,Singular,expaventas,expaventes,expaventis,expaventis,You frighten
Active Indicative,Present,2nd Person,Plural,expaventatis,expaventetis,expaventitis,expaventitis,You (pl.) frighten
Active Indicative,Present,3rd Person,Singular,expaventat,expaventet,expaventit,expaventit,He/she/it frighten
Active Indicative,Present,3rd Person,Plural,expaventant,expaventent,expaventiunt,expaventiunt,They frighten
Active Indicative,Imperfect,1st Person,Singular,expaventabam,expaventebam,expaventebam,expaventiebam,I was frightening
Active Indicative,Imperfect,1st Person,Plural,expaventabamus,expaventebamus,expaventebamus,expaventiebamus,We were frightening
Active Indicative,Imperfect,2nd Person,Singular,expaventabas,expaventebas,expaventebas,expaventiebas,You were frightening
Active Indicative,Imperfect,2nd Person,Plural,expaventabatis,expaventebatis,expaventebatis,expaventiebatis,You (pl.) were frightening
Active Indicative,Imperfect,3rd Person,Singular,expaventabat,expaventebat,expaventebat,expaventiebat,He/she/it was frightening
Active Indicative,Imperfect,3rd Person,Plural,expaventabant,expaventebant,expaventebant,expaventiebant,They were frightening
Active Indicative,Future,1st Person,Singular,expaventabo,expaventebo,expaventam,expaventiam,I will frighten
Active Indicative,Future,1st Person,Plural,expaventabimus,expaventebimus,expaventemus,expaventiemus,We will frighten
Active Indicative,Future,2nd Person,Singular,expaventabis,expaventebis,expaventes,expaventies,You will frighten
Active Indicative,Future,2nd Person,Plural,expaventabitis,expaventebitis,expaventetis,expaventietis,You (pl.) will frighten
Active Indicative,Future,3rd Person,Singular,expaventabit,expaventebit,expaventet,expaventiet,He/she/it will frighten
Active Indicative,Future,3rd Person,Plural,expaventabunt,expaventebunt,expaventent,expaventient,They will frighten
Active Indicative,Perfect,1st Person,Singular,expaventavi,expaventui,expaventi,expaventi,I have frightened
Active Indicative,Perfect,1st Person,Plural,expaventavimus,expaventuimus,expaventimus,expaventimus,We have frightened
Active Indicative,Perfect,2nd Person,Singular,expaventavisti,expaventuisti,expaventisti,expaventisti,You have frightened
Active Indicative,Perfect,2nd Person,Plural,expaventavistis,expaventuistis,expaventistis,expaventistis,You (pl.) have frightened
Active Indicative,Perfect,3rd Person,Singular,expaventavit,expaventuit,expaventit,expaventit,He/she/it has frightened
Active Indicative,Perfect,3rd Person,Plural,expaventaverunt,expaventuerunt,expaventerunt,expaventerunt,They have frightened
Active Indicative,Pluperfect,1st Person,Singular,expaventaveram,expaventueram,expaventeram,expaventeram,I had frightened
Active Indicative,Pluperfect,1st Person,Plural,expaventaveramus,expaventueramus,expaventeramus,expaventeramus,We had frightened
Active Indicative,Pluperfect,2nd Person,Singular,expaventaveras,expaventueras,expaventeras,expaventeras,You had frightened
Active Indicative,Pluperfect,2nd Person,Plural,expaventaveratis,expaventueratis,expaventeratis,expaventeratis,You (pl.) had frightened
Active Indicative,Pluperfect,3rd Person,Singular,expaventaverat,expaventuerat,expaventerat,expaventerat,He/she/it had frightened
