Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,expilucico,expiluciceo,expilucico,expilucicio,I remove parts
Active Indicative,Present,1st Person,Plural,expilucicamus,expilucicemus,expilucicimus,expilucicimus,We remove parts
Active Indicative,Present,2nd Person,Singular,expilucicas,expilucices,expilucicis,expilucicis,You remove parts
Active Indicative,Present,2nd Person,Plural,expilucicatis,expilucicetis,expilucicitis,expilucicitis,You (pl.) remove parts
Active Indicative,Present,3rd Person,Singular,expilucicat,expilucicet,expilucicit,expilucicit,He/she/it remove parts
Active Indicative,Present,3rd Person,Plural,expilucicant,expilucicent,expiluciciunt,expiluciciunt,They remove parts
Active Indicative,Imperfect,1st Person,Singular,expilucicabam,expilucicebam,expilucicebam,expiluciciebam,I was remove partsing
Active Indicative,Imperfect,1st Person,Plural,expilucicabamus,expilucicebamus,expilucicebamus,expiluciciebamus,We were remove partsing
Active Indicative,Imperfect,2nd Person,Singular,expilucicabas,expilucicebas,expilucicebas,expiluciciebas,You were remove partsing
Active Indicative,Imperfect,2nd Person,Plural,expilucicabatis,expilucicebatis,expilucicebatis,expiluciciebatis,You (pl.) were remove partsing
Active Indicative,Imperfect,3rd Person,Singular,expilucicabat,expilucicebat,expilucicebat,expiluciciebat,He/she/it was remove partsing
Active Indicative,Imperfect,3rd Person,Plural,expilucicabant,expilucicebant,expilucicebant,expiluciciebant,They were remove partsing
Active Indicative,Future,1st Person,Singular,expilucicabo,expilucicebo,expilucicam,expiluciciam,I will remove parts
Active Indicative,Future,1st Person,Plural,expilucicabimus,expilucicebimus,expilucicemus,expiluciciemus,We will remove parts
Active Indicative,Future,2nd Person,Singular,expilucicabis,expilucicebis,expilucices,expilucicies,You will remove parts
Active Indicative,Future,2nd Person,Plural,expilucicabitis,expilucicebitis,expilucicetis,expilucicietis,You (pl.) will remove parts
Active Indicative,Future,3rd Person,Singular,expilucicabit,expilucicebit,expilucicet,expiluciciet,He/she/it will remove parts
Active Indicative,Future,3rd Person,Plural,expilucicabunt,expilucicebunt,expilucicent,expilucicient,They will remove parts
Active Indicative,Perfect,1st Person,Singular,expilucicavi,expilucicui,expilucici,expilucici,I have remove partsed
Active Indicative,Perfect,1st Person,Plural,expilucicavimus,expilucicuimus,expilucicimus,expilucicimus,We have remove partsed
Active Indicative,Perfect,2nd Person,Singular,expilucicavisti,expilucicuisti,expilucicisti,expilucicisti,You have remove partsed
Active Indicative,Perfect,2nd Person,Plural,expilucicavistis,expilucicuistis,expilucicistis,expilucicistis,You (pl.) have remove partsed
Active Indicative,Perfect,3rd Person,Singular,expilucicavit,expilucicuit,expilucicit,expilucicit,He/she/it has remove partsed
Active Indicative,Perfect,3rd Person,Plural,expilucicaverunt,expilucicuerunt,expilucicerunt,expilucicerunt,They have remove partsed
Active Indicative,Pluperfect,1st Person,Singular,expilucicaveram,expilucicueram,expiluciceram,expiluciceram,I had remove partsed
Active Indicative,Pluperfect,1st Person,Plural,expilucicaveramus,expilucicueramus,expiluciceramus,expiluciceramus,We had remove partsed
Active Indicative,Pluperfect,2nd Person,Singular,expilucicaveras,expilucicueras,expiluciceras,expiluciceras,You had remove partsed
Active Indicative,Pluperfect,2nd Person,Plural,expilucicaveratis,expilucicueratis,expiluciceratis,expiluciceratis,You (pl.) had remove partsed
Active Indicative,Pluperfect,3rd Person,Singular,expilucicaverat,expilucicuerat,expilucicerat,expilucicerat,He/she/it had remove partsed
Active Indicative,Pluperfect,3rd Person,Plural,expilucicaverant,expilucicuerant,expilucicerant,expilucicerant,They had remove partsed
Active Indicative,Future Perfect,1st Person,Singular,expilucicavero,expilucicueero,expilucicero,expiluciciero,I will have remove partsed
Active Indicative,Future Perfect,1st Person,Plural,expilucicaverimus,expilucicuerimus,expilucicerimus,expilucicierimus,We will have remove partsed
Active Indicative,Future Perfect,2nd Person,Singular,expilucicaveris,expilucicueris,expiluciceris,expilucicieris,You will have remove partsed
Active Indicative,Future Perfect,2nd Person,Plural,expilucicaveritis,expilucicueritis,expiluciceritis,expilucicieritis,You (pl.) will have remove partsed
Active Indicative,Future Perfect,3rd Person,Singular,expilucicaverit,expilucicuerit,expilucicerit,expilucicierit,He/she/it will have remove partsed
Active Indicative,Future Perfect,3rd Person,Plural,expilucicaverint,expilucicuerint,expilucicerint,expilucicierint,They will have remove partsed
Passive Indicative,Present,1st Person,Singular,expilucicor,expiluciceor,expilucicor,expilucicior,I am being remove partsed
Passive Indicative,Present,1st Person,Plural,expilucicamur,expilucicemur,expilucicimur,expilucicimur,We are being remove partsed
Passive Indicative,Present,2nd Person,Singular,expilucicaris,expiluciceris,expiluciciris,expiluciciris,You are being remove partsed
Passive Indicative,Present,2nd Person,Plural,expilucicamini,expilucicemini,expilucicimini,expilucicimini,You (pl.) are being remove partsed
Passive Indicative,Present,3rd Person,Singular,expilucicatur,expilucicetur,expilucicitur,expilucicitur,He/she/it is being remove partsed
Passive Indicative,Present,3rd Person,Plural,expilucicantur,expilucicentur,expiluciciuntur,expiluciciuntur,They are being remove partsed
