Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exprimo,exprimeo,exprimo,exprimio,I press out
Active Indicative,Present,1st Person,Plural,exprimamus,exprimemus,exprimimus,exprimimus,We press out
Active Indicative,Present,2nd Person,Singular,exprimas,exprimes,exprimis,exprimis,You press out
Active Indicative,Present,2nd Person,Plural,exprimatis,exprimetis,exprimitis,exprimitis,You (pl.) press out
Active Indicative,Present,3rd Person,Singular,exprimat,exprimet,exprimit,exprimit,He/she/it press out
Active Indicative,Present,3rd Person,Plural,exprimant,expriment,exprimiunt,exprimiunt,They press out
Active Indicative,Imperfect,1st Person,Singular,exprimabam,exprimebam,exprimebam,exprimiebam,I was press outing
Active Indicative,Imperfect,1st Person,Plural,exprimabamus,exprimebamus,exprimebamus,exprimiebamus,We were press outing
Active Indicative,Imperfect,2nd Person,Singular,exprimabas,exprimebas,exprimebas,exprimiebas,You were press outing
Active Indicative,Imperfect,2nd Person,Plural,exprimabatis,exprimebatis,exprimebatis,exprimiebatis,You (pl.) were press outing
Active Indicative,Imperfect,3rd Person,Singular,exprimabat,exprimebat,exprimebat,exprimiebat,He/she/it was press outing
Active Indicative,Imperfect,3rd Person,Plural,exprimabant,exprimebant,exprimebant,exprimiebant,They were press outing
Active Indicative,Future,1st Person,Singular,exprimabo,exprimebo,exprimam,exprimiam,I will press out
Active Indicative,Future,1st Person,Plural,exprimabimus,exprimebimus,exprimemus,exprimiemus,We will press out
Active Indicative,Future,2nd Person,Singular,exprimabis,exprimebis,exprimes,exprimies,You will press out
Active Indicative,Future,2nd Person,Plural,exprimabitis,exprimebitis,exprimetis,exprimietis,You (pl.) will press out
Active Indicative,Future,3rd Person,Singular,exprimabit,exprimebit,exprimet,exprimiet,He/she/it will press out
Active Indicative,Future,3rd Person,Plural,exprimabunt,exprimebunt,expriment,exprimient,They will press out
Active Indicative,Perfect,1st Person,Singular,exprimavi,exprimui,exprimi,exprimi,I have press outed
Active Indicative,Perfect,1st Person,Plural,exprimavimus,exprimuimus,exprimimus,exprimimus,We have press outed
Active Indicative,Perfect,2nd Person,Singular,exprimavisti,exprimuisti,exprimisti,exprimisti,You have press outed
Active Indicative,Perfect,2nd Person,Plural,exprimavistis,exprimuistis,exprimistis,exprimistis,You (pl.) have press outed
Active Indicative,Perfect,3rd Person,Singular,exprimavit,exprimuit,exprimit,exprimit,He/she/it has press outed
Active Indicative,Perfect,3rd Person,Plural,exprimaverunt,exprimuerunt,exprimerunt,exprimerunt,They have press outed
Active Indicative,Pluperfect,1st Person,Singular,exprimaveram,exprimueram,exprimeram,exprimeram,I had press outed
Active Indicative,Pluperfect,1st Person,Plural,exprimaveramus,exprimueramus,exprimeramus,exprimeramus,We had press outed
Active Indicative,Pluperfect,2nd Person,Singular,exprimaveras,exprimueras,exprimeras,exprimeras,You had press outed
Active Indicative,Pluperfect,2nd Person,Plural,exprimaveratis,exprimueratis,exprimeratis,exprimeratis,You (pl.) had press outed
Active Indicative,Pluperfect,3rd Person,Singular,exprimaverat,exprimuerat,exprimerat,exprimerat,He/she/it had press outed
Active Indicative,Pluperfect,3rd Person,Plural,exprimaverant,exprimuerant,exprimerant,exprimerant,They had press outed
Active Indicative,Future Perfect,1st Person,Singular,exprimavero,exprimueero,exprimero,exprimiero,I will have press outed
Active Indicative,Future Perfect,1st Person,Plural,exprimaverimus,exprimuerimus,exprimerimus,exprimierimus,We will have press outed
Active Indicative,Future Perfect,2nd Person,Singular,exprimaveris,exprimueris,exprimeris,exprimieris,You will have press outed
Active Indicative,Future Perfect,2nd Person,Plural,exprimaveritis,exprimueritis,exprimeritis,exprimieritis,You (pl.) will have press outed
Active Indicative,Future Perfect,3rd Person,Singular,exprimaverit,exprimuerit,exprimerit,exprimierit,He/she/it will have press outed
Active Indicative,Future Perfect,3rd Person,Plural,exprimaverint,exprimuerint,exprimerint,exprimierint,They will have press outed
Passive Indicative,Present,1st Person,Singular,exprimor,exprimeor,exprimor,exprimior,I am being press outed
Passive Indicative,Present,1st Person,Plural,exprimamur,exprimemur,exprimimur,exprimimur,We are being press outed
Passive Indicative,Present,2nd Person,Singular,exprimaris,exprimeris,exprimiris,exprimiris,You are being press outed
Passive Indicative,Present,2nd Person,Plural,exprimamini,exprimemini,exprimimini,exprimimini,You (pl.) are being press outed
Passive Indicative,Present,3rd Person,Singular,exprimatur,exprimetur,exprimitur,exprimitur,He/she/it is being press outed
Passive Indicative,Present,3rd Person,Plural,exprimantur,exprimentur,exprimiuntur,exprimiuntur,They are being press outed
Passive Indicative,Imperfect,1st Person,Singular,exprimabar,exprimebar,exprimebar,exprimiebar,I was press outed
Passive Indicative,Imperfect,1st Person,Plural,exprimabamur,exprimebamur,exprimebamur,exprimiebamur,We were press outed
Passive Indicative,Imperfect,2nd Person,Singular,exprimabaris,exprimebaris,exprimebaris,exprimiebaris,You were press outed
Passive Indicative,Imperfect,2nd Person,Plural,exprimabamini,exprimebamini,exprimebamini,exprimiebamini,You (pl.) were press outed
Passive Indicative,Imperfect,3rd Person,Singular,exprimabatur,exprimebatur,exprimebatur,exprimiebatur,He/she/it was press outed
Passive Indicative,Imperfect,3rd Person,Plural,exprimabantur,exprimebantur,exprimebantur,exprimiebantur,They were press outed
Passive Indicative,Future,1st Person,Singular,exprimabor,exprimebor,exprimar,exprimiar,I will be press outed
Passive Indicative,Future,1st Person,Plural,exprimabimur,exprimebimur,exprimemur,exprimiemur,We will be press outed
Passive Indicative,Future,2nd Person,Singular,exprimaberis,exprimeberis,exprimeris,exprimieris,You will be press outed
Passive Indicative,Future,2nd Person,Plural,exprimabimini,exprimebimini,exprimemini,exprimiemini,You (pl.) will be press outed
Passive Indicative,Future,3rd Person,Singular,exprimabitur,exprimebitur,exprimetur,exprimietur,He/she/it will be press outed
Passive Indicative,Future,3rd Person,Plural,exprimabuntur,exprimebuntur,exprimentur,exprimientur,They will be press outed
Passive Indicative,Perfect,1st Person,Singular,exprimatus sum,exprimetus sum,exprimus sum,exprimus sum,I have been press outed
Passive Indicative,Perfect,1st Person,Plural,exprimati sumus,exprimeti sumus,exprimi sumus,exprimi sumus,We have been press outed
Passive Indicative,Perfect,2nd Person,Singular,exprimatus es,exprimetus es,exprimus es,exprimus es,You have been press outed
Passive Indicative,Perfect,2nd Person,Plural,exprimati estis,exprimeti estis,exprimi estis,exprimi estis,You (pl.) have been press outed
Passive Indicative,Perfect,3rd Person,Singular,exprimatus est,exprimetus est,exprimus est,exprimus est,He/she/it has been press outed
Passive Indicative,Perfect,3rd Person,Plural,exprimati sunt,exprimeti sunt,exprimi sunt,exprimi sunt,They have been press outed
Passive Indicative,Pluperfect,1st Person,Singular,exprimatus eram,exprimetus eram,exprimus eram,exprimus eram,I had been press outed
Passive Indicative,Pluperfect,1st Person,Plural,exprimati eramus,exprimeti eramus,exprimi eramus,exprimi eramus,We had been press outed
Passive Indicative,Pluperfect,2nd Person,Singular,exprimatus eras,exprimetus eras,exprimus eras,exprimus eras,You had been press outed
Passive Indicative,Pluperfect,2nd Person,Plural,exprimati eratis,exprimeti eratis,exprimi eratis,exprimi eratis,You (pl.) had been press outed
Passive Indicative,Pluperfect,3rd Person,Singular,exprimatus erat,exprimetus erat,exprimus erat,exprimus erat,He/she/it had been press outed
Passive Indicative,Pluperfect,3rd Person,Plural,exprimati erant,exprimeti erant,exprimi erant,exprimi erant,They had been press outed
Passive Indicative,Future Perfect,1st Person,Singular,exprimatus ero,exprimetus ero,exprimus ero,exprimus ero,I will have been press outed
Passive Indicative,Future Perfect,1st Person,Plural,exprimati erimus,exprimeti erimus,exprimi erimus,exprimi erimus,We will have been press outed
Passive Indicative,Future Perfect,2nd Person,Singular,exprimatus eris,exprimetus eris,exprimus eris,exprimus eris,You will have been press outed
Passive Indicative,Future Perfect,2nd Person,Plural,exprimati eritis,exprimeti eritis,exprimi eritis,exprimi eritis,You (pl.) will have been press outed
Passive Indicative,Future Perfect,3rd Person,Singular,exprimatus erit,exprimetus erit,exprimus erit,exprimus erit,He/she/it will have been press outed
Passive Indicative,Future Perfect,3rd Person,Plural,exprimati erunt,exprimeti erunt,exprimi erunt,exprimi erunt,They will have been press outed
Active Subjunctive,Present,1st Person,Singular,exprimem,exprimem,exprimam,exprimam,I may press out
Active Subjunctive,Present,1st Person,Plural,exprimemus,exprimemus,exprimamus,exprimamus,We may press out
Active Subjunctive,Present,2nd Person,Singular,exprimes,exprimes,exprimas,exprimas,You may press out
Active Subjunctive,Present,2nd Person,Plural,exprimetis,exprimetis,exprimatis,exprimatis,You (pl.) may press out
Active Subjunctive,Present,3rd Person,Singular,exprimet,exprimet,exprimat,exprimat,He/she/it may press out
Active Subjunctive,Present,3rd Person,Plural,expriment,expriment,exprimant,exprimant,They may press out
Active Subjunctive,Imperfect,1st Person,Singular,exprimarem,exprimerem,exprimerem,exprimirem,I should press out
