Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exstinguo,exstingueo,exstinguo,exstinguio,I extinguish
Active Indicative,Present,1st Person,Plural,exstinguamus,exstinguemus,exstinguimus,exstinguimus,We extinguish
Active Indicative,Present,2nd Person,Singular,exstinguas,exstingues,exstinguis,exstinguis,You extinguish
Active Indicative,Present,2nd Person,Plural,exstinguatis,exstinguetis,exstinguitis,exstinguitis,You (pl.) extinguish
Active Indicative,Present,3rd Person,Singular,exstinguat,exstinguet,exstinguit,exstinguit,He/she/it extinguish
Active Indicative,Present,3rd Person,Plural,exstinguant,exstinguent,exstinguiunt,exstinguiunt,They extinguish
Active Indicative,Imperfect,1st Person,Singular,exstinguabam,exstinguebam,exstinguebam,exstinguiebam,I was extinguishing
Active Indicative,Imperfect,1st Person,Plural,exstinguabamus,exstinguebamus,exstinguebamus,exstinguiebamus,We were extinguishing
Active Indicative,Imperfect,2nd Person,Singular,exstinguabas,exstinguebas,exstinguebas,exstinguiebas,You were extinguishing
Active Indicative,Imperfect,2nd Person,Plural,exstinguabatis,exstinguebatis,exstinguebatis,exstinguiebatis,You (pl.) were extinguishing
Active Indicative,Imperfect,3rd Person,Singular,exstinguabat,exstinguebat,exstinguebat,exstinguiebat,He/she/it was extinguishing
Active Indicative,Imperfect,3rd Person,Plural,exstinguabant,exstinguebant,exstinguebant,exstinguiebant,They were extinguishing
Active Indicative,Future,1st Person,Singular,exstinguabo,exstinguebo,exstinguam,exstinguiam,I will extinguish
Active Indicative,Future,1st Person,Plural,exstinguabimus,exstinguebimus,exstinguemus,exstinguiemus,We will extinguish
Active Indicative,Future,2nd Person,Singular,exstinguabis,exstinguebis,exstingues,exstinguies,You will extinguish
Active Indicative,Future,2nd Person,Plural,exstinguabitis,exstinguebitis,exstinguetis,exstinguietis,You (pl.) will extinguish
Active Indicative,Future,3rd Person,Singular,exstinguabit,exstinguebit,exstinguet,exstinguiet,He/she/it will extinguish
Active Indicative,Future,3rd Person,Plural,exstinguabunt,exstinguebunt,exstinguent,exstinguient,They will extinguish
Active Indicative,Perfect,1st Person,Singular,exstinguavi,exstingui,exstingui,exstingui,I have extinguished
Active Indicative,Perfect,1st Person,Plural,exstinguavimus,exstinguimus,exstinguimus,exstinguimus,We have extinguished
Active Indicative,Perfect,2nd Person,Singular,exstinguavisti,exstinguisti,exstinguisti,exstinguisti,You have extinguished
Active Indicative,Perfect,2nd Person,Plural,exstinguavistis,exstinguistis,exstinguistis,exstinguistis,You (pl.) have extinguished
Active Indicative,Perfect,3rd Person,Singular,exstinguavit,exstinguit,exstinguit,exstinguit,He/she/it has extinguished
Active Indicative,Perfect,3rd Person,Plural,exstinguaverunt,exstinguerunt,exstinguerunt,exstinguerunt,They have extinguished
Active Indicative,Pluperfect,1st Person,Singular,exstinguaveram,exstingueram,exstingueram,exstingueram,I had extinguished
Active Indicative,Pluperfect,1st Person,Plural,exstinguaveramus,exstingueramus,exstingueramus,exstingueramus,We had extinguished
Active Indicative,Pluperfect,2nd Person,Singular,exstinguaveras,exstingueras,exstingueras,exstingueras,You had extinguished
Active Indicative,Pluperfect,2nd Person,Plural,exstinguaveratis,exstingueratis,exstingueratis,exstingueratis,You (pl.) had extinguished
Active Indicative,Pluperfect,3rd Person,Singular,exstinguaverat,exstinguerat,exstinguerat,exstinguerat,He/she/it had extinguished
Active Indicative,Pluperfect,3rd Person,Plural,exstinguaverant,exstinguerant,exstinguerant,exstinguerant,They had extinguished
Active Indicative,Future Perfect,1st Person,Singular,exstinguavero,exstingueero,exstinguero,exstinguiero,I will have extinguished
Active Indicative,Future Perfect,1st Person,Plural,exstinguaverimus,exstinguerimus,exstinguerimus,exstinguierimus,We will have extinguished
Active Indicative,Future Perfect,2nd Person,Singular,exstinguaveris,exstingueris,exstingueris,exstinguieris,You will have extinguished
Active Indicative,Future Perfect,2nd Person,Plural,exstinguaveritis,exstingueritis,exstingueritis,exstinguieritis,You (pl.) will have extinguished
Active Indicative,Future Perfect,3rd Person,Singular,exstinguaverit,exstinguerit,exstinguerit,exstinguierit,He/she/it will have extinguished
Active Indicative,Future Perfect,3rd Person,Plural,exstinguaverint,exstinguerint,exstinguerint,exstinguierint,They will have extinguished
Passive Indicative,Present,1st Person,Singular,exstinguor,exstingueor,exstinguor,exstinguior,I am being extinguished
Passive Indicative,Present,1st Person,Plural,exstinguamur,exstinguemur,exstinguimur,exstinguimur,We are being extinguished
Passive Indicative,Present,2nd Person,Singular,exstinguaris,exstingueris,exstinguiris,exstinguiris,You are being extinguished
Passive Indicative,Present,2nd Person,Plural,exstinguamini,exstinguemini,exstinguimini,exstinguimini,You (pl.) are being extinguished
Passive Indicative,Present,3rd Person,Singular,exstinguatur,exstinguetur,exstinguitur,exstinguitur,He/she/it is being extinguished
Passive Indicative,Present,3rd Person,Plural,exstinguantur,exstinguentur,exstinguiuntur,exstinguiuntur,They are being extinguished
Passive Indicative,Imperfect,1st Person,Singular,exstinguabar,exstinguebar,exstinguebar,exstinguiebar,I was extinguished
Passive Indicative,Imperfect,1st Person,Plural,exstinguabamur,exstinguebamur,exstinguebamur,exstinguiebamur,We were extinguished
Passive Indicative,Imperfect,2nd Person,Singular,exstinguabaris,exstinguebaris,exstinguebaris,exstinguiebaris,You were extinguished
Passive Indicative,Imperfect,2nd Person,Plural,exstinguabamini,exstinguebamini,exstinguebamini,exstinguiebamini,You (pl.) were extinguished
Passive Indicative,Imperfect,3rd Person,Singular,exstinguabatur,exstinguebatur,exstinguebatur,exstinguiebatur,He/she/it was extinguished
Passive Indicative,Imperfect,3rd Person,Plural,exstinguabantur,exstinguebantur,exstinguebantur,exstinguiebantur,They were extinguished
Passive Indicative,Future,1st Person,Singular,exstinguabor,exstinguebor,exstinguar,exstinguiar,I will be extinguished
Passive Indicative,Future,1st Person,Plural,exstinguabimur,exstinguebimur,exstinguemur,exstinguiemur,We will be extinguished
Passive Indicative,Future,2nd Person,Singular,exstinguaberis,exstingueberis,exstingueris,exstinguieris,You will be extinguished
Passive Indicative,Future,2nd Person,Plural,exstinguabimini,exstinguebimini,exstinguemini,exstinguiemini,You (pl.) will be extinguished
Passive Indicative,Future,3rd Person,Singular,exstinguabitur,exstinguebitur,exstinguetur,exstinguietur,He/she/it will be extinguished
Passive Indicative,Future,3rd Person,Plural,exstinguabuntur,exstinguebuntur,exstinguentur,exstinguientur,They will be extinguished
Passive Indicative,Perfect,1st Person,Singular,exstinguatus sum,exstinguetus sum,exstingus sum,exstingus sum,I have been extinguished
Passive Indicative,Perfect,1st Person,Plural,exstinguati sumus,exstingueti sumus,exstingui sumus,exstingui sumus,We have been extinguished
Passive Indicative,Perfect,2nd Person,Singular,exstinguatus es,exstinguetus es,exstingus es,exstingus es,You have been extinguished
Passive Indicative,Perfect,2nd Person,Plural,exstinguati estis,exstingueti estis,exstingui estis,exstingui estis,You (pl.) have been extinguished
