Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,extenuo,extenueo,extenuo,extenuio,I thin
Active Indicative,Present,1st Person,Plural,extenuamus,extenuemus,extenuimus,extenuimus,We thin
Active Indicative,Present,2nd Person,Singular,extenuas,extenues,extenuis,extenuis,You thin
Active Indicative,Present,2nd Person,Plural,extenuatis,extenuetis,extenuitis,extenuitis,You (pl.) thin
Active Indicative,Present,3rd Person,Singular,extenuat,extenuet,extenuit,extenuit,He/she/it thin
Active Indicative,Present,3rd Person,Plural,extenuant,extenuent,extenuiunt,extenuiunt,They thin
Active Indicative,Imperfect,1st Person,Singular,extenuabam,extenuebam,extenuebam,extenuiebam,I was thining
Active Indicative,Imperfect,1st Person,Plural,extenuabamus,extenuebamus,extenuebamus,extenuiebamus,We were thining
Active Indicative,Imperfect,2nd Person,Singular,extenuabas,extenuebas,extenuebas,extenuiebas,You were thining
Active Indicative,Imperfect,2nd Person,Plural,extenuabatis,extenuebatis,extenuebatis,extenuiebatis,You (pl.) were thining
Active Indicative,Imperfect,3rd Person,Singular,extenuabat,extenuebat,extenuebat,extenuiebat,He/she/it was thining
Active Indicative,Imperfect,3rd Person,Plural,extenuabant,extenuebant,extenuebant,extenuiebant,They were thining
Active Indicative,Future,1st Person,Singular,extenuabo,extenuebo,extenuam,extenuiam,I will thin
Active Indicative,Future,1st Person,Plural,extenuabimus,extenuebimus,extenuemus,extenuiemus,We will thin
Active Indicative,Future,2nd Person,Singular,extenuabis,extenuebis,extenues,extenuies,You will thin
Active Indicative,Future,2nd Person,Plural,extenuabitis,extenuebitis,extenuetis,extenuietis,You (pl.) will thin
Active Indicative,Future,3rd Person,Singular,extenuabit,extenuebit,extenuet,extenuiet,He/she/it will thin
Active Indicative,Future,3rd Person,Plural,extenuabunt,extenuebunt,extenuent,extenuient,They will thin
Active Indicative,Perfect,1st Person,Singular,extenuavi,extenui,extenui,extenui,I have thined
Active Indicative,Perfect,1st Person,Plural,extenuavimus,extenuimus,extenuimus,extenuimus,We have thined
Active Indicative,Perfect,2nd Person,Singular,extenuavisti,extenuisti,extenuisti,extenuisti,You have thined
Active Indicative,Perfect,2nd Person,Plural,extenuavistis,extenuistis,extenuistis,extenuistis,You (pl.) have thined
Active Indicative,Perfect,3rd Person,Singular,extenuavit,extenuit,extenuit,extenuit,He/she/it has thined
Active Indicative,Perfect,3rd Person,Plural,extenuaverunt,extenuerunt,extenuerunt,extenuerunt,They have thined
Active Indicative,Pluperfect,1st Person,Singular,extenuaveram,extenueram,extenueram,extenueram,I had thined
Active Indicative,Pluperfect,1st Person,Plural,extenuaveramus,extenueramus,extenueramus,extenueramus,We had thined
Active Indicative,Pluperfect,2nd Person,Singular,extenuaveras,extenueras,extenueras,extenueras,You had thined
Active Indicative,Pluperfect,2nd Person,Plural,extenuaveratis,extenueratis,extenueratis,extenueratis,You (pl.) had thined
Active Indicative,Pluperfect,3rd Person,Singular,extenuaverat,extenuerat,extenuerat,extenuerat,He/she/it had thined
Active Indicative,Pluperfect,3rd Person,Plural,extenuaverant,extenuerant,extenuerant,extenuerant,They had thined
Active Indicative,Future Perfect,1st Person,Singular,extenuavero,extenueero,extenuero,extenuiero,I will have thined
Active Indicative,Future Perfect,1st Person,Plural,extenuaverimus,extenuerimus,extenuerimus,extenuierimus,We will have thined
Active Indicative,Future Perfect,2nd Person,Singular,extenuaveris,extenueris,extenueris,extenuieris,You will have thined
Active Indicative,Future Perfect,2nd Person,Plural,extenuaveritis,extenueritis,extenueritis,extenuieritis,You (pl.) will have thined
Active Indicative,Future Perfect,3rd Person,Singular,extenuaverit,extenuerit,extenuerit,extenuierit,He/she/it will have thined
Active Indicative,Future Perfect,3rd Person,Plural,extenuaverint,extenuerint,extenuerint,extenuierint,They will have thined
Passive Indicative,Present,1st Person,Singular,extenuor,extenueor,extenuor,extenuior,I am being thined
Passive Indicative,Present,1st Person,Plural,extenuamur,extenuemur,extenuimur,extenuimur,We are being thined
Passive Indicative,Present,2nd Person,Singular,extenuaris,extenueris,extenuiris,extenuiris,You are being thined
Passive Indicative,Present,2nd Person,Plural,extenuamini,extenuemini,extenuimini,extenuimini,You (pl.) are being thined
Passive Indicative,Present,3rd Person,Singular,extenuatur,extenuetur,extenuitur,extenuitur,He/she/it is being thined
Passive Indicative,Present,3rd Person,Plural,extenuantur,extenuentur,extenuiuntur,extenuiuntur,They are being thined
Passive Indicative,Imperfect,1st Person,Singular,extenuabar,extenuebar,extenuebar,extenuiebar,I was thined
Passive Indicative,Imperfect,1st Person,Plural,extenuabamur,extenuebamur,extenuebamur,extenuiebamur,We were thined
Passive Indicative,Imperfect,2nd Person,Singular,extenuabaris,extenuebaris,extenuebaris,extenuiebaris,You were thined
Passive Indicative,Imperfect,2nd Person,Plural,extenuabamini,extenuebamini,extenuebamini,extenuiebamini,You (pl.) were thined
Passive Indicative,Imperfect,3rd Person,Singular,extenuabatur,extenuebatur,extenuebatur,extenuiebatur,He/she/it was thined
Passive Indicative,Imperfect,3rd Person,Plural,extenuabantur,extenuebantur,extenuebantur,extenuiebantur,They were thined
Passive Indicative,Future,1st Person,Singular,extenuabor,extenuebor,extenuar,extenuiar,I will be thined
Passive Indicative,Future,1st Person,Plural,extenuabimur,extenuebimur,extenuemur,extenuiemur,We will be thined
Passive Indicative,Future,2nd Person,Singular,extenuaberis,extenueberis,extenueris,extenuieris,You will be thined
Passive Indicative,Future,2nd Person,Plural,extenuabimini,extenuebimini,extenuemini,extenuiemini,You (pl.) will be thined
Passive Indicative,Future,3rd Person,Singular,extenuabitur,extenuebitur,extenuetur,extenuietur,He/she/it will be thined
Passive Indicative,Future,3rd Person,Plural,extenuabuntur,extenuebuntur,extenuentur,extenuientur,They will be thined
Passive Indicative,Perfect,1st Person,Singular,extenuatus sum,extenuetus sum,extenus sum,extenus sum,I have been thined
Passive Indicative,Perfect,1st Person,Plural,extenuati sumus,extenueti sumus,extenui sumus,extenui sumus,We have been thined
Passive Indicative,Perfect,2nd Person,Singular,extenuatus es,extenuetus es,extenus es,extenus es,You have been thined
Passive Indicative,Perfect,2nd Person,Plural,extenuati estis,extenueti estis,extenui estis,extenui estis,You (pl.) have been thined
Passive Indicative,Perfect,3rd Person,Singular,extenuatus est,extenuetus est,extenus est,extenus est,He/she/it has been thined
Passive Indicative,Perfect,3rd Person,Plural,extenuati sunt,extenueti sunt,extenui sunt,extenui sunt,They have been thined
Passive Indicative,Pluperfect,1st Person,Singular,extenuatus eram,extenuetus eram,extenus eram,extenus eram,I had been thined
Passive Indicative,Pluperfect,1st Person,Plural,extenuati eramus,extenueti eramus,extenui eramus,extenui eramus,We had been thined
Passive Indicative,Pluperfect,2nd Person,Singular,extenuatus eras,extenuetus eras,extenus eras,extenus eras,You had been thined
Passive Indicative,Pluperfect,2nd Person,Plural,extenuati eratis,extenueti eratis,extenui eratis,extenui eratis,You (pl.) had been thined
Passive Indicative,Pluperfect,3rd Person,Singular,extenuatus erat,extenuetus erat,extenus erat,extenus erat,He/she/it had been thined
Passive Indicative,Pluperfect,3rd Person,Plural,extenuati erant,extenueti erant,extenui erant,extenui erant,They had been thined
Passive Indicative,Future Perfect,1st Person,Singular,extenuatus ero,extenuetus ero,extenus ero,extenus ero,I will have been thined
Passive Indicative,Future Perfect,1st Person,Plural,extenuati erimus,extenueti erimus,extenui erimus,extenui erimus,We will have been thined
Passive Indicative,Future Perfect,2nd Person,Singular,extenuatus eris,extenuetus eris,extenus eris,extenus eris,You will have been thined
Passive Indicative,Future Perfect,2nd Person,Plural,extenuati eritis,extenueti eritis,extenui eritis,extenui eritis,You (pl.) will have been thined
Passive Indicative,Future Perfect,3rd Person,Singular,extenuatus erit,extenuetus erit,extenus erit,extenus erit,He/she/it will have been thined
Passive Indicative,Future Perfect,3rd Person,Plural,extenuati erunt,extenueti erunt,extenui erunt,extenui erunt,They will have been thined
Active Subjunctive,Present,1st Person,Singular,extenuem,extenuem,extenuam,extenuam,I may thin
Active Subjunctive,Present,1st Person,Plural,extenuemus,extenuemus,extenuamus,extenuamus,We may thin
Active Subjunctive,Present,2nd Person,Singular,extenues,extenues,extenuas,extenuas,You may thin
Active Subjunctive,Present,2nd Person,Plural,extenuetis,extenuetis,extenuatis,extenuatis,You (pl.) may thin
Active Subjunctive,Present,3rd Person,Singular,extenuet,extenuet,extenuat,extenuat,He/she/it may thin
Active Subjunctive,Present,3rd Person,Plural,extenuent,extenuent,extenuant,extenuant,They may thin
Active Subjunctive,Imperfect,1st Person,Singular,extenuarem,extenuerem,extenuerem,extenuirem,I should thin
Active Subjunctive,Imperfect,1st Person,Plural,extenuaremus,extenueremus,extenueremus,extenuiremus,We should thin
Active Subjunctive,Imperfect,2nd Person,Singular,extenuares,extenueres,extenueres,extenuires,You should thin
Active Subjunctive,Imperfect,2nd Person,Plural,extenuaretis,extenueretis,extenueretis,extenuiretis,You (pl.) should thin
Active Subjunctive,Imperfect,3rd Person,Singular,extenuaret,extenueret,extenueret,extenuiret,He/she/it should thin
Active Subjunctive,Imperfect,3rd Person,Plural,extenuarent,extenuerent,extenuerent,extenuirent,They should thin
Active Subjunctive,Perfect,1st Person,Singular,extenuerim,extenuerim,extenuerim,extenuierim,I may have thined
Active Subjunctive,Perfect,1st Person,Plural,extenuerimus,extenuerimus,extenuerimus,extenuierimus,We may have thined
Active Subjunctive,Perfect,2nd Person,Singular,extenueris,extenueris,extenueris,extenuieris,You may have thined
Active Subjunctive,Perfect,2nd Person,Plural,extenueritis,extenueritis,extenueritis,extenuieritis,You (pl.) may have thined
Active Subjunctive,Perfect,3rd Person,Singular,extenuerit,extenuerit,extenuerit,extenuierit,He/she/it may have thined
Active Subjunctive,Perfect,3rd Person,Plural,extenuerint,extenuerint,extenuerint,extenuierint,They may have thined
Active Subjunctive,Pluperfect,1st Person,Singular,extenuissem,extenuissem,extenuissem,extenuissem,I should have thined
Active Subjunctive,Pluperfect,1st Person,Plural,extenuissemus,extenuissemus,extenuissemus,extenuissemus,We should have thined
Active Subjunctive,Pluperfect,2nd Person,Singular,extenuisses,extenuisses,extenuisses,extenuisses,You would have thined
Active Subjunctive,Pluperfect,2nd Person,Plural,extenuissetis,extenuissetis,extenuissetis,extenuissetis,You (pl.) would have thined
Active Subjunctive,Pluperfect,3rd Person,Singular,extenuisset,extenuisset,extenuisset,extenuisset,He/she/it would have thined
Active Subjunctive,Pluperfect,3rd Person,Plural,extenuissent,extenuissent,extenuissent,extenuissent,They would have thined
Passive Subjunctive,Present,1st Person,Singular,extenuer,extenuer,extenuar,extenuar,I may be thined
Passive Subjunctive,Present,1st Person,Plural,extenuemur,extenuemur,extenuamur,extenuamur,We may be thined
Passive Subjunctive,Present,2nd Person,Singular,extenueris,extenueris,extenuaris,extenuaris,You may be thined
Passive Subjunctive,Present,2nd Person,Plural,extenuemini,extenuemini,extenuamini,extenuamini,You (pl.) may be thined
Passive Subjunctive,Present,3rd Person,Singular,extenuetur,extenuetur,extenuatur,extenuatur,He/she/it may be thined
Passive Subjunctive,Present,3rd Person,Plural,extenuentur,extenuentur,extenuantur,extenuantur,They may be thined
Passive Subjunctive,Imperfect,1st Person,Singular,extenuarer,extenuerer,extenuerer,extenuirer,I should be thined
Passive Subjunctive,Imperfect,1st Person,Plural,extenuaremur,extenueremur,extenueremur,extenuiremur,We should be thined
Passive Subjunctive,Imperfect,2nd Person,Singular,extenuareris,extenuereris,extenuereris,extenuireris,You would be thined
Passive Subjunctive,Imperfect,2nd Person,Plural,extenuaremini,extenueremini,extenueremini,extenuiremini,You (pl.) would be thined
Passive Subjunctive,Imperfect,3rd Person,Singular,extenuaretur,extenueretur,extenueretur,extenuiretur,He/she/it would be thined
Passive Subjunctive,Imperfect,3rd Person,Plural,extenuarentur,extenuerentur,extenuerentur,extenuirentur,They would be thined
Passive Subjunctive,Perfect,1st Person,Singular,extenuatus sim,extenuetus sim,extenus sim,extenus sim,I may have been thined
Passive Subjunctive,Perfect,1st Person,Plural,extenuati simus,extenueti simus,extenui simus,extenui simus,We may have been thined
Passive Subjunctive,Perfect,2nd Person,Singular,extenuatus sis,extenuetus sis,extenus sis,extenus sis,You may have been thined
Passive Subjunctive,Perfect,2nd Person,Plural,extenuati sitis,extenueti sitis,extenui sitis,extenui sitis,You (pl.) may have been thined
Passive Subjunctive,Perfect,3rd Person,Singular,extenuatus sit,extenuetus sit,extenus sit,extenus sit,He/she/it may have been thined
Passive Subjunctive,Perfect,3rd Person,Plural,extenuati sint,extenueti sint,extenui sint,extenui sint,They may have been thined
Passive Subjunctive,Pluperfect,1st Person,Singular,extenuatus essem,extenuetus essem,extenus essem,extenus essem,I should have been thined
Passive Subjunctive,Pluperfect,1st Person,Plural,extenuati essemus,extenueti essemus,extenui essemus,extenui essemus,We should have been thined
Passive Subjunctive,Pluperfect,2nd Person,Singular,extenuatus esses,extenuetus esses,extenus esses,extenus esses,You would have been thined
