Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,extorco,extorceo,extorco,extorcio,I twist
Active Indicative,Present,1st Person,Plural,extorcamus,extorcemus,extorcimus,extorcimus,We twist
Active Indicative,Present,2nd Person,Singular,extorcas,extorces,extorcis,extorcis,You twist
Active Indicative,Present,2nd Person,Plural,extorcatis,extorcetis,extorcitis,extorcitis,You (pl.) twist
Active Indicative,Present,3rd Person,Singular,extorcat,extorcet,extorcit,extorcit,He/she/it twist
Active Indicative,Present,3rd Person,Plural,extorcant,extorcent,extorciunt,extorciunt,They twist
Active Indicative,Imperfect,1st Person,Singular,extorcabam,extorcebam,extorcebam,extorciebam,I was twisting
Active Indicative,Imperfect,1st Person,Plural,extorcabamus,extorcebamus,extorcebamus,extorciebamus,We were twisting
Active Indicative,Imperfect,2nd Person,Singular,extorcabas,extorcebas,extorcebas,extorciebas,You were twisting
Active Indicative,Imperfect,2nd Person,Plural,extorcabatis,extorcebatis,extorcebatis,extorciebatis,You (pl.) were twisting
Active Indicative,Imperfect,3rd Person,Singular,extorcabat,extorcebat,extorcebat,extorciebat,He/she/it was twisting
Active Indicative,Imperfect,3rd Person,Plural,extorcabant,extorcebant,extorcebant,extorciebant,They were twisting
Active Indicative,Future,1st Person,Singular,extorcabo,extorcebo,extorcam,extorciam,I will twist
Active Indicative,Future,1st Person,Plural,extorcabimus,extorcebimus,extorcemus,extorciemus,We will twist
Active Indicative,Future,2nd Person,Singular,extorcabis,extorcebis,extorces,extorcies,You will twist
Active Indicative,Future,2nd Person,Plural,extorcabitis,extorcebitis,extorcetis,extorcietis,You (pl.) will twist
Active Indicative,Future,3rd Person,Singular,extorcabit,extorcebit,extorcet,extorciet,He/she/it will twist
Active Indicative,Future,3rd Person,Plural,extorcabunt,extorcebunt,extorcent,extorcient,They will twist
Active Indicative,Perfect,1st Person,Singular,extorcavi,extorcui,extorci,extorci,I have twisted
Active Indicative,Perfect,1st Person,Plural,extorcavimus,extorcuimus,extorcimus,extorcimus,We have twisted
Active Indicative,Perfect,2nd Person,Singular,extorcavisti,extorcuisti,extorcisti,extorcisti,You have twisted
Active Indicative,Perfect,2nd Person,Plural,extorcavistis,extorcuistis,extorcistis,extorcistis,You (pl.) have twisted
Active Indicative,Perfect,3rd Person,Singular,extorcavit,extorcuit,extorcit,extorcit,He/she/it has twisted
Active Indicative,Perfect,3rd Person,Plural,extorcaverunt,extorcuerunt,extorcerunt,extorcerunt,They have twisted
Active Indicative,Pluperfect,1st Person,Singular,extorcaveram,extorcueram,extorceram,extorceram,I had twisted
Active Indicative,Pluperfect,1st Person,Plural,extorcaveramus,extorcueramus,extorceramus,extorceramus,We had twisted
Active Indicative,Pluperfect,2nd Person,Singular,extorcaveras,extorcueras,extorceras,extorceras,You had twisted
Active Indicative,Pluperfect,2nd Person,Plural,extorcaveratis,extorcueratis,extorceratis,extorceratis,You (pl.) had twisted
