Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,extorculo,extorculeo,extorculo,extorculio,I press out
Active Indicative,Present,1st Person,Plural,extorculamus,extorculemus,extorculimus,extorculimus,We press out
Active Indicative,Present,2nd Person,Singular,extorculas,extorcules,extorculis,extorculis,You press out
Active Indicative,Present,2nd Person,Plural,extorculatis,extorculetis,extorculitis,extorculitis,You (pl.) press out
Active Indicative,Present,3rd Person,Singular,extorculat,extorculet,extorculit,extorculit,He/she/it press out
Active Indicative,Present,3rd Person,Plural,extorculant,extorculent,extorculiunt,extorculiunt,They press out
Active Indicative,Imperfect,1st Person,Singular,extorculabam,extorculebam,extorculebam,extorculiebam,I was press outing
Active Indicative,Imperfect,1st Person,Plural,extorculabamus,extorculebamus,extorculebamus,extorculiebamus,We were press outing
Active Indicative,Imperfect,2nd Person,Singular,extorculabas,extorculebas,extorculebas,extorculiebas,You were press outing
Active Indicative,Imperfect,2nd Person,Plural,extorculabatis,extorculebatis,extorculebatis,extorculiebatis,You (pl.) were press outing
Active Indicative,Imperfect,3rd Person,Singular,extorculabat,extorculebat,extorculebat,extorculiebat,He/she/it was press outing
Active Indicative,Imperfect,3rd Person,Plural,extorculabant,extorculebant,extorculebant,extorculiebant,They were press outing
Active Indicative,Future,1st Person,Singular,extorculabo,extorculebo,extorculam,extorculiam,I will press out
Active Indicative,Future,1st Person,Plural,extorculabimus,extorculebimus,extorculemus,extorculiemus,We will press out
Active Indicative,Future,2nd Person,Singular,extorculabis,extorculebis,extorcules,extorculies,You will press out
Active Indicative,Future,2nd Person,Plural,extorculabitis,extorculebitis,extorculetis,extorculietis,You (pl.) will press out
Active Indicative,Future,3rd Person,Singular,extorculabit,extorculebit,extorculet,extorculiet,He/she/it will press out
Active Indicative,Future,3rd Person,Plural,extorculabunt,extorculebunt,extorculent,extorculient,They will press out
Active Indicative,Perfect,1st Person,Singular,extorculavi,extorcului,extorculi,extorculi,I have press outed
Active Indicative,Perfect,1st Person,Plural,extorculavimus,extorculuimus,extorculimus,extorculimus,We have press outed
Active Indicative,Perfect,2nd Person,Singular,extorculavisti,extorculuisti,extorculisti,extorculisti,You have press outed
Active Indicative,Perfect,2nd Person,Plural,extorculavistis,extorculuistis,extorculistis,extorculistis,You (pl.) have press outed
Active Indicative,Perfect,3rd Person,Singular,extorculavit,extorculuit,extorculit,extorculit,He/she/it has press outed
Active Indicative,Perfect,3rd Person,Plural,extorculaverunt,extorculuerunt,extorculerunt,extorculerunt,They have press outed
Active Indicative,Pluperfect,1st Person,Singular,extorculaveram,extorculueram,extorculeram,extorculeram,I had press outed
Active Indicative,Pluperfect,1st Person,Plural,extorculaveramus,extorculueramus,extorculeramus,extorculeramus,We had press outed
Active Indicative,Pluperfect,2nd Person,Singular,extorculaveras,extorculueras,extorculeras,extorculeras,You had press outed
Active Indicative,Pluperfect,2nd Person,Plural,extorculaveratis,extorculueratis,extorculeratis,extorculeratis,You (pl.) had press outed
Active Indicative,Pluperfect,3rd Person,Singular,extorculaverat,extorculuerat,extorculerat,extorculerat,He/she/it had press outed
Active Indicative,Pluperfect,3rd Person,Plural,extorculaverant,extorculuerant,extorculerant,extorculerant,They had press outed
Active Indicative,Future Perfect,1st Person,Singular,extorculavero,extorculueero,extorculero,extorculiero,I will have press outed
Active Indicative,Future Perfect,1st Person,Plural,extorculaverimus,extorculuerimus,extorculerimus,extorculierimus,We will have press outed
Active Indicative,Future Perfect,2nd Person,Singular,extorculaveris,extorculueris,extorculeris,extorculieris,You will have press outed
Active Indicative,Future Perfect,2nd Person,Plural,extorculaveritis,extorculueritis,extorculeritis,extorculieritis,You (pl.) will have press outed
Active Indicative,Future Perfect,3rd Person,Singular,extorculaverit,extorculuerit,extorculerit,extorculierit,He/she/it will have press outed
Active Indicative,Future Perfect,3rd Person,Plural,extorculaverint,extorculuerint,extorculerint,extorculierint,They will have press outed
Passive Indicative,Present,1st Person,Singular,extorculor,extorculeor,extorculor,extorculior,I am being press outed
Passive Indicative,Present,1st Person,Plural,extorculamur,extorculemur,extorculimur,extorculimur,We are being press outed
Passive Indicative,Present,2nd Person,Singular,extorcularis,extorculeris,extorculiris,extorculiris,You are being press outed
Passive Indicative,Present,2nd Person,Plural,extorculamini,extorculemini,extorculimini,extorculimini,You (pl.) are being press outed
Passive Indicative,Present,3rd Person,Singular,extorculatur,extorculetur,extorculitur,extorculitur,He/she/it is being press outed
Passive Indicative,Present,3rd Person,Plural,extorculantur,extorculentur,extorculiuntur,extorculiuntur,They are being press outed
Passive Indicative,Imperfect,1st Person,Singular,extorculabar,extorculebar,extorculebar,extorculiebar,I was press outed
Passive Indicative,Imperfect,1st Person,Plural,extorculabamur,extorculebamur,extorculebamur,extorculiebamur,We were press outed
Passive Indicative,Imperfect,2nd Person,Singular,extorculabaris,extorculebaris,extorculebaris,extorculiebaris,You were press outed
Passive Indicative,Imperfect,2nd Person,Plural,extorculabamini,extorculebamini,extorculebamini,extorculiebamini,You (pl.) were press outed
Passive Indicative,Imperfect,3rd Person,Singular,extorculabatur,extorculebatur,extorculebatur,extorculiebatur,He/she/it was press outed
Passive Indicative,Imperfect,3rd Person,Plural,extorculabantur,extorculebantur,extorculebantur,extorculiebantur,They were press outed
Passive Indicative,Future,1st Person,Singular,extorculabor,extorculebor,extorcular,extorculiar,I will be press outed
Passive Indicative,Future,1st Person,Plural,extorculabimur,extorculebimur,extorculemur,extorculiemur,We will be press outed
Passive Indicative,Future,2nd Person,Singular,extorculaberis,extorculeberis,extorculeris,extorculieris,You will be press outed
Passive Indicative,Future,2nd Person,Plural,extorculabimini,extorculebimini,extorculemini,extorculiemini,You (pl.) will be press outed
Passive Indicative,Future,3rd Person,Singular,extorculabitur,extorculebitur,extorculetur,extorculietur,He/she/it will be press outed
Passive Indicative,Future,3rd Person,Plural,extorculabuntur,extorculebuntur,extorculentur,extorculientur,They will be press outed
Passive Indicative,Perfect,1st Person,Singular,extorculatus sum,extorculetus sum,extorculus sum,extorculus sum,I have been press outed
Passive Indicative,Perfect,1st Person,Plural,extorculati sumus,extorculeti sumus,extorculi sumus,extorculi sumus,We have been press outed
Passive Indicative,Perfect,2nd Person,Singular,extorculatus es,extorculetus es,extorculus es,extorculus es,You have been press outed
Passive Indicative,Perfect,2nd Person,Plural,extorculati estis,extorculeti estis,extorculi estis,extorculi estis,You (pl.) have been press outed
Passive Indicative,Perfect,3rd Person,Singular,extorculatus est,extorculetus est,extorculus est,extorculus est,He/she/it has been press outed
Passive Indicative,Perfect,3rd Person,Plural,extorculati sunt,extorculeti sunt,extorculi sunt,extorculi sunt,They have been press outed
Passive Indicative,Pluperfect,1st Person,Singular,extorculatus eram,extorculetus eram,extorculus eram,extorculus eram,I had been press outed
Passive Indicative,Pluperfect,1st Person,Plural,extorculati eramus,extorculeti eramus,extorculi eramus,extorculi eramus,We had been press outed
Passive Indicative,Pluperfect,2nd Person,Singular,extorculatus eras,extorculetus eras,extorculus eras,extorculus eras,You had been press outed
Passive Indicative,Pluperfect,2nd Person,Plural,extorculati eratis,extorculeti eratis,extorculi eratis,extorculi eratis,You (pl.) had been press outed
Passive Indicative,Pluperfect,3rd Person,Singular,extorculatus erat,extorculetus erat,extorculus erat,extorculus erat,He/she/it had been press outed
Passive Indicative,Pluperfect,3rd Person,Plural,extorculati erant,extorculeti erant,extorculi erant,extorculi erant,They had been press outed
Passive Indicative,Future Perfect,1st Person,Singular,extorculatus ero,extorculetus ero,extorculus ero,extorculus ero,I will have been press outed
Passive Indicative,Future Perfect,1st Person,Plural,extorculati erimus,extorculeti erimus,extorculi erimus,extorculi erimus,We will have been press outed
Passive Indicative,Future Perfect,2nd Person,Singular,extorculatus eris,extorculetus eris,extorculus eris,extorculus eris,You will have been press outed
Passive Indicative,Future Perfect,2nd Person,Plural,extorculati eritis,extorculeti eritis,extorculi eritis,extorculi eritis,You (pl.) will have been press outed
Passive Indicative,Future Perfect,3rd Person,Singular,extorculatus erit,extorculetus erit,extorculus erit,extorculus erit,He/she/it will have been press outed
Passive Indicative,Future Perfect,3rd Person,Plural,extorculati erunt,extorculeti erunt,extorculi erunt,extorculi erunt,They will have been press outed
Active Subjunctive,Present,1st Person,Singular,extorculem,extorculem,extorculam,extorculam,I may press out
Active Subjunctive,Present,1st Person,Plural,extorculemus,extorculemus,extorculamus,extorculamus,We may press out
Active Subjunctive,Present,2nd Person,Singular,extorcules,extorcules,extorculas,extorculas,You may press out
Active Subjunctive,Present,2nd Person,Plural,extorculetis,extorculetis,extorculatis,extorculatis,You (pl.) may press out
Active Subjunctive,Present,3rd Person,Singular,extorculet,extorculet,extorculat,extorculat,He/she/it may press out
Active Subjunctive,Present,3rd Person,Plural,extorculent,extorculent,extorculant,extorculant,They may press out
Active Subjunctive,Imperfect,1st Person,Singular,extorcularem,extorculerem,extorculerem,extorculirem,I should press out
Active Subjunctive,Imperfect,1st Person,Plural,extorcularemus,extorculeremus,extorculeremus,extorculiremus,We should press out
Active Subjunctive,Imperfect,2nd Person,Singular,extorculares,extorculeres,extorculeres,extorculires,You should press out
Active Subjunctive,Imperfect,2nd Person,Plural,extorcularetis,extorculeretis,extorculeretis,extorculiretis,You (pl.) should press out
Active Subjunctive,Imperfect,3rd Person,Singular,extorcularet,extorculeret,extorculeret,extorculiret,He/she/it should press out
Active Subjunctive,Imperfect,3rd Person,Plural,extorcularent,extorculerent,extorculerent,extorculirent,They should press out
Active Subjunctive,Perfect,1st Person,Singular,extorculerim,extorculuerim,extorculerim,extorculierim,I may have press outed
Active Subjunctive,Perfect,1st Person,Plural,extorculerimus,extorculuerimus,extorculerimus,extorculierimus,We may have press outed
Active Subjunctive,Perfect,2nd Person,Singular,extorculeris,extorculueris,extorculeris,extorculieris,You may have press outed
Active Subjunctive,Perfect,2nd Person,Plural,extorculeritis,extorculueritis,extorculeritis,extorculieritis,You (pl.) may have press outed
Active Subjunctive,Perfect,3rd Person,Singular,extorculerit,extorculuerit,extorculerit,extorculierit,He/she/it may have press outed
Active Subjunctive,Perfect,3rd Person,Plural,extorculerint,extorculuerint,extorculerint,extorculierint,They may have press outed
Active Subjunctive,Pluperfect,1st Person,Singular,extorculissem,extorculuissem,extorculissem,extorculissem,I should have press outed
Active Subjunctive,Pluperfect,1st Person,Plural,extorculissemus,extorculuissemus,extorculissemus,extorculissemus,We should have press outed
Active Subjunctive,Pluperfect,2nd Person,Singular,extorculisses,extorculuisses,extorculisses,extorculisses,You would have press outed
Active Subjunctive,Pluperfect,2nd Person,Plural,extorculissetis,extorculuissetis,extorculissetis,extorculissetis,You (pl.) would have press outed
Active Subjunctive,Pluperfect,3rd Person,Singular,extorculisset,extorculuisset,extorculisset,extorculisset,He/she/it would have press outed
Active Subjunctive,Pluperfect,3rd Person,Plural,extorculissent,extorculuissent,extorculissent,extorculissent,They would have press outed
Passive Subjunctive,Present,1st Person,Singular,extorculer,extorculer,extorcular,extorcular,I may be press outed
Passive Subjunctive,Present,1st Person,Plural,extorculemur,extorculemur,extorculamur,extorculamur,We may be press outed
Passive Subjunctive,Present,2nd Person,Singular,extorculeris,extorculeris,extorcularis,extorcularis,You may be press outed
Passive Subjunctive,Present,2nd Person,Plural,extorculemini,extorculemini,extorculamini,extorculamini,You (pl.) may be press outed
Passive Subjunctive,Present,3rd Person,Singular,extorculetur,extorculetur,extorculatur,extorculatur,He/she/it may be press outed
Passive Subjunctive,Present,3rd Person,Plural,extorculentur,extorculentur,extorculantur,extorculantur,They may be press outed
Passive Subjunctive,Imperfect,1st Person,Singular,extorcularer,extorculerer,extorculerer,extorculirer,I should be press outed
Passive Subjunctive,Imperfect,1st Person,Plural,extorcularemur,extorculeremur,extorculeremur,extorculiremur,We should be press outed
Passive Subjunctive,Imperfect,2nd Person,Singular,extorculareris,extorculereris,extorculereris,extorculireris,You would be press outed
Passive Subjunctive,Imperfect,2nd Person,Plural,extorcularemini,extorculeremini,extorculeremini,extorculiremini,You (pl.) would be press outed
Passive Subjunctive,Imperfect,3rd Person,Singular,extorcularetur,extorculeretur,extorculeretur,extorculiretur,He/she/it would be press outed
Passive Subjunctive,Imperfect,3rd Person,Plural,extorcularentur,extorculerentur,extorculerentur,extorculirentur,They would be press outed
Passive Subjunctive,Perfect,1st Person,Singular,extorculatus sim,extorculetus sim,extorculus sim,extorculus sim,I may have been press outed
Passive Subjunctive,Perfect,1st Person,Plural,extorculati simus,extorculeti simus,extorculi simus,extorculi simus,We may have been press outed
Passive Subjunctive,Perfect,2nd Person,Singular,extorculatus sis,extorculetus sis,extorculus sis,extorculus sis,You may have been press outed
Passive Subjunctive,Perfect,2nd Person,Plural,extorculati sitis,extorculeti sitis,extorculi sitis,extorculi sitis,You (pl.) may have been press outed
Passive Subjunctive,Perfect,3rd Person,Singular,extorculatus sit,extorculetus sit,extorculus sit,extorculus sit,He/she/it may have been press outed
Passive Subjunctive,Perfect,3rd Person,Plural,extorculati sint,extorculeti sint,extorculi sint,extorculi sint,They may have been press outed
Passive Subjunctive,Pluperfect,1st Person,Singular,extorculatus essem,extorculetus essem,extorculus essem,extorculus essem,I should have been press outed
Passive Subjunctive,Pluperfect,1st Person,Plural,extorculati essemus,extorculeti essemus,extorculi essemus,extorculi essemus,We should have been press outed
