Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,extrapungo,extrapungeo,extrapungo,extrapungio,I pierce through
Active Indicative,Present,1st Person,Plural,extrapungamus,extrapungemus,extrapungimus,extrapungimus,We pierce through
Active Indicative,Present,2nd Person,Singular,extrapungas,extrapunges,extrapungis,extrapungis,You pierce through
Active Indicative,Present,2nd Person,Plural,extrapungatis,extrapungetis,extrapungitis,extrapungitis,You (pl.) pierce through
Active Indicative,Present,3rd Person,Singular,extrapungat,extrapunget,extrapungit,extrapungit,He/she/it pierce through
Active Indicative,Present,3rd Person,Plural,extrapungant,extrapungent,extrapungiunt,extrapungiunt,They pierce through
Active Indicative,Imperfect,1st Person,Singular,extrapungabam,extrapungebam,extrapungebam,extrapungiebam,I was pierce throughing
Active Indicative,Imperfect,1st Person,Plural,extrapungabamus,extrapungebamus,extrapungebamus,extrapungiebamus,We were pierce throughing
Active Indicative,Imperfect,2nd Person,Singular,extrapungabas,extrapungebas,extrapungebas,extrapungiebas,You were pierce throughing
Active Indicative,Imperfect,2nd Person,Plural,extrapungabatis,extrapungebatis,extrapungebatis,extrapungiebatis,You (pl.) were pierce throughing
Active Indicative,Imperfect,3rd Person,Singular,extrapungabat,extrapungebat,extrapungebat,extrapungiebat,He/she/it was pierce throughing
Active Indicative,Imperfect,3rd Person,Plural,extrapungabant,extrapungebant,extrapungebant,extrapungiebant,They were pierce throughing
Active Indicative,Future,1st Person,Singular,extrapungabo,extrapungebo,extrapungam,extrapungiam,I will pierce through
Active Indicative,Future,1st Person,Plural,extrapungabimus,extrapungebimus,extrapungemus,extrapungiemus,We will pierce through
Active Indicative,Future,2nd Person,Singular,extrapungabis,extrapungebis,extrapunges,extrapungies,You will pierce through
Active Indicative,Future,2nd Person,Plural,extrapungabitis,extrapungebitis,extrapungetis,extrapungietis,You (pl.) will pierce through
Active Indicative,Future,3rd Person,Singular,extrapungabit,extrapungebit,extrapunget,extrapungiet,He/she/it will pierce through
Active Indicative,Future,3rd Person,Plural,extrapungabunt,extrapungebunt,extrapungent,extrapungient,They will pierce through
Active Indicative,Perfect,1st Person,Singular,extrapungavi,extrapungui,extrapungi,extrapungi,I have pierce throughed
Active Indicative,Perfect,1st Person,Plural,extrapungavimus,extrapunguimus,extrapungimus,extrapungimus,We have pierce throughed
Active Indicative,Perfect,2nd Person,Singular,extrapungavisti,extrapunguisti,extrapungisti,extrapungisti,You have pierce throughed
Active Indicative,Perfect,2nd Person,Plural,extrapungavistis,extrapunguistis,extrapungistis,extrapungistis,You (pl.) have pierce throughed
Active Indicative,Perfect,3rd Person,Singular,extrapungavit,extrapunguit,extrapungit,extrapungit,He/she/it has pierce throughed
Active Indicative,Perfect,3rd Person,Plural,extrapungaverunt,extrapunguerunt,extrapungerunt,extrapungerunt,They have pierce throughed
Active Indicative,Pluperfect,1st Person,Singular,extrapungaveram,extrapungueram,extrapungeram,extrapungeram,I had pierce throughed
Active Indicative,Pluperfect,1st Person,Plural,extrapungaveramus,extrapungueramus,extrapungeramus,extrapungeramus,We had pierce throughed
Active Indicative,Pluperfect,2nd Person,Singular,extrapungaveras,extrapungueras,extrapungeras,extrapungeras,You had pierce throughed
Active Indicative,Pluperfect,2nd Person,Plural,extrapungaveratis,extrapungueratis,extrapungeratis,extrapungeratis,You (pl.) had pierce throughed
Active Indicative,Pluperfect,3rd Person,Singular,extrapungaverat,extrapunguerat,extrapungerat,extrapungerat,He/she/it had pierce throughed
Active Indicative,Pluperfect,3rd Person,Plural,extrapungaverant,extrapunguerant,extrapungerant,extrapungerant,They had pierce throughed
Active Indicative,Future Perfect,1st Person,Singular,extrapungavero,extrapungueero,extrapungero,extrapungiero,I will have pierce throughed
Active Indicative,Future Perfect,1st Person,Plural,extrapungaverimus,extrapunguerimus,extrapungerimus,extrapungierimus,We will have pierce throughed
Active Indicative,Future Perfect,2nd Person,Singular,extrapungaveris,extrapungueris,extrapungeris,extrapungieris,You will have pierce throughed
Active Indicative,Future Perfect,2nd Person,Plural,extrapungaveritis,extrapungueritis,extrapungeritis,extrapungieritis,You (pl.) will have pierce throughed
Active Indicative,Future Perfect,3rd Person,Singular,extrapungaverit,extrapunguerit,extrapungerit,extrapungierit,He/she/it will have pierce throughed
Active Indicative,Future Perfect,3rd Person,Plural,extrapungaverint,extrapunguerint,extrapungerint,extrapungierint,They will have pierce throughed
Passive Indicative,Present,1st Person,Singular,extrapungor,extrapungeor,extrapungor,extrapungior,I am being pierce throughed
Passive Indicative,Present,1st Person,Plural,extrapungamur,extrapungemur,extrapungimur,extrapungimur,We are being pierce throughed
Passive Indicative,Present,2nd Person,Singular,extrapungaris,extrapungeris,extrapungiris,extrapungiris,You are being pierce throughed
Passive Indicative,Present,2nd Person,Plural,extrapungamini,extrapungemini,extrapungimini,extrapungimini,You (pl.) are being pierce throughed
Passive Indicative,Present,3rd Person,Singular,extrapungatur,extrapungetur,extrapungitur,extrapungitur,He/she/it is being pierce throughed
Passive Indicative,Present,3rd Person,Plural,extrapungantur,extrapungentur,extrapungiuntur,extrapungiuntur,They are being pierce throughed
Passive Indicative,Imperfect,1st Person,Singular,extrapungabar,extrapungebar,extrapungebar,extrapungiebar,I was pierce throughed
Passive Indicative,Imperfect,1st Person,Plural,extrapungabamur,extrapungebamur,extrapungebamur,extrapungiebamur,We were pierce throughed
Passive Indicative,Imperfect,2nd Person,Singular,extrapungabaris,extrapungebaris,extrapungebaris,extrapungiebaris,You were pierce throughed
Passive Indicative,Imperfect,2nd Person,Plural,extrapungabamini,extrapungebamini,extrapungebamini,extrapungiebamini,You (pl.) were pierce throughed
Passive Indicative,Imperfect,3rd Person,Singular,extrapungabatur,extrapungebatur,extrapungebatur,extrapungiebatur,He/she/it was pierce throughed
Passive Indicative,Imperfect,3rd Person,Plural,extrapungabantur,extrapungebantur,extrapungebantur,extrapungiebantur,They were pierce throughed
Passive Indicative,Future,1st Person,Singular,extrapungabor,extrapungebor,extrapungar,extrapungiar,I will be pierce throughed
Passive Indicative,Future,1st Person,Plural,extrapungabimur,extrapungebimur,extrapungemur,extrapungiemur,We will be pierce throughed
Passive Indicative,Future,2nd Person,Singular,extrapungaberis,extrapungeberis,extrapungeris,extrapungieris,You will be pierce throughed
Passive Indicative,Future,2nd Person,Plural,extrapungabimini,extrapungebimini,extrapungemini,extrapungiemini,You (pl.) will be pierce throughed
Passive Indicative,Future,3rd Person,Singular,extrapungabitur,extrapungebitur,extrapungetur,extrapungietur,He/she/it will be pierce throughed
Passive Indicative,Future,3rd Person,Plural,extrapungabuntur,extrapungebuntur,extrapungentur,extrapungientur,They will be pierce throughed
Passive Indicative,Perfect,1st Person,Singular,extrapungatus sum,extrapungetus sum,extrapungus sum,extrapungus sum,I have been pierce throughed
Passive Indicative,Perfect,1st Person,Plural,extrapungati sumus,extrapungeti sumus,extrapungi sumus,extrapungi sumus,We have been pierce throughed
Passive Indicative,Perfect,2nd Person,Singular,extrapungatus es,extrapungetus es,extrapungus es,extrapungus es,You have been pierce throughed
Passive Indicative,Perfect,2nd Person,Plural,extrapungati estis,extrapungeti estis,extrapungi estis,extrapungi estis,You (pl.) have been pierce throughed
Passive Indicative,Perfect,3rd Person,Singular,extrapungatus est,extrapungetus est,extrapungus est,extrapungus est,He/she/it has been pierce throughed
Passive Indicative,Perfect,3rd Person,Plural,extrapungati sunt,extrapungeti sunt,extrapungi sunt,extrapungi sunt,They have been pierce throughed
Passive Indicative,Pluperfect,1st Person,Singular,extrapungatus eram,extrapungetus eram,extrapungus eram,extrapungus eram,I had been pierce throughed
Passive Indicative,Pluperfect,1st Person,Plural,extrapungati eramus,extrapungeti eramus,extrapungi eramus,extrapungi eramus,We had been pierce throughed
Passive Indicative,Pluperfect,2nd Person,Singular,extrapungatus eras,extrapungetus eras,extrapungus eras,extrapungus eras,You had been pierce throughed
Passive Indicative,Pluperfect,2nd Person,Plural,extrapungati eratis,extrapungeti eratis,extrapungi eratis,extrapungi eratis,You (pl.) had been pierce throughed
Passive Indicative,Pluperfect,3rd Person,Singular,extrapungatus erat,extrapungetus erat,extrapungus erat,extrapungus erat,He/she/it had been pierce throughed
Passive Indicative,Pluperfect,3rd Person,Plural,extrapungati erant,extrapungeti erant,extrapungi erant,extrapungi erant,They had been pierce throughed
Passive Indicative,Future Perfect,1st Person,Singular,extrapungatus ero,extrapungetus ero,extrapungus ero,extrapungus ero,I will have been pierce throughed
Passive Indicative,Future Perfect,1st Person,Plural,extrapungati erimus,extrapungeti erimus,extrapungi erimus,extrapungi erimus,We will have been pierce throughed
Passive Indicative,Future Perfect,2nd Person,Singular,extrapungatus eris,extrapungetus eris,extrapungus eris,extrapungus eris,You will have been pierce throughed
Passive Indicative,Future Perfect,2nd Person,Plural,extrapungati eritis,extrapungeti eritis,extrapungi eritis,extrapungi eritis,You (pl.) will have been pierce throughed
Passive Indicative,Future Perfect,3rd Person,Singular,extrapungatus erit,extrapungetus erit,extrapungus erit,extrapungus erit,He/she/it will have been pierce throughed
Passive Indicative,Future Perfect,3rd Person,Plural,extrapungati erunt,extrapungeti erunt,extrapungi erunt,extrapungi erunt,They will have been pierce throughed
Active Subjunctive,Present,1st Person,Singular,extrapungem,extrapungem,extrapungam,extrapungam,I may pierce through
Active Subjunctive,Present,1st Person,Plural,extrapungemus,extrapungemus,extrapungamus,extrapungamus,We may pierce through
Active Subjunctive,Present,2nd Person,Singular,extrapunges,extrapunges,extrapungas,extrapungas,You may pierce through
Active Subjunctive,Present,2nd Person,Plural,extrapungetis,extrapungetis,extrapungatis,extrapungatis,You (pl.) may pierce through
Active Subjunctive,Present,3rd Person,Singular,extrapunget,extrapunget,extrapungat,extrapungat,He/she/it may pierce through
Active Subjunctive,Present,3rd Person,Plural,extrapungent,extrapungent,extrapungant,extrapungant,They may pierce through
Active Subjunctive,Imperfect,1st Person,Singular,extrapungarem,extrapungerem,extrapungerem,extrapungirem,I should pierce through
Active Subjunctive,Imperfect,1st Person,Plural,extrapungaremus,extrapungeremus,extrapungeremus,extrapungiremus,We should pierce through
Active Subjunctive,Imperfect,2nd Person,Singular,extrapungares,extrapungeres,extrapungeres,extrapungires,You should pierce through
Active Subjunctive,Imperfect,2nd Person,Plural,extrapungaretis,extrapungeretis,extrapungeretis,extrapungiretis,You (pl.) should pierce through
Active Subjunctive,Imperfect,3rd Person,Singular,extrapungaret,extrapungeret,extrapungeret,extrapungiret,He/she/it should pierce through
Active Subjunctive,Imperfect,3rd Person,Plural,extrapungarent,extrapungerent,extrapungerent,extrapungirent,They should pierce through
Active Subjunctive,Perfect,1st Person,Singular,extrapungerim,extrapunguerim,extrapungerim,extrapungierim,I may have pierce throughed
