Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,exvento,exventeo,exvento,exventio,I air out
Active Indicative,Present,1st Person,Plural,exventamus,exventemus,exventimus,exventimus,We air out
Active Indicative,Present,2nd Person,Singular,exventas,exventes,exventis,exventis,You air out
Active Indicative,Present,2nd Person,Plural,exventatis,exventetis,exventitis,exventitis,You (pl.) air out
Active Indicative,Present,3rd Person,Singular,exventat,exventet,exventit,exventit,He/she/it air out
Active Indicative,Present,3rd Person,Plural,exventant,exventent,exventiunt,exventiunt,They air out
Active Indicative,Imperfect,1st Person,Singular,exventabam,exventebam,exventebam,exventiebam,I was air outing
Active Indicative,Imperfect,1st Person,Plural,exventabamus,exventebamus,exventebamus,exventiebamus,We were air outing
Active Indicative,Imperfect,2nd Person,Singular,exventabas,exventebas,exventebas,exventiebas,You were air outing
Active Indicative,Imperfect,2nd Person,Plural,exventabatis,exventebatis,exventebatis,exventiebatis,You (pl.) were air outing
Active Indicative,Imperfect,3rd Person,Singular,exventabat,exventebat,exventebat,exventiebat,He/she/it was air outing
Active Indicative,Imperfect,3rd Person,Plural,exventabant,exventebant,exventebant,exventiebant,They were air outing
Active Indicative,Future,1st Person,Singular,exventabo,exventebo,exventam,exventiam,I will air out
Active Indicative,Future,1st Person,Plural,exventabimus,exventebimus,exventemus,exventiemus,We will air out
Active Indicative,Future,2nd Person,Singular,exventabis,exventebis,exventes,exventies,You will air out
Active Indicative,Future,2nd Person,Plural,exventabitis,exventebitis,exventetis,exventietis,You (pl.) will air out
Active Indicative,Future,3rd Person,Singular,exventabit,exventebit,exventet,exventiet,He/she/it will air out
Active Indicative,Future,3rd Person,Plural,exventabunt,exventebunt,exventent,exventient,They will air out
Active Indicative,Perfect,1st Person,Singular,exventavi,exventui,exventi,exventi,I have air outed
Active Indicative,Perfect,1st Person,Plural,exventavimus,exventuimus,exventimus,exventimus,We have air outed
