Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,fatigaro,fatigareo,fatigaro,fatigario,I wear out
Active Indicative,Present,1st Person,Plural,fatigaramus,fatigaremus,fatigarimus,fatigarimus,We wear out
Active Indicative,Present,2nd Person,Singular,fatigaras,fatigares,fatigaris,fatigaris,You wear out
Active Indicative,Present,2nd Person,Plural,fatigaratis,fatigaretis,fatigaritis,fatigaritis,You (pl.) wear out
Active Indicative,Present,3rd Person,Singular,fatigarat,fatigaret,fatigarit,fatigarit,He/she/it wear out
Active Indicative,Present,3rd Person,Plural,fatigarant,fatigarent,fatigariunt,fatigariunt,They wear out
Active Indicative,Imperfect,1st Person,Singular,fatigarabam,fatigarebam,fatigarebam,fatigariebam,I was wear outing
Active Indicative,Imperfect,1st Person,Plural,fatigarabamus,fatigarebamus,fatigarebamus,fatigariebamus,We were wear outing
Active Indicative,Imperfect,2nd Person,Singular,fatigarabas,fatigarebas,fatigarebas,fatigariebas,You were wear outing
Active Indicative,Imperfect,2nd Person,Plural,fatigarabatis,fatigarebatis,fatigarebatis,fatigariebatis,You (pl.) were wear outing
Active Indicative,Imperfect,3rd Person,Singular,fatigarabat,fatigarebat,fatigarebat,fatigariebat,He/she/it was wear outing
Active Indicative,Imperfect,3rd Person,Plural,fatigarabant,fatigarebant,fatigarebant,fatigariebant,They were wear outing
Active Indicative,Future,1st Person,Singular,fatigarabo,fatigarebo,fatigaram,fatigariam,I will wear out
Active Indicative,Future,1st Person,Plural,fatigarabimus,fatigarebimus,fatigaremus,fatigariemus,We will wear out
Active Indicative,Future,2nd Person,Singular,fatigarabis,fatigarebis,fatigares,fatigaries,You will wear out
Active Indicative,Future,2nd Person,Plural,fatigarabitis,fatigarebitis,fatigaretis,fatigarietis,You (pl.) will wear out
Active Indicative,Future,3rd Person,Singular,fatigarabit,fatigarebit,fatigaret,fatigariet,He/she/it will wear out
Active Indicative,Future,3rd Person,Plural,fatigarabunt,fatigarebunt,fatigarent,fatigarient,They will wear out
Active Indicative,Perfect,1st Person,Singular,fatigaravi,fatigarui,fatigari,fatigari,I have wear outed
Active Indicative,Perfect,1st Person,Plural,fatigaravimus,fatigaruimus,fatigarimus,fatigarimus,We have wear outed
Active Indicative,Perfect,2nd Person,Singular,fatigaravisti,fatigaruisti,fatigaristi,fatigaristi,You have wear outed
Active Indicative,Perfect,2nd Person,Plural,fatigaravistis,fatigaruistis,fatigaristis,fatigaristis,You (pl.) have wear outed
Active Indicative,Perfect,3rd Person,Singular,fatigaravit,fatigaruit,fatigarit,fatigarit,He/she/it has wear outed
Active Indicative,Perfect,3rd Person,Plural,fatigaraverunt,fatigaruerunt,fatigarerunt,fatigarerunt,They have wear outed
Active Indicative,Pluperfect,1st Person,Singular,fatigaraveram,fatigarueram,fatigareram,fatigareram,I had wear outed
Active Indicative,Pluperfect,1st Person,Plural,fatigaraveramus,fatigarueramus,fatigareramus,fatigareramus,We had wear outed
Active Indicative,Pluperfect,2nd Person,Singular,fatigaraveras,fatigarueras,fatigareras,fatigareras,You had wear outed
Active Indicative,Pluperfect,2nd Person,Plural,fatigaraveratis,fatigarueratis,fatigareratis,fatigareratis,You (pl.) had wear outed
Active Indicative,Pluperfect,3rd Person,Singular,fatigaraverat,fatigaruerat,fatigarerat,fatigarerat,He/she/it had wear outed
Active Indicative,Pluperfect,3rd Person,Plural,fatigaraverant,fatigaruerant,fatigarerant,fatigarerant,They had wear outed
Active Indicative,Future Perfect,1st Person,Singular,fatigaravero,fatigarueero,fatigarero,fatigariero,I will have wear outed
Active Indicative,Future Perfect,1st Person,Plural,fatigaraverimus,fatigaruerimus,fatigarerimus,fatigarierimus,We will have wear outed
Active Indicative,Future Perfect,2nd Person,Singular,fatigaraveris,fatigarueris,fatigareris,fatigarieris,You will have wear outed
Active Indicative,Future Perfect,2nd Person,Plural,fatigaraveritis,fatigarueritis,fatigareritis,fatigarieritis,You (pl.) will have wear outed
Active Indicative,Future Perfect,3rd Person,Singular,fatigaraverit,fatigaruerit,fatigarerit,fatigarierit,He/she/it will have wear outed
Active Indicative,Future Perfect,3rd Person,Plural,fatigaraverint,fatigaruerint,fatigarerint,fatigarierint,They will have wear outed
Passive Indicative,Present,1st Person,Singular,fatigaror,fatigareor,fatigaror,fatigarior,I am being wear outed
Passive Indicative,Present,1st Person,Plural,fatigaramur,fatigaremur,fatigarimur,fatigarimur,We are being wear outed
Passive Indicative,Present,2nd Person,Singular,fatigararis,fatigareris,fatigariris,fatigariris,You are being wear outed
Passive Indicative,Present,2nd Person,Plural,fatigaramini,fatigaremini,fatigarimini,fatigarimini,You (pl.) are being wear outed
Passive Indicative,Present,3rd Person,Singular,fatigaratur,fatigaretur,fatigaritur,fatigaritur,He/she/it is being wear outed
Passive Indicative,Present,3rd Person,Plural,fatigarantur,fatigarentur,fatigariuntur,fatigariuntur,They are being wear outed
Passive Indicative,Imperfect,1st Person,Singular,fatigarabar,fatigarebar,fatigarebar,fatigariebar,I was wear outed
Passive Indicative,Imperfect,1st Person,Plural,fatigarabamur,fatigarebamur,fatigarebamur,fatigariebamur,We were wear outed
Passive Indicative,Imperfect,2nd Person,Singular,fatigarabaris,fatigarebaris,fatigarebaris,fatigariebaris,You were wear outed
Passive Indicative,Imperfect,2nd Person,Plural,fatigarabamini,fatigarebamini,fatigarebamini,fatigariebamini,You (pl.) were wear outed
Passive Indicative,Imperfect,3rd Person,Singular,fatigarabatur,fatigarebatur,fatigarebatur,fatigariebatur,He/she/it was wear outed
Passive Indicative,Imperfect,3rd Person,Plural,fatigarabantur,fatigarebantur,fatigarebantur,fatigariebantur,They were wear outed
Passive Indicative,Future,1st Person,Singular,fatigarabor,fatigarebor,fatigarar,fatigariar,I will be wear outed
Passive Indicative,Future,1st Person,Plural,fatigarabimur,fatigarebimur,fatigaremur,fatigariemur,We will be wear outed
Passive Indicative,Future,2nd Person,Singular,fatigaraberis,fatigareberis,fatigareris,fatigarieris,You will be wear outed
Passive Indicative,Future,2nd Person,Plural,fatigarabimini,fatigarebimini,fatigaremini,fatigariemini,You (pl.) will be wear outed
Passive Indicative,Future,3rd Person,Singular,fatigarabitur,fatigarebitur,fatigaretur,fatigarietur,He/she/it will be wear outed
Passive Indicative,Future,3rd Person,Plural,fatigarabuntur,fatigarebuntur,fatigarentur,fatigarientur,They will be wear outed
Passive Indicative,Perfect,1st Person,Singular,fatigaratus sum,fatigaretus sum,fatigarus sum,fatigarus sum,I have been wear outed
Passive Indicative,Perfect,1st Person,Plural,fatigarati sumus,fatigareti sumus,fatigari sumus,fatigari sumus,We have been wear outed
Passive Indicative,Perfect,2nd Person,Singular,fatigaratus es,fatigaretus es,fatigarus es,fatigarus es,You have been wear outed
Passive Indicative,Perfect,2nd Person,Plural,fatigarati estis,fatigareti estis,fatigari estis,fatigari estis,You (pl.) have been wear outed
Passive Indicative,Perfect,3rd Person,Singular,fatigaratus est,fatigaretus est,fatigarus est,fatigarus est,He/she/it has been wear outed
Passive Indicative,Perfect,3rd Person,Plural,fatigarati sunt,fatigareti sunt,fatigari sunt,fatigari sunt,They have been wear outed
Passive Indicative,Pluperfect,1st Person,Singular,fatigaratus eram,fatigaretus eram,fatigarus eram,fatigarus eram,I had been wear outed
Passive Indicative,Pluperfect,1st Person,Plural,fatigarati eramus,fatigareti eramus,fatigari eramus,fatigari eramus,We had been wear outed
Passive Indicative,Pluperfect,2nd Person,Singular,fatigaratus eras,fatigaretus eras,fatigarus eras,fatigarus eras,You had been wear outed
Passive Indicative,Pluperfect,2nd Person,Plural,fatigarati eratis,fatigareti eratis,fatigari eratis,fatigari eratis,You (pl.) had been wear outed
Passive Indicative,Pluperfect,3rd Person,Singular,fatigaratus erat,fatigaretus erat,fatigarus erat,fatigarus erat,He/she/it had been wear outed
Passive Indicative,Pluperfect,3rd Person,Plural,fatigarati erant,fatigareti erant,fatigari erant,fatigari erant,They had been wear outed
Passive Indicative,Future Perfect,1st Person,Singular,fatigaratus ero,fatigaretus ero,fatigarus ero,fatigarus ero,I will have been wear outed
