Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,festizo,festizeo,festizo,festizio,I celebrate
Active Indicative,Present,1st Person,Plural,festizamus,festizemus,festizimus,festizimus,We celebrate
Active Indicative,Present,2nd Person,Singular,festizas,festizes,festizis,festizis,You celebrate
Active Indicative,Present,2nd Person,Plural,festizatis,festizetis,festizitis,festizitis,You (pl.) celebrate
Active Indicative,Present,3rd Person,Singular,festizat,festizet,festizit,festizit,He/she/it celebrate
Active Indicative,Present,3rd Person,Plural,festizant,festizent,festiziunt,festiziunt,They celebrate
Active Indicative,Imperfect,1st Person,Singular,festizabam,festizebam,festizebam,festiziebam,I was celebrateing
Active Indicative,Imperfect,1st Person,Plural,festizabamus,festizebamus,festizebamus,festiziebamus,We were celebrateing
Active Indicative,Imperfect,2nd Person,Singular,festizabas,festizebas,festizebas,festiziebas,You were celebrateing
Active Indicative,Imperfect,2nd Person,Plural,festizabatis,festizebatis,festizebatis,festiziebatis,You (pl.) were celebrateing
Active Indicative,Imperfect,3rd Person,Singular,festizabat,festizebat,festizebat,festiziebat,He/she/it was celebrateing
Active Indicative,Imperfect,3rd Person,Plural,festizabant,festizebant,festizebant,festiziebant,They were celebrateing
Active Indicative,Future,1st Person,Singular,festizabo,festizebo,festizam,festiziam,I will celebrate
Active Indicative,Future,1st Person,Plural,festizabimus,festizebimus,festizemus,festiziemus,We will celebrate
Active Indicative,Future,2nd Person,Singular,festizabis,festizebis,festizes,festizies,You will celebrate
Active Indicative,Future,2nd Person,Plural,festizabitis,festizebitis,festizetis,festizietis,You (pl.) will celebrate
Active Indicative,Future,3rd Person,Singular,festizabit,festizebit,festizet,festiziet,He/she/it will celebrate
Active Indicative,Future,3rd Person,Plural,festizabunt,festizebunt,festizent,festizient,They will celebrate
Active Indicative,Perfect,1st Person,Singular,festizavi,festizui,festizi,festizi,I have celebrateed
Active Indicative,Perfect,1st Person,Plural,festizavimus,festizuimus,festizimus,festizimus,We have celebrateed
Active Indicative,Perfect,2nd Person,Singular,festizavisti,festizuisti,festizisti,festizisti,You have celebrateed
Active Indicative,Perfect,2nd Person,Plural,festizavistis,festizuistis,festizistis,festizistis,You (pl.) have celebrateed
Active Indicative,Perfect,3rd Person,Singular,festizavit,festizuit,festizit,festizit,He/she/it has celebrateed
Active Indicative,Perfect,3rd Person,Plural,festizaverunt,festizuerunt,festizerunt,festizerunt,They have celebrateed
Active Indicative,Pluperfect,1st Person,Singular,festizaveram,festizueram,festizeram,festizeram,I had celebrateed
Active Indicative,Pluperfect,1st Person,Plural,festizaveramus,festizueramus,festizeramus,festizeramus,We had celebrateed
Active Indicative,Pluperfect,2nd Person,Singular,festizaveras,festizueras,festizeras,festizeras,You had celebrateed
