Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,fino,fineo,fino,finio,I finish
Active Indicative,Present,1st Person,Plural,finamus,finemus,finimus,finimus,We finish
Active Indicative,Present,2nd Person,Singular,finas,fines,finis,finis,You finish
Active Indicative,Present,2nd Person,Plural,finatis,finetis,finitis,finitis,You (pl.) finish
Active Indicative,Present,3rd Person,Singular,finat,finet,finit,finit,He/she/it finish
Active Indicative,Present,3rd Person,Plural,finant,finent,finiunt,finiunt,They finish
Active Indicative,Imperfect,1st Person,Singular,finabam,finebam,finebam,finiebam,I was finishing
Active Indicative,Imperfect,1st Person,Plural,finabamus,finebamus,finebamus,finiebamus,We were finishing
Active Indicative,Imperfect,2nd Person,Singular,finabas,finebas,finebas,finiebas,You were finishing
Active Indicative,Imperfect,2nd Person,Plural,finabatis,finebatis,finebatis,finiebatis,You (pl.) were finishing
Active Indicative,Imperfect,3rd Person,Singular,finabat,finebat,finebat,finiebat,He/she/it was finishing
Active Indicative,Imperfect,3rd Person,Plural,finabant,finebant,finebant,finiebant,They were finishing
Active Indicative,Future,1st Person,Singular,finabo,finebo,finam,finiam,I will finish
Active Indicative,Future,1st Person,Plural,finabimus,finebimus,finemus,finiemus,We will finish
Active Indicative,Future,2nd Person,Singular,finabis,finebis,fines,finies,You will finish
Active Indicative,Future,2nd Person,Plural,finabitis,finebitis,finetis,finietis,You (pl.) will finish
Active Indicative,Future,3rd Person,Singular,finabit,finebit,finet,finiet,He/she/it will finish
Active Indicative,Future,3rd Person,Plural,finabunt,finebunt,finent,finient,They will finish
Active Indicative,Perfect,1st Person,Singular,finavi,finui,fini,fini,I have finished
Active Indicative,Perfect,1st Person,Plural,finavimus,finuimus,finimus,finimus,We have finished
Active Indicative,Perfect,2nd Person,Singular,finavisti,finuisti,finisti,finisti,You have finished
Active Indicative,Perfect,2nd Person,Plural,finavistis,finuistis,finistis,finistis,You (pl.) have finished
Active Indicative,Perfect,3rd Person,Singular,finavit,finuit,finit,finit,He/she/it has finished
Active Indicative,Perfect,3rd Person,Plural,finaverunt,finuerunt,finerunt,finerunt,They have finished
Active Indicative,Pluperfect,1st Person,Singular,finaveram,finueram,fineram,fineram,I had finished
Active Indicative,Pluperfect,1st Person,Plural,finaveramus,finueramus,fineramus,fineramus,We had finished
Active Indicative,Pluperfect,2nd Person,Singular,finaveras,finueras,fineras,fineras,You had finished
Active Indicative,Pluperfect,2nd Person,Plural,finaveratis,finueratis,fineratis,fineratis,You (pl.) had finished
Active Indicative,Pluperfect,3rd Person,Singular,finaverat,finuerat,finerat,finerat,He/she/it had finished
Active Indicative,Pluperfect,3rd Person,Plural,finaverant,finuerant,finerant,finerant,They had finished
Active Indicative,Future Perfect,1st Person,Singular,finavero,finueero,finero,finiero,I will have finished
Active Indicative,Future Perfect,1st Person,Plural,finaverimus,finuerimus,finerimus,finierimus,We will have finished
Active Indicative,Future Perfect,2nd Person,Singular,finaveris,finueris,fineris,finieris,You will have finished
Active Indicative,Future Perfect,2nd Person,Plural,finaveritis,finueritis,fineritis,finieritis,You (pl.) will have finished
Active Indicative,Future Perfect,3rd Person,Singular,finaverit,finuerit,finerit,finierit,He/she/it will have finished
Active Indicative,Future Perfect,3rd Person,Plural,finaverint,finuerint,finerint,finierint,They will have finished
Passive Indicative,Present,1st Person,Singular,finor,fineor,finor,finior,I am being finished
Passive Indicative,Present,1st Person,Plural,finamur,finemur,finimur,finimur,We are being finished
Passive Indicative,Present,2nd Person,Singular,finaris,fineris,finiris,finiris,You are being finished
Passive Indicative,Present,2nd Person,Plural,finamini,finemini,finimini,finimini,You (pl.) are being finished
Passive Indicative,Present,3rd Person,Singular,finatur,finetur,finitur,finitur,He/she/it is being finished
Passive Indicative,Present,3rd Person,Plural,finantur,finentur,finiuntur,finiuntur,They are being finished
Passive Indicative,Imperfect,1st Person,Singular,finabar,finebar,finebar,finiebar,I was finished
Passive Indicative,Imperfect,1st Person,Plural,finabamur,finebamur,finebamur,finiebamur,We were finished
Passive Indicative,Imperfect,2nd Person,Singular,finabaris,finebaris,finebaris,finiebaris,You were finished
Passive Indicative,Imperfect,2nd Person,Plural,finabamini,finebamini,finebamini,finiebamini,You (pl.) were finished
Passive Indicative,Imperfect,3rd Person,Singular,finabatur,finebatur,finebatur,finiebatur,He/she/it was finished
Passive Indicative,Imperfect,3rd Person,Plural,finabantur,finebantur,finebantur,finiebantur,They were finished
Passive Indicative,Future,1st Person,Singular,finabor,finebor,finar,finiar,I will be finished
Passive Indicative,Future,1st Person,Plural,finabimur,finebimur,finemur,finiemur,We will be finished
Passive Indicative,Future,2nd Person,Singular,finaberis,fineberis,fineris,finieris,You will be finished
Passive Indicative,Future,2nd Person,Plural,finabimini,finebimini,finemini,finiemini,You (pl.) will be finished
Passive Indicative,Future,3rd Person,Singular,finabitur,finebitur,finetur,finietur,He/she/it will be finished
Passive Indicative,Future,3rd Person,Plural,finabuntur,finebuntur,finentur,finientur,They will be finished
Passive Indicative,Perfect,1st Person,Singular,finatus sum,finetus sum,finus sum,finus sum,I have been finished
Passive Indicative,Perfect,1st Person,Plural,finati sumus,fineti sumus,fini sumus,fini sumus,We have been finished
Passive Indicative,Perfect,2nd Person,Singular,finatus es,finetus es,finus es,finus es,You have been finished
Passive Indicative,Perfect,2nd Person,Plural,finati estis,fineti estis,fini estis,fini estis,You (pl.) have been finished
Passive Indicative,Perfect,3rd Person,Singular,finatus est,finetus est,finus est,finus est,He/she/it has been finished
Passive Indicative,Perfect,3rd Person,Plural,finati sunt,fineti sunt,fini sunt,fini sunt,They have been finished
Passive Indicative,Pluperfect,1st Person,Singular,finatus eram,finetus eram,finus eram,finus eram,I had been finished
Passive Indicative,Pluperfect,1st Person,Plural,finati eramus,fineti eramus,fini eramus,fini eramus,We had been finished
Passive Indicative,Pluperfect,2nd Person,Singular,finatus eras,finetus eras,finus eras,finus eras,You had been finished
Passive Indicative,Pluperfect,2nd Person,Plural,finati eratis,fineti eratis,fini eratis,fini eratis,You (pl.) had been finished
Passive Indicative,Pluperfect,3rd Person,Singular,finatus erat,finetus erat,finus erat,finus erat,He/she/it had been finished
Passive Indicative,Pluperfect,3rd Person,Plural,finati erant,fineti erant,fini erant,fini erant,They had been finished
Passive Indicative,Future Perfect,1st Person,Singular,finatus ero,finetus ero,finus ero,finus ero,I will have been finished
Passive Indicative,Future Perfect,1st Person,Plural,finati erimus,fineti erimus,fini erimus,fini erimus,We will have been finished
Passive Indicative,Future Perfect,2nd Person,Singular,finatus eris,finetus eris,finus eris,finus eris,You will have been finished
Passive Indicative,Future Perfect,2nd Person,Plural,finati eritis,fineti eritis,fini eritis,fini eritis,You (pl.) will have been finished
Passive Indicative,Future Perfect,3rd Person,Singular,finatus erit,finetus erit,finus erit,finus erit,He/she/it will have been finished
Passive Indicative,Future Perfect,3rd Person,Plural,finati erunt,fineti erunt,fini erunt,fini erunt,They will have been finished
Active Subjunctive,Present,1st Person,Singular,finem,finem,finam,finam,I may finish
Active Subjunctive,Present,1st Person,Plural,finemus,finemus,finamus,finamus,We may finish
Active Subjunctive,Present,2nd Person,Singular,fines,fines,finas,finas,You may finish
