Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,flammizo,flammizeo,flammizo,flammizio,I blaze
Active Indicative,Present,1st Person,Plural,flammizamus,flammizemus,flammizimus,flammizimus,We blaze
Active Indicative,Present,2nd Person,Singular,flammizas,flammizes,flammizis,flammizis,You blaze
Active Indicative,Present,2nd Person,Plural,flammizatis,flammizetis,flammizitis,flammizitis,You (pl.) blaze
Active Indicative,Present,3rd Person,Singular,flammizat,flammizet,flammizit,flammizit,He/she/it blaze
Active Indicative,Present,3rd Person,Plural,flammizant,flammizent,flammiziunt,flammiziunt,They blaze
Active Indicative,Imperfect,1st Person,Singular,flammizabam,flammizebam,flammizebam,flammiziebam,I was blazeing
Active Indicative,Imperfect,1st Person,Plural,flammizabamus,flammizebamus,flammizebamus,flammiziebamus,We were blazeing
Active Indicative,Imperfect,2nd Person,Singular,flammizabas,flammizebas,flammizebas,flammiziebas,You were blazeing
Active Indicative,Imperfect,2nd Person,Plural,flammizabatis,flammizebatis,flammizebatis,flammiziebatis,You (pl.) were blazeing
Active Indicative,Imperfect,3rd Person,Singular,flammizabat,flammizebat,flammizebat,flammiziebat,He/she/it was blazeing
Active Indicative,Imperfect,3rd Person,Plural,flammizabant,flammizebant,flammizebant,flammiziebant,They were blazeing
Active Indicative,Future,1st Person,Singular,flammizabo,flammizebo,flammizam,flammiziam,I will blaze
Active Indicative,Future,1st Person,Plural,flammizabimus,flammizebimus,flammizemus,flammiziemus,We will blaze
Active Indicative,Future,2nd Person,Singular,flammizabis,flammizebis,flammizes,flammizies,You will blaze
Active Indicative,Future,2nd Person,Plural,flammizabitis,flammizebitis,flammizetis,flammizietis,You (pl.) will blaze
Active Indicative,Future,3rd Person,Singular,flammizabit,flammizebit,flammizet,flammiziet,He/she/it will blaze
Active Indicative,Future,3rd Person,Plural,flammizabunt,flammizebunt,flammizent,flammizient,They will blaze
Active Indicative,Perfect,1st Person,Singular,flammizavi,flammizui,flammizi,flammizi,I have blazeed
Active Indicative,Perfect,1st Person,Plural,flammizavimus,flammizuimus,flammizimus,flammizimus,We have blazeed
Active Indicative,Perfect,2nd Person,Singular,flammizavisti,flammizuisti,flammizisti,flammizisti,You have blazeed
Active Indicative,Perfect,2nd Person,Plural,flammizavistis,flammizuistis,flammizistis,flammizistis,You (pl.) have blazeed
Active Indicative,Perfect,3rd Person,Singular,flammizavit,flammizuit,flammizit,flammizit,He/she/it has blazeed
Active Indicative,Perfect,3rd Person,Plural,flammizaverunt,flammizuerunt,flammizerunt,flammizerunt,They have blazeed
