Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,flecto,flecteo,flecto,flectio,I bend
Active Indicative,Present,1st Person,Plural,flectamus,flectemus,flectimus,flectimus,We bend
Active Indicative,Present,2nd Person,Singular,flectas,flectes,flectis,flectis,You bend
Active Indicative,Present,2nd Person,Plural,flectatis,flectetis,flectitis,flectitis,You (pl.) bend
Active Indicative,Present,3rd Person,Singular,flectat,flectet,flectit,flectit,He/she/it bend
Active Indicative,Present,3rd Person,Plural,flectant,flectent,flectiunt,flectiunt,They bend
Active Indicative,Imperfect,1st Person,Singular,flectabam,flectebam,flectebam,flectiebam,I was bending
Active Indicative,Imperfect,1st Person,Plural,flectabamus,flectebamus,flectebamus,flectiebamus,We were bending
Active Indicative,Imperfect,2nd Person,Singular,flectabas,flectebas,flectebas,flectiebas,You were bending
Active Indicative,Imperfect,2nd Person,Plural,flectabatis,flectebatis,flectebatis,flectiebatis,You (pl.) were bending
Active Indicative,Imperfect,3rd Person,Singular,flectabat,flectebat,flectebat,flectiebat,He/she/it was bending
Active Indicative,Imperfect,3rd Person,Plural,flectabant,flectebant,flectebant,flectiebant,They were bending
Active Indicative,Future,1st Person,Singular,flectabo,flectebo,flectam,flectiam,I will bend
Active Indicative,Future,1st Person,Plural,flectabimus,flectebimus,flectemus,flectiemus,We will bend
Active Indicative,Future,2nd Person,Singular,flectabis,flectebis,flectes,flecties,You will bend
Active Indicative,Future,2nd Person,Plural,flectabitis,flectebitis,flectetis,flectietis,You (pl.) will bend
Active Indicative,Future,3rd Person,Singular,flectabit,flectebit,flectet,flectiet,He/she/it will bend
Active Indicative,Future,3rd Person,Plural,flectabunt,flectebunt,flectent,flectient,They will bend
Active Indicative,Perfect,1st Person,Singular,flectavi,flectui,flecti,flecti,I have bended
Active Indicative,Perfect,1st Person,Plural,flectavimus,flectuimus,flectimus,flectimus,We have bended
Active Indicative,Perfect,2nd Person,Singular,flectavisti,flectuisti,flectisti,flectisti,You have bended
Active Indicative,Perfect,2nd Person,Plural,flectavistis,flectuistis,flectistis,flectistis,You (pl.) have bended
Active Indicative,Perfect,3rd Person,Singular,flectavit,flectuit,flectit,flectit,He/she/it has bended
Active Indicative,Perfect,3rd Person,Plural,flectaverunt,flectuerunt,flecterunt,flecterunt,They have bended
Active Indicative,Pluperfect,1st Person,Singular,flectaveram,flectueram,flecteram,flecteram,I had bended
Active Indicative,Pluperfect,1st Person,Plural,flectaveramus,flectueramus,flecteramus,flecteramus,We had bended
Active Indicative,Pluperfect,2nd Person,Singular,flectaveras,flectueras,flecteras,flecteras,You had bended
