Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,flectico,flecticeo,flectico,flecticio,I bend
Active Indicative,Present,1st Person,Plural,flecticamus,flecticemus,flecticimus,flecticimus,We bend
Active Indicative,Present,2nd Person,Singular,flecticas,flectices,flecticis,flecticis,You bend
Active Indicative,Present,2nd Person,Plural,flecticatis,flecticetis,flecticitis,flecticitis,You (pl.) bend
Active Indicative,Present,3rd Person,Singular,flecticat,flecticet,flecticit,flecticit,He/she/it bend
Active Indicative,Present,3rd Person,Plural,flecticant,flecticent,flecticiunt,flecticiunt,They bend
Active Indicative,Imperfect,1st Person,Singular,flecticabam,flecticebam,flecticebam,flecticiebam,I was bending
Active Indicative,Imperfect,1st Person,Plural,flecticabamus,flecticebamus,flecticebamus,flecticiebamus,We were bending
Active Indicative,Imperfect,2nd Person,Singular,flecticabas,flecticebas,flecticebas,flecticiebas,You were bending
Active Indicative,Imperfect,2nd Person,Plural,flecticabatis,flecticebatis,flecticebatis,flecticiebatis,You (pl.) were bending
Active Indicative,Imperfect,3rd Person,Singular,flecticabat,flecticebat,flecticebat,flecticiebat,He/she/it was bending
Active Indicative,Imperfect,3rd Person,Plural,flecticabant,flecticebant,flecticebant,flecticiebant,They were bending
Active Indicative,Future,1st Person,Singular,flecticabo,flecticebo,flecticam,flecticiam,I will bend
Active Indicative,Future,1st Person,Plural,flecticabimus,flecticebimus,flecticemus,flecticiemus,We will bend
Active Indicative,Future,2nd Person,Singular,flecticabis,flecticebis,flectices,flecticies,You will bend
Active Indicative,Future,2nd Person,Plural,flecticabitis,flecticebitis,flecticetis,flecticietis,You (pl.) will bend
Active Indicative,Future,3rd Person,Singular,flecticabit,flecticebit,flecticet,flecticiet,He/she/it will bend
Active Indicative,Future,3rd Person,Plural,flecticabunt,flecticebunt,flecticent,flecticient,They will bend
Active Indicative,Perfect,1st Person,Singular,flecticavi,flecticui,flectici,flectici,I have bended
Active Indicative,Perfect,1st Person,Plural,flecticavimus,flecticuimus,flecticimus,flecticimus,We have bended
Active Indicative,Perfect,2nd Person,Singular,flecticavisti,flecticuisti,flecticisti,flecticisti,You have bended
