Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,flo,fleo,flo,flio,I sob
Active Indicative,Present,1st Person,Plural,flamus,flemus,flimus,flimus,We sob
Active Indicative,Present,2nd Person,Singular,flas,fles,flis,flis,You sob
Active Indicative,Present,2nd Person,Plural,flatis,fletis,flitis,flitis,You (pl.) sob
Active Indicative,Present,3rd Person,Singular,flat,flet,flit,flit,He/she/it sob
Active Indicative,Present,3rd Person,Plural,flant,flent,fliunt,fliunt,They sob
Active Indicative,Imperfect,1st Person,Singular,flabam,flebam,flebam,fliebam,I was sobing
Active Indicative,Imperfect,1st Person,Plural,flabamus,flebamus,flebamus,fliebamus,We were sobing
Active Indicative,Imperfect,2nd Person,Singular,flabas,flebas,flebas,fliebas,You were sobing
Active Indicative,Imperfect,2nd Person,Plural,flabatis,flebatis,flebatis,fliebatis,You (pl.) were sobing
Active Indicative,Imperfect,3rd Person,Singular,flabat,flebat,flebat,fliebat,He/she/it was sobing
Active Indicative,Imperfect,3rd Person,Plural,flabant,flebant,flebant,fliebant,They were sobing
Active Indicative,Future,1st Person,Singular,flabo,flebo,flam,fliam,I will sob
Active Indicative,Future,1st Person,Plural,flabimus,flebimus,flemus,fliemus,We will sob
Active Indicative,Future,2nd Person,Singular,flabis,flebis,fles,flies,You will sob
Active Indicative,Future,2nd Person,Plural,flabitis,flebitis,fletis,flietis,You (pl.) will sob
Active Indicative,Future,3rd Person,Singular,flabit,flebit,flet,fliet,He/she/it will sob
Active Indicative,Future,3rd Person,Plural,flabunt,flebunt,flent,flient,They will sob
Active Indicative,Perfect,1st Person,Singular,flavi,flui,fli,fli,I have sobed
Active Indicative,Perfect,1st Person,Plural,flavimus,fluimus,flimus,flimus,We have sobed
Active Indicative,Perfect,2nd Person,Singular,flavisti,fluisti,flisti,flisti,You have sobed
Active Indicative,Perfect,2nd Person,Plural,flavistis,fluistis,flistis,flistis,You (pl.) have sobed
Active Indicative,Perfect,3rd Person,Singular,flavit,fluit,flit,flit,He/she/it has sobed
Active Indicative,Perfect,3rd Person,Plural,flaverunt,fluerunt,flerunt,flerunt,They have sobed
Active Indicative,Pluperfect,1st Person,Singular,flaveram,flueram,fleram,fleram,I had sobed
Active Indicative,Pluperfect,1st Person,Plural,flaveramus,flueramus,fleramus,fleramus,We had sobed
Active Indicative,Pluperfect,2nd Person,Singular,flaveras,flueras,fleras,fleras,You had sobed
Active Indicative,Pluperfect,2nd Person,Plural,flaveratis,flueratis,fleratis,fleratis,You (pl.) had sobed
Active Indicative,Pluperfect,3rd Person,Singular,flaverat,fluerat,flerat,flerat,He/she/it had sobed
Active Indicative,Pluperfect,3rd Person,Plural,flaverant,fluerant,flerant,flerant,They had sobed
Active Indicative,Future Perfect,1st Person,Singular,flavero,flueero,flero,fliero,I will have sobed
Active Indicative,Future Perfect,1st Person,Plural,flaverimus,fluerimus,flerimus,flierimus,We will have sobed
Active Indicative,Future Perfect,2nd Person,Singular,flaveris,flueris,fleris,flieris,You will have sobed
Active Indicative,Future Perfect,2nd Person,Plural,flaveritis,flueritis,fleritis,flieritis,You (pl.) will have sobed
Active Indicative,Future Perfect,3rd Person,Singular,flaverit,fluerit,flerit,flierit,He/she/it will have sobed
Active Indicative,Future Perfect,3rd Person,Plural,flaverint,fluerint,flerint,flierint,They will have sobed
Passive Indicative,Present,1st Person,Singular,flor,fleor,flor,flior,I am being sobed
Passive Indicative,Present,1st Person,Plural,flamur,flemur,flimur,flimur,We are being sobed
Passive Indicative,Present,2nd Person,Singular,flaris,fleris,fliris,fliris,You are being sobed
Passive Indicative,Present,2nd Person,Plural,flamini,flemini,flimini,flimini,You (pl.) are being sobed
Passive Indicative,Present,3rd Person,Singular,flatur,fletur,flitur,flitur,He/she/it is being sobed
Passive Indicative,Present,3rd Person,Plural,flantur,flentur,fliuntur,fliuntur,They are being sobed
Passive Indicative,Imperfect,1st Person,Singular,flabar,flebar,flebar,fliebar,I was sobed
Passive Indicative,Imperfect,1st Person,Plural,flabamur,flebamur,flebamur,fliebamur,We were sobed
Passive Indicative,Imperfect,2nd Person,Singular,flabaris,flebaris,flebaris,fliebaris,You were sobed
Passive Indicative,Imperfect,2nd Person,Plural,flabamini,flebamini,flebamini,fliebamini,You (pl.) were sobed
Passive Indicative,Imperfect,3rd Person,Singular,flabatur,flebatur,flebatur,fliebatur,He/she/it was sobed
Passive Indicative,Imperfect,3rd Person,Plural,flabantur,flebantur,flebantur,fliebantur,They were sobed
Passive Indicative,Future,1st Person,Singular,flabor,flebor,flar,fliar,I will be sobed
Passive Indicative,Future,1st Person,Plural,flabimur,flebimur,flemur,fliemur,We will be sobed
Passive Indicative,Future,2nd Person,Singular,flaberis,fleberis,fleris,flieris,You will be sobed
Passive Indicative,Future,2nd Person,Plural,flabimini,flebimini,flemini,fliemini,You (pl.) will be sobed
Passive Indicative,Future,3rd Person,Singular,flabitur,flebitur,fletur,flietur,He/she/it will be sobed
Passive Indicative,Future,3rd Person,Plural,flabuntur,flebuntur,flentur,flientur,They will be sobed
Passive Indicative,Perfect,1st Person,Singular,flatus sum,fletus sum,flus sum,flus sum,I have been sobed
Passive Indicative,Perfect,1st Person,Plural,flati sumus,fleti sumus,fli sumus,fli sumus,We have been sobed
Passive Indicative,Perfect,2nd Person,Singular,flatus es,fletus es,flus es,flus es,You have been sobed
Passive Indicative,Perfect,2nd Person,Plural,flati estis,fleti estis,fli estis,fli estis,You (pl.) have been sobed
Passive Indicative,Perfect,3rd Person,Singular,flatus est,fletus est,flus est,flus est,He/she/it has been sobed
Passive Indicative,Perfect,3rd Person,Plural,flati sunt,fleti sunt,fli sunt,fli sunt,They have been sobed
Passive Indicative,Pluperfect,1st Person,Singular,flatus eram,fletus eram,flus eram,flus eram,I had been sobed
Passive Indicative,Pluperfect,1st Person,Plural,flati eramus,fleti eramus,fli eramus,fli eramus,We had been sobed
Passive Indicative,Pluperfect,2nd Person,Singular,flatus eras,fletus eras,flus eras,flus eras,You had been sobed
Passive Indicative,Pluperfect,2nd Person,Plural,flati eratis,fleti eratis,fli eratis,fli eratis,You (pl.) had been sobed
Passive Indicative,Pluperfect,3rd Person,Singular,flatus erat,fletus erat,flus erat,flus erat,He/she/it had been sobed
Passive Indicative,Pluperfect,3rd Person,Plural,flati erant,fleti erant,fli erant,fli erant,They had been sobed
Passive Indicative,Future Perfect,1st Person,Singular,flatus ero,fletus ero,flus ero,flus ero,I will have been sobed
Passive Indicative,Future Perfect,1st Person,Plural,flati erimus,fleti erimus,fli erimus,fli erimus,We will have been sobed
Passive Indicative,Future Perfect,2nd Person,Singular,flatus eris,fletus eris,flus eris,flus eris,You will have been sobed
Passive Indicative,Future Perfect,2nd Person,Plural,flati eritis,fleti eritis,fli eritis,fli eritis,You (pl.) will have been sobed
Passive Indicative,Future Perfect,3rd Person,Singular,flatus erit,fletus erit,flus erit,flus erit,He/she/it will have been sobed
Passive Indicative,Future Perfect,3rd Person,Plural,flati erunt,fleti erunt,fli erunt,fli erunt,They will have been sobed
Active Subjunctive,Present,1st Person,Singular,flem,flem,flam,flam,I may sob
Active Subjunctive,Present,1st Person,Plural,flemus,flemus,flamus,flamus,We may sob
Active Subjunctive,Present,2nd Person,Singular,fles,fles,flas,flas,You may sob
Active Subjunctive,Present,2nd Person,Plural,fletis,fletis,flatis,flatis,You (pl.) may sob
Active Subjunctive,Present,3rd Person,Singular,flet,flet,flat,flat,He/she/it may sob
Active Subjunctive,Present,3rd Person,Plural,flent,flent,flant,flant,They may sob
Active Subjunctive,Imperfect,1st Person,Singular,flarem,flerem,flerem,flirem,I should sob
Active Subjunctive,Imperfect,1st Person,Plural,flaremus,fleremus,fleremus,fliremus,We should sob
Active Subjunctive,Imperfect,2nd Person,Singular,flares,fleres,fleres,flires,You should sob
