Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,flocco,flocceo,flocco,floccio,I fall in flakes
Active Indicative,Present,1st Person,Plural,floccamus,floccemus,floccimus,floccimus,We fall in flakes
Active Indicative,Present,2nd Person,Singular,floccas,flocces,floccis,floccis,You fall in flakes
Active Indicative,Present,2nd Person,Plural,floccatis,floccetis,floccitis,floccitis,You (pl.) fall in flakes
Active Indicative,Present,3rd Person,Singular,floccat,floccet,floccit,floccit,He/she/it fall in flakes
Active Indicative,Present,3rd Person,Plural,floccant,floccent,flocciunt,flocciunt,They fall in flakes
Active Indicative,Imperfect,1st Person,Singular,floccabam,floccebam,floccebam,flocciebam,I was fall in flakesing
Active Indicative,Imperfect,1st Person,Plural,floccabamus,floccebamus,floccebamus,flocciebamus,We were fall in flakesing
Active Indicative,Imperfect,2nd Person,Singular,floccabas,floccebas,floccebas,flocciebas,You were fall in flakesing
Active Indicative,Imperfect,2nd Person,Plural,floccabatis,floccebatis,floccebatis,flocciebatis,You (pl.) were fall in flakesing
Active Indicative,Imperfect,3rd Person,Singular,floccabat,floccebat,floccebat,flocciebat,He/she/it was fall in flakesing
Active Indicative,Imperfect,3rd Person,Plural,floccabant,floccebant,floccebant,flocciebant,They were fall in flakesing
Active Indicative,Future,1st Person,Singular,floccabo,floccebo,floccam,flocciam,I will fall in flakes
Active Indicative,Future,1st Person,Plural,floccabimus,floccebimus,floccemus,flocciemus,We will fall in flakes
Active Indicative,Future,2nd Person,Singular,floccabis,floccebis,flocces,floccies,You will fall in flakes
Active Indicative,Future,2nd Person,Plural,floccabitis,floccebitis,floccetis,floccietis,You (pl.) will fall in flakes
Active Indicative,Future,3rd Person,Singular,floccabit,floccebit,floccet,flocciet,He/she/it will fall in flakes
Active Indicative,Future,3rd Person,Plural,floccabunt,floccebunt,floccent,floccient,They will fall in flakes
Active Indicative,Perfect,1st Person,Singular,floccavi,floccui,flocci,flocci,I have fall in flakesed
Active Indicative,Perfect,1st Person,Plural,floccavimus,floccuimus,floccimus,floccimus,We have fall in flakesed
Active Indicative,Perfect,2nd Person,Singular,floccavisti,floccuisti,floccisti,floccisti,You have fall in flakesed
Active Indicative,Perfect,2nd Person,Plural,floccavistis,floccuistis,floccistis,floccistis,You (pl.) have fall in flakesed
Active Indicative,Perfect,3rd Person,Singular,floccavit,floccuit,floccit,floccit,He/she/it has fall in flakesed
Active Indicative,Perfect,3rd Person,Plural,floccaverunt,floccuerunt,floccerunt,floccerunt,They have fall in flakesed
Active Indicative,Pluperfect,1st Person,Singular,floccaveram,floccueram,flocceram,flocceram,I had fall in flakesed
Active Indicative,Pluperfect,1st Person,Plural,floccaveramus,floccueramus,flocceramus,flocceramus,We had fall in flakesed
Active Indicative,Pluperfect,2nd Person,Singular,floccaveras,floccueras,flocceras,flocceras,You had fall in flakesed
Active Indicative,Pluperfect,2nd Person,Plural,floccaveratis,floccueratis,flocceratis,flocceratis,You (pl.) had fall in flakesed
Active Indicative,Pluperfect,3rd Person,Singular,floccaverat,floccuerat,floccerat,floccerat,He/she/it had fall in flakesed
Active Indicative,Pluperfect,3rd Person,Plural,floccaverant,floccuerant,floccerant,floccerant,They had fall in flakesed
Active Indicative,Future Perfect,1st Person,Singular,floccavero,floccueero,floccero,flocciero,I will have fall in flakesed
Active Indicative,Future Perfect,1st Person,Plural,floccaverimus,floccuerimus,floccerimus,floccierimus,We will have fall in flakesed
Active Indicative,Future Perfect,2nd Person,Singular,floccaveris,floccueris,flocceris,floccieris,You will have fall in flakesed
Active Indicative,Future Perfect,2nd Person,Plural,floccaveritis,floccueritis,flocceritis,floccieritis,You (pl.) will have fall in flakesed
Active Indicative,Future Perfect,3rd Person,Singular,floccaverit,floccuerit,floccerit,floccierit,He/she/it will have fall in flakesed
Active Indicative,Future Perfect,3rd Person,Plural,floccaverint,floccuerint,floccerint,floccierint,They will have fall in flakesed
Passive Indicative,Present,1st Person,Singular,floccor,flocceor,floccor,floccior,I am being fall in flakesed
Passive Indicative,Present,1st Person,Plural,floccamur,floccemur,floccimur,floccimur,We are being fall in flakesed
Passive Indicative,Present,2nd Person,Singular,floccaris,flocceris,flocciris,flocciris,You are being fall in flakesed
Passive Indicative,Present,2nd Person,Plural,floccamini,floccemini,floccimini,floccimini,You (pl.) are being fall in flakesed
Passive Indicative,Present,3rd Person,Singular,floccatur,floccetur,floccitur,floccitur,He/she/it is being fall in flakesed
Passive Indicative,Present,3rd Person,Plural,floccantur,floccentur,flocciuntur,flocciuntur,They are being fall in flakesed
Passive Indicative,Imperfect,1st Person,Singular,floccabar,floccebar,floccebar,flocciebar,I was fall in flakesed
Passive Indicative,Imperfect,1st Person,Plural,floccabamur,floccebamur,floccebamur,flocciebamur,We were fall in flakesed
Passive Indicative,Imperfect,2nd Person,Singular,floccabaris,floccebaris,floccebaris,flocciebaris,You were fall in flakesed
Passive Indicative,Imperfect,2nd Person,Plural,floccabamini,floccebamini,floccebamini,flocciebamini,You (pl.) were fall in flakesed
Passive Indicative,Imperfect,3rd Person,Singular,floccabatur,floccebatur,floccebatur,flocciebatur,He/she/it was fall in flakesed
Passive Indicative,Imperfect,3rd Person,Plural,floccabantur,floccebantur,floccebantur,flocciebantur,They were fall in flakesed
Passive Indicative,Future,1st Person,Singular,floccabor,floccebor,floccar,flocciar,I will be fall in flakesed
Passive Indicative,Future,1st Person,Plural,floccabimur,floccebimur,floccemur,flocciemur,We will be fall in flakesed
Passive Indicative,Future,2nd Person,Singular,floccaberis,flocceberis,flocceris,floccieris,You will be fall in flakesed
Passive Indicative,Future,2nd Person,Plural,floccabimini,floccebimini,floccemini,flocciemini,You (pl.) will be fall in flakesed
Passive Indicative,Future,3rd Person,Singular,floccabitur,floccebitur,floccetur,floccietur,He/she/it will be fall in flakesed
Passive Indicative,Future,3rd Person,Plural,floccabuntur,floccebuntur,floccentur,floccientur,They will be fall in flakesed
Passive Indicative,Perfect,1st Person,Singular,floccatus sum,floccetus sum,floccus sum,floccus sum,I have been fall in flakesed
Passive Indicative,Perfect,1st Person,Plural,floccati sumus,flocceti sumus,flocci sumus,flocci sumus,We have been fall in flakesed
Passive Indicative,Perfect,2nd Person,Singular,floccatus es,floccetus es,floccus es,floccus es,You have been fall in flakesed
Passive Indicative,Perfect,2nd Person,Plural,floccati estis,flocceti estis,flocci estis,flocci estis,You (pl.) have been fall in flakesed
Passive Indicative,Perfect,3rd Person,Singular,floccatus est,floccetus est,floccus est,floccus est,He/she/it has been fall in flakesed
Passive Indicative,Perfect,3rd Person,Plural,floccati sunt,flocceti sunt,flocci sunt,flocci sunt,They have been fall in flakesed
Passive Indicative,Pluperfect,1st Person,Singular,floccatus eram,floccetus eram,floccus eram,floccus eram,I had been fall in flakesed
Passive Indicative,Pluperfect,1st Person,Plural,floccati eramus,flocceti eramus,flocci eramus,flocci eramus,We had been fall in flakesed
Passive Indicative,Pluperfect,2nd Person,Singular,floccatus eras,floccetus eras,floccus eras,floccus eras,You had been fall in flakesed
Passive Indicative,Pluperfect,2nd Person,Plural,floccati eratis,flocceti eratis,flocci eratis,flocci eratis,You (pl.) had been fall in flakesed
Passive Indicative,Pluperfect,3rd Person,Singular,floccatus erat,floccetus erat,floccus erat,floccus erat,He/she/it had been fall in flakesed
Passive Indicative,Pluperfect,3rd Person,Plural,floccati erant,flocceti erant,flocci erant,flocci erant,They had been fall in flakesed
Passive Indicative,Future Perfect,1st Person,Singular,floccatus ero,floccetus ero,floccus ero,floccus ero,I will have been fall in flakesed
Passive Indicative,Future Perfect,1st Person,Plural,floccati erimus,flocceti erimus,flocci erimus,flocci erimus,We will have been fall in flakesed
Passive Indicative,Future Perfect,2nd Person,Singular,floccatus eris,floccetus eris,floccus eris,floccus eris,You will have been fall in flakesed
Passive Indicative,Future Perfect,2nd Person,Plural,floccati eritis,flocceti eritis,flocci eritis,flocci eritis,You (pl.) will have been fall in flakesed
Passive Indicative,Future Perfect,3rd Person,Singular,floccatus erit,floccetus erit,floccus erit,floccus erit,He/she/it will have been fall in flakesed
Passive Indicative,Future Perfect,3rd Person,Plural,floccati erunt,flocceti erunt,flocci erunt,flocci erunt,They will have been fall in flakesed
Active Subjunctive,Present,1st Person,Singular,floccem,floccem,floccam,floccam,I may fall in flakes
Active Subjunctive,Present,1st Person,Plural,floccemus,floccemus,floccamus,floccamus,We may fall in flakes
Active Subjunctive,Present,2nd Person,Singular,flocces,flocces,floccas,floccas,You may fall in flakes
Active Subjunctive,Present,2nd Person,Plural,floccetis,floccetis,floccatis,floccatis,You (pl.) may fall in flakes
Active Subjunctive,Present,3rd Person,Singular,floccet,floccet,floccat,floccat,He/she/it may fall in flakes
Active Subjunctive,Present,3rd Person,Plural,floccent,floccent,floccant,floccant,They may fall in flakes
Active Subjunctive,Imperfect,1st Person,Singular,floccarem,floccerem,floccerem,floccirem,I should fall in flakes
Active Subjunctive,Imperfect,1st Person,Plural,floccaremus,flocceremus,flocceremus,flocciremus,We should fall in flakes
Active Subjunctive,Imperfect,2nd Person,Singular,floccares,flocceres,flocceres,floccires,You should fall in flakes
Active Subjunctive,Imperfect,2nd Person,Plural,floccaretis,flocceretis,flocceretis,flocciretis,You (pl.) should fall in flakes
Active Subjunctive,Imperfect,3rd Person,Singular,floccaret,flocceret,flocceret,flocciret,He/she/it should fall in flakes
Active Subjunctive,Imperfect,3rd Person,Plural,floccarent,floccerent,floccerent,floccirent,They should fall in flakes
Active Subjunctive,Perfect,1st Person,Singular,floccerim,floccuerim,floccerim,floccierim,I may have fall in flakesed
Active Subjunctive,Perfect,1st Person,Plural,floccerimus,floccuerimus,floccerimus,floccierimus,We may have fall in flakesed
Active Subjunctive,Perfect,2nd Person,Singular,flocceris,floccueris,flocceris,floccieris,You may have fall in flakesed
Active Subjunctive,Perfect,2nd Person,Plural,flocceritis,floccueritis,flocceritis,floccieritis,You (pl.) may have fall in flakesed
Active Subjunctive,Perfect,3rd Person,Singular,floccerit,floccuerit,floccerit,floccierit,He/she/it may have fall in flakesed
Active Subjunctive,Perfect,3rd Person,Plural,floccerint,floccuerint,floccerint,floccierint,They may have fall in flakesed
Active Subjunctive,Pluperfect,1st Person,Singular,floccissem,floccuissem,floccissem,floccissem,I should have fall in flakesed
Active Subjunctive,Pluperfect,1st Person,Plural,floccissemus,floccuissemus,floccissemus,floccissemus,We should have fall in flakesed
Active Subjunctive,Pluperfect,2nd Person,Singular,floccisses,floccuisses,floccisses,floccisses,You would have fall in flakesed
