Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,foenum faco,foenum faceo,foenum faco,foenum facio,I make hay
Active Indicative,Present,1st Person,Plural,foenum facamus,foenum facemus,foenum facimus,foenum facimus,We make hay
Active Indicative,Present,2nd Person,Singular,foenum facas,foenum faces,foenum facis,foenum facis,You make hay
Active Indicative,Present,2nd Person,Plural,foenum facatis,foenum facetis,foenum facitis,foenum facitis,You (pl.) make hay
Active Indicative,Present,3rd Person,Singular,foenum facat,foenum facet,foenum facit,foenum facit,He/she/it make hay
Active Indicative,Present,3rd Person,Plural,foenum facant,foenum facent,foenum faciunt,foenum faciunt,They make hay
Active Indicative,Imperfect,1st Person,Singular,foenum facabam,foenum facebam,foenum facebam,foenum faciebam,I was make haying
Active Indicative,Imperfect,1st Person,Plural,foenum facabamus,foenum facebamus,foenum facebamus,foenum faciebamus,We were make haying
Active Indicative,Imperfect,2nd Person,Singular,foenum facabas,foenum facebas,foenum facebas,foenum faciebas,You were make haying
Active Indicative,Imperfect,2nd Person,Plural,foenum facabatis,foenum facebatis,foenum facebatis,foenum faciebatis,You (pl.) were make haying
Active Indicative,Imperfect,3rd Person,Singular,foenum facabat,foenum facebat,foenum facebat,foenum faciebat,He/she/it was make haying
Active Indicative,Imperfect,3rd Person,Plural,foenum facabant,foenum facebant,foenum facebant,foenum faciebant,They were make haying
Active Indicative,Future,1st Person,Singular,foenum facabo,foenum facebo,foenum facam,foenum faciam,I will make hay
Active Indicative,Future,1st Person,Plural,foenum facabimus,foenum facebimus,foenum facemus,foenum faciemus,We will make hay
Active Indicative,Future,2nd Person,Singular,foenum facabis,foenum facebis,foenum faces,foenum facies,You will make hay
Active Indicative,Future,2nd Person,Plural,foenum facabitis,foenum facebitis,foenum facetis,foenum facietis,You (pl.) will make hay
Active Indicative,Future,3rd Person,Singular,foenum facabit,foenum facebit,foenum facet,foenum faciet,He/she/it will make hay
Active Indicative,Future,3rd Person,Plural,foenum facabunt,foenum facebunt,foenum facent,foenum facient,They will make hay
Active Indicative,Perfect,1st Person,Singular,foenum facavi,foenum facui,foenum faci,foenum faci,I have make hayed
Active Indicative,Perfect,1st Person,Plural,foenum facavimus,foenum facuimus,foenum facimus,foenum facimus,We have make hayed
Active Indicative,Perfect,2nd Person,Singular,foenum facavisti,foenum facuisti,foenum facisti,foenum facisti,You have make hayed
Active Indicative,Perfect,2nd Person,Plural,foenum facavistis,foenum facuistis,foenum facistis,foenum facistis,You (pl.) have make hayed
Active Indicative,Perfect,3rd Person,Singular,foenum facavit,foenum facuit,foenum facit,foenum facit,He/she/it has make hayed
Active Indicative,Perfect,3rd Person,Plural,foenum facaverunt,foenum facuerunt,foenum facerunt,foenum facerunt,They have make hayed
Active Indicative,Pluperfect,1st Person,Singular,foenum facaveram,foenum facueram,foenum faceram,foenum faceram,I had make hayed
Active Indicative,Pluperfect,1st Person,Plural,foenum facaveramus,foenum facueramus,foenum faceramus,foenum faceramus,We had make hayed
Active Indicative,Pluperfect,2nd Person,Singular,foenum facaveras,foenum facueras,foenum faceras,foenum faceras,You had make hayed
Active Indicative,Pluperfect,2nd Person,Plural,foenum facaveratis,foenum facueratis,foenum faceratis,foenum faceratis,You (pl.) had make hayed
Active Indicative,Pluperfect,3rd Person,Singular,foenum facaverat,foenum facuerat,foenum facerat,foenum facerat,He/she/it had make hayed
Active Indicative,Pluperfect,3rd Person,Plural,foenum facaverant,foenum facuerant,foenum facerant,foenum facerant,They had make hayed
Active Indicative,Future Perfect,1st Person,Singular,foenum facavero,foenum facueero,foenum facero,foenum faciero,I will have make hayed
Active Indicative,Future Perfect,1st Person,Plural,foenum facaverimus,foenum facuerimus,foenum facerimus,foenum facierimus,We will have make hayed
Active Indicative,Future Perfect,2nd Person,Singular,foenum facaveris,foenum facueris,foenum faceris,foenum facieris,You will have make hayed
Active Indicative,Future Perfect,2nd Person,Plural,foenum facaveritis,foenum facueritis,foenum faceritis,foenum facieritis,You (pl.) will have make hayed
Active Indicative,Future Perfect,3rd Person,Singular,foenum facaverit,foenum facuerit,foenum facerit,foenum facierit,He/she/it will have make hayed
Active Indicative,Future Perfect,3rd Person,Plural,foenum facaverint,foenum facuerint,foenum facerint,foenum facierint,They will have make hayed
Passive Indicative,Present,1st Person,Singular,foenum facor,foenum faceor,foenum facor,foenum facior,I am being make hayed
Passive Indicative,Present,1st Person,Plural,foenum facamur,foenum facemur,foenum facimur,foenum facimur,We are being make hayed
Passive Indicative,Present,2nd Person,Singular,foenum facaris,foenum faceris,foenum faciris,foenum faciris,You are being make hayed
Passive Indicative,Present,2nd Person,Plural,foenum facamini,foenum facemini,foenum facimini,foenum facimini,You (pl.) are being make hayed
Passive Indicative,Present,3rd Person,Singular,foenum facatur,foenum facetur,foenum facitur,foenum facitur,He/she/it is being make hayed
Passive Indicative,Present,3rd Person,Plural,foenum facantur,foenum facentur,foenum faciuntur,foenum faciuntur,They are being make hayed
