Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,fortio,fortieo,fortio,fortio,I compel
Active Indicative,Present,1st Person,Plural,fortiamus,fortiemus,fortimus,fortimus,We compel
Active Indicative,Present,2nd Person,Singular,fortias,forties,fortis,fortis,You compel
Active Indicative,Present,2nd Person,Plural,fortiatis,fortietis,fortitis,fortitis,You (pl.) compel
Active Indicative,Present,3rd Person,Singular,fortiat,fortiet,fortit,fortit,He/she/it compel
Active Indicative,Present,3rd Person,Plural,fortiant,fortient,fortiunt,fortiunt,They compel
Active Indicative,Imperfect,1st Person,Singular,fortiabam,fortiebam,fortiebam,fortiebam,I was compeling
Active Indicative,Imperfect,1st Person,Plural,fortiabamus,fortiebamus,fortiebamus,fortiebamus,We were compeling
Active Indicative,Imperfect,2nd Person,Singular,fortiabas,fortiebas,fortiebas,fortiebas,You were compeling
Active Indicative,Imperfect,2nd Person,Plural,fortiabatis,fortiebatis,fortiebatis,fortiebatis,You (pl.) were compeling
Active Indicative,Imperfect,3rd Person,Singular,fortiabat,fortiebat,fortiebat,fortiebat,He/she/it was compeling
Active Indicative,Imperfect,3rd Person,Plural,fortiabant,fortiebant,fortiebant,fortiebant,They were compeling
Active Indicative,Future,1st Person,Singular,fortiabo,fortiebo,fortiam,fortiam,I will compel
Active Indicative,Future,1st Person,Plural,fortiabimus,fortiebimus,fortiemus,fortiemus,We will compel
Active Indicative,Future,2nd Person,Singular,fortiabis,fortiebis,forties,forties,You will compel
Active Indicative,Future,2nd Person,Plural,fortiabitis,fortiebitis,fortietis,fortietis,You (pl.) will compel
Active Indicative,Future,3rd Person,Singular,fortiabit,fortiebit,fortiet,fortiet,He/she/it will compel
Active Indicative,Future,3rd Person,Plural,fortiabunt,fortiebunt,fortient,fortient,They will compel
Active Indicative,Perfect,1st Person,Singular,fortiavi,fortiui,forti,forti,I have compeled
Active Indicative,Perfect,1st Person,Plural,fortiavimus,fortiuimus,fortimus,fortimus,We have compeled
Active Indicative,Perfect,2nd Person,Singular,fortiavisti,fortiuisti,fortisti,fortisti,You have compeled
Active Indicative,Perfect,2nd Person,Plural,fortiavistis,fortiuistis,fortistis,fortistis,You (pl.) have compeled
Active Indicative,Perfect,3rd Person,Singular,fortiavit,fortiuit,fortit,fortit,He/she/it has compeled
Active Indicative,Perfect,3rd Person,Plural,fortiaverunt,fortiuerunt,fortierunt,fortierunt,They have compeled
Active Indicative,Pluperfect,1st Person,Singular,fortiaveram,fortiueram,fortieram,fortieram,I had compeled
Active Indicative,Pluperfect,1st Person,Plural,fortiaveramus,fortiueramus,fortieramus,fortieramus,We had compeled
Active Indicative,Pluperfect,2nd Person,Singular,fortiaveras,fortiueras,fortieras,fortieras,You had compeled
Active Indicative,Pluperfect,2nd Person,Plural,fortiaveratis,fortiueratis,fortieratis,fortieratis,You (pl.) had compeled
Active Indicative,Pluperfect,3rd Person,Singular,fortiaverat,fortiuerat,fortierat,fortierat,He/she/it had compeled
Active Indicative,Pluperfect,3rd Person,Plural,fortiaverant,fortiuerant,fortierant,fortierant,They had compeled
Active Indicative,Future Perfect,1st Person,Singular,fortiavero,fortiueero,fortiero,fortiero,I will have compeled
Active Indicative,Future Perfect,1st Person,Plural,fortiaverimus,fortiuerimus,fortierimus,fortierimus,We will have compeled
Active Indicative,Future Perfect,2nd Person,Singular,fortiaveris,fortiueris,fortieris,fortieris,You will have compeled
Active Indicative,Future Perfect,2nd Person,Plural,fortiaveritis,fortiueritis,fortieritis,fortieritis,You (pl.) will have compeled
Active Indicative,Future Perfect,3rd Person,Singular,fortiaverit,fortiuerit,fortierit,fortierit,He/she/it will have compeled
Active Indicative,Future Perfect,3rd Person,Plural,fortiaverint,fortiuerint,fortierint,fortierint,They will have compeled
Passive Indicative,Present,1st Person,Singular,fortior,fortieor,fortior,fortior,I am being compeled
Passive Indicative,Present,1st Person,Plural,fortiamur,fortiemur,fortimur,fortimur,We are being compeled
Passive Indicative,Present,2nd Person,Singular,fortiaris,fortieris,fortiris,fortiris,You are being compeled
Passive Indicative,Present,2nd Person,Plural,fortiamini,fortiemini,fortimini,fortimini,You (pl.) are being compeled
Passive Indicative,Present,3rd Person,Singular,fortiatur,fortietur,fortitur,fortitur,He/she/it is being compeled
Passive Indicative,Present,3rd Person,Plural,fortiantur,fortientur,fortiuntur,fortiuntur,They are being compeled
Passive Indicative,Imperfect,1st Person,Singular,fortiabar,fortiebar,fortiebar,fortiebar,I was compeled
Passive Indicative,Imperfect,1st Person,Plural,fortiabamur,fortiebamur,fortiebamur,fortiebamur,We were compeled
Passive Indicative,Imperfect,2nd Person,Singular,fortiabaris,fortiebaris,fortiebaris,fortiebaris,You were compeled
Passive Indicative,Imperfect,2nd Person,Plural,fortiabamini,fortiebamini,fortiebamini,fortiebamini,You (pl.) were compeled
Passive Indicative,Imperfect,3rd Person,Singular,fortiabatur,fortiebatur,fortiebatur,fortiebatur,He/she/it was compeled
Passive Indicative,Imperfect,3rd Person,Plural,fortiabantur,fortiebantur,fortiebantur,fortiebantur,They were compeled
Passive Indicative,Future,1st Person,Singular,fortiabor,fortiebor,fortiar,fortiar,I will be compeled
Passive Indicative,Future,1st Person,Plural,fortiabimur,fortiebimur,fortiemur,fortiemur,We will be compeled
Passive Indicative,Future,2nd Person,Singular,fortiaberis,fortieberis,fortieris,fortieris,You will be compeled
Passive Indicative,Future,2nd Person,Plural,fortiabimini,fortiebimini,fortiemini,fortiemini,You (pl.) will be compeled
Passive Indicative,Future,3rd Person,Singular,fortiabitur,fortiebitur,fortietur,fortietur,He/she/it will be compeled
Passive Indicative,Future,3rd Person,Plural,fortiabuntur,fortiebuntur,fortientur,fortientur,They will be compeled
