Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,frango,frangeo,frango,frangio,I break into pieces
Active Indicative,Present,1st Person,Plural,frangamus,frangemus,frangimus,frangimus,We break into pieces
Active Indicative,Present,2nd Person,Singular,frangas,franges,frangis,frangis,You break into pieces
Active Indicative,Present,2nd Person,Plural,frangatis,frangetis,frangitis,frangitis,You (pl.) break into pieces
Active Indicative,Present,3rd Person,Singular,frangat,franget,frangit,frangit,He/she/it break into pieces
Active Indicative,Present,3rd Person,Plural,frangant,frangent,frangiunt,frangiunt,They break into pieces
Active Indicative,Imperfect,1st Person,Singular,frangabam,frangebam,frangebam,frangiebam,I was break into piecesing
Active Indicative,Imperfect,1st Person,Plural,frangabamus,frangebamus,frangebamus,frangiebamus,We were break into piecesing
Active Indicative,Imperfect,2nd Person,Singular,frangabas,frangebas,frangebas,frangiebas,You were break into piecesing
Active Indicative,Imperfect,2nd Person,Plural,frangabatis,frangebatis,frangebatis,frangiebatis,You (pl.) were break into piecesing
Active Indicative,Imperfect,3rd Person,Singular,frangabat,frangebat,frangebat,frangiebat,He/she/it was break into piecesing
Active Indicative,Imperfect,3rd Person,Plural,frangabant,frangebant,frangebant,frangiebant,They were break into piecesing
Active Indicative,Future,1st Person,Singular,frangabo,frangebo,frangam,frangiam,I will break into pieces
Active Indicative,Future,1st Person,Plural,frangabimus,frangebimus,frangemus,frangiemus,We will break into pieces
Active Indicative,Future,2nd Person,Singular,frangabis,frangebis,franges,frangies,You will break into pieces
Active Indicative,Future,2nd Person,Plural,frangabitis,frangebitis,frangetis,frangietis,You (pl.) will break into pieces
Active Indicative,Future,3rd Person,Singular,frangabit,frangebit,franget,frangiet,He/she/it will break into pieces
Active Indicative,Future,3rd Person,Plural,frangabunt,frangebunt,frangent,frangient,They will break into pieces
Active Indicative,Perfect,1st Person,Singular,frangavi,frangui,frangi,frangi,I have break into piecesed
Active Indicative,Perfect,1st Person,Plural,frangavimus,franguimus,frangimus,frangimus,We have break into piecesed
Active Indicative,Perfect,2nd Person,Singular,frangavisti,franguisti,frangisti,frangisti,You have break into piecesed
Active Indicative,Perfect,2nd Person,Plural,frangavistis,franguistis,frangistis,frangistis,You (pl.) have break into piecesed
Active Indicative,Perfect,3rd Person,Singular,frangavit,franguit,frangit,frangit,He/she/it has break into piecesed
Active Indicative,Perfect,3rd Person,Plural,frangaverunt,franguerunt,frangerunt,frangerunt,They have break into piecesed
Active Indicative,Pluperfect,1st Person,Singular,frangaveram,frangueram,frangeram,frangeram,I had break into piecesed
Active Indicative,Pluperfect,1st Person,Plural,frangaveramus,frangueramus,frangeramus,frangeramus,We had break into piecesed
Active Indicative,Pluperfect,2nd Person,Singular,frangaveras,frangueras,frangeras,frangeras,You had break into piecesed
Active Indicative,Pluperfect,2nd Person,Plural,frangaveratis,frangueratis,frangeratis,frangeratis,You (pl.) had break into piecesed
Active Indicative,Pluperfect,3rd Person,Singular,frangaverat,franguerat,frangerat,frangerat,He/she/it had break into piecesed
Active Indicative,Pluperfect,3rd Person,Plural,frangaverant,franguerant,frangerant,frangerant,They had break into piecesed
Active Indicative,Future Perfect,1st Person,Singular,frangavero,frangueero,frangero,frangiero,I will have break into piecesed
Active Indicative,Future Perfect,1st Person,Plural,frangaverimus,franguerimus,frangerimus,frangierimus,We will have break into piecesed
Active Indicative,Future Perfect,2nd Person,Singular,frangaveris,frangueris,frangeris,frangieris,You will have break into piecesed
Active Indicative,Future Perfect,2nd Person,Plural,frangaveritis,frangueritis,frangeritis,frangieritis,You (pl.) will have break into piecesed
Active Indicative,Future Perfect,3rd Person,Singular,frangaverit,franguerit,frangerit,frangierit,He/she/it will have break into piecesed
Active Indicative,Future Perfect,3rd Person,Plural,frangaverint,franguerint,frangerint,frangierint,They will have break into piecesed
Passive Indicative,Present,1st Person,Singular,frangor,frangeor,frangor,frangior,I am being break into piecesed
Passive Indicative,Present,1st Person,Plural,frangamur,frangemur,frangimur,frangimur,We are being break into piecesed
