Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,frigulo,friguleo,frigulo,frigulio,I freeze
Active Indicative,Present,1st Person,Plural,frigulamus,frigulemus,frigulimus,frigulimus,We freeze
Active Indicative,Present,2nd Person,Singular,frigulas,frigules,frigulis,frigulis,You freeze
Active Indicative,Present,2nd Person,Plural,frigulatis,friguletis,frigulitis,frigulitis,You (pl.) freeze
Active Indicative,Present,3rd Person,Singular,frigulat,frigulet,frigulit,frigulit,He/she/it freeze
Active Indicative,Present,3rd Person,Plural,frigulant,frigulent,friguliunt,friguliunt,They freeze
Active Indicative,Imperfect,1st Person,Singular,frigulabam,frigulebam,frigulebam,friguliebam,I was freezeing
Active Indicative,Imperfect,1st Person,Plural,frigulabamus,frigulebamus,frigulebamus,friguliebamus,We were freezeing
Active Indicative,Imperfect,2nd Person,Singular,frigulabas,frigulebas,frigulebas,friguliebas,You were freezeing
Active Indicative,Imperfect,2nd Person,Plural,frigulabatis,frigulebatis,frigulebatis,friguliebatis,You (pl.) were freezeing
Active Indicative,Imperfect,3rd Person,Singular,frigulabat,frigulebat,frigulebat,friguliebat,He/she/it was freezeing
Active Indicative,Imperfect,3rd Person,Plural,frigulabant,frigulebant,frigulebant,friguliebant,They were freezeing
Active Indicative,Future,1st Person,Singular,frigulabo,frigulebo,frigulam,friguliam,I will freeze
Active Indicative,Future,1st Person,Plural,frigulabimus,frigulebimus,frigulemus,friguliemus,We will freeze
Active Indicative,Future,2nd Person,Singular,frigulabis,frigulebis,frigules,frigulies,You will freeze
Active Indicative,Future,2nd Person,Plural,frigulabitis,frigulebitis,friguletis,frigulietis,You (pl.) will freeze
Active Indicative,Future,3rd Person,Singular,frigulabit,frigulebit,frigulet,friguliet,He/she/it will freeze
Active Indicative,Future,3rd Person,Plural,frigulabunt,frigulebunt,frigulent,frigulient,They will freeze
Active Indicative,Perfect,1st Person,Singular,frigulavi,frigului,friguli,friguli,I have freezeed
Active Indicative,Perfect,1st Person,Plural,frigulavimus,friguluimus,frigulimus,frigulimus,We have freezeed
Active Indicative,Perfect,2nd Person,Singular,frigulavisti,friguluisti,frigulisti,frigulisti,You have freezeed
Active Indicative,Perfect,2nd Person,Plural,frigulavistis,friguluistis,frigulistis,frigulistis,You (pl.) have freezeed
Active Indicative,Perfect,3rd Person,Singular,frigulavit,friguluit,frigulit,frigulit,He/she/it has freezeed
Active Indicative,Perfect,3rd Person,Plural,frigulaverunt,friguluerunt,frigulerunt,frigulerunt,They have freezeed
Active Indicative,Pluperfect,1st Person,Singular,frigulaveram,frigulueram,friguleram,friguleram,I had freezeed
Active Indicative,Pluperfect,1st Person,Plural,frigulaveramus,frigulueramus,friguleramus,friguleramus,We had freezeed
Active Indicative,Pluperfect,2nd Person,Singular,frigulaveras,frigulueras,friguleras,friguleras,You had freezeed
Active Indicative,Pluperfect,2nd Person,Plural,frigulaveratis,frigulueratis,friguleratis,friguleratis,You (pl.) had freezeed
Active Indicative,Pluperfect,3rd Person,Singular,frigulaverat,friguluerat,frigulerat,frigulerat,He/she/it had freezeed
Active Indicative,Pluperfect,3rd Person,Plural,frigulaverant,friguluerant,frigulerant,frigulerant,They had freezeed
Active Indicative,Future Perfect,1st Person,Singular,frigulavero,frigulueero,frigulero,friguliero,I will have freezeed
Active Indicative,Future Perfect,1st Person,Plural,frigulaverimus,friguluerimus,frigulerimus,frigulierimus,We will have freezeed
Active Indicative,Future Perfect,2nd Person,Singular,frigulaveris,frigulueris,friguleris,frigulieris,You will have freezeed
Active Indicative,Future Perfect,2nd Person,Plural,frigulaveritis,frigulueritis,friguleritis,frigulieritis,You (pl.) will have freezeed
Active Indicative,Future Perfect,3rd Person,Singular,frigulaverit,friguluerit,frigulerit,frigulierit,He/she/it will have freezeed
Active Indicative,Future Perfect,3rd Person,Plural,frigulaverint,friguluerint,frigulerint,frigulierint,They will have freezeed
