Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,frustio,frustieo,frustio,frustio,I break into pieces
Active Indicative,Present,1st Person,Plural,frustiamus,frustiemus,frustimus,frustimus,We break into pieces
Active Indicative,Present,2nd Person,Singular,frustias,frusties,frustis,frustis,You break into pieces
Active Indicative,Present,2nd Person,Plural,frustiatis,frustietis,frustitis,frustitis,You (pl.) break into pieces
Active Indicative,Present,3rd Person,Singular,frustiat,frustiet,frustit,frustit,He/she/it break into pieces
Active Indicative,Present,3rd Person,Plural,frustiant,frustient,frustiunt,frustiunt,They break into pieces
Active Indicative,Imperfect,1st Person,Singular,frustiabam,frustiebam,frustiebam,frustiebam,I was break into piecesing
Active Indicative,Imperfect,1st Person,Plural,frustiabamus,frustiebamus,frustiebamus,frustiebamus,We were break into piecesing
Active Indicative,Imperfect,2nd Person,Singular,frustiabas,frustiebas,frustiebas,frustiebas,You were break into piecesing
Active Indicative,Imperfect,2nd Person,Plural,frustiabatis,frustiebatis,frustiebatis,frustiebatis,You (pl.) were break into piecesing
Active Indicative,Imperfect,3rd Person,Singular,frustiabat,frustiebat,frustiebat,frustiebat,He/she/it was break into piecesing
Active Indicative,Imperfect,3rd Person,Plural,frustiabant,frustiebant,frustiebant,frustiebant,They were break into piecesing
Active Indicative,Future,1st Person,Singular,frustiabo,frustiebo,frustiam,frustiam,I will break into pieces
Active Indicative,Future,1st Person,Plural,frustiabimus,frustiebimus,frustiemus,frustiemus,We will break into pieces
Active Indicative,Future,2nd Person,Singular,frustiabis,frustiebis,frusties,frusties,You will break into pieces
Active Indicative,Future,2nd Person,Plural,frustiabitis,frustiebitis,frustietis,frustietis,You (pl.) will break into pieces
Active Indicative,Future,3rd Person,Singular,frustiabit,frustiebit,frustiet,frustiet,He/she/it will break into pieces
Active Indicative,Future,3rd Person,Plural,frustiabunt,frustiebunt,frustient,frustient,They will break into pieces
Active Indicative,Perfect,1st Person,Singular,frustiavi,frustiui,frusti,frusti,I have break into piecesed
Active Indicative,Perfect,1st Person,Plural,frustiavimus,frustiuimus,frustimus,frustimus,We have break into piecesed
Active Indicative,Perfect,2nd Person,Singular,frustiavisti,frustiuisti,frustisti,frustisti,You have break into piecesed
Active Indicative,Perfect,2nd Person,Plural,frustiavistis,frustiuistis,frustistis,frustistis,You (pl.) have break into piecesed
Active Indicative,Perfect,3rd Person,Singular,frustiavit,frustiuit,frustit,frustit,He/she/it has break into piecesed
Active Indicative,Perfect,3rd Person,Plural,frustiaverunt,frustiuerunt,frustierunt,frustierunt,They have break into piecesed
Active Indicative,Pluperfect,1st Person,Singular,frustiaveram,frustiueram,frustieram,frustieram,I had break into piecesed
Active Indicative,Pluperfect,1st Person,Plural,frustiaveramus,frustiueramus,frustieramus,frustieramus,We had break into piecesed
Active Indicative,Pluperfect,2nd Person,Singular,frustiaveras,frustiueras,frustieras,frustieras,You had break into piecesed
Active Indicative,Pluperfect,2nd Person,Plural,frustiaveratis,frustiueratis,frustieratis,frustieratis,You (pl.) had break into piecesed
Active Indicative,Pluperfect,3rd Person,Singular,frustiaverat,frustiuerat,frustierat,frustierat,He/she/it had break into piecesed
Active Indicative,Pluperfect,3rd Person,Plural,frustiaverant,frustiuerant,frustierant,frustierant,They had break into piecesed
Active Indicative,Future Perfect,1st Person,Singular,frustiavero,frustiueero,frustiero,frustiero,I will have break into piecesed
Active Indicative,Future Perfect,1st Person,Plural,frustiaverimus,frustiuerimus,frustierimus,frustierimus,We will have break into piecesed
Active Indicative,Future Perfect,2nd Person,Singular,frustiaveris,frustiueris,frustieris,frustieris,You will have break into piecesed
Active Indicative,Future Perfect,2nd Person,Plural,frustiaveritis,frustiueritis,frustieritis,frustieritis,You (pl.) will have break into piecesed
