Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,fugo,fugeo,fugo,fugio,I flee
Active Indicative,Present,1st Person,Plural,fugamus,fugemus,fugimus,fugimus,We flee
Active Indicative,Present,2nd Person,Singular,fugas,fuges,fugis,fugis,You flee
Active Indicative,Present,2nd Person,Plural,fugatis,fugetis,fugitis,fugitis,You (pl.) flee
Active Indicative,Present,3rd Person,Singular,fugat,fuget,fugit,fugit,He/she/it flee
Active Indicative,Present,3rd Person,Plural,fugant,fugent,fugiunt,fugiunt,They flee
Active Indicative,Imperfect,1st Person,Singular,fugabam,fugebam,fugebam,fugiebam,I was fleeing
Active Indicative,Imperfect,1st Person,Plural,fugabamus,fugebamus,fugebamus,fugiebamus,We were fleeing
Active Indicative,Imperfect,2nd Person,Singular,fugabas,fugebas,fugebas,fugiebas,You were fleeing
Active Indicative,Imperfect,2nd Person,Plural,fugabatis,fugebatis,fugebatis,fugiebatis,You (pl.) were fleeing
Active Indicative,Imperfect,3rd Person,Singular,fugabat,fugebat,fugebat,fugiebat,He/she/it was fleeing
Active Indicative,Imperfect,3rd Person,Plural,fugabant,fugebant,fugebant,fugiebant,They were fleeing
Active Indicative,Future,1st Person,Singular,fugabo,fugebo,fugam,fugiam,I will flee
Active Indicative,Future,1st Person,Plural,fugabimus,fugebimus,fugemus,fugiemus,We will flee
Active Indicative,Future,2nd Person,Singular,fugabis,fugebis,fuges,fugies,You will flee
Active Indicative,Future,2nd Person,Plural,fugabitis,fugebitis,fugetis,fugietis,You (pl.) will flee
Active Indicative,Future,3rd Person,Singular,fugabit,fugebit,fuget,fugiet,He/she/it will flee
Active Indicative,Future,3rd Person,Plural,fugabunt,fugebunt,fugent,fugient,They will flee
Active Indicative,Perfect,1st Person,Singular,fugavi,fugui,fugi,fugi,I have fleeed
Active Indicative,Perfect,1st Person,Plural,fugavimus,fuguimus,fugimus,fugimus,We have fleeed
Active Indicative,Perfect,2nd Person,Singular,fugavisti,fuguisti,fugisti,fugisti,You have fleeed
Active Indicative,Perfect,2nd Person,Plural,fugavistis,fuguistis,fugistis,fugistis,You (pl.) have fleeed
Active Indicative,Perfect,3rd Person,Singular,fugavit,fuguit,fugit,fugit,He/she/it has fleeed
