Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,fumo,fumeo,fumo,fumio,I smoke
Active Indicative,Present,1st Person,Plural,fumamus,fumemus,fumimus,fumimus,We smoke
Active Indicative,Present,2nd Person,Singular,fumas,fumes,fumis,fumis,You smoke
Active Indicative,Present,2nd Person,Plural,fumatis,fumetis,fumitis,fumitis,You (pl.) smoke
Active Indicative,Present,3rd Person,Singular,fumat,fumet,fumit,fumit,He/she/it smoke
Active Indicative,Present,3rd Person,Plural,fumant,fument,fumiunt,fumiunt,They smoke
Active Indicative,Imperfect,1st Person,Singular,fumabam,fumebam,fumebam,fumiebam,I was smokeing
Active Indicative,Imperfect,1st Person,Plural,fumabamus,fumebamus,fumebamus,fumiebamus,We were smokeing
Active Indicative,Imperfect,2nd Person,Singular,fumabas,fumebas,fumebas,fumiebas,You were smokeing
Active Indicative,Imperfect,2nd Person,Plural,fumabatis,fumebatis,fumebatis,fumiebatis,You (pl.) were smokeing
Active Indicative,Imperfect,3rd Person,Singular,fumabat,fumebat,fumebat,fumiebat,He/she/it was smokeing
Active Indicative,Imperfect,3rd Person,Plural,fumabant,fumebant,fumebant,fumiebant,They were smokeing
Active Indicative,Future,1st Person,Singular,fumabo,fumebo,fumam,fumiam,I will smoke
Active Indicative,Future,1st Person,Plural,fumabimus,fumebimus,fumemus,fumiemus,We will smoke
Active Indicative,Future,2nd Person,Singular,fumabis,fumebis,fumes,fumies,You will smoke
Active Indicative,Future,2nd Person,Plural,fumabitis,fumebitis,fumetis,fumietis,You (pl.) will smoke
Active Indicative,Future,3rd Person,Singular,fumabit,fumebit,fumet,fumiet,He/she/it will smoke
Active Indicative,Future,3rd Person,Plural,fumabunt,fumebunt,fument,fumient,They will smoke
Active Indicative,Perfect,1st Person,Singular,fumavi,fumui,fumi,fumi,I have smokeed
Active Indicative,Perfect,1st Person,Plural,fumavimus,fumuimus,fumimus,fumimus,We have smokeed
