Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,gemo,gemeo,gemo,gemio,I groan
Active Indicative,Present,1st Person,Plural,gemamus,gememus,gemimus,gemimus,We groan
Active Indicative,Present,2nd Person,Singular,gemas,gemes,gemis,gemis,You groan
Active Indicative,Present,2nd Person,Plural,gematis,gemetis,gemitis,gemitis,You (pl.) groan
Active Indicative,Present,3rd Person,Singular,gemat,gemet,gemit,gemit,He/she/it groan
Active Indicative,Present,3rd Person,Plural,gemant,gement,gemiunt,gemiunt,They groan
Active Indicative,Imperfect,1st Person,Singular,gemabam,gemebam,gemebam,gemiebam,I was groaning
Active Indicative,Imperfect,1st Person,Plural,gemabamus,gemebamus,gemebamus,gemiebamus,We were groaning
Active Indicative,Imperfect,2nd Person,Singular,gemabas,gemebas,gemebas,gemiebas,You were groaning
Active Indicative,Imperfect,2nd Person,Plural,gemabatis,gemebatis,gemebatis,gemiebatis,You (pl.) were groaning
Active Indicative,Imperfect,3rd Person,Singular,gemabat,gemebat,gemebat,gemiebat,He/she/it was groaning
Active Indicative,Imperfect,3rd Person,Plural,gemabant,gemebant,gemebant,gemiebant,They were groaning
Active Indicative,Future,1st Person,Singular,gemabo,gemebo,gemam,gemiam,I will groan
Active Indicative,Future,1st Person,Plural,gemabimus,gemebimus,gememus,gemiemus,We will groan
Active Indicative,Future,2nd Person,Singular,gemabis,gemebis,gemes,gemies,You will groan
Active Indicative,Future,2nd Person,Plural,gemabitis,gemebitis,gemetis,gemietis,You (pl.) will groan
Active Indicative,Future,3rd Person,Singular,gemabit,gemebit,gemet,gemiet,He/she/it will groan
Active Indicative,Future,3rd Person,Plural,gemabunt,gemebunt,gement,gemient,They will groan
Active Indicative,Perfect,1st Person,Singular,gemavi,gemui,gemi,gemi,I have groaned
Active Indicative,Perfect,1st Person,Plural,gemavimus,gemuimus,gemimus,gemimus,We have groaned
Active Indicative,Perfect,2nd Person,Singular,gemavisti,gemuisti,gemisti,gemisti,You have groaned
Active Indicative,Perfect,2nd Person,Plural,gemavistis,gemuistis,gemistis,gemistis,You (pl.) have groaned
Active Indicative,Perfect,3rd Person,Singular,gemavit,gemuit,gemit,gemit,He/she/it has groaned
Active Indicative,Perfect,3rd Person,Plural,gemaverunt,gemuerunt,gemerunt,gemerunt,They have groaned
Active Indicative,Pluperfect,1st Person,Singular,gemaveram,gemueram,gemeram,gemeram,I had groaned
Active Indicative,Pluperfect,1st Person,Plural,gemaveramus,gemueramus,gemeramus,gemeramus,We had groaned
Active Indicative,Pluperfect,2nd Person,Singular,gemaveras,gemueras,gemeras,gemeras,You had groaned
Active Indicative,Pluperfect,2nd Person,Plural,gemaveratis,gemueratis,gemeratis,gemeratis,You (pl.) had groaned
Active Indicative,Pluperfect,3rd Person,Singular,gemaverat,gemuerat,gemerat,gemerat,He/she/it had groaned
Active Indicative,Pluperfect,3rd Person,Plural,gemaverant,gemuerant,gemerant,gemerant,They had groaned
Active Indicative,Future Perfect,1st Person,Singular,gemavero,gemueero,gemero,gemiero,I will have groaned
Active Indicative,Future Perfect,1st Person,Plural,gemaverimus,gemuerimus,gemerimus,gemierimus,We will have groaned
Active Indicative,Future Perfect,2nd Person,Singular,gemaveris,gemueris,gemeris,gemieris,You will have groaned
Active Indicative,Future Perfect,2nd Person,Plural,gemaveritis,gemueritis,gemeritis,gemieritis,You (pl.) will have groaned
Active Indicative,Future Perfect,3rd Person,Singular,gemaverit,gemuerit,gemerit,gemierit,He/she/it will have groaned
Active Indicative,Future Perfect,3rd Person,Plural,gemaverint,gemuerint,gemerint,gemierint,They will have groaned
Passive Indicative,Present,1st Person,Singular,gemor,gemeor,gemor,gemior,I am being groaned
Passive Indicative,Present,1st Person,Plural,gemamur,gememur,gemimur,gemimur,We are being groaned
Passive Indicative,Present,2nd Person,Singular,gemaris,gemeris,gemiris,gemiris,You are being groaned
Passive Indicative,Present,2nd Person,Plural,gemamini,gememini,gemimini,gemimini,You (pl.) are being groaned
Passive Indicative,Present,3rd Person,Singular,gematur,gemetur,gemitur,gemitur,He/she/it is being groaned
Passive Indicative,Present,3rd Person,Plural,gemantur,gementur,gemiuntur,gemiuntur,They are being groaned
Passive Indicative,Imperfect,1st Person,Singular,gemabar,gemebar,gemebar,gemiebar,I was groaned
Passive Indicative,Imperfect,1st Person,Plural,gemabamur,gemebamur,gemebamur,gemiebamur,We were groaned
Passive Indicative,Imperfect,2nd Person,Singular,gemabaris,gemebaris,gemebaris,gemiebaris,You were groaned
Passive Indicative,Imperfect,2nd Person,Plural,gemabamini,gemebamini,gemebamini,gemiebamini,You (pl.) were groaned
Passive Indicative,Imperfect,3rd Person,Singular,gemabatur,gemebatur,gemebatur,gemiebatur,He/she/it was groaned
Passive Indicative,Imperfect,3rd Person,Plural,gemabantur,gemebantur,gemebantur,gemiebantur,They were groaned
Passive Indicative,Future,1st Person,Singular,gemabor,gemebor,gemar,gemiar,I will be groaned
Passive Indicative,Future,1st Person,Plural,gemabimur,gemebimur,gememur,gemiemur,We will be groaned
Passive Indicative,Future,2nd Person,Singular,gemaberis,gemeberis,gemeris,gemieris,You will be groaned
Passive Indicative,Future,2nd Person,Plural,gemabimini,gemebimini,gememini,gemiemini,You (pl.) will be groaned
Passive Indicative,Future,3rd Person,Singular,gemabitur,gemebitur,gemetur,gemietur,He/she/it will be groaned
Passive Indicative,Future,3rd Person,Plural,gemabuntur,gemebuntur,gementur,gemientur,They will be groaned
Passive Indicative,Perfect,1st Person,Singular,gematus sum,gemetus sum,gemus sum,gemus sum,I have been groaned
Passive Indicative,Perfect,1st Person,Plural,gemati sumus,gemeti sumus,gemi sumus,gemi sumus,We have been groaned
