Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,gemico,gemiceo,gemico,gemicio,I groan
Active Indicative,Present,1st Person,Plural,gemicamus,gemicemus,gemicimus,gemicimus,We groan
Active Indicative,Present,2nd Person,Singular,gemicas,gemices,gemicis,gemicis,You groan
Active Indicative,Present,2nd Person,Plural,gemicatis,gemicetis,gemicitis,gemicitis,You (pl.) groan
Active Indicative,Present,3rd Person,Singular,gemicat,gemicet,gemicit,gemicit,He/she/it groan
Active Indicative,Present,3rd Person,Plural,gemicant,gemicent,gemiciunt,gemiciunt,They groan
Active Indicative,Imperfect,1st Person,Singular,gemicabam,gemicebam,gemicebam,gemiciebam,I was groaning
Active Indicative,Imperfect,1st Person,Plural,gemicabamus,gemicebamus,gemicebamus,gemiciebamus,We were groaning
Active Indicative,Imperfect,2nd Person,Singular,gemicabas,gemicebas,gemicebas,gemiciebas,You were groaning
Active Indicative,Imperfect,2nd Person,Plural,gemicabatis,gemicebatis,gemicebatis,gemiciebatis,You (pl.) were groaning
Active Indicative,Imperfect,3rd Person,Singular,gemicabat,gemicebat,gemicebat,gemiciebat,He/she/it was groaning
Active Indicative,Imperfect,3rd Person,Plural,gemicabant,gemicebant,gemicebant,gemiciebant,They were groaning
Active Indicative,Future,1st Person,Singular,gemicabo,gemicebo,gemicam,gemiciam,I will groan
Active Indicative,Future,1st Person,Plural,gemicabimus,gemicebimus,gemicemus,gemiciemus,We will groan
Active Indicative,Future,2nd Person,Singular,gemicabis,gemicebis,gemices,gemicies,You will groan
Active Indicative,Future,2nd Person,Plural,gemicabitis,gemicebitis,gemicetis,gemicietis,You (pl.) will groan
Active Indicative,Future,3rd Person,Singular,gemicabit,gemicebit,gemicet,gemiciet,He/she/it will groan
Active Indicative,Future,3rd Person,Plural,gemicabunt,gemicebunt,gemicent,gemicient,They will groan
Active Indicative,Perfect,1st Person,Singular,gemicavi,gemicui,gemici,gemici,I have groaned
Active Indicative,Perfect,1st Person,Plural,gemicavimus,gemicuimus,gemicimus,gemicimus,We have groaned
Active Indicative,Perfect,2nd Person,Singular,gemicavisti,gemicuisti,gemicisti,gemicisti,You have groaned
Active Indicative,Perfect,2nd Person,Plural,gemicavistis,gemicuistis,gemicistis,gemicistis,You (pl.) have groaned
Active Indicative,Perfect,3rd Person,Singular,gemicavit,gemicuit,gemicit,gemicit,He/she/it has groaned
Active Indicative,Perfect,3rd Person,Plural,gemicaverunt,gemicuerunt,gemicerunt,gemicerunt,They have groaned
Active Indicative,Pluperfect,1st Person,Singular,gemicaveram,gemicueram,gemiceram,gemiceram,I had groaned
Active Indicative,Pluperfect,1st Person,Plural,gemicaveramus,gemicueramus,gemiceramus,gemiceramus,We had groaned
Active Indicative,Pluperfect,2nd Person,Singular,gemicaveras,gemicueras,gemiceras,gemiceras,You had groaned
Active Indicative,Pluperfect,2nd Person,Plural,gemicaveratis,gemicueratis,gemiceratis,gemiceratis,You (pl.) had groaned
Active Indicative,Pluperfect,3rd Person,Singular,gemicaverat,gemicuerat,gemicerat,gemicerat,He/she/it had groaned
Active Indicative,Pluperfect,3rd Person,Plural,gemicaverant,gemicuerant,gemicerant,gemicerant,They had groaned
Active Indicative,Future Perfect,1st Person,Singular,gemicavero,gemicueero,gemicero,gemiciero,I will have groaned
Active Indicative,Future Perfect,1st Person,Plural,gemicaverimus,gemicuerimus,gemicerimus,gemicierimus,We will have groaned
