Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,grabo,grabeo,grabo,grabio,I engrave
Active Indicative,Present,1st Person,Plural,grabamus,grabemus,grabimus,grabimus,We engrave
Active Indicative,Present,2nd Person,Singular,grabas,grabes,grabis,grabis,You engrave
Active Indicative,Present,2nd Person,Plural,grabatis,grabetis,grabitis,grabitis,You (pl.) engrave
Active Indicative,Present,3rd Person,Singular,grabat,grabet,grabit,grabit,He/she/it engrave
Active Indicative,Present,3rd Person,Plural,grabant,grabent,grabiunt,grabiunt,They engrave
Active Indicative,Imperfect,1st Person,Singular,grababam,grabebam,grabebam,grabiebam,I was engraveing
Active Indicative,Imperfect,1st Person,Plural,grababamus,grabebamus,grabebamus,grabiebamus,We were engraveing
Active Indicative,Imperfect,2nd Person,Singular,grababas,grabebas,grabebas,grabiebas,You were engraveing
Active Indicative,Imperfect,2nd Person,Plural,grababatis,grabebatis,grabebatis,grabiebatis,You (pl.) were engraveing
Active Indicative,Imperfect,3rd Person,Singular,grababat,grabebat,grabebat,grabiebat,He/she/it was engraveing
Active Indicative,Imperfect,3rd Person,Plural,grababant,grabebant,grabebant,grabiebant,They were engraveing
Active Indicative,Future,1st Person,Singular,grababo,grabebo,grabam,grabiam,I will engrave
Active Indicative,Future,1st Person,Plural,grababimus,grabebimus,grabemus,grabiemus,We will engrave
Active Indicative,Future,2nd Person,Singular,grababis,grabebis,grabes,grabies,You will engrave
Active Indicative,Future,2nd Person,Plural,grababitis,grabebitis,grabetis,grabietis,You (pl.) will engrave
Active Indicative,Future,3rd Person,Singular,grababit,grabebit,grabet,grabiet,He/she/it will engrave
Active Indicative,Future,3rd Person,Plural,grababunt,grabebunt,grabent,grabient,They will engrave
Active Indicative,Perfect,1st Person,Singular,grabavi,grabui,grabi,grabi,I have engraveed
Active Indicative,Perfect,1st Person,Plural,grabavimus,grabuimus,grabimus,grabimus,We have engraveed
Active Indicative,Perfect,2nd Person,Singular,grabavisti,grabuisti,grabisti,grabisti,You have engraveed
Active Indicative,Perfect,2nd Person,Plural,grabavistis,grabuistis,grabistis,grabistis,You (pl.) have engraveed
Active Indicative,Perfect,3rd Person,Singular,grabavit,grabuit,grabit,grabit,He/she/it has engraveed
Active Indicative,Perfect,3rd Person,Plural,grabaverunt,grabuerunt,graberunt,graberunt,They have engraveed
Active Indicative,Pluperfect,1st Person,Singular,grabaveram,grabueram,graberam,graberam,I had engraveed
Active Indicative,Pluperfect,1st Person,Plural,grabaveramus,grabueramus,graberamus,graberamus,We had engraveed
Active Indicative,Pluperfect,2nd Person,Singular,grabaveras,grabueras,graberas,graberas,You had engraveed
Active Indicative,Pluperfect,2nd Person,Plural,grabaveratis,grabueratis,graberatis,graberatis,You (pl.) had engraveed
Active Indicative,Pluperfect,3rd Person,Singular,grabaverat,grabuerat,graberat,graberat,He/she/it had engraveed
Active Indicative,Pluperfect,3rd Person,Plural,grabaverant,grabuerant,graberant,graberant,They had engraveed
Active Indicative,Future Perfect,1st Person,Singular,grabavero,grabueero,grabero,grabiero,I will have engraveed
Active Indicative,Future Perfect,1st Person,Plural,grabaverimus,grabuerimus,graberimus,grabierimus,We will have engraveed
Active Indicative,Future Perfect,2nd Person,Singular,grabaveris,grabueris,graberis,grabieris,You will have engraveed
Active Indicative,Future Perfect,2nd Person,Plural,grabaveritis,grabueritis,graberitis,grabieritis,You (pl.) will have engraveed
Active Indicative,Future Perfect,3rd Person,Singular,grabaverit,grabuerit,graberit,grabierit,He/she/it will have engraveed
Active Indicative,Future Perfect,3rd Person,Plural,grabaverint,grabuerint,graberint,grabierint,They will have engraveed
Passive Indicative,Present,1st Person,Singular,grabor,grabeor,grabor,grabior,I am being engraveed
