Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,gravo,graveo,gravo,gravio,I make heavy
Active Indicative,Present,1st Person,Plural,gravamus,gravemus,gravimus,gravimus,We make heavy
Active Indicative,Present,2nd Person,Singular,gravas,graves,gravis,gravis,You make heavy
Active Indicative,Present,2nd Person,Plural,gravatis,gravetis,gravitis,gravitis,You (pl.) make heavy
Active Indicative,Present,3rd Person,Singular,gravat,gravet,gravit,gravit,He/she/it make heavy
Active Indicative,Present,3rd Person,Plural,gravant,gravent,graviunt,graviunt,They make heavy
Active Indicative,Imperfect,1st Person,Singular,gravabam,gravebam,gravebam,graviebam,I was make heavying
Active Indicative,Imperfect,1st Person,Plural,gravabamus,gravebamus,gravebamus,graviebamus,We were make heavying
Active Indicative,Imperfect,2nd Person,Singular,gravabas,gravebas,gravebas,graviebas,You were make heavying
Active Indicative,Imperfect,2nd Person,Plural,gravabatis,gravebatis,gravebatis,graviebatis,You (pl.) were make heavying
Active Indicative,Imperfect,3rd Person,Singular,gravabat,gravebat,gravebat,graviebat,He/she/it was make heavying
Active Indicative,Imperfect,3rd Person,Plural,gravabant,gravebant,gravebant,graviebant,They were make heavying
Active Indicative,Future,1st Person,Singular,gravabo,gravebo,gravam,graviam,I will make heavy
Active Indicative,Future,1st Person,Plural,gravabimus,gravebimus,gravemus,graviemus,We will make heavy
Active Indicative,Future,2nd Person,Singular,gravabis,gravebis,graves,gravies,You will make heavy
Active Indicative,Future,2nd Person,Plural,gravabitis,gravebitis,gravetis,gravietis,You (pl.) will make heavy
Active Indicative,Future,3rd Person,Singular,gravabit,gravebit,gravet,graviet,He/she/it will make heavy
Active Indicative,Future,3rd Person,Plural,gravabunt,gravebunt,gravent,gravient,They will make heavy
Active Indicative,Perfect,1st Person,Singular,gravavi,gravui,gravi,gravi,I have make heavyed
Active Indicative,Perfect,1st Person,Plural,gravavimus,gravuimus,gravimus,gravimus,We have make heavyed
Active Indicative,Perfect,2nd Person,Singular,gravavisti,gravuisti,gravisti,gravisti,You have make heavyed
Active Indicative,Perfect,2nd Person,Plural,gravavistis,gravuistis,gravistis,gravistis,You (pl.) have make heavyed
Active Indicative,Perfect,3rd Person,Singular,gravavit,gravuit,gravit,gravit,He/she/it has make heavyed
Active Indicative,Perfect,3rd Person,Plural,gravaverunt,gravuerunt,graverunt,graverunt,They have make heavyed
Active Indicative,Pluperfect,1st Person,Singular,gravaveram,gravueram,graveram,graveram,I had make heavyed
Active Indicative,Pluperfect,1st Person,Plural,gravaveramus,gravueramus,graveramus,graveramus,We had make heavyed
Active Indicative,Pluperfect,2nd Person,Singular,gravaveras,gravueras,graveras,graveras,You had make heavyed
Active Indicative,Pluperfect,2nd Person,Plural,gravaveratis,gravueratis,graveratis,graveratis,You (pl.) had make heavyed
Active Indicative,Pluperfect,3rd Person,Singular,gravaverat,gravuerat,graverat,graverat,He/she/it had make heavyed
Active Indicative,Pluperfect,3rd Person,Plural,gravaverant,gravuerant,graverant,graverant,They had make heavyed
Active Indicative,Future Perfect,1st Person,Singular,gravavero,gravueero,gravero,graviero,I will have make heavyed
Active Indicative,Future Perfect,1st Person,Plural,gravaverimus,gravuerimus,graverimus,gravierimus,We will have make heavyed
Active Indicative,Future Perfect,2nd Person,Singular,gravaveris,gravueris,graveris,gravieris,You will have make heavyed
Active Indicative,Future Perfect,2nd Person,Plural,gravaveritis,gravueritis,graveritis,gravieritis,You (pl.) will have make heavyed
Active Indicative,Future Perfect,3rd Person,Singular,gravaverit,gravuerit,graverit,gravierit,He/she/it will have make heavyed
Active Indicative,Future Perfect,3rd Person,Plural,gravaverint,gravuerint,graverint,gravierint,They will have make heavyed
