Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,hauno,hauneo,hauno,haunio,I shame
Active Indicative,Present,1st Person,Plural,haunamus,haunemus,haunimus,haunimus,We shame
Active Indicative,Present,2nd Person,Singular,haunas,haunes,haunis,haunis,You shame
Active Indicative,Present,2nd Person,Plural,haunatis,haunetis,haunitis,haunitis,You (pl.) shame
Active Indicative,Present,3rd Person,Singular,haunat,haunet,haunit,haunit,He/she/it shame
Active Indicative,Present,3rd Person,Plural,haunant,haunent,hauniunt,hauniunt,They shame
Active Indicative,Imperfect,1st Person,Singular,haunabam,haunebam,haunebam,hauniebam,I was shameing
Active Indicative,Imperfect,1st Person,Plural,haunabamus,haunebamus,haunebamus,hauniebamus,We were shameing
Active Indicative,Imperfect,2nd Person,Singular,haunabas,haunebas,haunebas,hauniebas,You were shameing
Active Indicative,Imperfect,2nd Person,Plural,haunabatis,haunebatis,haunebatis,hauniebatis,You (pl.) were shameing
Active Indicative,Imperfect,3rd Person,Singular,haunabat,haunebat,haunebat,hauniebat,He/she/it was shameing
Active Indicative,Imperfect,3rd Person,Plural,haunabant,haunebant,haunebant,hauniebant,They were shameing
Active Indicative,Future,1st Person,Singular,haunabo,haunebo,haunam,hauniam,I will shame
Active Indicative,Future,1st Person,Plural,haunabimus,haunebimus,haunemus,hauniemus,We will shame
Active Indicative,Future,2nd Person,Singular,haunabis,haunebis,haunes,haunies,You will shame
Active Indicative,Future,2nd Person,Plural,haunabitis,haunebitis,haunetis,haunietis,You (pl.) will shame
Active Indicative,Future,3rd Person,Singular,haunabit,haunebit,haunet,hauniet,He/she/it will shame
Active Indicative,Future,3rd Person,Plural,haunabunt,haunebunt,haunent,haunient,They will shame
Active Indicative,Perfect,1st Person,Singular,haunavi,haunui,hauni,hauni,I have shameed
Active Indicative,Perfect,1st Person,Plural,haunavimus,haunuimus,haunimus,haunimus,We have shameed
