Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,hebeto,hebeteo,hebeto,hebetio,I deaden
Active Indicative,Present,1st Person,Plural,hebetamus,hebetemus,hebetimus,hebetimus,We deaden
Active Indicative,Present,2nd Person,Singular,hebetas,hebetes,hebetis,hebetis,You deaden
Active Indicative,Present,2nd Person,Plural,hebetatis,hebetetis,hebetitis,hebetitis,You (pl.) deaden
Active Indicative,Present,3rd Person,Singular,hebetat,hebetet,hebetit,hebetit,He/she/it deaden
Active Indicative,Present,3rd Person,Plural,hebetant,hebetent,hebetiunt,hebetiunt,They deaden
Active Indicative,Imperfect,1st Person,Singular,hebetabam,hebetebam,hebetebam,hebetiebam,I was deadening
Active Indicative,Imperfect,1st Person,Plural,hebetabamus,hebetebamus,hebetebamus,hebetiebamus,We were deadening
Active Indicative,Imperfect,2nd Person,Singular,hebetabas,hebetebas,hebetebas,hebetiebas,You were deadening
Active Indicative,Imperfect,2nd Person,Plural,hebetabatis,hebetebatis,hebetebatis,hebetiebatis,You (pl.) were deadening
Active Indicative,Imperfect,3rd Person,Singular,hebetabat,hebetebat,hebetebat,hebetiebat,He/she/it was deadening
Active Indicative,Imperfect,3rd Person,Plural,hebetabant,hebetebant,hebetebant,hebetiebant,They were deadening
Active Indicative,Future,1st Person,Singular,hebetabo,hebetebo,hebetam,hebetiam,I will deaden
Active Indicative,Future,1st Person,Plural,hebetabimus,hebetebimus,hebetemus,hebetiemus,We will deaden
Active Indicative,Future,2nd Person,Singular,hebetabis,hebetebis,hebetes,hebeties,You will deaden
Active Indicative,Future,2nd Person,Plural,hebetabitis,hebetebitis,hebetetis,hebetietis,You (pl.) will deaden
Active Indicative,Future,3rd Person,Singular,hebetabit,hebetebit,hebetet,hebetiet,He/she/it will deaden
Active Indicative,Future,3rd Person,Plural,hebetabunt,hebetebunt,hebetent,hebetient,They will deaden
Active Indicative,Perfect,1st Person,Singular,hebetavi,hebetui,hebeti,hebeti,I have deadened
Active Indicative,Perfect,1st Person,Plural,hebetavimus,hebetuimus,hebetimus,hebetimus,We have deadened
Active Indicative,Perfect,2nd Person,Singular,hebetavisti,hebetuisti,hebetisti,hebetisti,You have deadened
Active Indicative,Perfect,2nd Person,Plural,hebetavistis,hebetuistis,hebetistis,hebetistis,You (pl.) have deadened
Active Indicative,Perfect,3rd Person,Singular,hebetavit,hebetuit,hebetit,hebetit,He/she/it has deadened
Active Indicative,Perfect,3rd Person,Plural,hebetaverunt,hebetuerunt,hebeterunt,hebeterunt,They have deadened
Active Indicative,Pluperfect,1st Person,Singular,hebetaveram,hebetueram,hebeteram,hebeteram,I had deadened
Active Indicative,Pluperfect,1st Person,Plural,hebetaveramus,hebetueramus,hebeteramus,hebeteramus,We had deadened
Active Indicative,Pluperfect,2nd Person,Singular,hebetaveras,hebetueras,hebeteras,hebeteras,You had deadened
Active Indicative,Pluperfect,2nd Person,Plural,hebetaveratis,hebetueratis,hebeteratis,hebeteratis,You (pl.) had deadened
Active Indicative,Pluperfect,3rd Person,Singular,hebetaverat,hebetuerat,hebeterat,hebeterat,He/she/it had deadened
