Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,hormizo,hormizeo,hormizo,hormizio,I anchor
Active Indicative,Present,1st Person,Plural,hormizamus,hormizemus,hormizimus,hormizimus,We anchor
Active Indicative,Present,2nd Person,Singular,hormizas,hormizes,hormizis,hormizis,You anchor
Active Indicative,Present,2nd Person,Plural,hormizatis,hormizetis,hormizitis,hormizitis,You (pl.) anchor
Active Indicative,Present,3rd Person,Singular,hormizat,hormizet,hormizit,hormizit,He/she/it anchor
Active Indicative,Present,3rd Person,Plural,hormizant,hormizent,hormiziunt,hormiziunt,They anchor
Active Indicative,Imperfect,1st Person,Singular,hormizabam,hormizebam,hormizebam,hormiziebam,I was anchoring
Active Indicative,Imperfect,1st Person,Plural,hormizabamus,hormizebamus,hormizebamus,hormiziebamus,We were anchoring
Active Indicative,Imperfect,2nd Person,Singular,hormizabas,hormizebas,hormizebas,hormiziebas,You were anchoring
Active Indicative,Imperfect,2nd Person,Plural,hormizabatis,hormizebatis,hormizebatis,hormiziebatis,You (pl.) were anchoring
Active Indicative,Imperfect,3rd Person,Singular,hormizabat,hormizebat,hormizebat,hormiziebat,He/she/it was anchoring
Active Indicative,Imperfect,3rd Person,Plural,hormizabant,hormizebant,hormizebant,hormiziebant,They were anchoring
Active Indicative,Future,1st Person,Singular,hormizabo,hormizebo,hormizam,hormiziam,I will anchor
Active Indicative,Future,1st Person,Plural,hormizabimus,hormizebimus,hormizemus,hormiziemus,We will anchor
Active Indicative,Future,2nd Person,Singular,hormizabis,hormizebis,hormizes,hormizies,You will anchor
Active Indicative,Future,2nd Person,Plural,hormizabitis,hormizebitis,hormizetis,hormizietis,You (pl.) will anchor
Active Indicative,Future,3rd Person,Singular,hormizabit,hormizebit,hormizet,hormiziet,He/she/it will anchor
Active Indicative,Future,3rd Person,Plural,hormizabunt,hormizebunt,hormizent,hormizient,They will anchor
Active Indicative,Perfect,1st Person,Singular,hormizavi,hormizui,hormizi,hormizi,I have anchored
Active Indicative,Perfect,1st Person,Plural,hormizavimus,hormizuimus,hormizimus,hormizimus,We have anchored
Active Indicative,Perfect,2nd Person,Singular,hormizavisti,hormizuisti,hormizisti,hormizisti,You have anchored
Active Indicative,Perfect,2nd Person,Plural,hormizavistis,hormizuistis,hormizistis,hormizistis,You (pl.) have anchored
Active Indicative,Perfect,3rd Person,Singular,hormizavit,hormizuit,hormizit,hormizit,He/she/it has anchored
Active Indicative,Perfect,3rd Person,Plural,hormizaverunt,hormizuerunt,hormizerunt,hormizerunt,They have anchored
Active Indicative,Pluperfect,1st Person,Singular,hormizaveram,hormizueram,hormizeram,hormizeram,I had anchored
Active Indicative,Pluperfect,1st Person,Plural,hormizaveramus,hormizueramus,hormizeramus,hormizeramus,We had anchored
Active Indicative,Pluperfect,2nd Person,Singular,hormizaveras,hormizueras,hormizeras,hormizeras,You had anchored
Active Indicative,Pluperfect,2nd Person,Plural,hormizaveratis,hormizueratis,hormizeratis,hormizeratis,You (pl.) had anchored
Active Indicative,Pluperfect,3rd Person,Singular,hormizaverat,hormizuerat,hormizerat,hormizerat,He/she/it had anchored
Active Indicative,Pluperfect,3rd Person,Plural,hormizaverant,hormizuerant,hormizerant,hormizerant,They had anchored
Active Indicative,Future Perfect,1st Person,Singular,hormizavero,hormizueero,hormizero,hormiziero,I will have anchored
Active Indicative,Future Perfect,1st Person,Plural,hormizaverimus,hormizuerimus,hormizerimus,hormizierimus,We will have anchored
Active Indicative,Future Perfect,2nd Person,Singular,hormizaveris,hormizueris,hormizeris,hormizieris,You will have anchored
Active Indicative,Future Perfect,2nd Person,Plural,hormizaveritis,hormizueritis,hormizeritis,hormizieritis,You (pl.) will have anchored
Active Indicative,Future Perfect,3rd Person,Singular,hormizaverit,hormizuerit,hormizerit,hormizierit,He/she/it will have anchored
Active Indicative,Future Perfect,3rd Person,Plural,hormizaverint,hormizuerint,hormizerint,hormizierint,They will have anchored
Passive Indicative,Present,1st Person,Singular,hormizor,hormizeor,hormizor,hormizior,I am being anchored
