Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ieiuno,ieiuneo,ieiuno,ieiunio,I fast
Active Indicative,Present,1st Person,Plural,ieiunamus,ieiunemus,ieiunimus,ieiunimus,We fast
Active Indicative,Present,2nd Person,Singular,ieiunas,ieiunes,ieiunis,ieiunis,You fast
Active Indicative,Present,2nd Person,Plural,ieiunatis,ieiunetis,ieiunitis,ieiunitis,You (pl.) fast
Active Indicative,Present,3rd Person,Singular,ieiunat,ieiunet,ieiunit,ieiunit,He/she/it fast
Active Indicative,Present,3rd Person,Plural,ieiunant,ieiunent,ieiuniunt,ieiuniunt,They fast
Active Indicative,Imperfect,1st Person,Singular,ieiunabam,ieiunebam,ieiunebam,ieiuniebam,I was fasting
Active Indicative,Imperfect,1st Person,Plural,ieiunabamus,ieiunebamus,ieiunebamus,ieiuniebamus,We were fasting
Active Indicative,Imperfect,2nd Person,Singular,ieiunabas,ieiunebas,ieiunebas,ieiuniebas,You were fasting
Active Indicative,Imperfect,2nd Person,Plural,ieiunabatis,ieiunebatis,ieiunebatis,ieiuniebatis,You (pl.) were fasting
Active Indicative,Imperfect,3rd Person,Singular,ieiunabat,ieiunebat,ieiunebat,ieiuniebat,He/she/it was fasting
Active Indicative,Imperfect,3rd Person,Plural,ieiunabant,ieiunebant,ieiunebant,ieiuniebant,They were fasting
Active Indicative,Future,1st Person,Singular,ieiunabo,ieiunebo,ieiunam,ieiuniam,I will fast
Active Indicative,Future,1st Person,Plural,ieiunabimus,ieiunebimus,ieiunemus,ieiuniemus,We will fast
Active Indicative,Future,2nd Person,Singular,ieiunabis,ieiunebis,ieiunes,ieiunies,You will fast
Active Indicative,Future,2nd Person,Plural,ieiunabitis,ieiunebitis,ieiunetis,ieiunietis,You (pl.) will fast
Active Indicative,Future,3rd Person,Singular,ieiunabit,ieiunebit,ieiunet,ieiuniet,He/she/it will fast
Active Indicative,Future,3rd Person,Plural,ieiunabunt,ieiunebunt,ieiunent,ieiunient,They will fast
Active Indicative,Perfect,1st Person,Singular,ieiunavi,ieiunui,ieiuni,ieiuni,I have fasted
Active Indicative,Perfect,1st Person,Plural,ieiunavimus,ieiunuimus,ieiunimus,ieiunimus,We have fasted
Active Indicative,Perfect,2nd Person,Singular,ieiunavisti,ieiunuisti,ieiunisti,ieiunisti,You have fasted
Active Indicative,Perfect,2nd Person,Plural,ieiunavistis,ieiunuistis,ieiunistis,ieiunistis,You (pl.) have fasted
Active Indicative,Perfect,3rd Person,Singular,ieiunavit,ieiunuit,ieiunit,ieiunit,He/she/it has fasted
Active Indicative,Perfect,3rd Person,Plural,ieiunaverunt,ieiunuerunt,ieiunerunt,ieiunerunt,They have fasted
Active Indicative,Pluperfect,1st Person,Singular,ieiunaveram,ieiunueram,ieiuneram,ieiuneram,I had fasted
Active Indicative,Pluperfect,1st Person,Plural,ieiunaveramus,ieiunueramus,ieiuneramus,ieiuneramus,We had fasted
