Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,implico,impliceo,implico,implicio,I ensnare
Active Indicative,Present,1st Person,Plural,implicamus,implicemus,implicimus,implicimus,We ensnare
Active Indicative,Present,2nd Person,Singular,implicas,implices,implicis,implicis,You ensnare
Active Indicative,Present,2nd Person,Plural,implicatis,implicetis,implicitis,implicitis,You (pl.) ensnare
Active Indicative,Present,3rd Person,Singular,implicat,implicet,implicit,implicit,He/she/it ensnare
Active Indicative,Present,3rd Person,Plural,implicant,implicent,impliciunt,impliciunt,They ensnare
Active Indicative,Imperfect,1st Person,Singular,implicabam,implicebam,implicebam,impliciebam,I was ensnareing
Active Indicative,Imperfect,1st Person,Plural,implicabamus,implicebamus,implicebamus,impliciebamus,We were ensnareing
Active Indicative,Imperfect,2nd Person,Singular,implicabas,implicebas,implicebas,impliciebas,You were ensnareing
Active Indicative,Imperfect,2nd Person,Plural,implicabatis,implicebatis,implicebatis,impliciebatis,You (pl.) were ensnareing
Active Indicative,Imperfect,3rd Person,Singular,implicabat,implicebat,implicebat,impliciebat,He/she/it was ensnareing
Active Indicative,Imperfect,3rd Person,Plural,implicabant,implicebant,implicebant,impliciebant,They were ensnareing
Active Indicative,Future,1st Person,Singular,implicabo,implicebo,implicam,impliciam,I will ensnare
Active Indicative,Future,1st Person,Plural,implicabimus,implicebimus,implicemus,impliciemus,We will ensnare
Active Indicative,Future,2nd Person,Singular,implicabis,implicebis,implices,implicies,You will ensnare
Active Indicative,Future,2nd Person,Plural,implicabitis,implicebitis,implicetis,implicietis,You (pl.) will ensnare
Active Indicative,Future,3rd Person,Singular,implicabit,implicebit,implicet,impliciet,He/she/it will ensnare
Active Indicative,Future,3rd Person,Plural,implicabunt,implicebunt,implicent,implicient,They will ensnare
Active Indicative,Perfect,1st Person,Singular,implicavi,implicui,implici,implici,I have ensnareed
Active Indicative,Perfect,1st Person,Plural,implicavimus,implicuimus,implicimus,implicimus,We have ensnareed
Active Indicative,Perfect,2nd Person,Singular,implicavisti,implicuisti,implicisti,implicisti,You have ensnareed
Active Indicative,Perfect,2nd Person,Plural,implicavistis,implicuistis,implicistis,implicistis,You (pl.) have ensnareed
Active Indicative,Perfect,3rd Person,Singular,implicavit,implicuit,implicit,implicit,He/she/it has ensnareed
Active Indicative,Perfect,3rd Person,Plural,implicaverunt,implicuerunt,implicerunt,implicerunt,They have ensnareed
Active Indicative,Pluperfect,1st Person,Singular,implicaveram,implicueram,impliceram,impliceram,I had ensnareed
Active Indicative,Pluperfect,1st Person,Plural,implicaveramus,implicueramus,impliceramus,impliceramus,We had ensnareed
Active Indicative,Pluperfect,2nd Person,Singular,implicaveras,implicueras,impliceras,impliceras,You had ensnareed
Active Indicative,Pluperfect,2nd Person,Plural,implicaveratis,implicueratis,impliceratis,impliceratis,You (pl.) had ensnareed
Active Indicative,Pluperfect,3rd Person,Singular,implicaverat,implicuerat,implicerat,implicerat,He/she/it had ensnareed
Active Indicative,Pluperfect,3rd Person,Plural,implicaverant,implicuerant,implicerant,implicerant,They had ensnareed
Active Indicative,Future Perfect,1st Person,Singular,implicavero,implicueero,implicero,impliciero,I will have ensnareed
Active Indicative,Future Perfect,1st Person,Plural,implicaverimus,implicuerimus,implicerimus,implicierimus,We will have ensnareed
Active Indicative,Future Perfect,2nd Person,Singular,implicaveris,implicueris,impliceris,implicieris,You will have ensnareed
Active Indicative,Future Perfect,2nd Person,Plural,implicaveritis,implicueritis,impliceritis,implicieritis,You (pl.) will have ensnareed
Active Indicative,Future Perfect,3rd Person,Singular,implicaverit,implicuerit,implicerit,implicierit,He/she/it will have ensnareed
Active Indicative,Future Perfect,3rd Person,Plural,implicaverint,implicuerint,implicerint,implicierint,They will have ensnareed
Passive Indicative,Present,1st Person,Singular,implicor,impliceor,implicor,implicior,I am being ensnareed
Passive Indicative,Present,1st Person,Plural,implicamur,implicemur,implicimur,implicimur,We are being ensnareed
Passive Indicative,Present,2nd Person,Singular,implicaris,impliceris,impliciris,impliciris,You are being ensnareed
Passive Indicative,Present,2nd Person,Plural,implicamini,implicemini,implicimini,implicimini,You (pl.) are being ensnareed
Passive Indicative,Present,3rd Person,Singular,implicatur,implicetur,implicitur,implicitur,He/she/it is being ensnareed
Passive Indicative,Present,3rd Person,Plural,implicantur,implicentur,impliciuntur,impliciuntur,They are being ensnareed
Passive Indicative,Imperfect,1st Person,Singular,implicabar,implicebar,implicebar,impliciebar,I was ensnareed
Passive Indicative,Imperfect,1st Person,Plural,implicabamur,implicebamur,implicebamur,impliciebamur,We were ensnareed
Passive Indicative,Imperfect,2nd Person,Singular,implicabaris,implicebaris,implicebaris,impliciebaris,You were ensnareed
Passive Indicative,Imperfect,2nd Person,Plural,implicabamini,implicebamini,implicebamini,impliciebamini,You (pl.) were ensnareed
Passive Indicative,Imperfect,3rd Person,Singular,implicabatur,implicebatur,implicebatur,impliciebatur,He/she/it was ensnareed
Passive Indicative,Imperfect,3rd Person,Plural,implicabantur,implicebantur,implicebantur,impliciebantur,They were ensnareed
Passive Indicative,Future,1st Person,Singular,implicabor,implicebor,implicar,impliciar,I will be ensnareed
Passive Indicative,Future,1st Person,Plural,implicabimur,implicebimur,implicemur,impliciemur,We will be ensnareed
Passive Indicative,Future,2nd Person,Singular,implicaberis,impliceberis,impliceris,implicieris,You will be ensnareed
Passive Indicative,Future,2nd Person,Plural,implicabimini,implicebimini,implicemini,impliciemini,You (pl.) will be ensnareed
Passive Indicative,Future,3rd Person,Singular,implicabitur,implicebitur,implicetur,implicietur,He/she/it will be ensnareed
Passive Indicative,Future,3rd Person,Plural,implicabuntur,implicebuntur,implicentur,implicientur,They will be ensnareed
Passive Indicative,Perfect,1st Person,Singular,implicatus sum,implicetus sum,implicus sum,implicus sum,I have been ensnareed
Passive Indicative,Perfect,1st Person,Plural,implicati sumus,impliceti sumus,implici sumus,implici sumus,We have been ensnareed
Passive Indicative,Perfect,2nd Person,Singular,implicatus es,implicetus es,implicus es,implicus es,You have been ensnareed
Passive Indicative,Perfect,2nd Person,Plural,implicati estis,impliceti estis,implici estis,implici estis,You (pl.) have been ensnareed
Passive Indicative,Perfect,3rd Person,Singular,implicatus est,implicetus est,implicus est,implicus est,He/she/it has been ensnareed
Passive Indicative,Perfect,3rd Person,Plural,implicati sunt,impliceti sunt,implici sunt,implici sunt,They have been ensnareed
Passive Indicative,Pluperfect,1st Person,Singular,implicatus eram,implicetus eram,implicus eram,implicus eram,I had been ensnareed
Passive Indicative,Pluperfect,1st Person,Plural,implicati eramus,impliceti eramus,implici eramus,implici eramus,We had been ensnareed
Passive Indicative,Pluperfect,2nd Person,Singular,implicatus eras,implicetus eras,implicus eras,implicus eras,You had been ensnareed
Passive Indicative,Pluperfect,2nd Person,Plural,implicati eratis,impliceti eratis,implici eratis,implici eratis,You (pl.) had been ensnareed
Passive Indicative,Pluperfect,3rd Person,Singular,implicatus erat,implicetus erat,implicus erat,implicus erat,He/she/it had been ensnareed
Passive Indicative,Pluperfect,3rd Person,Plural,implicati erant,impliceti erant,implici erant,implici erant,They had been ensnareed
Passive Indicative,Future Perfect,1st Person,Singular,implicatus ero,implicetus ero,implicus ero,implicus ero,I will have been ensnareed
Passive Indicative,Future Perfect,1st Person,Plural,implicati erimus,impliceti erimus,implici erimus,implici erimus,We will have been ensnareed
Passive Indicative,Future Perfect,2nd Person,Singular,implicatus eris,implicetus eris,implicus eris,implicus eris,You will have been ensnareed
Passive Indicative,Future Perfect,2nd Person,Plural,implicati eritis,impliceti eritis,implici eritis,implici eritis,You (pl.) will have been ensnareed
Passive Indicative,Future Perfect,3rd Person,Singular,implicatus erit,implicetus erit,implicus erit,implicus erit,He/she/it will have been ensnareed
Passive Indicative,Future Perfect,3rd Person,Plural,implicati erunt,impliceti erunt,implici erunt,implici erunt,They will have been ensnareed
Active Subjunctive,Present,1st Person,Singular,implicem,implicem,implicam,implicam,I may ensnare
Active Subjunctive,Present,1st Person,Plural,implicemus,implicemus,implicamus,implicamus,We may ensnare
Active Subjunctive,Present,2nd Person,Singular,implices,implices,implicas,implicas,You may ensnare
Active Subjunctive,Present,2nd Person,Plural,implicetis,implicetis,implicatis,implicatis,You (pl.) may ensnare
Active Subjunctive,Present,3rd Person,Singular,implicet,implicet,implicat,implicat,He/she/it may ensnare
Active Subjunctive,Present,3rd Person,Plural,implicent,implicent,implicant,implicant,They may ensnare
Active Subjunctive,Imperfect,1st Person,Singular,implicarem,implicerem,implicerem,implicirem,I should ensnare
Active Subjunctive,Imperfect,1st Person,Plural,implicaremus,impliceremus,impliceremus,impliciremus,We should ensnare
Active Subjunctive,Imperfect,2nd Person,Singular,implicares,impliceres,impliceres,implicires,You should ensnare
Active Subjunctive,Imperfect,2nd Person,Plural,implicaretis,impliceretis,impliceretis,impliciretis,You (pl.) should ensnare
Active Subjunctive,Imperfect,3rd Person,Singular,implicaret,impliceret,impliceret,impliciret,He/she/it should ensnare
Active Subjunctive,Imperfect,3rd Person,Plural,implicarent,implicerent,implicerent,implicirent,They should ensnare
Active Subjunctive,Perfect,1st Person,Singular,implicerim,implicuerim,implicerim,implicierim,I may have ensnareed
Active Subjunctive,Perfect,1st Person,Plural,implicerimus,implicuerimus,implicerimus,implicierimus,We may have ensnareed
Active Subjunctive,Perfect,2nd Person,Singular,impliceris,implicueris,impliceris,implicieris,You may have ensnareed
Active Subjunctive,Perfect,2nd Person,Plural,impliceritis,implicueritis,impliceritis,implicieritis,You (pl.) may have ensnareed
Active Subjunctive,Perfect,3rd Person,Singular,implicerit,implicuerit,implicerit,implicierit,He/she/it may have ensnareed
Active Subjunctive,Perfect,3rd Person,Plural,implicerint,implicuerint,implicerint,implicierint,They may have ensnareed
Active Subjunctive,Pluperfect,1st Person,Singular,implicissem,implicuissem,implicissem,implicissem,I should have ensnareed
Active Subjunctive,Pluperfect,1st Person,Plural,implicissemus,implicuissemus,implicissemus,implicissemus,We should have ensnareed
Active Subjunctive,Pluperfect,2nd Person,Singular,implicisses,implicuisses,implicisses,implicisses,You would have ensnareed
Active Subjunctive,Pluperfect,2nd Person,Plural,implicissetis,implicuissetis,implicissetis,implicissetis,You (pl.) would have ensnareed
Active Subjunctive,Pluperfect,3rd Person,Singular,implicisset,implicuisset,implicisset,implicisset,He/she/it would have ensnareed
Active Subjunctive,Pluperfect,3rd Person,Plural,implicissent,implicuissent,implicissent,implicissent,They would have ensnareed
Passive Subjunctive,Present,1st Person,Singular,implicer,implicer,implicar,implicar,I may be ensnareed
Passive Subjunctive,Present,1st Person,Plural,implicemur,implicemur,implicamur,implicamur,We may be ensnareed
Passive Subjunctive,Present,2nd Person,Singular,impliceris,impliceris,implicaris,implicaris,You may be ensnareed
Passive Subjunctive,Present,2nd Person,Plural,implicemini,implicemini,implicamini,implicamini,You (pl.) may be ensnareed
Passive Subjunctive,Present,3rd Person,Singular,implicetur,implicetur,implicatur,implicatur,He/she/it may be ensnareed
Passive Subjunctive,Present,3rd Person,Plural,implicentur,implicentur,implicantur,implicantur,They may be ensnareed
Passive Subjunctive,Imperfect,1st Person,Singular,implicarer,implicerer,implicerer,implicirer,I should be ensnareed
Passive Subjunctive,Imperfect,1st Person,Plural,implicaremur,impliceremur,impliceremur,impliciremur,We should be ensnareed
Passive Subjunctive,Imperfect,2nd Person,Singular,implicareris,implicereris,implicereris,implicireris,You would be ensnareed
Passive Subjunctive,Imperfect,2nd Person,Plural,implicaremini,impliceremini,impliceremini,impliciremini,You (pl.) would be ensnareed
Passive Subjunctive,Imperfect,3rd Person,Singular,implicaretur,impliceretur,impliceretur,impliciretur,He/she/it would be ensnareed
Passive Subjunctive,Imperfect,3rd Person,Plural,implicarentur,implicerentur,implicerentur,implicirentur,They would be ensnareed
Passive Subjunctive,Perfect,1st Person,Singular,implicatus sim,implicetus sim,implicus sim,implicus sim,I may have been ensnareed
Passive Subjunctive,Perfect,1st Person,Plural,implicati simus,impliceti simus,implici simus,implici simus,We may have been ensnareed
Passive Subjunctive,Perfect,2nd Person,Singular,implicatus sis,implicetus sis,implicus sis,implicus sis,You may have been ensnareed
Passive Subjunctive,Perfect,2nd Person,Plural,implicati sitis,impliceti sitis,implici sitis,implici sitis,You (pl.) may have been ensnareed
Passive Subjunctive,Perfect,3rd Person,Singular,implicatus sit,implicetus sit,implicus sit,implicus sit,He/she/it may have been ensnareed
Passive Subjunctive,Perfect,3rd Person,Plural,implicati sint,impliceti sint,implici sint,implici sint,They may have been ensnareed
Passive Subjunctive,Pluperfect,1st Person,Singular,implicatus essem,implicetus essem,implicus essem,implicus essem,I should have been ensnareed
Passive Subjunctive,Pluperfect,1st Person,Plural,implicati essemus,impliceti essemus,implici essemus,implici essemus,We should have been ensnareed
Passive Subjunctive,Pluperfect,2nd Person,Singular,implicatus esses,implicetus esses,implicus esses,implicus esses,You would have been ensnareed
Passive Subjunctive,Pluperfect,2nd Person,Plural,implicati essetis,impliceti essetis,implici essetis,implici essetis,You (pl.) would have been ensnareed
Passive Subjunctive,Pluperfect,3rd Person,Singular,implicatus esset,implicetus esset,implicus esset,implicus esset,He/she/it would have been ensnareed
Passive Subjunctive,Pluperfect,3rd Person,Plural,implicati essent,impliceti essent,implici essent,implici essent,They would have been ensnareed
